Date,price1,price2
20091110,48.0186,17.4722
20091111,48.4095,17.3246
20091112,47.4355,17.1903
20091113,47.284,16.9739
20091116,48.4132,16.8774
20091117,47.9108,16.8993
20091118,47.8434,16.5095
20091119,46.7588,16.2159
20091120,46.4005,16.0538
20091124,46.4894,16.2672
20091125,47.1786,16.4281
20091127,46.352,15.7747
20091130,46.7395,16.3103
20091201,48.042,16.781
20091202,47.5518,17.084
20091203,47.5206,17.3685
20091204,46.9596,17.1245
20091207,46.4421,17.6343
20091208,45.5325,17.7179
20091209,45.0664,17.5115
20091210,45.7403,17.2062
20091211,46.0598,17.2563
20091214,46.7732,17.6073
20091215,46.7696,17.4099
20091216,47.0336,17.4352
20091217,46.2488,17.2261
20091218,46.1499,16.9282
20091221,46.2886,16.8582
20091222,46.3786,16.8723
20091224,46.9646,17.2861
20091228,46.9966,17.6577
20091229,46.9016,17.6567
20091230,46.6012,17.5731
20100104,47.1154,17.5492
20100105,47.4783,17.9742
20100106,47.9298,17.711
20100107,47.7855,17.5588
20100108,48.1788,17.9194
20100112,50.046,18.9301
20100113,49.9265,18.7447
20100114,49.9254,18.9461
20100115,49.0176,18.9138
20100119,49.1949,18.445
20100120,48.3409,18.2613
20100121,46.6683,18.1918
20100122,45.3105,17.9234
20100125,44.8673,17.7565
20100126,45.3724,17.6668
20100127,42.4904,17.3581
20100128,42.1487,16.8991
20100129,42.8377,16.8533
20100201,42.9214,16.4319
20100202,43.2006,16.8932
20100203,43.3878,16.7741
20100204,42.0122,16.9565
20100205,41.5799,16.3746
20100208,41.5513,16.2133
20100209,43.28,15.9505
20100210,43.0666,16.6995
20100212,45.1236,16.8563
20100216,46.0352,16.3887
20100217,46.6541,16.7199
20100218,46.696,16.9014
20100219,46.995,16.5501
20100222,47.3282,16.9476
20100223,46.0348,17.0152
20100224,46.0983,16.7806
20100225,45.0828,16.8648
20100226,46.037,16.7856
20100301,46.8755,16.7289
20100302,47.2421,17.0741
20100303,47.8612,17.2264
20100304,47.1854,17.0723
20100305,47.947,17.0112
20100308,47.7517,17.4726
20100309,47.9839,17.5899
20100310,47.6931,17.6672
20100311,47.4032,17.6932
20100312,48.6731,17.8131
20100315,47.8607,17.6917
20100316,47.9323,17.5221
20100317,48.6532,17.5904
20100318,48.4106,17.6659
20100319,48.1164,17.5801
20100323,50.0034,17.6387
20100324,50.1792,17.6483
20100325,50.9548,17.4961
20100326,50.6441,17.6671
20100329,51.3051,17.8005
20100330,51.1671,17.7937
20100331,51.0437,17.6624
20100401,51.6917,17.5902
20100405,52.5399,17.8599
20100406,52.7279,17.7484
20100407,52.4209,17.6896
20100408,51.9086,17.3501
20100409,52.7591,17.1845
20100412,53.9869,17.2439
20100413,53.8531,16.9531
20100414,54.1352,17.1551
20100415,55.1578,17.5716
20100416,54.3325,17.5494
20100419,54.0476,17.1137
20100420,54.9006,16.7031
20100421,54.5398,16.6062
20100422,54.3618,16.4116
20100423,55.7683,16.1254
20100426,58.6625,16.6242
20100427,56.8515,17.1098
20100428,56.3967,16.5595
20100430,56.223,17.0315
20100506,51.7486,16.6179
20100507,51.0251,15.8609
20100510,53.9412,16.0982
20100511,53.9484,15.8829
20100512,55.1549,15.5543
20100513,55.0519,15.8502
20100514,52.7587,15.6283
20100517,51.7924,15.3724
20100518,52.1903,15.1533
20100519,49.816,15.1712
20100520,48.1335,15.5592
20100521,48.4592,15.0786
20100524,48.8949,15.3202
20100525,46.8517,15.1752
20100526,49.322,15.0689
20100527,50.1671,15.284
20100528,49.8036,15.7852
20100601,49.3175,15.5034
20100602,49.0878,15.0977
20100603,49.911,15.556
20100604,47.6568,15.688
20100607,46.2144,14.8778
20100608,45.8269,14.8583
20100609,47.0233,14.7219
20100610,48.3732,14.7519
20100611,48.7365,14.9917
20100614,50.2338,15.1852
20100615,51.1739,15.2448
20100616,51.9596,15.724
20100617,52.4179,15.8214
20100618,53.283,15.9014
20100621,54.6661,16.3981
20100622,52.9318,16.4019
20100623,51.9817,16.0433
20100624,51.8525,16.1313
20100625,52.2865,15.8022
20100628,52.6756,15.647
20100629,49.8687,15.7611
20100630,49.6587,15.2038
20100701,48.3834,15.23
20100702,48.3247,15.3288
20100706,49.2859,15.5033
20100707,49.9142,15.7646
20100708,51.16,16.0651
20100709,52.4283,16.3377
20100712,52.3793,16.4133
20100713,54.247,16.2525
20100714,54.0585,17.0151
20100715,53.772,16.972
20100716,52.9267,16.8425
20100720,53.9098,16.4398
20100721,55.0727,16.6308
20100722,55.5866,16.5774
20100723,56.2867,17.1913
20100726,57.2546,17.5448
20100727,56.5851,17.1953
20100728,56.9569,17.3282
20100729,56.9538,17.7867
20100730,57.081,17.7082
20100802,58.2809,17.8844
20100803,57.7597,18.2249
20100804,58.2403,17.8379
20100805,58.9266,18.1409
20100806,58.2821,18.1967
20100809,58.9723,17.9075
20100810,58.5324,18.0777
20100811,56.662,17.7954
20100812,55.4361,17.1247
20100813,55.7628,17.2032
20100816,56.1365,17.2982
20100817,57.4905,17.3438
20100818,57.1994,17.8247
20100819,56.7741,17.8953
20100820,56.1907,17.6024
20100823,55.5246,17.2939
20100824,53.4082,17.1589
20100825,52.657,16.9728
20100826,53.0203,16.9723
20100827,53.6139,16.9275
20100830,53.3979,17.6446
20100831,53.4363,17.1187
20100901,55.7554,17.0362
20100902,56.0233,17.4264
20100903,57.5031,17.4481
20100907,56.9631,18.2439
20100908,58.1129,17.7819
20100909,58.0838,17.9451
20100910,58.3068,18.166
20100913,59.223,18.5765
20100914,59.0821,18.833
20100915,58.8239,18.4647
20100916,58.869,18.9619
20100917,59.4899,18.9979
