OEX Index,NKY Index,HSI Index,HSCEI Index,SHCSI100 Index,KOSPI2 Index,TAMSCI Index,E100 Index
PEP UN Equity,5406 JT Equity,,,600048 CH Equity,000210  KS Equity,2347 TT Equity,STAN LN Equity
PFE UN Equity,6301 JT Equity,,,601669 CH Equity,030000  KS Equity,2887 TT Equity,EOAN GY Equity
PM UN Equity,9766 JT Equity,,,600690 CH Equity,029780  KS Equity,2834 TT Equity,TSCO LN Equity
PG UN Equity,4902 JT Equity,,,600104 CH Equity,051600  KS Equity,1101 TT Equity,PHIA NA Equity
QCOM UW Equity,6326 JT Equity,,,600703 CH Equity,011070  KS Equity,5880 TT Equity,G IM Equity
RTN UN Equity,3405 JT Equity,,,600031 CH Equity,036460  KS Equity,1722 TT Equity,DG FP Equity
SLB UN Equity,6971 JT Equity,,,601225 CH Equity,042670  KS Equity,1802 TT Equity,CON GY Equity
SPG UN Equity,4151 JT Equity,,,601727 CH Equity,005940  KS Equity,3045 TT Equity,RI FP Equity
SO UN Equity,8002 JT Equity,,,600196 CH Equity,011780  KS Equity,1504 TT Equity,AAL LN Equity
SBUX UW Equity,1333 JT Equity,,,600018 CH Equity,004170  KS Equity,3673 TT Equity,HEN3 GY Equity
TGT UN Equity,8252 JT Equity,,,600000 CH Equity,000880  KS Equity,2451 TT Equity,REP SQ Equity
TXN UW Equity,8628 JT Equity,,,000069 CH Equity,047050  KS Equity,2330 TT Equity,ATCOA SS Equity
TWX UN Equity,7261 JT Equity,,,002024 CH Equity,010060  KS Equity,2103 TT Equity,VOLVB SS Equity
FOXA UW Equity,6508 JT Equity,,,600535 CH Equity,051915  KS Equity,2606 TT Equity,STL NO Equity
UNP UN Equity,2269 JT Equity,,,600309 CH Equity,034020  KS Equity,1216 TT Equity,ABF LN Equity
UPS UN Equity,6479 JT Equity,,,000338 CH Equity,010120  KS Equity,3037 TT Equity,HEIA NA Equity
UTX UN Equity,4188 JT Equity,,,000858 CH Equity,009830  KS Equity,2303 TT Equity,TEL NO Equity
UNH UN Equity,8058 JT Equity,,,002353 CH Equity,034230  KS Equity,5347 TT Equity,TELIA SS Equity
USB UN Equity,6503 JT Equity,,,000538 CH Equity,006360  KS Equity,1605 TT Equity,MAERSKB DC Equity
VZ UN Equity,8802 JT Equity,,,002236 CH Equity,004990  KS Equity,3231 TT Equity,ACA FP Equity
V UN Equity,7011 JT Equity,,,600023 CH Equity,037620  KS Equity,3702 TT Equity,RBS LN Equity
WMT UN Equity,9301 JT Equity,,,601899 CH Equity,000150  KS Equity,2609 TT Equity,UHR VX Equity
WBA UW Equity,5711 JT Equity,,,000157 CH Equity,000120  KS Equity,2885 TT Equity,HEN GY Equity
DIS UN Equity,7211 JT Equity,,,000063 CH Equity,028050  KS Equity,2201 TT Equity,ATCOB SS Equity
WFC UN Equity,8306 JT Equity,,,,001740  KS Equity,4958 TT Equity,CDI FP Equity
