,,,857 HK Equity,386 HK Equity,338 HK Equity,883 HK Equity,135 HK Equity,1605 JP Equity,,,,,,,,,,,,,,,,,,,,,
,,,HSI Index,HSI Index,HSI Index,HSI Index,HSI Index,TPX Index,,,,,,,,,,,,,,,,,,,,,
,,direction,,,,,,,,,,,,,,,,,,,,,,,,,,,
chg pct 5d,,current signal,,,,,,,,,,,,,,,,,,1d rtn,1d zrtn,3d rtn,3d mov zrtn,zpx,,,,,
3.73 ,EOG Equity,EOG RESOURCES,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.07),(0.45),(0.21),(0.06),1.80 ,,,,,
3.70 ,XOM Equity,EXXON MOBIL CORP,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.49),(1.39),(0.34),(0.21),1.04 ,,,,,
2.34 ,CVX Equity,CHEVRON CORP,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.33),(0.42),(0.14),(0.10),(0.39),,,,,
4.64 ,FP FP Equity,TOTAL SA,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.90),(1.81),(1.71),(1.28),1.37 ,,,,,
1.92 ,RDSA LN Equity,ROYAL DUTCH SH-A,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.88),(1.40),(1.18),(0.84),1.48 ,,,,,
1.05 ,BP/ LN Equity,BP PLC,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.51),(1.20),(0.83),(0.55),1.58 ,,,,,
4.93 ,ENI IM Equity,ENI SPA,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.41),(0.83),(1.01),(0.56),1.66 ,,,,,
4.39 ,STL NO Equity,STATOIL ASA,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.18),(0.43),(0.15),(0.16),1.86 ,,,,,
4.68 ,GAZP RM Equity,GAZPROM,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,1.05 ,0.80 ,2.09 ,1.05 ,2.58 ,,,,,
4.04 ,BLT LN Equity,BHP BILLITON PLC,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.17),(0.21),(1.94),(0.75),1.14 ,,,,,
3.93 ,WPL AU Equity,WOODSIDE PETRO,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(1.03),(1.19),(1.05),(0.54),2.00 ,,,,,
3.51 ,BAS GR Equity,BASF SE,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.09),(0.48),(1.34),(0.98),1.29 ,,,,,
8.71 ,LKOH RM Equity,LUKOIL,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.24),(0.51),1.53 ,0.69 ,2.76 ,,,,,
9.82 ,ROSN LI Equity,ROSNEFT PJSC-GDR,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(1.84),(1.63),(0.80),(0.21),1.05 ,,,,,
(2.30),SIBN RM Equity,GAZPROM NEFT,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(1.08),(1.02),(0.30),(0.20),2.01 ,,,,,
3.83 ,TATN RM Equity,TATNEFT,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,0.32 ,(0.11),2.83 ,0.78 ,2.65 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
