1.00E+00,0.45%,2.82E-02,5.63E-01,6.06E-01,8.00E+00,1.60E+01,,0.12%,0.33%
3.00E+00,0.86%,1.77E-02,6.67E-01,7.71E-01,1.60E+01,3.00E+00,,0.51%,0.35%
3.00E+00,1.00%,5.58E-03,1.00E+00,1.00E+00,5.00E+00,2.00E+00,,-1.68%,2.68%
3.00E+00,1.04%,2.51E-02,5.00E-01,7.64E-01,2.00E+00,4.00E+00,,0.00%,1.04%
3.00E+00,-0.07%,2.89E-02,4.44E-01,4.84E-01,1.50E+01,9.00E+00,,-0.52%,0.45%
2.50E+00,0.94%,2.37E-02,8.33E-01,7.32E-01,9.00E+00,6.00E+00,,0.39%,0.55%
3.00E+00,2.24%,3.29E-02,5.00E-01,9.82E-01,7.00E+00,2.00E+00,,0.36%,1.88%
1.50E+00,1.15%,4.60E-02,5.83E-01,6.57E-01,6.00E+00,1.20E+01,,1.15%,0.00%
2.50E+00,1.45%,2.75E-02,6.25E-01,8.20E-01,1.70E+01,8.00E+00,,1.06%,0.39%
2.00E+00,3.25%,3.55E-02,7.14E-01,8.82E-01,4.00E+00,7.00E+00,,2.17%,1.08%
3.00E+00,2.07%,5.98E-02,5.00E-01,7.45E-01,2.00E+01,2.00E+00,,1.16%,0.91%
1.00E+00,0.30%,1.87E-02,6.52E-01,5.95E-01,1.00E+01,2.30E+01,,0.27%,0.03%
1.00E+00,-0.05%,6.50E-02,8.33E-01,4.94E-01,9.00E+00,1.20E+01,,-1.51%,1.45%
1.00E+00,-0.29%,7.08E-02,6.47E-01,4.72E-01,1.00E+01,1.70E+01,,-0.44%,0.14%
2.50E+00,0.88%,2.07E-02,7.78E-01,7.25E-01,5.00E+00,9.00E+00,,0.42%,0.46%
2.00E+00,1.43%,2.87E-02,6.67E-01,7.92E-01,6.00E+00,6.00E+00,,1.00%,0.43%
1.50E+00,0.91%,4.44E-02,5.00E-01,6.34E-01,8.00E+00,1.40E+01,,0.91%,0.00%
2.50E+00,-0.47%,3.89E-02,6.00E-01,4.05E-01,3.00E+00,5.00E+00,,-0.75%,0.28%
3.00E+00,1.88%,3.26E-02,7.50E-01,9.34E-01,3.00E+00,4.00E+00,,-0.35%,2.22%
2.50E+00,0.85%,3.58E-02,5.71E-01,6.53E-01,8.00E+00,7.00E+00,,0.13%,0.72%
2.00E+00,1.12%,2.66E-02,5.45E-01,7.56E-01,9.00E+00,1.10E+01,,0.76%,0.35%
2.00E+00,1.09%,2.73E-02,5.71E-01,7.17E-01,7.00E+00,7.00E+00,,0.93%,0.16%
3.00E+00,0.07%,2.00E-02,6.00E-01,5.22E-01,4.00E+00,5.00E+00,,-0.13%,0.20%
3.00E+00,3.05%,5.44E-02,7.50E-01,9.77E-01,1.40E+01,4.00E+00,,-1.59%,4.64%
2.50E+00,3.89%,nan,1.00E+00,1.00E+00,6.00E+00,1.00E+00,,-2.45%,6.35%
1.00E+00,1.41%,3.56E-02,6.15E-01,7.89E-01,8.00E+00,1.30E+01,,1.31%,0.09%
2.50E+00,0.31%,2.64E-02,3.33E-01,5.81E-01,4.00E+00,3.00E+00,,-0.62%,0.92%
2.00E+00,2.93%,2.82E-02,1.00E+00,1.00E+00,6.00E+00,4.00E+00,,0.69%,2.23%
3.00E+00,-1.21%,6.39E-02,6.67E-01,3.64E-01,1.30E+01,3.00E+00,,-1.27%,0.06%
