Date,OEX,v_rtn,v_disp,zscore_S,corr,enter_disp,exit_disp
12/1/2016,966.609985,-0.002301765,0.003681268,-0.741693534,-0.705129452,1,0
12/2/2016,966.280029,-0.000341354,0.003452932,-0.768722152,-0.50374402,1,0
12/5/2016,971.190002,0.005081315,0.003624807,-0.667325185,0.23979702,1,0
12/6/2016,974.27002,0.003171386,0.00305156,-1.539214583,0.035604545,1,0
12/7/2016,986.599976,0.012655584,0.004785391,2.37294759,0.671016547,0,1
12/8/2016,988.080017,0.001500143,0.004745518,1.686231222,0.786362925,0,1
12/9/2016,996.02002,0.008035789,0.005068569,1.702001004,0.863386404,0,1
12/12/2016,996.570007,0.000552185,0.004593698,0.842287926,0.877147872,0,1
12/13/2016,1004.390015,0.007846923,0.004816939,0.98099377,0.870541106,0,1
12/14/2016,997.75,-0.006610993,0.005350817,1.381988025,0.871313626,0,1
12/15/2016,1001.799988,0.004059121,0.005057687,0.809347068,0.877923543,0,1
12/16/2016,999.890015,-0.001906541,0.005199318,0.823025297,0.858209939,0,1
12/19/2016,1002.330017,0.00244027,0.005176187,0.631676645,0.823008061,0,1
12/20/2016,1005.97998,0.003641478,0.005178081,0.776204754,0.485763914,0,1
12/21/2016,1003.299988,-0.002664061,0.004362233,-1.994105604,0.124251037,1,0
12/22/2016,1001.909973,-0.001385443,0.004459564,-1.422440867,-0.126486488,1,0
12/23/2016,1002.52002,0.000608884,0.003872549,-2.076513475,-0.117539595,1,0
12/27/2016,1003.969971,0.001446306,0.003879385,-1.621148349,-0.35672163,1,0
12/28/2016,997.109985,-0.00683286,0.003687947,-1.5258943,0.024364164,1,0
12/29/2016,996.289978,-0.000822384,0.003130014,-1.804874276,0.546948893,1,0
12/30/2016,991.429993,-0.004878083,0.003078508,-1.466054501,0.693521158,1,0
1/3/2017,1000.599976,0.009249249,0.004328262,0.306696986,0.789356975,0,0
1/4/2017,1003.869995,0.003268058,0.004380209,0.566099108,0.846563399,0,1
1/5/2017,1004.140015,0.000268979,0.004226549,0.59067321,0.831674814,0,1
1/6/2017,1008.150024,0.003993476,0.004305509,0.772892057,0.811819591,0,1
1/9/2017,1005.650024,-0.00247979,0.004365321,0.935944893,0.861822993,0,1
1/10/2017,1004.48999,-0.001153517,0.004388127,0.840343493,0.872581268,0,1
1/11/2017,1006.929993,0.002429096,0.004425652,0.779454137,0.903924916,0,1
1/12/2017,1004.97998,-0.001936592,0.003841223,-0.413798177,0.858728903,1,0
1/13/2017,1006.590027,0.001602069,0.003807928,-0.757157481,0.734034665,1,0
1/17/2017,1003.169983,-0.003397653,0.00359811,-2.000224999,0.0737004,1,0
1/18/2017,1003.849976,0.000677844,0.002394386,-2.650371254,0.388592753,1,0
1/19/2017,1000.109985,-0.003725647,0.002453905,-1.818867716,0.707363771,1,0
1/20/2017,1003.039978,0.002929671,0.002645745,-1.24458897,0.763065477,1,0
1/23/2017,1000.5,-0.00253228,0.002341387,-1.301267601,0.802504292,1,0
1/24/2017,1004.98999,0.004487746,0.00273,-0.671879446,0.716635974,1,0
1/25/2017,1013.23999,0.008209037,0.00364665,0.640873331,0.621121023,0,1
1/26/2017,1013.119995,-0.000118427,0.003618008,0.838962421,0.651162708,0,1
1/27/2017,1012.929993,-0.000187541,0.003531449,0.787796559,0.741069342,0,1
1/30/2017,1006.940002,-0.005913529,0.004042377,1.544017458,0.714813535,0,1
1/31/2017,1004.460022,-0.002462888,0.00397193,1.284127997,0.678674926,0,1
2/1/2017,1006.330017,0.001861692,0.004003818,1.093431256,0.621210017,0,1
2/2/2017,1006.150024,-0.000178861,0.003786712,0.599222923,0.499785395,0,1
2/3/2017,1013.690002,0.00749389,0.004281596,1.186548017,0.514591037,0,1
2/6/2017,1012.099976,-0.001568553,0.004209765,1.00760632,0.232613172,0,1
2/7/2017,1012.900024,0.000790483,0.004061202,0.59853815,-0.124140327,0,1
2/8/2017,1012.460022,-0.000434398,0.003224337,-2.071131669,-0.170778834,1,0
2/9/2017,1017.539978,0.005017439,0.003566848,-0.947742903,-0.259443982,1,0
2/10/2017,1020.669983,0.003076051,0.003642833,-0.768342264,-0.315786992,1,0
2/13/2017,1026.73999,0.005947081,0.003175088,-1.686569551,-0.552704241,1,0
