Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9
902 HK Equity,9.00,0.0001,0.0000,0.0094,0.8238,0.3103,0.0822,0.0002,0.0002,0.0523
991 HK Equity,9.00,0.0000,0.0000,0.0553,0.0417,0.0002,0.0705,0.0301,0.0100,0.1670
916 HK Equity,8.00,0.0024,0.2711,0.4100,0.8791,0.3632,0.0979,0.9886,0.2080,
2688 HK Equity,4.00,0.0061,0.0389,0.4541,0.3245,,,,,
1798 HK Equity,2.00,0.0006,0.0002,,,,,,,
1600 HK Equity,1.00,0.0003,,,,,,,,
1265 HK Equity,1.00,0.0658,,,,,,,,
1733 HK Equity,1.00,0.9674,,,,,,,,
,4.38,0.1303,0.0620,0.2322,0.5173,0.2246,0.0835,0.3396,0.0727,0.1096
