,1099 HK Equity,,1066 HK Equity,,874 HK Equity,,460 HK Equity,,867 HK Equity,,1666 HK Equity,,2877 HK Equity,,853 HK Equity,,325 HK Equity,,8058 HK Equity,,8231 HK Equity,,963 HK Equity
10/7/2009,2.6129,5/19/2008,0.45,5/19/2008,0.88845,11/10/2010,0.7612,10/12/2010,0.34504,5/19/2008,0.5068,5/19/2008,0.66922,10/8/2010,1.0712,7/13/2010,0.44899,5/19/2008,0.5192,5/19/2008,0.07692,10/17/2008,0.10445
10/8/2009,2.5935,5/20/2008,0.44,5/20/2008,0.87696,11/11/2010,0.7612,10/13/2010,0.34364,5/20/2008,0.4932,5/20/2008,0.67823,10/11/2010,1.0711,7/14/2010,0.45042,5/20/2008,0.5128,5/20/2008,0.07693,10/20/2008,0.12637
10/9/2009,2.6709,5/21/2008,0.42,5/21/2008,0.89608,11/12/2010,0.7392,10/14/2010,0.33687,5/21/2008,0.4923,5/21/2008,0.71918,10/12/2010,1.0658,7/15/2010,0.44148,5/21/2008,0.5128,5/21/2008,0.07692,10/21/2008,0.11479
10/12/2009,2.7548,5/22/2008,0.42,5/22/2008,0.87821,11/15/2010,0.7391,10/15/2010,0.32588,5/22/2008,0.5077,5/22/2008,0.73205,10/13/2010,1.0773,7/16/2010,0.43757,5/22/2008,0.5128,5/22/2008,0.07692,10/22/2008,0.1148
10/13/2009,2.9032,5/23/2008,0.42,5/23/2008,0.88445,11/16/2010,0.7234,10/18/2010,0.32726,5/23/2008,0.4837,5/23/2008,0.88957,10/14/2010,1.0518,7/19/2010,0.41925,5/23/2008,0.5114,5/23/2008,0.07691,10/23/2008,0.11476
10/14/2009,3.0193,5/26/2008,0.42,5/26/2008,0.89571,11/17/2010,0.709,10/19/2010,0.33059,5/26/2008,0.4784,5/26/2008,0.79447,10/15/2010,1.0377,7/20/2010,0.42189,5/26/2008,0.5062,5/26/2008,0.07688,10/24/2008,0.11479
10/15/2009,2.9419,5/27/2008,0.42,5/27/2008,0.8967,11/18/2010,0.7352,10/20/2010,0.34768,5/27/2008,0.4782,5/27/2008,0.79422,10/18/2010,1.0107,7/21/2010,0.43979,5/27/2008,0.4893,5/27/2008,0.07686,10/27/2008,0.10447
10/16/2009,2.9289,5/28/2008,0.42,5/28/2008,0.8981,11/19/2010,0.7377,10/21/2010,0.34618,5/28/2008,0.4894,5/28/2008,0.79432,10/19/2010,1.0529,7/22/2010,0.44896,5/28/2008,0.5061,5/28/2008,0.07687,10/28/2008,0.10449
10/19/2009,2.9676,5/29/2008,0.42,5/29/2008,0.90979,11/22/2010,0.735,10/22/2010,0.33798,5/29/2008,0.4912,5/29/2008,0.75474,10/20/2010,1.0693,7/23/2010,0.44162,5/29/2008,0.5010,5/29/2008,0.07688,10/29/2008,0.1045
10/20/2009,2.9355,5/30/2008,0.41,5/30/2008,0.89696,11/23/2010,0.7166,10/25/2010,0.33549,5/30/2008,0.4912,5/30/2008,0.7432,10/21/2010,1.0419,7/26/2010,0.43783,5/30/2008,0.4997,5/30/2008,0.07688,10/30/2008,0.1045
10/21/2009,3.0451,6/2/2008,0.42,6/2/2008,0.90081,11/24/2010,0.7283,10/26/2010,0.33888,6/2/2008,0.4912,6/2/2008,0.7842,10/22/2010,1.042,7/27/2010,0.44284,6/2/2008,0.4985,6/2/2008,0.07688,10/31/2008,0.10322
