,489 HK,,7201 JP,,7203 JP,,7267 JP,,7269 JP,,7270 JP,,MSIL IN,,TTMT IN,,6902 JP,,7202 jp,,5108 jp,,volvb ss,,bmw gr,,000270 KS,,dai gr,,f,,005380 KS
3/4/2011,3.7037,3/14/2011,-9.5238,3/14/2011,-7.9277,3/14/2011,-6.4955,3/14/2011,-3.8988,3/14/2011,-10.9568,3/4/2011,-0.7714,3/4/2011,-0.0637,3/14/2011,-7.5874,3/14/2011,-9.2219,3/14/2011,-5.1911,3/2/2011,-2.6852,3/1/2011,0.5753,3/9/2011,0.4792,3/1/2011,-0.2155,3/4/2011,-2.3035,3/9/2011,1.8919
3/7/2011,-3.4341,3/15/2011,-3.3241,3/15/2011,-7.4018,3/15/2011,-3.9095,3/15/2011,-8.7171,3/15/2011,-9.5321,3/7/2011,-3.9023,3/7/2011,-4.0655,3/15/2011,-4.9565,3/15/2011,-9.2063,3/15/2011,-5.0542,3/3/2011,1.9981,3/2/2011,-2.1703,3/10/2011,-2.0668,3/2/2011,-2.7189,3/7/2011,-2.8433,3/10/2011,0
3/8/2011,0.7112,3/16/2011,6.1605,3/16/2011,9.1354,3/16/2011,3.9005,3/16/2011,4.2643,3/16/2011,10.3448,3/8/2011,-0.3728,3/8/2011,3.0321,3/16/2011,2.9061,3/16/2011,10.4895,3/16/2011,7.0342,3/4/2011,-1.3993,3/3/2011,0.3783,3/11/2011,-1.6234,3/3/2011,0.2321,3/8/2011,3.2834,3/11/2011,-3.183
3/9/2011,0.2825,3/17/2011,-1.0796,3/17/2011,-2.2422,3/17/2011,-1.1327,3/17/2011,-2.8802,3/17/2011,-3.2986,3/9/2011,0.7841,3/9/2011,0.099,3/17/2011,-0.1161,3/17/2011,-0.6329,3/17/2011,-2.3091,3/7/2011,0.1892,3/4/2011,-1.2164,3/14/2011,0.9901,3/4/2011,-3.332,3/9/2011,-1.244,3/14/2011,1.6438
3/10/2011,-2.8169,3/18/2011,-1.0914,3/18/2011,-1.682,3/18/2011,0.8183,3/18/2011,2.3725,3/18/2011,1.0772,3/10/2011,0.4265,3/10/2011,0.1461,3/18/2011,0.3486,3/18/2011,3.5032,3/18/2011,0.6061,3/8/2011,0.5666,3/7/2011,-0.3295,3/15/2011,-3.268,3/7/2011,0.7706,3/10/2011,-1.6095,3/15/2011,-2.1563
3/11/2011,-2.1739,3/22/2011,-0.1379,3/22/2011,4.0435,3/22/2011,2.1104,3/22/2011,3.3604,3/22/2011,3.1972,3/11/2011,-1.6163,3/11/2011,-0.206,3/22/2011,2.9332,3/22/2011,4.6154,3/22/2011,4.2169,3/9/2011,1.3146,3/8/2011,1.0092,3/16/2011,2.027,3/8/2011,2.3458,3/11/2011,2.1337,3/16/2011,0.2755
3/14/2011,-0.2963,3/23/2011,-2.9006,3/23/2011,-1.1958,3/23/2011,-1.7488,3/23/2011,-3.139,3/23/2011,-6.0241,3/14/2011,0.4917,3/14/2011,1.1354,3/23/2011,-3.2996,3/23/2011,-3.2353,3/23/2011,0.1156,3/10/2011,-1.2975,3/9/2011,0.3273,3/17/2011,-1.4901,3/9/2011,0.8885,3/14/2011,-0.4178,3/17/2011,-1.9231
3/15/2011,-2.8232,3/24/2011,-4.5519,3/24/2011,-2.7231,3/24/2011,-2.589,3/24/2011,0.8681,3/24/2011,-3.2967,3/15/2011,-3.4089,3/15/2011,-2.8661,3/24/2011,-2.1714,3/24/2011,-2.7356,3/24/2011,0.2887,3/11/2011,-2.5352,3/10/2011,-1.9746,3/18/2011,2.3529,3/10/2011,-3.0224,3/15/2011,2.5874,3/18/2011,0.5602
3/16/2011,0.7645,3/25/2011,1.4903,3/25/2011,1.8663,3/25/2011,-1.0631,3/25/2011,1.0901,3/25/2011,1.3258,3/16/2011,0.42,3/16/2011,2.1364,3/25/2011,0.6738,3/25/2011,-0.9375,3/25/2011,2.6482,3/14/2011,-1.9268,3/11/2011,-1.051,3/21/2011,1.1494,3/11/2011,-1.29,3/16/2011,-3.3401,3/21/2011,0.8357
3/17/2011,-6.9803,3/28/2011,3.5242,3/28/2011,0.6107,3/28/2011,2.0819,3/28/2011,0.227,3/28/2011,2.4299,3/17/2011,-4.4413,3/17/2011,-2.276,3/28/2011,3.0709,3/28/2011,2.2082,3/28/2011,-0.1683,3/15/2011,-3.1925,3/14/2011,-0.7612,3/22/2011,3.5714,3/14/2011,-1.4846,3/17/2011,0.5642,3/22/2011,4.4199
3/18/2011,2.7732,3/29/2011,-0.1418,3/29/2011,-1.214,3/29/2011,0.8224,3/29/2011,-0.9626,3/29/2011,-5.292,3/18/2011,-0.7639,3/18/2011,-1.9738,3/29/2011,0.8785,3/29/2011,0.6173,3/29/2011,-1.9663,3/16/2011,0.5581,3/15/2011,-3.9244,3/23/2011,1.4107,3/15/2011,-4.3298,3/18/2011,1.6129,3/23/2011,0.7937
3/21/2011,3.6508,3/30/2011,3.8352,3/30/2011,2.3041,3/30/2011,2.1207,3/30/2011,5.3745,3/30/2011,6.1657,3/21/2011,-2.4217,3/21/2011,0.3356,3/30/2011,2.6505,3/30/2011,1.8405,3/30/2011,1.49,3/17/2011,1.9173,3/16/2011,-2.7293,3/24/2011,3.4003,3/16/2011,-2.1852,3/21/2011,0.6901,3/24/2011,4.1995
3/22/2011,2.144,3/31/2011,0.9576,3/31/2011,0.6006,3/31/2011,-0.1597,3/31/2011,0.8681,3/31/2011,-2.7223,3/22/2011,3.8779,3/22/2011,1.3289,3/31/2011,1.8075,3/31/2011,-0.9036,3/31/2011,-1.581,3/18/2011,3.5644,3/17/2011,3.3212,3/25/2011,-0.299,3/17/2011,2.0866,3/22/2011,-1.7135,3/25/2011,0.2519
3/23/2011,-3.4483,4/1/2011,-1.2195,4/1/2011,0.1493,4/1/2011,-2.4,4/1/2011,-2.1517,4/1/2011,1.306,3/23/2011,0.3413,3/23/2011,0.0704,4/1/2011,-3.5507,4/1/2011,-3.3435,4/1/2011,-1.3769,3/21/2011,2.3901,3/18/2011,1.7735,3/28/2011,1.0495,3/18/2011,1.7774,3/23/2011,-0.2092,3/28/2011,0.2513
3/24/2011,-1.087,4/4/2011,0.2743,4/4/2011,-0.4471,4/4/2011,-1.3115,4/4/2011,-0.4948,4/4/2011,1.2891,3/24/2011,-0.7483,3/24/2011,1.7944,4/4/2011,-1.0894,4/4/2011,-2.5157,4/4/2011,-0.4654,3/22/2011,-0.8403,3/21/2011,0.8895,3/29/2011,1.9288,3/21/2011,2.7941,3/24/2011,5.1013,3/29/2011,3.7594
3/25/2011,-2.6688,4/5/2011,-2.1888,4/5/2011,-2.3952,4/5/2011,-2.5249,4/5/2011,-0.7735,4/5/2011,-1.4545,3/25/2011,1.298,3/25/2011,2.2941,4/5/2011,-2.9624,4/5/2011,-0.9677,4/5/2011,0.526,3/23/2011,0.7533,3/22/2011,-1.6013,3/30/2011,-0.1456,3/22/2011,-1.3485,3/25/2011,-0.1995,3/30/2011,1.4493
3/28/2011,-1.4516,4/6/2011,-0.4196,4/6/2011,0.1534,4/6/2011,-1.3292,4/6/2011,0.0557,4/6/2011,-0.738,3/28/2011,1.6409,3/28/2011,3.3915,4/6/2011,-1.0176,4/6/2011,1.6287,4/6/2011,-0.4651,3/24/2011,3.0841,3/23/2011,1.3531,3/31/2011,0.5831,3/23/2011,2.1419,3/28/2011,-0.9993,3/31/2011,-3.3333
3/29/2011,-1.3093,4/7/2011,1.1236,4/7/2011,0.9188,4/7/2011,1.1054,4/7/2011,1.1686,4/7/2011,1.8587,3/29/2011,3.0166,3/29/2011,1.2622,4/7/2011,1.8584,4/7/2011,-1.9231,4/7/2011,1.4019,3/25/2011,-0.0907,3/24/2011,3.7886,4/1/2011,-0.4348,3/24/2011,3.4141,3/29/2011,-0.1346,4/1/2011,0.2463
3/30/2011,3.8143,4/8/2011,-0.8333,4/8/2011,1.3657,4/8/2011,1.4349,4/8/2011,1.3751,4/8/2011,-0.1825,3/30/2011,2.5082,3/30/2011,0.7705,4/8/2011,0.8152,4/8/2011,0,4/8/2011,1.2097,3/28/2011,-0.363,3/25/2011,-0.4172,4/4/2011,0.5822,3/25/2011,-0.3464,3/30/2011,0.1348,4/4/2011,-0.9828
3/31/2011,5.7508,4/11/2011,-2.381,4/11/2011,-2.3952,4/11/2011,-2.223,4/11/2011,-1.8448,4/11/2011,-0.1828,3/31/2011,-0.5398,3/31/2011,-0.052,4/11/2011,-2.0793,4/11/2011,-1.634,4/11/2011,-1.5936,3/29/2011,0.3643,3/28/2011,0.192,4/5/2011,1.1577,3/28/2011,-1.2986,3/31/2011,0.3365,4/5/2011,1.2407
4/1/2011,-3.4743,4/12/2011,-0.1435,4/12/2011,-0.6135,4/12/2011,-1.4123,4/12/2011,-1.4925,4/12/2011,-1.6484,4/1/2011,0.7091,4/1/2011,-0.5247,4/12/2011,-0.8258,4/12/2011,-2.99,4/12/2011,-2.6605,3/30/2011,1.9964,3/29/2011,-0.0871,4/6/2011,4.2918,3/29/2011,0.1761,4/1/2011,1.6767,4/6/2011,3.1863
4/4/2011,0.939,4/13/2011,2.8736,4/13/2011,1.3889,4/13/2011,3.3194,4/13/2011,0.8418,4/13/2011,1.676,4/4/2011,2.3012,4/4/2011,0.9985,4/13/2011,0.6344,4/13/2011,0,4/13/2011,1.1884,3/31/2011,-1.2456,3/30/2011,2.2145,4/7/2011,-0.5487,3/30/2011,3.1334,4/4/2011,2.5726,4/7/2011,-2.3753
4/6/2011,-0.155,4/14/2011,1.5363,4/14/2011,-0.4566,4/14/2011,0.2705,4/14/2011,2.5598,4/14/2011,1.8315,4/5/2011,0.8075,4/5/2011,2.085,4/14/2011,3.1915,4/14/2011,6.1644,4/14/2011,0.6459,4/1/2011,1.1712,3/31/2011,0.3412,4/8/2011,0.4138,3/31/2011,0.2707,4/5/2011,1.5434,4/8/2011,-0.2433
4/7/2011,-1.087,4/15/2011,-0.5502,4/15/2011,-0.9174,4/15/2011,0.6745,4/15/2011,-1.248,4/15/2011,1.7986,4/6/2011,-1.0184,4/6/2011,1.4332,4/15/2011,-0.7255,4/15/2011,2.2581,4/15/2011,-0.4084,4/4/2011,-0.5343,4/1/2011,3.7232,4/11/2011,-0.6868,4/1/2011,3.02,4/6/2011,-0.38,4/11/2011,0.4878
4/8/2011,2.1978,4/18/2011,-1.1065,4/18/2011,-0.463,4/18/2011,-0.134,4/18/2011,-0.7143,4/18/2011,-0.3534,4/7/2011,-1.4836,4/7/2011,-0.6006,4/18/2011,-0.3077,4/18/2011,0.3155,4/18/2011,-0.7616,4/5/2011,1.0743,4/4/2011,-0.6884,4/12/2011,-2.7663,4/4/2011,0.0388,4/7/2011,-1.2715,4/12/2011,-2.9126
4/11/2011,1.9969,4/19/2011,-0.8392,4/19/2011,-2.0155,4/19/2011,-1.107,4/19/2011,-1.7156,4/19/2011,-2.305,4/8/2011,-1.9089,4/8/2011,-2.9127,4/19/2011,-1.9676,4/19/2011,1.8868,4/19/2011,-0.4723,4/6/2011,0.62,4/5/2011,0.4786,4/13/2011,4.5519,4/5/2011,1.96,4/8/2011,-1.2878,4/13/2011,6.25
4/12/2011,1.0542,4/20/2011,1.9746,4/20/2011,0.3165,4/20/2011,3.2904,4/20/2011,2.6464,4/20/2011,2.3593,4/11/2011,-1.296,4/11/2011,-2.6929,4/20/2011,3.4238,4/20/2011,1.8519,4/20/2011,0.2966,4/7/2011,-2.5528,4/6/2011,-1.3305,4/14/2011,2.449,4/6/2011,0.2665,4/11/2011,-3.0659,4/14/2011,4.4706
4/13/2011,0.149,4/21/2011,3.1812,4/21/2011,0.7886,4/21/2011,0.9852,4/21/2011,1.2068,4/21/2011,1.9504,4/13/2011,3.2765,4/13/2011,2.4025,4/21/2011,2.7017,4/21/2011,1.2121,4/21/2011,0.887,4/8/2011,0,4/7/2011,-1.4483,4/15/2011,0.3984,4/7/2011,-0.6454,4/12/2011,0.3365,4/15/2011,-0.2252
4/14/2011,0.8929,4/22/2011,3.6193,4/22/2011,3.1299,4/22/2011,2.2764,4/22/2011,0.8672,4/22/2011,4.6957,4/15/2011,-1.6391,4/15/2011,-1.041,4/22/2011,2.4454,4/22/2011,2.0958,4/22/2011,-0.0586,4/11/2011,-1.4453,4/8/2011,-1.1486,4/18/2011,2.1164,4/8/2011,-0.2484,4/13/2011,0.4695,4/18/2011,2.0316
4/15/2011,-1.6224,4/25/2011,-1.8111,4/25/2011,-0.607,4/25/2011,-1.2719,4/25/2011,-0.5911,4/25/2011,-0.8306,4/18/2011,0.4096,4/18/2011,-2.4275,4/25/2011,-2.0615,4/25/2011,-0.2933,4/25/2011,-1.2903,4/12/2011,-1.9248,4/11/2011,-2.3923,4/19/2011,-0.6477,4/11/2011,-2.9879,4/14/2011,-1.1348,4/19/2011,-0.2212
4/18/2011,-2.2489,4/26/2011,0.2635,4/26/2011,-2.4427,4/26/2011,-1.6103,4/26/2011,-1.7297,4/26/2011,-1.8425,4/19/2011,-0.606,4/19/2011,-0.3773,4/26/2011,-0.4801,4/26/2011,-0.8824,4/26/2011,1.0695,4/13/2011,0.0935,4/12/2011,-0.5952,4/20/2011,0,4/12/2011,-0.2172,4/15/2011,-0.6752,4/20/2011,3.1042
4/19/2011,-0.7669,4/27/2011,2.2339,4/27/2011,-0.313,4/27/2011,1.473,4/27/2011,3.2453,4/27/2011,1.7065,4/20/2011,0.8209,4/20/2011,4.1996,4/27/2011,1.7811,4/27/2011,1.4837,4/27/2011,1.2934,4/14/2011,0.1867,4/13/2011,1.4794,4/21/2011,0.7823,4/13/2011,0.8706,4/18/2011,-0.6118,4/21/2011,1.2903
4/20/2011,-0.6182,4/28/2011,-0.5141,4/28/2011,1.4129,4/28/2011,2.9032,4/28/2011,2.1843,4/28/2011,1.0067,4/21/2011,3.3202,4/21/2011,-0.6391,4/28/2011,-1.3489,4/28/2011,1.1696,4/28/2011,2.7278,4/15/2011,-1.3048,4/14/2011,0.4859,4/22/2011,0.9056,4/14/2011,-1.9517,4/19/2011,0.2736,4/22/2011,-1.0616
4/21/2011,-0.311,5/2/2011,2.7132,5/2/2011,1.8576,5/2/2011,1.0972,5/2/2011,0.1043,5/2/2011,2.1595,4/25/2011,1.4881,4/25/2011,-0.0965,5/2/2011,1.2565,5/2/2011,2.6012,5/2/2011,4.2938,4/18/2011,-2.0774,4/15/2011,0.4318,4/25/2011,3.2051,4/15/2011,-0.8703,4/20/2011,2.9332,4/25/2011,5.5794
4/26/2011,-1.7161,5/6/2011,-2.2642,5/6/2011,-2.4316,5/6/2011,-4.6512,5/6/2011,-3.125,5/6/2011,-2.1138,4/26/2011,-1.798,4/26/2011,1.509,5/6/2011,-2.7007,5/6/2011,-3.3803,5/6/2011,-1.4626,4/19/2011,3.7608,4/18/2011,-1.9089,4/26/2011,2.3602,4/18/2011,-2.0283,4/21/2011,2.2531,4/26/2011,-0.4065
4/27/2011,-1.5873,5/9/2011,-1.287,5/9/2011,-0.4673,5/9/2011,-0.4878,5/9/2011,-0.3763,5/9/2011,-1.6611,4/27/2011,1.0901,4/27/2011,-0.9355,5/9/2011,-2.0255,5/9/2011,-0.5831,5/9/2011,-0.4398,4/20/2011,3.5316,4/19/2011,3.3661,4/27/2011,-5.8252,4/19/2011,1.5553,4/25/2011,0.7129,4/27/2011,-4.6939
4/28/2011,-0.4839,5/10/2011,0.2608,5/10/2011,1.7214,5/10/2011,0.1634,5/10/2011,0.1619,5/10/2011,1.5203,4/28/2011,-1.1809,4/28/2011,-1.3765,5/10/2011,0.6508,5/10/2011,2.346,5/10/2011,0.3313,4/21/2011,1.167,4/20/2011,2.4254,4/28/2011,2.7062,4/20/2011,3.4686,4/26/2011,0.7722,4/28/2011,7.2805
4/29/2011,-1.7828,5/11/2011,1.9506,5/11/2011,0.6154,5/11/2011,2.1207,5/11/2011,-1.2392,5/11/2011,1.8303,4/29/2011,1.2603,4/29/2011,0.3692,5/11/2011,2.8528,5/11/2011,2.5788,5/11/2011,1.2108,4/26/2011,0.7986,4/21/2011,0.6789,4/29/2011,-3.5132,4/21/2011,0.2549,4/27/2011,-0.5109,4/29/2011,-1.5968
5/3/2011,0.33,5/12/2011,1.4031,5/12/2011,3.0581,5/12/2011,-0.9585,5/12/2011,-0.9274,5/12/2011,-0.6536,5/2/2011,-1.977,5/2/2011,-0.9298,5/12/2011,2.6257,5/12/2011,3.9106,5/12/2011,-0.3806,4/27/2011,2.1127,4/26/2011,1.5132,5/2/2011,0.5202,4/26/2011,1.4861,4/28/2011,-0.5135,5/2/2011,3.2454
5/4/2011,0.1645,5/13/2011,3.522,5/13/2011,0.8902,5/13/2011,1.4516,5/13/2011,-0.8811,5/13/2011,-1.4803,5/3/2011,-1.3781,5/3/2011,-5.0802,5/13/2011,0.3964,5/13/2011,-1.3441,5/13/2011,-0.3821,4/28/2011,-0.0862,4/27/2011,0.4213,5/3/2011,-5.1746,4/27/2011,2.0809,4/29/2011,-0.1935,5/3/2011,-4.9116
5/5/2011,-0.6568,5/16/2011,-2.4301,5/16/2011,-1.7647,5/16/2011,-0.4769,5/16/2011,-0.8333,5/16/2011,-1.8364,5/4/2011,-2.2924,5/4/2011,-0.3267,5/16/2011,-0.8256,5/16/2011,-3.2698,5/16/2011,2.6849,4/29/2011,2.3296,4/28/2011,1.8716,5/4/2011,1.2278,4/28/2011,0.0566,5/2/2011,-0.1293,5/4/2011,-0.8264
5/6/2011,1.6529,5/17/2011,0.7472,5/17/2011,-1.0479,5/17/2011,-0.3195,5/17/2011,1.2325,5/17/2011,-1.1905,5/5/2011,0.7432,5/5/2011,-1.9106,5/17/2011,0,5/17/2011,0,5/17/2011,-1.8143,5/2/2011,-0.8432,4/29/2011,0.586,5/6/2011,-2.2911,4/29/2011,-1.9619,5/3/2011,-0.4531,5/6/2011,-0.625
5/9/2011,0.6504,5/18/2011,0.3708,5/18/2011,0.1513,5/18/2011,-0.9615,5/18/2011,-0.2767,5/18/2011,0.6885,5/6/2011,1.5672,5/6/2011,5.5226,5/18/2011,0.9048,5/18/2011,0.8451,5/18/2011,0.0543,5/3/2011,-0.7653,5/2/2011,1.5588,5/9/2011,2.7586,5/2/2011,0.4233,5/4/2011,-1.4954,5/9/2011,0
5/11/2011,0.4847,5/19/2011,-0.9852,5/19/2011,-0.3021,5/19/2011,-0.3236,5/19/2011,-0.9434,5/19/2011,0,5/9/2011,-2.1987,5/9/2011,-1.9251,5/19/2011,0.9326,5/19/2011,0.2793,5/19/2011,0.1086,5/4/2011,-0.5998,5/3/2011,-1.9225,5/11/2011,2.0134,5/3/2011,-1.5137,5/5/2011,-0.462,5/11/2011,3.7736
5/12/2011,-1.4469,5/20/2011,-3.1095,5/20/2011,-0.6061,5/20/2011,-0.487,5/20/2011,-1.7927,5/20/2011,-0.3419,5/10/2011,-0.2971,5/10/2011,0.7987,5/20/2011,-0.4264,5/20/2011,0.8357,5/20/2011,-0.9224,5/5/2011,-0.5172,5/4/2011,-1.5334,5/12/2011,-1.9737,5/4/2011,-1.1479,5/6/2011,0.1989,5/12/2011,-4.6465
5/13/2011,4.894,5/23/2011,0.5135,5/23/2011,-0.6098,5/23/2011,-1.1419,5/23/2011,-0.1141,5/23/2011,-1.0292,5/11/2011,-1.526,5/11/2011,2.1412,5/23/2011,-0.3212,5/23/2011,-3.3149,5/23/2011,-1.3143,5/6/2011,1.2998,5/5/2011,-1.3485,5/13/2011,-3.2215,5/5/2011,-0.1181,5/9/2011,-0.1985,5/13/2011,-2.7542
5/16/2011,0.311,5/24/2011,-0.2554,5/24/2011,-0.4601,5/24/2011,-0.165,5/24/2011,0.4569,5/24/2011,-0.5199,5/12/2011,-0.2985,5/12/2011,-2.0344,5/24/2011,0.0716,5/24/2011,-0.2857,5/24/2011,-0.5549,5/9/2011,0.7699,5/6/2011,0.9764,5/16/2011,-2.4965,5/6/2011,0.197,5/10/2011,0.4642,5/16/2011,-2.3965
5/17/2011,0.7752,5/25/2011,1.2804,5/25/2011,2.1572,5/25/2011,1.3223,5/25/2011,-1.0802,5/25/2011,-0.8711,5/13/2011,0.2666,5/13/2011,2.0261,5/25/2011,0.2147,5/25/2011,-0.2865,5/25/2011,0.4464,5/10/2011,1.1036,5/9/2011,-0.7252,5/17/2011,2.5605,5/9/2011,0,5/11/2011,0,5/17/2011,0.8929
5/18/2011,2.1538,5/26/2011,1.1378,5/26/2011,1.2066,5/26/2011,0.9788,5/26/2011,3.1609,5/26/2011,2.812,5/16/2011,0.6585,5/16/2011,0.3881,5/26/2011,2.035,5/26/2011,2.5862,5/26/2011,1.4444,5/11/2011,-0.5877,5/10/2011,2.013,5/18/2011,3.7448,5/10/2011,0.472,5/12/2011,0.7261,5/18/2011,5.531
5/19/2011,0.753,5/27/2011,-0.5,5/27/2011,-0.5961,5/27/2011,-0.8078,5/27/2011,-1.2256,5/27/2011,0,5/17/2011,-1.666,5/17/2011,-2.2003,5/27/2011,-1.3996,5/27/2011,2.521,5/27/2011,-0.6572,5/12/2011,-0.8446,5/11/2011,0,5/19/2011,-4.0107,5/11/2011,-1.2135,5/13/2011,-1.1796,5/19/2011,-2.0964
5/20/2011,1.7937,5/30/2011,-0.2513,5/30/2011,-0.1499,5/30/2011,-1.3029,5/30/2011,-0.1128,5/30/2011,-1.7094,5/18/2011,0.5455,5/18/2011,-3.3516,5/30/2011,0.6033,5/30/2011,0.5464,5/30/2011,-0.2756,5/13/2011,-1.0221,5/12/2011,0.8912,5/20/2011,0.9749,5/12/2011,1.3077,5/16/2011,0.3316,5/20/2011,3.212
5/23/2011,-3.3774,5/31/2011,2.5189,5/31/2011,2.1021,5/31/2011,1.9802,5/31/2011,1.1293,5/31/2011,3.8261,5/19/2011,-0.3987,5/19/2011,0.1479,5/31/2011,2.716,5/31/2011,2.9891,5/31/2011,2.0453,5/16/2011,0.4303,5/13/2011,-2.9968,5/23/2011,-4.6897,5/13/2011,-1.2322,5/17/2011,-1.0575,5/23/2011,-5.3942
5/24/2011,1.2158,6/1/2011,-0.86,6/1/2011,-0.5882,6/1/2011,0.9709,6/1/2011,-1.34,6/1/2011,1.34,5/20/2011,0.9449,5/20/2011,1.5467,6/1/2011,0.5151,6/1/2011,-2.1108,6/1/2011,-1.0293,5/17/2011,-1.7995,5/16/2011,-0.1789,5/24/2011,1.8813,5/16/2011,-1.3069,5/18/2011,1.002,5/24/2011,1.0965
5/25/2011,0,6/2/2011,-3.2218,6/2/2011,-3.2544,6/2/2011,-2.4038,6/2/2011,-2.1505,6/2/2011,-3.4711,5/23/2011,-1.5901,5/23/2011,-3.3543,6/2/2011,-2.1524,6/2/2011,-1.6173,6/2/2011,-1.861,5/18/2011,-0.6108,5/17/2011,-0.8959,5/25/2011,-0.2841,5/17/2011,-0.9831,5/19/2011,0,5/25/2011,0
5/26/2011,0.1502,6/3/2011,-1.0243,6/3/2011,-1.2232,6/3/2011,-0.821,6/3/2011,-1.1567,6/3/2011,-1.3699,5/24/2011,0.0623,5/24/2011,-0.6729,6/3/2011,-1.9902,6/3/2011,-0.274,6/3/2011,-1.8963,5/19/2011,1.4047,5/18/2011,1.0684,5/26/2011,6.6952,5/18/2011,0.1722,5/20/2011,-0.7937,5/26/2011,5.6399
5/27/2011,1.7991,6/6/2011,-0.7762,6/6/2011,-0.4644,6/6/2011,-0.3311,6/6/2011,0.5851,6/6/2011,-2.0833,5/25/2011,-0.3113,5/25/2011,1.0652,6/6/2011,-1.1756,6/6/2011,-2.1978,6/6/2011,0.398,5/20/2011,-0.6926,5/19/2011,1.2034,5/27/2011,0.267,5/19/2011,1.0923,5/23/2011,-1.3333,5/27/2011,2.0534
5/30/2011,1.3255,6/7/2011,1.9557,6/7/2011,2.1773,6/7/2011,0.3322,6/7/2011,0.4654,6/7/2011,0.5319,5/26/2011,1.2117,5/26/2011,2.5225,6/7/2011,1.5862,6/7/2011,3.0899,6/7/2011,2.3783,5/23/2011,-4.0105,5/20/2011,-1.7676,5/30/2011,-0.6658,5/20/2011,-1.951,5/24/2011,-0.9459,5/30/2011,0.2012
5/31/2011,-0.1453,6/8/2011,-0.5115,6/8/2011,0.1522,6/8/2011,-1.3245,6/8/2011,-0.1158,6/8/2011,-0.1764,5/27/2011,0.5266,5/27/2011,-6.3274,6/8/2011,0.2129,6/8/2011,-1.3624,6/8/2011,1.604,5/24/2011,-0.1817,5/23/2011,-3.4353,5/31/2011,1.4745,5/23/2011,-3.3367,5/25/2011,-0.5457,5/31/2011,1.4056
6/1/2011,0.4367,6/9/2011,0,6/9/2011,-0.6079,6/9/2011,-0.7383,6/9/2011,-1.7391,6/9/2011,-0.3534,5/30/2011,-0.9208,5/30/2011,-1.0562,6/9/2011,0.4603,6/9/2011,-1.9337,6/9/2011,1.3065,5/25/2011,1.4559,5/24/2011,1.9143,6/1/2011,-3.6988,5/24/2011,0.9712,5/26/2011,-0.1372,6/1/2011,-3.5644
6/2/2011,-1.3043,6/10/2011,1.928,6/10/2011,0.9174,6/10/2011,0.9128,6/10/2011,2.1239,6/10/2011,1.2411,5/31/2011,1.6275,5/31/2011,1.6661,6/10/2011,0.3172,6/10/2011,-0.5634,6/10/2011,-0.6985,5/26/2011,-1.0762,5/25/2011,0.9309,6/2/2011,-0.2743,5/25/2011,0.7841,5/27/2011,0.2747,6/2/2011,-0.616
6/3/2011,-2.79,6/13/2011,-1.1349,6/13/2011,-2.4242,6/13/2011,-2.4791,6/13/2011,-1.7331,6/13/2011,-1.7513,6/1/2011,1.6218,6/1/2011,-1.406,6/13/2011,-2.0028,6/13/2011,-1.1331,6/13/2011,-2.5433,5/27/2011,0.816,5/26/2011,-1.1528,6/3/2011,0.5502,5/26/2011,-0.1867,5/31/2011,2.1918,6/3/2011,-0.2066
6/7/2011,-0.6042,6/14/2011,2.551,6/14/2011,0.3106,6/14/2011,0.5153,6/14/2011,0.9406,6/14/2011,0.713,6/2/2011,-1.9758,6/2/2011,-2.9355,6/14/2011,1.9362,6/14/2011,0,6/14/2011,0.7773,5/30/2011,-0.7194,5/27/2011,1.2662,6/7/2011,-1.0944,5/27/2011,-0.1039,6/1/2011,-4.6247,6/7/2011,-1.4493
6/8/2011,1.2158,6/15/2011,0.7463,6/15/2011,0.6192,6/15/2011,2.1873,6/15/2011,0.6407,6/15/2011,1.7699,6/3/2011,0.6937,6/3/2011,-2.3278,6/15/2011,-0.598,6/15/2011,1.4327,6/15/2011,0.4959,5/31/2011,0.9964,5/30/2011,0.0987,6/8/2011,-1.6598,5/30/2011,0.1665,6/2/2011,-0.3514,6/8/2011,-2.7311
6/9/2011,2.2523,6/16/2011,-1.9753,6/16/2011,-1.6923,6/16/2011,-1.2375,6/16/2011,-2.4306,6/16/2011,-2.2609,6/6/2011,-0.154,6/6/2011,-0.0098,6/16/2011,-1.0262,6/16/2011,-2.5424,6/16/2011,-2.6864,6/1/2011,1.8834,5/31/2011,1.0684,6/9/2011,-0.8439,5/31/2011,2.1396,6/3/2011,-1.1989,6/9/2011,-2.1598
6/10/2011,2.0558,6/17/2011,0.7557,6/17/2011,-0.626,6/17/2011,-0.8805,6/17/2011,0.4152,6/17/2011,0.8897,6/7/2011,0.6494,6/7/2011,0.3419,6/17/2011,0.6435,6/17/2011,-2.029,6/17/2011,-0.1127,6/3/2011,-4.3134,6/1/2011,-1.6425,6/10/2011,0,6/1/2011,-1.8812,6/6/2011,-0.7138,6/10/2011,-1.5453
6/13/2011,-4.7482,6/20/2011,-0.625,6/20/2011,0,6/20/2011,-1.0249,6/20/2011,-0.8269,6/20/2011,0,6/8/2011,-1.2984,6/8/2011,0.1314,6/20/2011,0.3908,6/20/2011,-1.1834,6/20/2011,-0.846,6/7/2011,-0.46,6/2/2011,-0.1819,6/13/2011,0.4255,6/2/2011,-1.5131,6/7/2011,0.2876,6/13/2011,1.5695
