,489 HK,,7201 JP,,7203 JP,,7267 JP,,7269 JP,,7270 JP,,MSIL IN,,TTMT IN,,6902 JP,,7202 jp,,5108 jp,,volvb ss,,bmw gr,,000270 KS,,dai gr,,f,,005380 KS
8/5/2010,-1.25,8/6/2010,0.4505,8/6/2010,0.3221,8/6/2010,2.068,8/6/2010,0.9492,8/6/2010,1.5086,8/5/2010,1.0012,8/5/2010,1.9599,8/6/2010,-0.1203,8/6/2010,4.5455,8/6/2010,0,8/5/2010,0.9815,8/5/2010,2.0078,8/5/2010,0,8/5/2010,0.6945,8/5/2010,-0.9916,8/5/2010,-1.3468
8/6/2010,-2.3508,8/9/2010,-0.5979,8/9/2010,-1.4446,8/9/2010,-1.6484,8/9/2010,-2.1018,8/9/2010,-2.1231,8/6/2010,-0.3549,8/6/2010,3.7979,8/9/2010,-0.2409,8/9/2010,-1.087,8/9/2010,1.0146,8/6/2010,-1.9438,8/6/2010,-0.866,8/6/2010,-2.3734,8/6/2010,-1.7719,8/6/2010,0.4622,8/6/2010,-2.3891
8/9/2010,-0.1852,8/10/2010,-0.4511,8/10/2010,0.1629,8/10/2010,0.3142,8/10/2010,0.565,8/10/2010,0.2169,8/9/2010,0.876,8/9/2010,2.8757,8/10/2010,0.0805,8/10/2010,1.4652,8/10/2010,-1.6321,8/9/2010,0.3304,8/9/2010,0.7148,8/9/2010,0,8/9/2010,1.5981,8/9/2010,0.0767,8/9/2010,0.6993
8/10/2010,-3.525,8/11/2010,-3.6254,8/11/2010,-1.7886,8/11/2010,-3.2718,8/11/2010,-2.6966,8/11/2010,-3.4632,8/10/2010,-0.3936,8/10/2010,4.1223,8/11/2010,-3.659,8/11/2010,-3.2491,8/11/2010,-1.2763,8/10/2010,-1.427,8/10/2010,-2.0615,8/10/2010,-2.5932,8/10/2010,-1.6444,8/10/2010,-0.9962,8/10/2010,-4.8611
8/11/2010,-1.9231,8/12/2010,0.1567,8/12/2010,0.3311,8/12/2010,0.6837,8/12/2010,-2.1363,8/12/2010,2.0179,8/11/2010,-0.9819,8/11/2010,5.1603,8/12/2010,-0.2504,8/12/2010,-1.1194,8/12/2010,-0.9696,8/11/2010,-4.0646,8/11/2010,-2.2544,8/11/2010,0.3328,8/11/2010,-2.4231,8/11/2010,-3.9474,8/11/2010,0.7299
8/12/2010,-1.3725,8/13/2010,1.0955,8/13/2010,0,8/13/2010,-0.3217,8/13/2010,0.472,8/13/2010,5.7143,8/12/2010,0.8887,8/12/2010,1.788,8/13/2010,-0.0418,8/13/2010,1.8868,8/13/2010,2.2846,8/12/2010,-1.2768,8/12/2010,-1.1179,8/12/2010,-0.6633,8/12/2010,-2.6571,8/12/2010,-1.1281,8/12/2010,-0.7246
8/13/2010,2.1869,8/16/2010,-0.774,8/16/2010,-0.165,8/16/2010,-0.8605,8/16/2010,-0.5285,8/16/2010,-2.4948,8/13/2010,1.8883,8/13/2010,-1.1028,8/16/2010,-0.3767,8/16/2010,-2.2222,8/16/2010,-1.5316,8/13/2010,0.6467,8/13/2010,-0.0952,8/13/2010,3.005,8/13/2010,0.1148,8/13/2010,-0.978,8/13/2010,0.365
8/16/2010,2.5292,8/17/2010,-0.624,8/17/2010,-0.6612,8/17/2010,-0.1085,8/17/2010,0,8/17/2010,0.4264,8/16/2010,0.5924,8/16/2010,-1.1891,8/17/2010,-0.9664,8/17/2010,0.3788,8/17/2010,-0.4537,8/16/2010,1.3435,8/16/2010,-0.2501,8/16/2010,0.4862,8/16/2010,2.1659,8/16/2010,-1.3169,8/16/2010,-0.3636
8/17/2010,2.277,8/18/2010,2.8257,8/18/2010,0.8319,8/18/2010,2.3534,8/18/2010,-0.1771,8/18/2010,2.5478,8/17/2010,-0.2387,8/17/2010,0.5293,8/18/2010,1.9092,8/18/2010,1.8868,8/18/2010,0.651,8/17/2010,2.3631,8/17/2010,3.081,8/17/2010,-0.9677,8/17/2010,2.3943,8/17/2010,1.4178,8/17/2010,-1.4599
8/18/2010,5.9369,8/19/2010,3.0534,8/19/2010,1.8152,8/19/2010,1.3442,8/19/2010,1.1827,8/19/2010,2.0704,8/18/2010,0.0638,8/18/2010,4.1375,8/19/2010,1.582,8/19/2010,2.5926,8/19/2010,1.2937,8/18/2010,1.1261,8/18/2010,1.1701,8/18/2010,1.6287,8/18/2010,-0.7916,8/18/2010,0.3289,8/18/2010,-2.2222
8/19/2010,0.1751,8/20/2010,-2.3704,8/20/2010,-1.7828,8/20/2010,-1.5707,8/20/2010,-1.9287,8/20/2010,-2.0284,8/19/2010,-0.2153,8/19/2010,-0.7488,8/20/2010,-2.0492,8/20/2010,0.361,8/20/2010,-2.0434,8/19/2010,-3.0624,8/19/2010,-1.8436,8/19/2010,1.9231,8/19/2010,-2.0869,8/19/2010,-2.541,8/19/2010,4.5455
8/20/2010,-1.7483,8/23/2010,-0.607,8/23/2010,-0.8251,8/23/2010,-0.5319,8/23/2010,-2.3242,8/23/2010,-1.0352,8/20/2010,-0.9547,8/20/2010,-2.4124,8/23/2010,-1.3808,8/23/2010,0.7194,8/23/2010,-0.1304,8/20/2010,-2.1252,8/20/2010,-2.0765,8/20/2010,-0.6289,8/20/2010,-1.655,8/20/2010,-1.0093,8/20/2010,1.087
