"","intraday.1","interday.1","security.1","intraday.5","interday.5","security.5"
"2017-12-13",12.5899999999995,0.029728,264.3347,56.2810000000002,3.537674,1317.3825
"2017-12-14",13.6169999999997,1.08013,263.2545,56.4019999999999,3.795319,1318.9581
"2017-12-15",11.4260000000007,2.192553,265.4471,57.1880000000003,4.560911,1321.2993
"2017-12-18",10.3009999999998,1.68326,267.1303,58.4370000000006,5.451415,1324.531
"2017-12-19",12.15,1.025892,266.1044,60.0839999999996,6.011563,1326.271
"2017-12-20",13.6060000000002,0.139442,265.965,61.1000000000004,6.121277,1327.9013
"2017-12-21",9.08400000000074,0.547806,266.5128,56.5670000000014,5.588953,1331.1596
"2017-12-22",8.41400000000056,0.069721,266.4431,53.5550000000013,3.466121,1332.1556
"2017-12-26",8.19600000000065,0.318724,266.1244,51.4500000000022,2.101585,1331.1497
"2017-12-27",7.68700000000064,0.129482,266.2538,46.9870000000028,1.205175,1331.2991
"2017-12-28",5.96400000000068,0.547806,266.8017,39.3450000000033,1.613539,1332.1358
"2017-12-29",9.90899999999965,1.005972,265.7957,40.1700000000022,2.071705,1331.4187
"2018-01-02",9.48799999999977,1.902382,267.6981,41.2440000000014,3.904366,1332.6737
"2018-01-03",8.91000000000031,1.69322,269.3913,41.9580000000011,5.278862,1335.9406
"2018-01-04",10.7200000000003,1.135453,270.5267,44.9910000000007,6.284833,1340.2135
"2018-01-05",9.46699999999976,1.802781,272.3295,48.4939999999998,7.539808,1345.7413
"2018-01-08",8.8520000000002,0.498006,272.8275,47.4370000000004,7.031842,1352.7731
"2018-01-09",11.9420000000008,0.617527,273.4451,49.8910000000014,5.746987,1358.5201
"2018-01-10",14.2719999999997,0.418325,273.0267,55.2530000000007,4.472092,1362.1555
"2018-01-11",10.3100000000005,1.992023,275.0188,54.8430000000009,5.328662,1366.6476
"2018-01-12",12.7619999999995,1.792821,276.8116,58.1380000000007,5.318702,1371.1297
"2018-01-16",24.474,0.946211,275.8654,73.7600000000005,5.766907,1374.1676
"2018-01-17",16.4639999999997,2.629471,278.4948,78.2819999999994,7.778851,1379.2173
"2018-01-18",17.7200000000004,0.468125,278.0267,81.7300000000001,7.828651,1384.2173
"2018-01-19",14.9319999999996,1.264935,279.2916,86.3519999999991,7.101563,1388.4901
"2018-01-22",14.4880000000003,2.270907,281.5625,88.0779999999999,7.579649,1393.241
"2018-01-23",17.9219999999994,0.597607,282.1602,81.5259999999993,7.231045,1399.5358
"2018-01-24",27.214,0.109561,282.0506,92.2759999999996,4.711135,1403.0916
"2018-01-25",24.3680000000006,0.119521,282.1701,98.9239999999999,4.362531,1407.235
"2018-01-26",15.1439999999997,3.266918,285.437,99.136,6.364514,1413.3804
"2018-01-29",22.248,1.892422,283.5446,106.896,5.986029,1415.3625
"2018-01-30",29.0400000000004,2.908354,280.6363,118.014000000001,8.296776,1413.8386
"2018-01-31",25.0950000000002,0.139442,280.7757,115.895000000001,8.326657,1412.5637
"2018-02-01",26.1020000000003,0.318724,280.457,117.629000000001,8.52586,1410.8506
"2018-02-02",32.8580000000002,6.105552,274.3514,135.343000000001,11.364494,1399.765
"2018-02-05",71.5979999999995,11.474055,262.8774,184.693000000001,20.946127,1379.0978
"2018-02-06",106.1,5.179261,268.0566,261.753,23.217034,1366.5181
"2018-02-07",57.8720000000006,1.454177,266.6025,294.530000000001,24.531769,1352.3449
"2018-02-08",79.822,9.999957,256.6025,348.25,34.213002,1328.4904
"2018-02-09",100.752,3.854565,260.4571,416.144,31.962015,1314.5961
"2018-02-12",52.4399999999998,3.824685,264.2817,396.986,24.312645,1316.0004
"2018-02-13",38.6380000000006,0.657368,264.9391,329.524000000001,19.790752,1312.8829
"2018-02-14",41.0179999999999,3.575682,268.5148,312.67,21.912257,1314.7952
"2018-02-15",34.2420000000002,3.42628,271.9411,267.09,15.33858,1330.1338
"2018-02-16",37.4020000000007,0.079681,272.0208,203.740000000001,11.563696,1341.6975
"2018-02-20",32.9919999999995,1.70318,270.3176,184.292000000001,9.442191,1347.7334
"2018-02-21",36.7379999999995,1.344616,268.973,182.392,10.129439,1351.7673
"2018-02-22",40.3439999999999,0.348604,269.3216,181.718,6.902361,1352.5741
"2018-02-23",26.6439999999998,4.29281,273.6144,174.12,7.768891,1354.2474
"2018-02-26",21.6860000000003,3.177277,276.7917,158.403999999999,10.866487,1359.0183
"2018-02-27",37.6700000000008,3.456161,273.3355,163.082,12.619468,1362.0362
"2018-02-28",36.4099999999995,2.768913,270.5666,162.754,14.043765,1363.6298
"2018-03-01",69.2479999999993,3.934246,266.6323,191.658,17.629407,1360.9405
"2018-03-02",52.7739999999995,1.374496,268.0068,217.787999999999,14.711093,1355.3329
"2018-03-05",36.4600000000003,3.097596,271.1044,232.561999999999,14.631412,1349.6456
"2018-03-06",33.6839999999996,0.687248,271.7917,228.575999999998,11.862499,1348.1018
"2018-03-07",34.9159999999998,0.099601,271.6921,227.081999999999,9.193187,1349.2273
"2018-03-08",27.6560000000009,1.314735,273.0068,185.49,6.573676,1355.6018
"2018-03-09",19.6840000000002,4.750976,277.7578,152.400000000001,9.950156,1365.3528
"2018-03-12",23.2660000000001,0.348604,277.4092,139.206000000001,7.201164,1371.6576
"2018-03-13",32.8899999999983,1.792821,275.6164,138.411999999999,8.306737,1375.4823
"2018-03-14",35.4280000000002,1.414337,274.202,138.924,9.621473,1377.9922
"2018-03-15",24.7419999999995,0.298804,273.9032,136.009999999998,8.605542,1378.8886
"2018-03-16",19.3179999999998,0.296782,274.2,135.643999999998,4.151348,1375.3308
"2018-03-19",33.6200000000003,3.71,270.49,145.997999999998,7.512744,1368.4116
"2018-03-20",25.3100000000002,0.46,270.95,138.418,6.179923,1363.7452
"2018-03-21",30.4540000000005,0.52,270.43,133.444,5.285586,1359.9732
"2018-03-22",46.5159999999997,6.76,263.67,155.218,11.746782,1349.74
"2018-03-23",53.8140000000002,5.62,258.05,189.714000000001,17.07,1333.59
"2018-03-26",40.7299999999992,7.06,265.11,196.824,20.42,1328.21
"2018-03-27",52.5059999999999,4.51,260.6,224.02,24.47,1317.86
"2018-03-28",69.3580000000008,0.77,259.83,262.924,24.72,1307.26
