Date,1171 HK equity,386 HK equity,857 HK equity,883 HK equity,005490 KS equity,2600 HK equity,5406 jp equity,6502 JP equity,1138 HK equity,6305 jp equity,6752 jp equity,105560 KS equity,2628 HK equity,8306 JP equity,8316 JP equity,8591 JP equity,8604 JP equity,055550 KS equity,2601 HK equity,1336 HK equity,8411 jp equity,8630 jp equity,8766 jp equity,2409 TT equity,FENG equity,IBM equity,762 HK equity,9984 jp equity,015760 KS equity,902 HK equity,8801 jp equity,esm7 index,nhm7 index
4/25/2016,0.9167,-0.7265,0.1902,-0.5837,-4.4409,-1.1249,-1.2546,-0.3113,0.7311,-0.0353,1.1464,1.6465,-1.4779,0.7761,-0.0711,-0.2771,-0.0795,-1.0767,-2.9198,-1.4811,1.2081,1.4418,2.3015,-1.5006,-0.7177,0.2088,-1.2638,0.4414,0.4823,-4.9096,1.0375,-0.13,-1.24
4/26/2016,-0.4433,1.864,0.1834,-0.8931,-1.3788,0.0052,-2.6194,-1.8079,-1.4235,-2.5666,-1.5193,-2.1007,0.5451,-3.6977,-2.7812,-1.2164,-2.318,-0.8534,1.0709,-0.5631,-2.2194,-2.4544,-1.7962,-2.1074,-1.4458,0.1814,0.7587,-0.4608,3.2894,-3.6678,-2.6187,0.27,0.03
4/27/2016,-1.3603,0.3559,3.3715,0.1924,-1.0506,3.0558,0.0719,1.0647,0.5344,-1.6754,-0.5548,-0.553,-0.546,-1.3376,-1.4213,-0.3809,-0.3399,1.6067,-0.7119,-1.1518,0.2955,-1.3821,-0.9232,0.314,-1.7115,0.9324,0.2046,-1.1079,1.0462,0.6842,-1.5951,0.1,0.13
4/28/2016,-0.463,1.8116,1.8867,-0.6094,2.3811,-0.7499,-5.9655,-1.1698,1.6151,-2.1827,-0.9539,-0.0545,-0.5464,-3.3711,-3.4271,-1.2126,-7.5829,0.1339,0.1705,-0.9698,-3.9019,-3.1696,-2.3917,-0.0045,-0.2488,-2.2596,-1.4989,-0.8197,-0.3805,-4.4812,-2.2109,-0.88,-4.45
5/9/2016,-1.9159,0.3481,-0.2251,0.4106,-5.9304,-2.054,-1.6235,-0.2947,-4.9424,-2.0101,-1.8902,-1.1153,-0.2741,-1.0045,-1.0799,0.1546,-1.0917,-2.5687,-0.4337,-0.0386,-1.2559,-3.099,-2.3342,1.525,-6.4103,0.0339,0.3029,-0.3159,1.1259,-0.5839,0.8913,0.07,-0.42
5/10/2016,-3.5761,0.0129,0.1998,-0.099,0.5157,-0.3987,1.188,0.5716,2.1957,-3.1448,2.7311,1.1167,0.3671,1.805,1.687,2.5021,2.2929,2.1676,1.0051,0.0129,2.0348,2.2251,3.091,-0.8877,1.9178,1.785,0.3534,2.594,-1.0849,-0.7185,1.4534,1.13,2.3
5/11/2016,-0.4732,-0.9404,-0.7232,0.2472,1.3851,0.4365,0.7003,0.8373,-0.5595,0.2352,1.0387,0.8105,-1.5066,0.3441,-0.1693,-2.7602,-0.5904,-0.5911,1.0057,0.434,0.7003,0.2977,0.2935,-1.3721,-0.5376,-0.6801,-0.2031,2.5826,-0.3164,0.2074,0.7003,-0.95,-1.41
5/12/2016,-0.2314,-0.1765,0.7701,1.1356,-0.8228,-0.8052,0.5818,0.5071,1.5808,-0.9724,-0.6553,-1.6186,-1.0574,0.2144,0.5329,0.0565,0.7013,-1.5878,-1.1495,0.2226,0.3262,-0.1513,-1.095,1.5684,0,-0.0739,0.2448,-1.0637,-0.911,0.018,-2.0192,0.05,0.85
5/13/2016,-3.0637,-0.8449,-1.3708,-1.8325,-3.6648,-2.139,-2.8413,1.5102,-2.564,-2.9626,-3.5174,-0.8783,-0.7898,-2.1238,-1.7731,-2.9239,-3.2812,0.3053,-0.2624,-0.8815,-1.6643,-1.5645,-1.3437,-2.2188,-3.5135,-0.7525,0.3865,-3.6403,0.0718,-2.4538,-1.9213,-0.76,-1.38
5/16/2016,2.075,0.2094,0.0129,0.8004,2.2298,3.8269,0.9073,-1.8593,-0.1844,1.9521,1.5174,-0.4384,0.0129,-0.3721,-0.3644,-0.0918,1.5059,0.1389,0.6047,0.4245,-0.8224,1.5353,1.1502,0.1563,4.4818,1.1779,0.2381,-0.3827,-1.779,-1.3056,-0.2247,0.94,1.26
5/17/2016,1.7782,2.1674,2.468,3.024,-2.266,-0.8061,2.9042,0.6557,-0.385,1.7035,1.6697,1.0549,2.2003,1.2616,1.2424,0.8648,2.6164,0.1472,1.1869,1.035,0.7333,0.754,0.4812,-0.1876,3.2172,-0.9768,0.1527,1.7728,0.3133,0.392,2.2564,-0.93,-0.4
5/18/2016,-1.5053,-1.1682,-2.2304,-0.6667,-0.3042,-2.8969,-1.5843,-0.7621,-0.6119,-0.8591,0.7521,-2.5188,-0.969,3.5897,2.771,-0.8576,-0.8433,-1.7851,-0.9856,-1.4364,2.034,0.5558,0.0453,-1.7455,3.6364,-0.4459,-2.1978,0.7458,-1.365,-1.7275,0.7945,-0.1,0.34
5/19/2016,-1.8189,-0.8329,-1.7538,-1.4735,-0.1656,-1.3271,-1.9953,-0.502,-1.0541,-0.4609,0.1425,2.5654,-1.1378,0.7632,0.0324,-0.2853,0.5508,3.1284,-0.6434,-0.2623,-0.0546,1.447,0.2956,-0.4308,-0.7519,-1.6357,-1.9335,-0.3374,1.1611,-0.0566,-1.4476,-0.15,-0.78
5/20/2016,-0.2577,0.9772,0.5745,0.3306,-0.2134,-0.4305,1.3341,0.126,-0.4045,-3.4726,-0.5615,-0.3152,0.7277,-0.0146,-1.1809,0.7785,-0.8045,-2.5553,1.1798,1.8544,0.6631,1.7566,0.2472,1.8605,0.7576,1.6008,1.4341,1.2235,-1.2014,0.7724,0.0687,0.57,0.12
5/23/2016,0.0142,-1.1488,-0.7493,-0.2064,2.3608,-1.7102,0.0524,3.4227,-0.5932,1.8823,0.7508,-1.0512,-0.4684,1.526,1.6813,0.2103,2.7527,0.141,-0.375,-0.3908,0.5601,-0.2612,0.5491,6.3029,0,-0.326,-0.4576,1.4636,-0.1923,-0.1778,-0.2914,-0.25,-0.27
5/24/2016,-1.5589,-0.6049,-1.3627,-2.1158,-1.4602,-0.4553,-4.4719,-4.0835,-2.2567,-1.4605,-2.3177,-0.7091,-0.1379,-2.169,-1.5521,-0.9974,-1.2257,-1.2672,-1.1884,-1.0328,-1.684,-1.8466,-3.3125,-2.0926,-3.2581,1.0493,-2.7414,-1.7404,-0.758,-0.7858,-2.0984,1.48,0.97
