,992 HK Equity,,2018 HK Equity,,2038 HK Equity,,981 HK Equity,,3888 HK Equity,,696 HK Equity,,285 HK Equity,,2369 HK Equity,,354 HK Equity,,268 HK Equity,,1900 HK Equity,,161 HK Equity,,74 HK Equity,,1075 HK Equity,,877 HK Equity
5/19/2008,0.84743,5/19/2008,1.01665,5/19/2008,1.42819,5/19/2008,0.07179,5/19/2008,0.48974,5/19/2008,0.57435,5/19/2008,0.98717,5/19/2008,0.08333,5/19/2008,0.19231,5/19/2008,0.21795,7/28/2010,0.49956,5/19/2008,0.8205,5/19/2008,0.21538,5/19/2008,0.04615,5/12/2010,0.46131
5/20/2008,0.82567,5/20/2008,0.99106,5/20/2008,1.40005,5/20/2008,0.06795,5/20/2008,0.47694,5/20/2008,0.57438,5/20/2008,0.99363,5/20/2008,0.08334,5/20/2008,0.19103,5/20/2008,0.21475,7/29/2010,0.50221,5/20/2008,0.85773,5/20/2008,0.21796,5/20/2008,0.04551,5/13/2010,0.46519
5/21/2008,0.85122,5/21/2008,0.95634,5/21/2008,1.35118,5/21/2008,0.06794,5/21/2008,0.4974,5/21/2008,0.57431,5/21/2008,0.9948,5/21/2008,0.08333,5/21/2008,0.18717,5/21/2008,0.21473,7/30/2010,0.5021,5/21/2008,0.8525,5/21/2008,0.21409,5/21/2008,0.04359,5/14/2010,0.46377
5/22/2008,0.82692,5/22/2008,0.94231,5/22/2008,1.36154,5/22/2008,0.06923,5/22/2008,0.49744,5/22/2008,0.57436,5/22/2008,0.96026,5/22/2008,0.08333,5/22/2008,0.18205,5/22/2008,0.21261,8/2/2010,0.49586,5/22/2008,0.85897,5/22/2008,0.21538,5/22/2008,0.04487,5/17/2010,0.44094
5/23/2008,0.77036,5/23/2008,0.92418,5/23/2008,1.37666,5/23/2008,0.06922,5/23/2008,0.49093,5/23/2008,0.57425,5/23/2008,0.90239,5/23/2008,0.09101,5/23/2008,0.18586,5/23/2008,0.21363,8/3/2010,0.47806,5/23/2008,0.82805,5/23/2008,0.21663,5/23/2008,0.04422,5/18/2010,0.43736
5/26/2008,0.77397,5/26/2008,0.88417,5/26/2008,1.32754,5/26/2008,0.0692,5/26/2008,0.49975,5/26/2008,0.54503,5/26/2008,0.89058,5/26/2008,0.0897,5/26/2008,0.1794,5/26/2008,0.21891,8/4/2010,0.48817,5/26/2008,0.85983,5/26/2008,0.21528,5/26/2008,0.04421,5/19/2010,0.39358
5/27/2008,0.78397,5/27/2008,0.90311,5/27/2008,1.34505,5/27/2008,0.07302,5/27/2008,0.51112,5/27/2008,0.51411,5/27/2008,0.87749,5/27/2008,0.08583,5/27/2008,0.17934,5/27/2008,0.21137,8/5/2010,0.48686,5/27/2008,0.90695,5/27/2008,0.20752,5/27/2008,0.04548,5/20/2010,0.40498
5/28/2008,0.78663,5/28/2008,0.90963,5/28/2008,1.33241,5/28/2008,0.06918,5/28/2008,0.53168,5/28/2008,0.52869,5/28/2008,0.88528,5/28/2008,0.08584,5/28/2008,0.17936,5/28/2008,0.2146,8/6/2010,0.47922,5/28/2008,0.93525,5/28/2008,0.20883,5/28/2008,0.0442,5/24/2010,0.3948
5/29/2008,0.74833,5/29/2008,0.89313,5/29/2008,1.35315,5/29/2008,0.0692,5/29/2008,0.51896,5/29/2008,0.55698,5/29/2008,0.8816,5/29/2008,0.09354,5/29/2008,0.1794,5/29/2008,0.22104,8/9/2010,0.48185,5/29/2008,0.93542,5/29/2008,0.21784,5/29/2008,0.04421,5/25/2010,0.37815
5/30/2008,0.73423,5/30/2008,0.90593,5/30/2008,1.36082,5/30/2008,0.06151,5/30/2008,0.48436,5/30/2008,0.52964,5/30/2008,0.88928,5/30/2008,0.09098,5/30/2008,0.17683,5/30/2008,0.22104,8/10/2010,0.47144,5/30/2008,0.94822,5/30/2008,0.21527,5/30/2008,0.04357,5/26/2010,0.39241
6/2/2008,0.75345,6/2/2008,0.9085,6/2/2008,1.37364,6/2/2008,0.06535,6/2/2008,0.51127,6/2/2008,0.55953,6/2/2008,0.89056,6/2/2008,0.10251,6/2/2008,0.17939,6/2/2008,0.22851,8/11/2010,0.46996,6/2/2008,0.90465,6/2/2008,0.21399,6/2/2008,0.04485,5/27/2010,0.40054
6/3/2008,0.74696,6/3/2008,0.89045,6/3/2008,1.35042,6/3/2008,0.06662,6/3/2008,0.49968,6/3/2008,0.55435,6/3/2008,0.8802,6/3/2008,0.09481,6/3/2008,0.17297,6/3/2008,0.22422,8/12/2010,0.47375,6/3/2008,0.89174,6/3/2008,0.21012,6/3/2008,0.0442,5/28/2010,0.40455
6/4/2008,0.76338,6/4/2008,0.90555,6/4/2008,1.34488,6/4/2008,0.0666,6/4/2008,0.49056,6/4/2008,0.54393,6/4/2008,0.89018,6/4/2008,0.0935,6/4/2008,0.16651,6/4/2008,0.22308,8/13/2010,0.46703,6/4/2008,0.89274,6/4/2008,0.20621,6/4/2008,0.04355,5/31/2010,0.40712
6/5/2008,0.74542,6/5/2008,0.90039,6/5/2008,1.33202,6/5/2008,0.06916,6/5/2008,0.47517,6/5/2008,0.54647,6/5/2008,0.88118,6/5/2008,0.09222,6/5/2008,0.1601,6/5/2008,0.222,8/16/2010,0.46063,6/5/2008,0.86837,6/5/2008,0.20621,6/5/2008,0.04355,6/1/2010,0.39792
6/6/2008,0.75683,6/6/2008,0.96941,6/6/2008,1.32157,6/6/2008,0.06787,6/6/2008,0.4687,6/6/2008,0.54639,6/6/2008,0.87208,6/6/2008,0.09092,6/6/2008,0.15495,6/6/2008,0.20169,8/17/2010,0.46976,6/6/2008,0.8708,6/6/2008,0.20874,6/6/2008,0.04354,6/2/2010,0.39777
6/10/2008,0.71448,6/10/2008,0.93215,6/10/2008,1.30347,6/10/2008,0.06402,6/10/2008,0.45071,6/10/2008,0.52924,6/10/2008,0.85404,6/10/2008,0.08451,6/10/2008,0.15621,6/10/2008,0.18993,8/18/2010,0.46981,6/10/2008,0.80027,6/10/2008,0.20359,6/10/2008,0.04225,6/3/2010,0.41972
