,p.zoo,c.zoo,m.zoo,s.zoo
11/19/2010,0.078756422,0.037127433,0.024774906,-0.283151
11/22/2010,0.078457361,-0.49171691,0.668490412,0.236519783
11/24/2010,-1.099743214,0.777509515,-0.687910118,-1.38200874
11/25/2010,0.58745915,0.090011868,0.338969379,0.155684286
11/26/2010,-0.796296006,1.024303542,-0.350725806,0.708783037
11/29/2010,0.716105215,0.301549605,0.614847453,0.182138826
11/30/2010,-0.796296006,-1.232098991,-1.477227941,0.185062956
12/1/2010,0.906557216,1.024303542,0.346632659,0.141286056
12/2/2010,1.511756954,-0.809023516,1.342859038,1.722370023
12/3/2010,-0.227083274,-2.748119443,0.032438186,0.603736795
12/6/2010,-0.106511855,0.248665171,-0.128490691,-0.42795101
12/7/2010,-0.835074247,1.729429333,-0.243439888,0.611397098
12/8/2010,0.385941893,1.13007241,0.645500573,-0.153521137
12/9/2010,0.565727386,-0.615113924,0.354295939,-0.445149078
12/10/2010,-0.710415661,0.372062184,-0.59595076,-0.54859915
12/13/2010,-0.474506391,-1.214470847,0.568867774,0.048917584
12/14/2010,0.077659866,0.530715488,0.124397544,0.653747912
12/15/2010,-0.107458881,1.182956845,-0.097837571,-0.187694856
12/16/2010,-0.107558568,-0.720882792,-0.036531333,-0.51855323
12/17/2010,-0.787025116,0.107640013,-0.097837571,-0.160828191
12/20/2010,-0.422021189,-0.474088765,-0.695573398,-0.001885076
12/21/2010,0.396359184,-0.068641435,1.112960643,0.081979217
12/22/2010,-0.108455751,-0.403576186,-0.220450049,0.153218074
12/24/2010,-0.672833665,-0.103897725,-0.542307802,-0.278918535
12/28/2010,-0.675973805,-0.950048675,-0.511654682,-0.335922705
12/29/2010,0.209446071,-1.655174466,0.338969379,0.958740497
12/30/2010,-0.807809854,-0.227294738,-0.902481954,0.601551875
1/4/2011,2.0820164,0.618856211,1.22024656,1.66995811
1/5/2011,0.448894229,2.557952138,-0.17447037,-0.413068696
1/6/2011,0.627732696,0.142896302,1.059317684,0.123113279
1/7/2011,2.129118504,-0.421204331,0.040101466,-0.011547133
1/11/2011,-0.393211648,1.094816121,-0.266429728,-1.002035458
1/12/2011,-0.162436258,-0.544601345,-0.028868053,-0.1720995
1/13/2011,0.246330258,-0.438832476,0.515224816,0.861910601
1/14/2011,-0.742963465,0.090011868,-0.703236678,-0.405794351
1/17/2011,-0.576087438,-0.438832476,-0.013541493,-0.325312105
1/18/2011,0.370988844,-0.297807318,0.070754585,0.388816554
1/19/2011,0.249420555,-1.179214557,0.231683462,-0.315519216
1/20/2011,-0.867771581,2.099620374,-0.910145234,-1.634792204
1/21/2011,-0.702490545,-0.96767682,-1.239666266,-0.530472164
1/24/2011,0.317108024,-0.12152587,0.484571696,1.154029166
1/25/2011,0.914980767,-0.632742069,0.837082569,0.492704919
1/26/2011,-0.693917464,-0.209666594,-0.503991402,0.796958294
1/27/2011,0.431698223,1.57077603,0.522888095,-1.704369476
1/28/2011,0.308883847,-1.725687045,-0.910145234,-1.056645374
1/31/2011,-1.161299933,-0.209666594,-0.948461633,-0.873648515
2/1/2011,0.374527732,-1.514149308,0.231683462,-0.079076859
2/2/2011,1.50243622,0.407318474,1.319869198,1.042284247
2/7/2011,-0.045852319,0.28392146,0.30831626,-0.419008538
2/8/2011,0.184125575,0.037127433,0.269999861,0.167433138
2/9/2011,1.213094721,-0.033385146,-0.17447037,-0.404374808
2/10/2011,-1.441270854,1.835198202,-0.128490691,-0.07420331
2/14/2011,0.643234023,-0.262551028,0.821756009,-0.127609557
2/15/2011,0.124064161,0.918534673,0.109070984,0.206912155
2/16/2011,-0.4974344,-0.227294738,0.392612338,-0.497803031
2/17/2011,0.523809005,-0.809023516,0.155050663,0.844234991
2/18/2011,-0.045852319,-0.315435462,0.001785067,0.273624172
2/21/2011,-0.49643753,-0.12152587,0.063091305,-0.100337308
2/22/2011,-1.06889009,-0.826651661,-1.408258423,-2.440537043
2/23/2011,-1.090322794,-0.579857634,-0.657256999,-0.275183238
2/24/2011,-0.579277422,-1.355496005,-0.956124913,-0.121964091
2/25/2011,0.313618979,-0.49171691,0.499898256,-1.199535215
2/28/2011,-0.224292038,0.178152592,0.660827132,0.084229554
3/1/2011,1.267374289,0.142896302,0.890725527,0.021436001
3/2/2011,-0.860095682,-0.015757001,-1.906371612,0.703974905
3/3/2011,-0.223245324,1.218213134,0.637837293,-0.360807242
3/4/2011,0.60684827,-0.315435462,0.737459931,-3.313870485
3/7/2011,-1.334406397,-0.209666594,-1.392931863,-4.701157284
3/8/2011,-0.647114421,0.883278383,0.101407705,3.05026494
3/9/2011,-0.350146867,0.107640013,0.423265458,-1.067923225
3/10/2011,0.076613152,0.477831053,-1.163033468,-0.149131673
3/11/2011,-1.145350014,-2.448440982,-1.362278744,1.706185915
3/14/2011,-4.792847262,-0.49171691,-4.78010155,-2.088863055
3/15/2011,-1.702699995,-1.990109217,-8.128954837,-1.838990637
3/16/2011,3.024756297,-2.501325416,4.308548333,0.534015607
3/17/2011,-0.58396271,-1.584661887,-1.147706908,-0.163451403
3/18/2011,-0.589844243,3.739037839,2.040217502,-0.873334514
3/22/2011,-0.114586501,-0.156782159,3.296995395,0.721886015
3/23/2011,-1.491612786,-0.139154014,-1.308635785,-0.756938464
3/24/2011,-2.314678447,0.072383723,-0.15914381,0.177036319
3/25/2011,0.696965312,0.777509515,0.77577633,-0.688826529
3/28/2011,1.710732193,0.72462508,-0.503991402,0.452918443
3/29/2011,-0.116530398,1.676544899,-0.205123489,0.962044043
3/30/2011,1.865745468,0.848022094,1.978911264,0.932514916
3/31/2011,0.431449005,0.477831053,0.32364282,-0.336400247
4/1/2011,-0.653693762,1.940967071,-0.412032044,-0.406311144
4/4/2011,0.090868392,-0.033385146,0.040101466,1.047576464
4/6/2011,-0.254995632,1.253469424,-0.289419567,1.224797023
4/7/2011,0.51418921,-1.232098991,0.009448347,0.406518331
4/8/2011,-0.461198178,-0.350691752,1.373512157,-0.717151988
4/11/2011,-1.232625977,-0.368319897,-0.427358604,-0.106506109
4/12/2011,-0.117377737,-2.166390665,-1.339288904,0.657090709
4/13/2011,1.386450403,0.513087343,0.645500573,1.017262335
4/14/2011,0.719893321,-0.756139082,0.055428026,1.02555064
4/15/2011,-0.320091238,-0.809023516,-0.542307802,-1.422410133
4/18/2011,-0.597370611,-1.038189399,-0.320072686,-0.77490845
4/19/2011,-0.464138944,-0.174410304,-0.971451472,1.097888498
4/20/2011,0.938357367,-0.103897725,1.304542638,0.663403427
4/21/2011,1.539768999,-1.549405598,0.584194334,1.670402944
4/26/2011,0.085485294,-0.632742069,-0.940798353,-1.234762142
4/27/2011,1.067601554,1.288725713,1.021001285,-0.516257101
4/28/2011,-0.302097736,-1.355496005,1.204920001,1.299221677
5/6/2011,-1.174408773,1.20058499,-1.155370188,-0.772285237
5/9/2011,-0.687338122,-0.615113924,-0.549971081,0.591373027
5/11/2011,0.926394928,0.336805895,0.30831626,-0.127367515
5/12/2011,0.653501783,-0.280179173,-1.193686587,-0.929030348
5/13/2011,1.709635636,-0.333063607,-0.580624201,-0.422207418
5/16/2011,-1.257099134,-0.051013291,-0.764542917,-0.634118487
5/17/2011,0.326578288,1.341610148,0.024774906,0.539739574
5/18/2011,0.138967366,0.530715488,0.714470091,1.857534143
5/19/2011,-0.536910449,-0.192038449,-0.373715645,-1.106035032
5/20/2011,-1.595735851,0.160524447,-0.15148053,-0.139103283
5/23/2011,0.210094036,0.636484356,-1.209013147,-0.167834327
5/24/2011,-0.17315261,-0.156782159,0.086081145,0.039595695
5/25/2011,0.592343813,0.001871144,-0.481001563,-1.612347712
5/26/2011,0.521266986,-1.496521163,1.089970803,0.316217028
5/27/2011,-0.295069803,-1.091073833,-0.366052365,-0.125915263
5/30/2011,-0.171109027,0.266293316,-0.182133649,0.322575538
5/31/2011,1.20965552,1.235841279,1.480798075,-0.677417844
6/1/2011,-0.474506391,-1.267355281,0.162713943,-0.677967345
6/2/2011,-1.651710097,-0.139154014,-1.339288904,0.113974557
6/3/2011,-0.556399257,-1.249727136,-0.549971081,-1.108972245
6/7/2011,0.928936946,-0.051013291,0.469245137,-0.418092704
6/8/2011,-0.300801805,-0.474088765,0.009448347,0.054837801
6/9/2011,-0.045852319,1.006675397,0.101407705,-0.797948234
6/10/2011,0.915130298,-0.12152587,0.338969379,-0.531172124
6/13/2011,-0.611526164,-0.209666594,-0.580624201,-0.766149144
6/14/2011,1.225655282,0.513087343,0.76044977,1.030803605
6/15/2011,0.326129697,0.989047252,0.170377223,0.907643461
6/16/2011,-1.03041091,-0.756139082,-1.346952184,-0.85017698
6/17/2011,0.330814985,-1.302611571,-0.534644522,-0.280553954
6/20/2011,-0.357374174,0.407318474,-0.021204773,0.585851852
6/21/2011,1.521576123,-0.12152587,0.821756009,0.009477816
6/22/2011,0.440420835,0.142896302,1.327532478,0.649678989
6/23/2011,0.616318535,0.442574764,-0.304746127,-0.674689965
6/24/2011,0.251165078,-0.209666594,0.607184174,0.908820964
6/27/2011,0.013212224,0.971419107,-0.841175715,1.19836865
6/28/2011,-1.225598044,0.460202908,0.522888095,-0.580862699
6/29/2011,1.283324208,-0.773767227,1.135950482,1.311363028
6/30/2011,-0.340078481,-0.509345055,0.101407705,0.022489211
7/4/2011,0.481890624,-0.103897725,0.706806811,1.598594961
7/5/2011,-0.10387015,0.548343632,0.009448347,0.426516236
7/6/2011,1.057931916,-0.385948042,0.798766169,-0.546669356
7/7/2011,-0.841553901,0.706996935,-0.128490691,-0.281836123
7/8/2011,0.358428283,-1.355496005,0.461581857,0.95512295
7/11/2011,0.011417858,-0.861907951,-0.557634361,0.017556787
7/12/2011,-1.133138357,-2.272159534,-1.140043629,-1.175978638
7/13/2011,-0.747897971,-0.615113924,0.239346742,0.471581846
7/14/2011,0.310179778,0.31917775,-0.251103168,0.048021374
7/15/2011,0.071977707,-0.051013291,0.254673301,0.087748976
7/19/2011,-0.809953124,0.28392146,-0.695573398,0.183564912
7/20/2011,0.133235364,-0.93242053,0.852409128,-0.527724661
7/21/2011,0.489466836,-1.108701978,-0.013541493,-0.870364593
7/22/2011,0.778010838,0.513087343,0.890725527,-0.699162377
7/25/2011,-0.624734691,-0.597485779,-0.664920279,0.672849607
7/26/2011,0.715556937,-0.950048675,0.31597954,-0.267522935
7/27/2011,-0.968904036,0.195780737,-0.427358604,-0.770806819
7/28/2011,-1.103830381,-0.738510937,-1.155370188,0.013618697
7/29/2011,-0.526293784,-2.095878086,-0.572960921,-1.900698271
8/1/2011,0.621153354,1.006675397,0.982684885,-1.311417508
8/2/2011,-0.82370993,-0.174410304,-0.971451472,-1.361899626
8/3/2011,-1.443912559,-0.244922883,-1.661146657,-1.691763665
8/4/2011,-0.29601683,4.144485169,0.132060824,-1.220259246
8/5/2011,-1.554365748,-1.126330123,-2.89493471,-2.088980806
8/8/2011,-1.406978528,-1.443636729,-1.714789616,-0.408646522
8/9/2011,-1.04536396,-1.866712204,-1.331625624,-1.592814265
8/10/2011,0.090170583,-0.262551028,0.76044977,-1.669181797
8/11/2011,-1.809016173,-0.08626958,-0.526981242,-1.901483273
8/12/2011,-1.17067051,-0.333063607,-0.197460209,-3.578913051
8/15/2011,1.608403494,0.248665171,1.005674725,-1.154561188
8/16/2011,0.232623297,-0.103897725,0.132060824,1.031294232
8/17/2011,-0.807361263,-0.49171691,-0.465675003,-1.19007595
8/18/2011,-1.873663188,-0.08626958,-1.002104592,-0.156445267
8/19/2011,-2.23517807,-0.103897725,-1.967677851,-0.719075241
8/22/2011,-2.106781223,0.513087343,-0.841175715,-2.727533476
8/23/2011,1.46694765,-0.333063607,0.890725527,1.882032722
8/24/2011,-1.2822701,0.706996935,-0.864165555,-1.187668614
8/25/2011,3.440799964,1.059559831,1.135950482,1.888594023
8/26/2011,0.028215117,-1.901968493,0.178040503,-1.355096283
8/29/2011,-0.045852319,0.407318474,0.423265458,-1.27392716
8/30/2011,0.323886739,-0.244922883,0.844745848,-1.68390057
