,4063 JP Equity,,5401 JP Equity,,5411 JP Equity,,6988 JP Equity,,8015 JP Equity,,3407 JP Equity,,5201 JP Equity,,4188 JP Equity,,5713 JP Equity,,4005 JP Equity,,3405 JP Equity,,4185 JP Equity,,5486 JP Equity,,5711 JP Equity,,3861 JP Equity,,5406 JP Equity,,5233 JP Equity,,4182 JP Equity,,4613 JP Equity,,5901 JP Equity,,4217 JP Equity,,4612 JP Equity,,4202 JP Equity,,5714 JP Equity,,4088 JP Equity,,4091 JP Equity,,4205 JP Equity,,4183 JP Equity,,4021 JP Equity,,4272 JP Equity,,4118 JP Equity,,5471 JP Equity,,4631 JP Equity,,5463 JP Equity,,1911 JP Equity,,4042 JP Equity,,5631 JP Equity,,5444 JP Equity,,3401 JP Equity,,4114 JP Equity,,4004 JP Equity,,4208 JP Equity,,8012 JP Equity,,4061 JP Equity,,3863 JP Equity,,4634 JP Equity,,7947 JP Equity,,7966 JP Equity,,5232 JP Equity,,3941 JP Equity,,4206 JP Equity,,5706 JP Equity,,5803 JP Equity,,4095 JP Equity,,4043 JP Equity,,4045 JP Equity,,4401 JP Equity,,4403 JP Equity,,4201 JP Equity,,4186 JP Equity,,4203 JP Equity
12/22/2009,55.6161,12/22/2009,3.9477,12/22/2009,38.0589,12/22/2009,35.8779,12/22/2009,14.4929,12/22/2009,5.0709,12/22/2009,9.4111,12/22/2009,4.0567,12/22/2009,15.0055,12/22/2009,4.1549,12/22/2009,12.072,12/22/2009,20.1745,12/22/2009,9.8146,12/22/2009,2.4318,12/22/2009,4.0894,12/22/2009,1.8321,12/22/2009,1.1996,12/22/2009,4.8746,12/22/2009,8.6587,12/22/2009,15.0927,12/22/2009,20.7634,12/22/2009,6.3904,12/22/2009,5.867,12/22/2009,5.4635,12/22/2009,11.952,12/22/2009,10.8833,12/22/2009,4.5911,12/22/2009,2.6936,12/22/2009,14.5693,12/22/2009,8.7895,12/22/2009,6.4558,12/22/2009,3.6532,12/22/2009,1.7012,12/22/2009,20.1745,12/22/2009,7.9717,12/22/2009,2.8353,12/22/2009,12.7263,12/22/2009,32.9335,12/22/2009,3.3479,12/22/2009,8.7568,12/22/2009,1.9629,12/22/2009,2.7263,12/22/2009,11.7666,12/22/2009,4.7764,,,12/22/2009,3.9804,12/22/2009,44.3839,12/22/2009,19.7819,12/22/2009,1.5703,12/22/2009,5.8888,12/22/2009,10.4907,12/22/2009,2.6172,12/22/2009,5.0927,12/22/2009,12.4209,12/22/2009,5.75791,12/22/2009,3.8277,12/22/2009,9.16031,12/22/2009,4.24209,12/22/2009,7.47001,12/22/2009,18.78953,12/22/2009,5.04907
12/24/2009,57.6168,12/24/2009,4.0594,12/24/2009,39.9389,12/24/2009,37.5382,12/24/2009,14.8516,12/24/2009,5.1069,12/24/2009,9.6355,12/24/2009,4.1685,12/24/2009,15.1899,12/24/2009,4.2776,12/24/2009,12.1563,12/24/2009,21.0279,12/24/2009,10.0611,12/24/2009,2.4553,12/24/2009,4.1358,12/24/2009,1.8769,12/24/2009,1.1894,12/24/2009,5.096,12/24/2009,8.6643,12/24/2009,15.3754,12/24/2009,21.0498,12/24/2009,6.34,12/24/2009,5.9799,12/24/2009,5.5871,12/24/2009,12.0253,12/24/2009,11.1414,12/24/2009,4.6923,12/24/2009,2.7062,12/24/2009,14.8079,12/24/2009,9.1663,12/24/2009,6.6347,12/24/2009,3.8411,12/24/2009,1.746,12/24/2009,20.2532,12/24/2009,8.0969,12/24/2009,2.859,12/24/2009,13.0402,12/24/2009,33.828,12/24/2009,3.3392,12/24/2009,8.8826,12/24/2009,1.9751,12/24/2009,2.8154,12/24/2009,11.7634,12/24/2009,4.7687,,,12/24/2009,3.983,12/24/2009,43.6491,12/24/2009,20.0677,12/24/2009,1.5495,12/24/2009,5.9254,12/24/2009,10.4103,12/24/2009,2.6626,12/24/2009,5.1397,12/24/2009,12.3854,12/24/2009,5.85989,12/24/2009,3.88477,12/24/2009,9.12265,12/24/2009,4.29943,12/24/2009,7.75862,12/24/2009,18.98734,12/24/2009,5.15059
12/25/2009,57.5618,12/25/2009,4.0381,12/25/2009,39.8337,12/25/2009,37.2073,12/25/2009,14.7735,12/25/2009,5.0668,12/25/2009,9.6301,12/25/2009,4.2241,12/25/2009,15.2331,12/25/2009,4.3226,12/25/2009,12.0595,12/25/2009,20.8908,12/25/2009,9.9803,12/25/2009,2.4513,12/25/2009,4.1913,12/25/2009,1.8713,12/25/2009,1.16,12/25/2009,5.0339,12/25/2009,8.6343,12/25/2009,15.255,12/25/2009,20.9674,12/25/2009,6.2486,12/25/2009,5.9751,12/25/2009,5.603,12/25/2009,11.9173,12/25/2009,11.1184,12/25/2009,4.6619,12/25/2009,2.6811,12/25/2009,14.6859,12/25/2009,9.072,12/25/2009,6.6098,12/25/2009,3.7864,12/25/2009,1.7181,12/25/2009,20.2014,12/25/2009,8.0981,12/25/2009,2.8562,12/25/2009,12.9897,12/25/2009,33.2677,12/25/2009,3.3377,12/25/2009,8.8313,12/25/2009,1.9807,12/25/2009,2.7905,12/25/2009,11.8516,12/25/2009,4.6837,,,12/25/2009,3.9287,12/25/2009,44.8676,12/25/2009,20.2123,12/25/2009,1.5321,12/25/2009,6.0517,12/25/2009,10.418,12/25/2009,2.6155,12/25/2009,5.22,12/25/2009,12.2784,12/25/2009,5.79996,12/25/2009,3.89582,12/25/2009,9.07201,12/25/2009,4.30072,12/25/2009,7.83541,12/25/2009,18.93193,12/25/2009,5.05581
12/28/2009,58.316,12/28/2009,4.0843,12/28/2009,40.297,12/28/2009,37.8945,12/28/2009,15.0486,12/28/2009,5.1108,12/28/2009,9.7412,12/28/2009,4.2809,12/28/2009,15.2343,12/28/2009,4.401,12/28/2009,12.1328,12/28/2009,20.6618,12/28/2009,9.9596,12/28/2009,2.5117,12/28/2009,4.259,12/28/2009,1.8893,12/28/2009,1.2013,12/28/2009,5.1108,12/28/2009,8.6273,12/28/2009,15.4417,12/28/2009,20.6727,12/28/2009,6.2684,12/28/2009,6.0391,12/28/2009,5.6241,12/28/2009,12.0345,12/28/2009,11.0517,12/28/2009,4.6194,12/28/2009,2.6974,12/28/2009,14.721,12/28/2009,9.2607,12/28/2009,6.5851,12/28/2009,3.855,12/28/2009,1.7473,12/28/2009,20.0612,12/28/2009,8.114,12/28/2009,2.8721,12/28/2009,13.0611,12/28/2009,33.7447,12/28/2009,3.2871,12/28/2009,8.8566,12/28/2009,1.9439,12/28/2009,2.8284,12/28/2009,11.9035,12/28/2009,4.6631,,,12/28/2009,3.9533,12/28/2009,44.9929,12/28/2009,20.64,12/28/2009,1.5617,12/28/2009,6.0937,12/28/2009,10.4401,12/28/2009,2.6428,12/28/2009,5.2747,12/28/2009,12.2529,12/28/2009,5.70056,12/28/2009,3.86589,12/28/2009,9.11871,12/28/2009,4.28088,12/28/2009,7.90652,12/28/2009,19.05646,12/28/2009,5.06716
12/29/2009,57.4563,12/29/2009,4.1382,12/29/2009,39.861,12/29/2009,36.9284,12/29/2009,14.9669,12/29/2009,5.1265,12/29/2009,9.6557,12/29/2009,4.2902,12/29/2009,15.195,12/29/2009,4.3771,12/29/2009,12.0778,12/29/2009,20.3867,12/29/2009,9.8403,12/29/2009,2.4981,12/29/2009,4.2576,12/29/2009,1.8681,12/29/2009,1.173,12/29/2009,5.0614,12/29/2009,8.5261,12/29/2009,15.4013,12/29/2009,20.4084,12/29/2009,6.2344,12/29/2009,5.9737,12/29/2009,5.561,12/29/2009,12.056,12/29/2009,10.8939,12/29/2009,4.5835,12/29/2009,2.661,12/29/2009,14.5107,12/29/2009,9.2212,12/29/2009,6.4951,12/29/2009,3.8015,12/29/2009,1.727,12/29/2009,19.8653,12/29/2009,8.2003,12/29/2009,2.8348,12/29/2009,12.8381,12/29/2009,33.3442,12/29/2009,3.3018,12/29/2009,8.7977,12/29/2009,1.9333,12/29/2009,2.7696,12/29/2009,11.828,12/29/2009,4.54,,,12/29/2009,3.9209,12/29/2009,44.7486,12/29/2009,20.4084,12/29/2009,1.5423,12/29/2009,6.0497,12/29/2009,10.416,12/29/2009,2.6067,12/29/2009,5.2786,12/29/2009,12.1212,12/29/2009,5.65874,12/29/2009,3.82318,12/29/2009,9.01488,12/29/2009,4.21418,12/29/2009,7.72239,12/29/2009,18.64885,12/29/2009,5.02878
12/30/2009,56.614,12/30/2009,4.0593,12/30/2009,39.5107,12/30/2009,35.9385,12/30/2009,14.7976,12/30/2009,5.0227,12/30/2009,9.5042,12/30/2009,4.265,12/30/2009,14.9275,12/30/2009,4.3841,12/30/2009,11.7666,12/30/2009,20.3507,12/30/2009,9.6341,12/30/2009,2.4572,12/30/2009,4.2109,12/30/2009,1.8186,12/30/2009,1.1474,12/30/2009,5.0444,12/30/2009,8.4109,12/30/2009,15.328,12/30/2009,20.3616,12/30/2009,6.0727,12/30/2009,5.8887,12/30/2009,5.564,12/30/2009,11.8424,12/30/2009,10.6517,12/30/2009,4.5248,12/30/2009,2.598,12/30/2009,14.2996,12/30/2009,9.0604,12/30/2009,6.3975,12/30/2009,3.7238,12/30/2009,1.7103,12/30/2009,20.1018,12/30/2009,7.5774,12/30/2009,2.7928,12/30/2009,12.7625,12/30/2009,32.7993,12/30/2009,3.2475,12/30/2009,8.6491,12/30/2009,2.0026,12/30/2009,2.7495,12/30/2009,11.5285,12/30/2009,4.4923,,,12/30/2009,3.8645,12/30/2009,45.4644,12/30/2009,20.2425,12/30/2009,1.5371,12/30/2009,5.9753,12/30/2009,10.2187,12/30/2009,2.598,12/30/2009,5.2284,12/30/2009,11.9615,12/30/2009,5.59645,12/30/2009,3.77787,12/30/2009,8.83308,12/30/2009,4.21087,12/30/2009,7.65317,12/30/2009,18.67287,12/30/2009,4.94696
1/4/2010,57.6114,1/4/2010,4.0134,1/4/2010,39.3246,1/4/2010,36.7893,1/4/2010,15.0178,1/4/2010,5.0491,1/4/2010,9.6343,1/4/2010,4.2399,1/4/2010,14.9854,1/4/2010,4.3694,1/4/2010,11.8459,1/4/2010,20.7142,1/4/2010,9.7206,1/4/2010,2.4922,1/4/2010,4.2292,1/4/2010,1.8449,1/4/2010,1.1544,1/4/2010,5.0599,1/4/2010,8.4799,1/4/2010,15.2659,1/4/2010,20.6387,1/4/2010,6.2251,1/4/2010,5.9553,1/4/2010,5.5885,1/4/2010,11.8891,1/4/2010,10.6916,1/4/2010,4.542,1/4/2010,2.6001,1/4/2010,14.6186,1/4/2010,9.1164,1/4/2010,6.484,1/4/2010,3.7329,1/4/2010,1.7046,1/4/2010,20.164,1/4/2010,8.0915,1/4/2010,2.7727,1/4/2010,12.8817,1/4/2010,33.1751,1/4/2010,3.2366,1/4/2010,8.7496,1/4/2010,2.0606,1/4/2010,2.7835,1/4/2010,11.7165,1/4/2010,4.5636,,,1/4/2010,3.8192,1/4/2010,45.3663,1/4/2010,20.2503,1/4/2010,1.5859,1/4/2010,6.0416,1/4/2010,10.3463,1/4/2010,2.6216,1/4/2010,5.4591,1/4/2010,12.1264,1/4/2010,5.62089,1/4/2010,3.7976,1/4/2010,8.87906,1/4/2010,4.186,1/4/2010,7.61679,1/4/2010,18.79383,1/4/2010,5.01672
1/5/2010,58.6501,1/5/2010,4.0957,1/5/2010,40.3014,1/5/2010,37.844,1/5/2010,15.2687,1/5/2010,5.1114,1/5/2010,9.8733,1/5/2010,4.3469,1/5/2010,15.4871,1/5/2010,4.4343,1/5/2010,12.0468,1/5/2010,20.9808,1/5/2010,9.9279,1/5/2010,2.5229,1/5/2010,4.336,1/5/2010,1.8676,1/5/2010,1.2014,1/5/2010,5.1005,1/5/2010,8.3879,1/5/2010,15.7165,1/5/2010,20.7296,1/5/2010,6.149,1/5/2010,6.2036,1/5/2010,5.8322,1/5/2010,12.0577,1/5/2010,10.758,1/5/2010,4.6418,1/5/2010,2.7523,1/5/2010,15.0175,1/5/2010,9.1525,1/5/2010,6.6077,1/5/2010,3.8445,1/5/2010,1.7584,1/5/2010,20.249,1/5/2010,8.104,1/5/2010,2.8069,1/5/2010,13.4557,1/5/2010,33.6938,1/5/2010,3.2656,1/5/2010,8.9777,1/5/2010,2.0751,1/5/2010,2.8069,1/5/2010,11.9048,1/5/2010,4.5872,,,1/5/2010,3.8663,1/5/2010,46.1992,1/5/2010,20.5985,1/5/2010,1.6164,1/5/2010,6.1381,1/5/2010,10.332,1/5/2010,2.6758,1/5/2010,5.5483,1/5/2010,12.5164,1/5/2010,5.73394,1/5/2010,3.87724,1/5/2010,8.90127,1/5/2010,4.2595,1/5/2010,7.60157,1/5/2010,18.91656,1/5/2010,5.1114
1/6/2010,58.1622,1/6/2010,4.0973,1/6/2010,40.4324,1/6/2010,37.1351,1/6/2010,15.3622,1/6/2010,5.1135,1/6/2010,10.1622,1/6/2010,4.3243,1/6/2010,15.6216,1/6/2010,4.3568,1/6/2010,11.773,1/6/2010,20.4108,1/6/2010,9.8811,1/6/2010,2.5838,1/6/2010,4.3784,1/6/2010,1.9135,1/6/2010,1.2324,1/6/2010,5.0919,1/6/2010,8.2595,1/6/2010,15.4703,1/6/2010,20.4108,1/6/2010,6.0865,1/6/2010,6.0865,1/6/2010,5.7838,1/6/2010,11.8162,1/6/2010,10.3892,1/6/2010,4.7568,1/6/2010,2.8324,1/6/2010,14.8757,1/6/2010,9.0595,1/6/2010,6.4757,1/6/2010,3.8595,1/6/2010,1.7189,1/6/2010,20.1081,1/6/2010,8.2487,1/6/2010,2.8216,1/6/2010,13.1784,1/6/2010,34.1622,1/6/2010,3.2541,1/6/2010,8.9189,1/6/2010,2.0324,1/6/2010,2.7784,1/6/2010,11.6865,1/6/2010,4.5514,,,1/6/2010,3.8378,1/6/2010,45.7838,1/6/2010,20.4757,1/6/2010,1.6649,1/6/2010,6.1297,1/6/2010,10.3676,1/6/2010,2.6703,1/6/2010,5.5892,1/6/2010,12.4649,1/6/2010,5.79459,1/6/2010,3.84865,1/6/2010,8.85405,1/6/2010,4.19459,1/6/2010,7.53514,1/6/2010,18.7027,1/6/2010,5.16757
1/7/2010,56.8914,1/7/2010,4.079,1/7/2010,39.6093,1/7/2010,36.711,1/7/2010,15.2426,1/7/2010,5.2276,1/7/2010,10.1009,1/7/2010,4.3152,1/7/2010,15.7471,1/7/2010,4.3366,1/7/2010,11.593,1/7/2010,19.9335,1/7/2010,9.8003,1/7/2010,2.5977,1/7/2010,4.3688,1/7/2010,1.9214,1/7/2010,1.2452,1/7/2010,5.2276,1/7/2010,8.2009,1/7/2010,15.468,1/7/2010,19.869,1/7/2010,6.1292,1/7/2010,6.0004,1/7/2010,5.8287,1/7/2010,11.6788,1/7/2010,10.2082,1/7/2010,4.7553,1/7/2010,2.8446,1/7/2010,14.6844,1/7/2010,8.9094,1/7/2010,6.3976,1/7/2010,3.8965,1/7/2010,1.7282,1/7/2010,20.1159,1/7/2010,8.2654,1/7/2010,2.7909,1/7/2010,12.9562,1/7/2010,33.7055,1/7/2010,3.231,1/7/2010,8.9416,1/7/2010,2.0395,1/7/2010,2.8124,1/7/2010,11.6466,1/7/2010,4.5084,,,1/7/2010,3.757,1/7/2010,43.9566,1/7/2010,19.6973,1/7/2010,1.6745,1/7/2010,6.14,1/7/2010,10.2941,1/7/2010,2.7909,1/7/2010,5.4959,1/7/2010,12.2048,1/7/2010,5.74281,1/7/2010,3.81065,1/7/2010,8.86647,1/7/2010,4.17561,1/7/2010,7.42808,1/7/2010,18.44139,1/7/2010,5.09875
1/8/2010,57.5594,1/8/2010,4.0605,1/8/2010,39.3089,1/8/2010,37.635,1/8/2010,15.5724,1/8/2010,5.2052,1/8/2010,10.216,1/8/2010,4.3521,1/8/2010,15.6372,1/8/2010,4.4061,1/8/2010,11.8035,1/8/2010,20.0648,1/8/2010,10.1728,1/8/2010,2.6134,1/8/2010,4.3737,1/8/2010,1.9654,1/8/2010,1.2851,1/8/2010,5.324,1/8/2010,8.3045,1/8/2010,15.5292,1/8/2010,20.0108,1/8/2010,6.1555,1/8/2010,6.0799,1/8/2010,5.8423,1/8/2010,11.5983,1/8/2010,10.2376,1/8/2010,4.838,1/8/2010,2.851,1/8/2010,14.7084,1/8/2010,9.0173,1/8/2010,6.5875,1/8/2010,3.9849,1/8/2010,1.7495,1/8/2010,20.1404,1/8/2010,8.3909,1/8/2010,2.8294,1/8/2010,13.3153,1/8/2010,34.3953,1/8/2010,3.2181,1/8/2010,8.9849,1/8/2010,2.0626,1/8/2010,2.851,1/8/2010,11.7063,1/8/2010,4.5464,,,1/8/2010,3.7149,1/8/2010,43.6285,1/8/2010,19.5896,1/8/2010,1.6955,1/8/2010,6.1339,1/8/2010,10.3888,1/8/2010,2.8618,1/8/2010,5.5616,1/8/2010,12.2678,1/8/2010,5.91793,1/8/2010,3.82289,1/8/2010,9.12527,1/8/2010,4.26566,1/8/2010,7.32181,1/8/2010,18.83369,1/8/2010,5.19438
1/12/2010,59.1345,1/12/2010,4.3497,1/12/2010,41.5153,1/12/2010,38.7623,1/12/2010,16.0115,1/12/2010,5.3629,1/12/2010,10.4174,1/12/2010,4.5149,1/12/2010,16.0445,1/12/2010,4.625,1/12/2010,12.2013,1/12/2010,20.3502,1/12/2010,10.6156,1/12/2010,2.731,1/12/2010,4.4378,1/12/2010,2.0482,1/12/2010,1.2774,1/12/2010,5.6382,1/12/2010,8.4903,1/12/2010,15.8353,1/12/2010,20.4603,1/12/2010,6.2989,1/12/2010,6.1667,1/12/2010,5.9795,1/12/2010,12.4986,1/12/2010,10.7037,1/12/2010,4.8563,1/12/2010,2.9402,1/12/2010,14.9323,1/12/2010,9.2281,1/12/2010,6.7834,1/12/2010,4.1515,1/12/2010,1.806,1/12/2010,20.4273,1/12/2010,8.5013,1/12/2010,2.8851,1/12/2010,14.0183,1/12/2010,36.0643,1/12/2010,3.3036,1/12/2010,9.206,1/12/2010,2.1253,1/12/2010,2.8962,1/12/2010,12.1683,1/12/2010,4.6581,,,1/12/2010,3.8432,1/12/2010,44.929,1/12/2010,20.6916,1/12/2010,1.7069,1/12/2010,6.3319,1/12/2010,10.7587,1/12/2010,2.9182,1/12/2010,5.7262,1/12/2010,12.2674,1/12/2010,6.1447,1/12/2010,3.95331,1/12/2010,9.51437,1/12/2010,4.63605,1/12/2010,7.59828,1/12/2010,19.33708,1/12/2010,5.2307
1/13/2010,57.2398,1/13/2010,4.1808,1/13/2010,39.1814,1/13/2010,39.7286,1/13/2010,15.4974,1/13/2010,5.2971,1/13/2010,10.2331,1/13/2010,4.4325,1/13/2010,15.5193,1/13/2010,4.5529,1/13/2010,12.028,1/13/2010,20.1051,1/13/2010,10.3535,1/13/2010,2.6924,1/13/2010,4.3997,1/13/2010,1.9919,1/13/2010,1.2696,1/13/2010,5.5051,1/13/2010,8.3835,1/13/2010,15.7273,1/13/2010,19.9737,1/13/2010,6.2274,1/13/2010,6.0742,1/13/2010,5.7459,1/13/2010,12.1156,1/13/2010,10.5505,1/13/2010,4.6952,1/13/2010,2.8346,1/13/2010,14.5671,1/13/2010,8.9745,1/13/2010,6.6871,1/13/2010,4.0714,1/13/2010,1.8058,1/13/2010,19.5907,1/13/2010,8.5914,1/13/2010,2.8565,1/13/2010,13.5931,1/13/2010,34.913,1/13/2010,3.2615,1/13/2010,9.0292,1/13/2010,2.0795,1/13/2010,2.8346,1/13/2010,11.8529,1/13/2010,4.4873,,,1/13/2010,3.8525,1/13/2010,44.2706,1/13/2010,20.4553,1/13/2010,1.6636,1/13/2010,6.2931,1/13/2010,10.463,1/13/2010,2.8346,1/13/2010,5.6255,1/13/2010,12.2797,1/13/2010,6.04137,1/13/2010,3.90719,1/13/2010,9.39039,1/13/2010,4.49819,1/13/2010,7.69399,1/13/2010,18.92306,1/13/2010,5.10014
1/14/2010,58.9656,1/14/2010,4.1946,1/14/2010,39.2006,1/14/2010,41.6712,1/14/2010,15.7022,1/14/2010,5.3915,1/14/2010,10.3327,1/14/2010,4.535,1/14/2010,15.6583,1/14/2010,4.6777,1/14/2010,12.2653,1/14/2010,20.929,1/14/2010,10.9366,1/14/2010,2.7451,1/14/2010,4.4252,1/14/2010,2.0094,1/14/2010,1.3067,1/14/2010,5.666,1/14/2010,8.4331,1/14/2010,15.834,1/14/2010,20.5446,1/14/2010,6.2919,1/14/2010,6.3138,1/14/2010,5.9185,1/14/2010,12.2873,1/14/2010,10.8049,1/14/2010,4.8205,1/14/2010,2.8989,1/14/2010,14.9555,1/14/2010,9.0919,1/14/2010,6.808,1/14/2010,4.0958,1/14/2010,1.8667,1/14/2010,19.7431,1/14/2010,8.5099,1/14/2010,2.9428,1/14/2010,14.0332,1/14/2010,34.8084,1/14/2010,3.3601,1/14/2010,9.1468,1/14/2010,2.1302,1/14/2010,2.8879,1/14/2010,12.0676,1/14/2010,4.5679,,,1/14/2010,3.942,1/14/2010,45.185,1/14/2010,20.907,1/14/2010,1.68,1/14/2010,6.3138,1/14/2010,10.6512,1/14/2010,2.8659,1/14/2010,5.7209,1/14/2010,12.5508,1/14/2010,6.17108,1/14/2010,3.87614,1/14/2010,9.52015,1/14/2010,4.55693,1/14/2010,7.60953,1/14/2010,19.32579,1/14/2010,5.28165
1/15/2010,60.2423,1/15/2010,4.141,1/15/2010,37.9956,1/15/2010,42.1256,1/15/2010,15.9361,1/15/2010,5.3855,1/15/2010,10.3745,1/15/2010,4.5815,1/15/2010,15.6388,1/15/2010,4.7247,1/15/2010,12.1476,1/15/2010,20.815,1/15/2010,11.2996,1/15/2010,2.7863,1/15/2010,4.4053,1/15/2010,2.0264,1/15/2010,1.2996,1/15/2010,5.6718,1/15/2010,8.4582,1/15/2010,15.5837,1/15/2010,20.837,1/15/2010,6.4097,1/15/2010,6.3767,1/15/2010,5.9802,1/15/2010,12.1586,1/15/2010,10.6498,1/15/2010,4.8568,1/15/2010,2.9846,1/15/2010,15.033,1/15/2010,9.2952,1/15/2010,6.9053,1/15/2010,4.0639,1/15/2010,1.8833,1/15/2010,19.7247,1/15/2010,8.4031,1/15/2010,2.9626,1/15/2010,13.9427,1/15/2010,34.6916,1/15/2010,3.37,1/15/2010,9.174,1/15/2010,2.1256,1/15/2010,2.8304,1/15/2010,12.1256,1/15/2010,4.5154,,,1/15/2010,3.9097,1/15/2010,46.2555,1/15/2010,21.1894,1/15/2010,1.663,1/15/2010,6.3216,1/15/2010,10.9251,1/15/2010,2.8634,1/15/2010,5.7489,1/15/2010,12.6101,1/15/2010,6.15639,1/15/2010,3.87665,1/15/2010,9.7467,1/15/2010,4.61454,1/15/2010,7.53304,1/15/2010,19.4163,1/15/2010,5.34141
1/18/2010,59.1997,1/18/2010,4.112,1/18/2010,37.4821,1/18/2010,42.443,1/18/2010,15.6212,1/18/2010,5.3467,1/18/2010,10.2745,1/18/2010,4.5199,1/18/2010,15.3897,1/18/2010,4.6522,1/18/2010,11.9832,1/18/2010,20.3506,1/18/2010,10.9029,1/18/2010,2.745,1/18/2010,4.3656,1/18/2010,1.9954,1/18/2010,1.2678,1/18/2010,5.6003,1/18/2010,8.3894,1/18/2010,15.4228,1/18/2010,21.1884,1/18/2010,6.3389,1/18/2010,6.3389,1/18/2010,5.8979,1/18/2010,11.9502,1/18/2010,10.506,1/18/2010,4.9719,1/18/2010,2.9214,1/18/2010,14.618,1/18/2010,9.128,1/18/2010,6.857,1/18/2010,3.9907,1/18/2010,1.7859,1/18/2010,19.6671,1/18/2010,8.3784,1/18/2010,2.9214,1/18/2010,13.7802,1/18/2010,34.3953,1/18/2010,3.3072,1/18/2010,9.1941,1/18/2010,2.1056,1/18/2010,2.8112,1/18/2010,12.1045,1/18/2010,4.3656,,,1/18/2010,3.8695,1/18/2010,46.3014,1/18/2010,20.7585,1/18/2010,1.6426,1/18/2010,6.2727,1/18/2010,10.7596,1/18/2010,2.8332,1/18/2010,5.6774,1/18/2010,12.4683,1/18/2010,5.98611,1/18/2010,3.8364,1/18/2010,9.48076,1/18/2010,4.54195,1/18/2010,7.3972,1/18/2010,19.11586,1/18/2010,5.30261
1/19/2010,57.6543,1/19/2010,4.0523,1/19/2010,36.9537,1/19/2010,40.9071,1/19/2010,15.4294,1/19/2010,5.3152,1/19/2010,10.1142,1/19/2010,4.4696,1/19/2010,15.3415,1/19/2010,4.5904,1/19/2010,11.9482,1/19/2010,20.1625,1/19/2010,10.7292,1/19/2010,2.7674,1/19/2010,4.4147,1/19/2010,1.9657,1/19/2010,1.2629,1/19/2010,5.6556,1/19/2010,8.3681,1/19/2010,15.2756,1/19/2010,21.2717,1/19/2010,6.3914,1/19/2010,6.3255,1/19/2010,5.9741,1/19/2010,11.8713,1/19/2010,10.3229,1/19/2010,4.8869,1/19/2010,2.8992,1/19/2010,14.7156,1/19/2010,9.0929,1/19/2010,6.8526,1/19/2010,3.8985,1/19/2010,1.7461,1/19/2010,19.5256,1/19/2010,8.3022,1/19/2010,2.8882,1/19/2010,13.4197,1/19/2010,33.714,1/19/2010,3.2616,1/19/2010,9.1478,1/19/2010,2.0646,1/19/2010,2.7894,1/19/2010,11.9592,1/19/2010,4.4037,,,1/19/2010,3.8656,1/19/2010,46.0136,1/19/2010,20.4481,1/19/2010,1.6692,1/19/2010,6.3365,1/19/2010,10.7731,1/19/2010,2.8443,1/19/2010,5.6446,1/19/2010,12.4424,1/19/2010,5.93016,1/19/2010,3.77773,1/19/2010,9.60905,1/19/2010,4.4586,1/19/2010,7.41269,1/19/2010,18.94355,1/19/2010,5.32616
1/20/2010,57.1209,1/20/2010,4.0237,1/20/2010,36.7833,1/20/2010,40.3465,1/20/2010,16.325,1/20/2010,5.3064,1/20/2010,10.4484,1/20/2010,4.4074,1/20/2010,15.2834,1/20/2010,4.6048,1/20/2010,11.9833,1/20/2010,20.3377,1/20/2010,10.6129,1/20/2010,2.7848,1/20/2010,4.3526,1/20/2010,1.9296,1/20/2010,1.2499,1/20/2010,5.6682,1/20/2010,8.3653,1/20/2010,14.9216,1/20/2010,21.3244,1/20/2010,6.4357,1/20/2010,6.2493,1/20/2010,6.1506,1/20/2010,11.786,1/20/2010,10.0866,1/20/2010,4.8569,1/20/2010,2.9492,1/20/2010,14.5598,1/20/2010,9.0341,1/20/2010,6.7646,1/20/2010,3.8373,1/20/2010,1.7761,1/20/2010,19.2084,1/20/2010,8.1351,1/20/2010,2.7958,1/20/2010,13.2551,1/20/2010,33.549,1/20/2010,3.2562,1/20/2010,9.067,1/20/2010,2.0721,1/20/2010,2.7958,1/20/2010,11.9833,1/20/2010,4.2868,,,1/20/2010,3.936,1/20/2010,47.3084,1/20/2010,19.943,1/20/2010,1.6336,1/20/2010,6.2712,1/20/2010,10.6129,1/20/2010,2.8506,1/20/2010,5.7011,1/20/2010,12.4219,1/20/2010,5.82173,1/20/2010,3.81537,1/20/2010,9.62614,1/20/2010,4.41838,1/20/2010,7.42243,1/20/2010,18.60542,1/20/2010,5.35029
