Date2,Price2
6/15/2011,4105.82
6/16/2011,4014.23
6/17/2011,3957.19
6/20/2011,3937.81
6/21/2011,3984.02
6/22/2011,4000
6/23/2011,3993.42
6/24/2011,4082.84
6/27/2011,4078.12
6/28/2011,4101.77
6/29/2011,4132.1
6/30/2011,4192.08
7/4/2011,4293.47
7/5/2011,4322.31
7/6/2011,4297.63
7/7/2011,4296.03
7/8/2011,4362.4
7/11/2011,4305.81
7/12/2011,4127.57
7/13/2011,4212.05
7/14/2011,4219.87
7/15/2011,4182.65
7/18/2011,4135.08
7/19/2011,4139.79
7/20/2011,4182.1
7/21/2011,4172.44
7/22/2011,4262.44
7/25/2011,4221.26
7/26/2011,4276.19
7/27/2011,4297.81
7/28/2011,4284.36
7/29/2011,4255.93
8/1/2011,4313.93
8/2/2011,4272.12
8/3/2011,4167.19
8/4/2011,4162.99
8/5/2011,3981.76
8/8/2011,3874.74
8/9/2011,3712.45
8/10/2011,3819.39
8/11/2011,3783.79
8/12/2011,3785.87
8/15/2011,3920.58
8/16/2011,3941.29
8/17/2011,3954.82
8/18/2011,3894.53
8/19/2011,3778.7
8/22/2011,3686.19
8/23/2011,3775.12
8/24/2011,3719.13
8/25/2011,3810.48
8/26/2011,3785.31
8/29/2011,3831.71
8/30/2011,3925.05
8/31/2011,4021.52
9/1/2011,4052.55
9/2/2011,3994.05
9/5/2011,3849.18
9/6/2011,3855.47
9/7/2011,3911.02
9/8/2011,3898.06
9/9/2011,3886.71
9/12/2011,3714.38
9/14/2011,3680.89
9/15/2011,3684.06
9/16/2011,3725.21
9/19/2011,3604.92
9/20/2011,3578.78
9/21/2011,3552.28
9/22/2011,3350
9/23/2011,3327.78
9/26/2011,3254.81
9/27/2011,3407.25
9/28/2011,3478.3
9/30/2011,3391.13
10/3/2011,3186.19
10/4/2011,3097.49
10/6/2011,3308.21
10/7/2011,3417.72
10/10/2011,3393.77
10/11/2011,3505.17
10/12/2011,3549.03
10/13/2011,3690.23
10/14/2011,3570.92
10/17/2011,3684.05
10/18/2011,3491.2
10/19/2011,3519.43
10/20/2011,3436.21
10/21/2011,3460.21
10/24/2011,3614
10/25/2011,3680.88
10/26/2011,3713.96
10/27/2011,3852.42
10/28/2011,3882.85
10/31/2011,3842.7
11/1/2011,3738.98
11/2/2011,3822.34
11/3/2011,3762.29
11/4/2011,3878.1
11/7/2011,3823.47
11/8/2011,3798.32
11/9/2011,3884.36
11/10/2011,3729.25
11/11/2011,3760.45
11/14/2011,3856.11
11/15/2011,3827.9
11/16/2011,3763.8
11/17/2011,3737.78
11/18/2011,3646.9
11/21/2011,3593.98
11/22/2011,3595.69
11/23/2011,3516.92
11/24/2011,3555.91
11/25/2011,3505.32
11/28/2011,3602.6
11/29/2011,3657.83
11/30/2011,3622.2
12/1/2011,3832.27
12/2/2011,3825.24
12/5/2011,3841.41
12/6/2011,3741.29
12/7/2011,3789.84
12/8/2011,3783.39
12/9/2011,3696.29
12/12/2011,3694.12
12/13/2011,3663.47
12/14/2011,3653.66
12/15/2011,3602.13
12/16/2011,3683.77
12/19/2011,3617.9
12/20/2011,3587.01
12/21/2011,3679.53
12/22/2011,3686.02
12/23/2011,3755.63
12/28/2011,3717.42
12/29/2011,3673.85
12/30/2011,3682.18
1/3/2012,3752.06
1/4/2012,3724.16
1/5/2012,3728.07
1/6/2012,3706.11
1/9/2012,3777.92
1/10/2012,3795.57
1/11/2012,3821.19
1/12/2012,3805.49
1/13/2012,3822.7
1/16/2012,3753.13
1/17/2012,3857.71
1/18/2012,3838.41
1/19/2012,3875.61
1/20/2012,3880.45
1/26/2012,3957.97
1/27/2012,3957.91
1/30/2012,3864.34
1/31/2012,3913.27
2/1/2012,3916.15
2/2/2012,3985.33
2/3/2012,3997.72
2/6/2012,3988.84
2/7/2012,3983.72
2/8/2012,4081.86
2/9/2012,4135.9
2/10/2012,4113.86
2/13/2012,4102.41
2/14/2012,4107.12
2/15/2012,4206.75
2/16/2012,4187.83
2/17/2012,4225.42
2/20/2012,4213.48
2/21/2012,4206.66
2/22/2012,4247.54
2/23/2012,4192.5
2/24/2012,4206.73
2/27/2012,4162.31
2/28/2012,4212.95
2/29/2012,4217.8
3/1/2012,4129.02
3/2/2012,4167.62
3/5/2012,4129.33
3/6/2012,4057.4
3/7/2012,4032.24
3/8/2012,4099.96
3/9/2012,4142.32
3/12/2012,4121
3/13/2012,4156.6
3/14/2012,4168.36
3/15/2012,4149.41
3/16/2012,4105.91
3/19/2012,4045.59
3/20/2012,3994.67
3/21/2012,3979.92
3/22/2012,3981.37
3/23/2012,3953.52
3/26/2012,3990.46
3/27/2012,4052.98
3/28/2012,4015.22
3/29/2012,3970.31
3/30/2012,3986.72
4/2/2012,3969.37
4/3/2012,4036.37
4/5/2012,4044.87
4/10/2012,3991.21
4/11/2012,3946.37
4/12/2012,3982.66
4/13/2012,4055.6
4/16/2012,4043.92
4/17/2012,4037.56
4/18/2012,4066.35
4/19/2012,4080.32
4/20/2012,4072.98
4/23/2012,3994.05
4/24/2012,3992.01
4/25/2012,4022.76
4/26/2012,4075.05
4/27/2012,4065.92
4/30/2012,4128.46
5/2/2012,4144.2
5/3/2012,4164.25
5/4/2012,4164.19
5/7/2012,4043.8
5/8/2012,4011.02
5/9/2012,3948.34
5/10/2012,3948.65
5/11/2012,3908.58
5/14/2012,3868.57
5/15/2012,3866.24
5/16/2012,3722.23
5/17/2012,3745.83
5/18/2012,3683.04
5/21/2012,3695.3
5/22/2012,3766.91
5/23/2012,3721.09
5/24/2012,3690.07
5/25/2012,3687.25
5/28/2012,3732.06
5/29/2012,3812.07
5/30/2012,3780.72
5/31/2012,3746.46
6/1/2012,3704.71
6/4/2012,3567.59
6/5/2012,3553.62
6/6/2012,3637.13
6/7/2012,3672.09
6/8/2012,3693.88
6/11/2012,3793.07
6/12/2012,3789.3
6/13/2012,3829.57
6/14/2012,3783.33
6/15/2012,3851.01
6/18/2012,3900.02
6/19/2012,3884.96
6/20/2012,3874.82
6/21/2012,3751.83
6/22/2012,3699.99
6/25/2012,3670.84
6/26/2012,3689.76
6/27/2012,3753.87
6/28/2012,3722.2
6/29/2012,3796.96
7/3/2012,3836.58
7/4/2012,3835.67
7/5/2012,3841.69
7/6/2012,3862.93
7/9/2012,3785.57
7/10/2012,3799.12
7/11/2012,3805.74
7/12/2012,3746.59
7/13/2012,3757.75
7/16/2012,3755.36
7/17/2012,3803.13
7/18/2012,3734.35
7/19/2012,3787.79
7/20/2012,3810.76
7/23/2012,3722.69
7/24/2012,3690.41
7/25/2012,3671.72
7/26/2012,3695.94
7/27/2012,3789.44
7/30/2012,3815.95
7/31/2012,3848.03
8/1/2012,3878.01
8/2/2012,3829.21
8/3/2012,3831.33
8/6/2012,3902.33
8/7/2012,3922.23
8/8/2012,3907.98
8/9/2012,3945.3
8/10/2012,3943.8
8/13/2012,3907.06
8/14/2012,3922.55
8/15/2012,3884.72
8/16/2012,3864.62
8/17/2012,3899.49
8/20/2012,3909.01
8/21/2012,3919.52
8/22/2012,3876.08
8/23/2012,3937.35
8/24/2012,3906.39
8/27/2012,3889.87
8/28/2012,3871.08
8/29/2012,3867.96
8/30/2012,3836.21
8/31/2012,3815.99
9/3/2012,3866.76
9/4/2012,3845.75
9/5/2012,3794.59
9/6/2012,3818.44
9/7/2012,3900.72
9/10/2012,3914.82
9/11/2012,3919.94
9/12/2012,3948.43
9/13/2012,3976.5
9/14/2012,4086.1
9/17/2012,4070.99
9/18/2012,4045.76
9/19/2012,4081.73
9/20/2012,4005.43
9/21/2012,4030.75
9/24/2012,4038.36
9/25/2012,4047.71
9/26/2012,4013.16
9/27/2012,4056.49
9/28/2012,4081.79
10/3/2012,4068.18
10/4/2012,4075.9
10/5/2012,4106.09
10/8/2012,4035.06
10/9/2012,4033.41
10/10/2012,4036.21
10/11/2012,4055.21
10/12/2012,4076.82
10/15/2012,4065.53
10/16/2012,4112.73
10/17/2012,4129.3
10/18/2012,4150.55
10/19/2012,4170.7
10/22/2012,4191.61
10/24/2012,4190.71
10/25/2012,4201.6
10/26/2012,4139.18
10/29/2012,4136.37
10/30/2012,4147.55
