"","time","event","date","broker","name","is_forced","newtp_to_px","oldtp_to_px","chg_tgt","newtp_avgtp","chg_2d","chg_5d","char_newrating","newrating","oldrating","chg_rating","score"
"1","A","TP- ","04/30/2018","Macquarie","YAHOO JAPAN CORP","","-2.22222222222223","11.1111111111111","-12","-20.8046616201375","1.2725426","-1.2677489","","3","3","","0.5"
"2","A","TP+ ","04/30/2018","Macquarie","MICROSOFT CORP","","4.36234606553956","-0.855771237737413","5.26315789473684","-7.75439607956183","2.64646","0.871767658","","3","3","","1.5"
"3","A","TP+ ","04/30/2018","ICBC Research","BAIDU INC-SP ADR","","26.225538840154","19.0806970190132","6","11.1361464252312","7.711433","8.365598758","","5","5","","1.5"
"4","A","TP- ","04/30/2018","Morningstar, Inc","JIANGXI COPPER-H","","-2.30905861456483","-1.42095914742452","-0.900900900900898","-16.3960453451625","-1.227109","-2.3613383","","3","3","","0.5"
"5","A","TP+ ","04/30/2018","Fearnley Securities","ORIENT OVERSEAS","","5.35475234270415","4.41767068273091","0.897435897435901","0.760875341099831","-1.104988","2.352797","","5","5","","1.5"
"6","A","TP- ","04/30/2018","DBS Vickers","CHINA HONGQIAO","Forced","7.32558139534885","24.4186046511628","-13.7383177570093","-16.1518851182788","-0.893402","-6.275747","","3","3","","0.5"
"7","A","TP- ","04/30/2018","DBS Vickers","CHINA LIFE-H","","28.8888888888889","42.2222222222222","-9.375","-4.2645792747939","1.498117","1.855333","","5","5","","0.5"
"8","A","TP+ ","04/30/2018","J.P. Morgan","CHINA LONGYUAN-H","","9.53608247422681","-2.0618556701031","11.8421052631579","8.59361645330061","8.8257","14.860427","","5","5","","1.5"
"9","A","TP- ","04/30/2018","HSBC","APPLE INC","","26.2937407589946","35.5347461803844","-6.81818181818182","6.68663991813763","-1.9686551","-2.043043242","","5","5","","0.5"
"10","A","TP- ","04/30/2018","Morningstar, Inc","PETROCHINA-H","","-6.73575129533678","0.172711571675288","-6.89655172413792","-18.6496116062337","0.356361","-2.3467669","","3","3","","0.5"
"11","A","TP+ ","04/30/2018","Natixis","TOTAL SA","","9.99614048629873","6.4781937475878","3.30391286224333","3.30405918738268","-1.0152093","0.169547","","4.344","4.344","","1.5"
"12","A","TP- Downgrade","04/30/2018","Wells Fargo Securities","SPRINT CORP","","-3.84615384615384","7.69230769230769","-10.7142857142857","15.9420289855072","6.817477","8.341942758"," market perform","3","5","-2","-0.5"
"13","A","TP+ ","04/30/2018","Clarksons Platou Securities AS","AP MOLLER-B","","54.889214892756","54.6051193848644","0.183755563219308","25.44537962525","4.023124","3.0760018","","5","5","","1.5"
"14","A","TP+ ","04/30/2018","BNP Paribas Equity Research","LG ELECTRONICS","","50","35.2941176470588","10.8695652173913","17.541615667846","-0.615142","-4.060414","","5","5","","1.5"
"15","A","TP+ ","04/30/2018","ICBC Research","HUANENG RENEWA-H","","13.960113960114","5.41310541310542","8.1081081081081","9.84610285750054","8.4074","10.309277","","5","5","","1.5"
"16","B/D","TP+ ","04/30/2018","Independent Research GmbH","WACKER CHEMIE AG","","1.35806558463067","0.949983438224566","0.404241915161706","0.127438451182438","1.0659178","-1.1919796","","3.619","3.619","","0.5"
"17","B/D","TP- ","04/30/2018","Renaissance Capital","GAZPROM","","-4.18178085004449","2.66237766066661","-6.66666666666667","-18.3405228960605","0.3920461","-1.488044","","3","3","","-0.5"
"18","A","TP+ ","04/30/2018","Goldman Sachs","TAL EDUCATIO-ADR","","-5.2924791086351","-8.63509749303621","3.65853658536586","-13.8662631776346","0.170614","-2.754120242","","3","3","","1.5"
"19","B/D","TP+ Upgrade","04/30/2018","Kepler Cheuvreux","DEUTSCHE TELEKOM","","13.5972461273666","10.1549053356282","3.125","0.329364849710978","0.6387328","2.0700734"," buy","5","3","2","1.5"
"20","B/D","TP- Downgrade","04/30/2018","Everbright Securities Co., Ltd","BYD CO LTD-H","","20.4351767905712","45.2583862194016","-17.0890026213956","-3.71232224919675","-7.582343","-7.153191"," accumulate","4","5","-1","-1"
"21","A","TP- ","04/30/2018","Goldman Sachs","EXXON MOBIL CORP","","6.69751896130608","9.26854351459057","-2.35294117647059","-3.54178603164234","-3.306888","-1.523036242","","3","3","","0.5"
"22","B/D","TP- ","04/30/2018","RBC Capital Markets","GLENCORE PLC","","15.0070126227209","29.0322580645161","-10.8695652173913","-6.34341343279586","-5.141705","-8.047678","","5","5","","-0.5"
"23","B/D","TP+ Upgrade","04/30/2018","UOB Kay Hian","CHINA EAST AIR-H","","-11.3149847094801","-22.0183486238532","13.7254901960784","-7.54516790418827","6.150086","17.294377"," hold","3","1","2","1.5"
"24","A","TP+ ","04/30/2018","Morningstar, Inc","NTT DOCOMO INC","Forced","-1.23456790123457","-8.28924162257496","7.69230769230769","-7.68037194455059","1.3127766","1.171131","","3","3","","1.5"
