"","ann.ret.12","ann.std.12","downrisk.12","drawdown.12","sharpe.12","sortino.12","info_ratio.12","omega.12","wl.12","skewness.12","kurtosis.12"
"X1798FEF.KY.Equity",0.0725623142170642,0.0454114390835213,0.005550546684787,-0.0148,0.0711589309185082,1.06887369303534,0.738339338636453,3.48912663450108,0.666666666666667,0.135063254918005,-0.802590524500816
"X4THSTOP.US.Equity",0.55203518749948,0.118301391834969,0.00256920869789383,-0.00890000000000002,0.960940145464701,14.7192207589057,3.88244379710101,51.9888764044944,0.916666666666667,0.798254558530334,-0.212741226121912
"ACKASPA.US.Equity",0.0360228358653134,0.0652771849402781,0.012320394342309,-0.0473873724146798,-0.0999483467760822,0.252961329543713,-0.632304152761533,1.5289741304932,0.75,-0.426075123366726,-0.327364796776498
"ADAIUSE.VI.Equity",0.0998517996730042,0.0253441367004463,0.00192517447261281,-0.00666900000000015,0.408293602460858,4.14880146204445,0.853387770986593,15.3718698455541,0.916666666666667,-0.0297489309601757,0.131987818631808
"ADAWEAG.US.Equity",1.51374110799977,0.420803397973988,0.0271943103745986,-0.12636026731303,0.666388956031198,3.16058452973126,2.84642089700433,7.69735261459341,0.666666666666667,0.388168686644922,-0.918081328356508
"AGLOBAL.US.Equity",0.262248531166815,0.133145808659666,0.0139233317372914,-0.0471000000000001,0.396981457218954,1.45499178756724,0.822614597575359,4.78071539657854,0.583333333333333,0.223870342719807,-0.64390380036684
"AISGOLD.US.Equity",-0.103635368412431,0.395726850802649,0.0738699385214762,-0.359999596565939,-0.0718494806433064,-0.043425423081958,-0.73338874324694,0.928075217022485,0.416666666666667,0.466705621411099,-0.326366025529105
"AJRINTL.VI.Equity",0.0663853760728721,0.0934468956534819,0.0115361716931282,-0.0290268643220001,0.0258070860197185,0.493765767205052,0.842037931906471,1.83135490148382,0.583333333333333,1.13471609946801,1.04200192499437
"AKJSTOI.MV.Equity",0.057800248238165,0.05339831679591,0.00699481594944904,-0.0220805187609999,-0.0128718569556652,0.686448845549902,-0.513338438863785,2.20099633149908,0.583333333333333,0.405667349035091,-0.714427711808225
"ALIILTD.KY.Equity",0.125024862929279,0.0311905210819511,0.0018929687882618,-0.00871141099299999,0.544456827065833,5.23106881708951,1.92959926920436,14.6144592117324,0.833333333333333,-0.065795640518644,-0.4528990953886
"ALIINST.US.Equity",0.128500300626356,0.0312496660636703,0.00189645568539491,-0.00873726300700006,0.572220275919353,5.35841679732365,2.05787248669225,14.9300891021247,0.833333333333333,-0.128470252107236,-0.399777519454988
"ALIOPLP.US.Equity",0.110931244591113,0.0201043703502949,0.000499003089502794,-0.00168000000000013,0.658280329844055,17.6760762652899,2.11725310949525,51.7163392429324,0.833333333333333,-0.407407602299375,-0.525957133645455
"ALIOPLT.KY.Equity",0.108063298479332,0.0203465728988268,0.000490296678892824,-0.00167700000000015,0.613513156845627,17.5475388073772,1.99896052311165,54.0534429599178,0.833333333333333,-0.2432436996116,-0.650708883918203
"ALLOYIN.US.Equity",0.112638623431189,0.0418378824283795,0.00329003050897708,-0.011397,0.331199724541659,2.73556227177103,1.18590488658181,10.4762656839519,0.916666666666667,0.77526427584677,0.923544785283646
"ALPGBAU.LX.Equity",0.0461085464813475,0.0196304191313565,0.00214840235213674,-0.00928444879599999,-0.215612045525218,1.75859361860641,-0.829173976115351,5.87505376344086,0.833333333333333,-0.214513596923555,-0.679782482449694
"ALPOAKP.TL.Equity",0.264265673774688,0.173957720954103,0.012650993870707,-0.0425293331050001,0.315092473221819,1.64596422590549,0.87580678688935,3.56618364433673,0.5,1.30264572400393,0.985374421472882
"ALSOX.US.Equity",0.0325947675549636,0.0223616584602061,0.0022102454614816,-0.00918935675780397,-0.356995979805845,1.21954780451992,-1.14725489189153,3.04695608150867,0.416666666666667,0.325351168779085,-1.54881336583646
"ALTINVS.US.Equity",0.128722749488843,0.0290904307540219,0.00131639029799929,-0.00640879551999984,0.616082560197446,7.72845764825907,2.26455693843413,20.0191618632186,0.833333333333333,-0.176495342350261,-0.748148414816904
