Date,USGG10YR Index,,USGGBE10 Index,,USGG5YR Index,,USGGBE05 Index,Date,GJGB10 Index,Date,GJGB2 Index,,GJGB5 Index,,JYGGBE05 Index,,USDJPY Curncy,,TPX Index
8/5/2009,1.6663,8/5/2009,3.092,8/5/2009,0.8787,8/5/2009,0.1002,8/5/2009,-1.302,8/5/2009,-2.135,8/5/2009,-1.241,8/5/2009,-5.799,8/5/2009,-0.27,8/6/2009,0.14937
8/6/2009,0.1098,8/6/2009,-0.9443,8/6/2009,-0.4961,8/6/2009,-2.7595,8/6/2009,0.347,8/6/2009,0,8/6/2009,1.257,8/6/2009,-13.493,8/6/2009,0.52,8/7/2009,-2.11629
8/7/2009,2.6707,8/7/2009,4.9623,8/7/2009,4.1458,8/7/2009,5.0933,8/7/2009,-0.346,8/7/2009,-0.727,8/7/2009,-0.138,8/7/2009,1.981,8/7/2009,2.21,8/10/2009,1.94173
8/10/2009,-1.9148,8/10/2009,-2.5523,8/10/2009,-2.5319,8/10/2009,-1.4172,8/10/2009,1.667,8/10/2009,2.564,8/10/2009,3.453,8/10/2009,1.579,8/10/2009,-0.43,8/11/2009,1.59312
8/11/2009,-2.8798,8/11/2009,-3.2702,8/11/2009,-2.9601,8/11/2009,-3.9215,8/11/2009,-0.615,8/11/2009,0,8/11/2009,0.134,8/11/2009,1.861,8/11/2009,-1.18,8/12/2009,-1.67805
8/12/2009,1.3497,8/12/2009,0.1637,8/12/2009,0.3815,8/12/2009,-2.8164,8/12/2009,-2.062,8/12/2009,-1.786,8/12/2009,-2.8,8/12/2009,-2.747,8/12/2009,0.06,8/13/2009,1.68303
8/13/2009,-3.2888,8/13/2009,-4.6654,8/13/2009,-4.5432,8/13/2009,-8.5812,8/13/2009,-0.632,8/13/2009,0,8/13/2009,-0.549,8/13/2009,-0.191,8/13/2009,-0.6,8/14/2009,1.17993
8/14/2009,-0.7281,8/14/2009,-4.3627,8/14/2009,-1.851,8/14/2009,-8.8415,8/14/2009,-2.189,8/14/2009,-1.818,8/14/2009,-3.172,8/14/2009,-1.08,8/14/2009,-0.57,8/17/2009,-2.06005
8/17/2009,-2.813,8/17/2009,-2.2154,8/17/2009,-4.0188,8/17/2009,-5.0469,8/17/2009,-2.527,8/17/2009,-1.481,8/17/2009,-3.276,8/17/2009,-1.446,8/17/2009,-0.45,8/18/2009,-0.39368
8/18/2009,1.1745,8/18/2009,4.2355,8/18/2009,2.0854,8/18/2009,5.8839,8/18/2009,0,8/18/2009,0,8/18/2009,-2.062,8/18/2009,0.929,8/18/2009,0.19,8/19/2009,0.28811
8/19/2009,-1.6376,8/19/2009,0.714,8/19/2009,-2.0526,8/19/2009,4.9709,8/19/2009,-0.074,8/19/2009,-1.88,8/19/2009,-1.504,8/19/2009,1.626,8/19/2009,-0.64,8/20/2009,1.31323
8/20/2009,-0.5897,8/20/2009,4.4838,8/20/2009,0.1343,8/20/2009,7.8619,8/20/2009,0.074,8/20/2009,-3.065,8/20/2009,0.763,8/20/2009,1.399,8/20/2009,0.13,8/21/2009,-1.59173
8/21/2009,3.8929,8/21/2009,2.0967,8/21/2009,6.4232,8/21/2009,5.613,8/21/2009,-2.593,8/21/2009,-0.791,8/21/2009,-3.636,8/21/2009,-1.354,8/21/2009,0.19,8/24/2009,2.45297
8/24/2009,-2.5076,8/24/2009,-4.1767,8/24/2009,-3.1655,8/24/2009,-7.1436,8/24/2009,1.141,8/24/2009,-0.398,8/24/2009,1.415,8/24/2009,3.817,8/24/2009,0.19,8/25/2009,-0.25742
