,902 HK Equity,,991 HK Equity,,916 HK Equity,,2688 HK Equity,,1798 HK Equity,,1600 HK Equity,,1265 HK Equity,,1733 HK Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2009,0.6864,6/23/2009,0.5613,1/21/2011,0.9127,6/23/2009,1.5226,2/7/2012,0.1819,12/22/2011,0.2532,6/23/2009,0.1110,11/22/2011,0.3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2009,0.7019,6/24/2009,0.5806,1/24/2011,0.9081,6/24/2009,1.6413,2/8/2012,0.1857,12/23/2011,0.2533,6/24/2009,0.1110,11/23/2011,0.3246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2009,0.7084,6/25/2009,0.6000,1/25/2011,0.9048,6/25/2009,1.7496,2/9/2012,0.1934,12/28/2011,0.2533,6/25/2009,0.1110,11/24/2011,0.3361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2009,0.7200,6/26/2009,0.6181,1/26/2011,0.9054,6/26/2009,1.7083,2/10/2012,0.1857,12/29/2011,0.2483,6/26/2009,0.1136,11/25/2011,0.3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2009,0.7097,6/29/2009,0.6129,1/27/2011,0.9091,6/29/2009,1.7677,2/13/2012,0.1960,12/30/2011,0.2562,6/29/2009,0.1110,11/28/2011,0.3284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2009,0.7019,6/30/2009,0.6090,1/28/2011,0.9008,6/30/2009,1.7084,2/14/2012,0.1909,1/3/2012,0.2588,6/30/2009,0.1110,11/29/2011,0.3466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2009,0.7226,7/2/2009,0.5974,1/31/2011,0.8981,7/2/2009,1.6413,2/15/2012,0.1922,1/4/2012,0.2562,7/2/2009,0.1097,11/30/2011,0.3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2009,0.7135,7/3/2009,0.6039,2/1/2011,0.8983,7/3/2009,1.6335,2/16/2012,0.1922,1/5/2012,0.2576,7/3/2009,0.1097,12/1/2011,0.3617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2009,0.7135,7/6/2009,0.5935,2/2/2011,0.9028,7/6/2009,1.5974,2/17/2012,0.1947,1/6/2012,0.2511,7/6/2009,0.1084,12/2/2011,0.3592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2009,0.7071,7/7/2009,0.5884,2/7/2011,0.8929,7/7/2009,1.5922,2/20/2012,0.1896,1/9/2012,0.2550,7/7/2009,0.1084,12/5/2011,0.3462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2009,0.6864,7/8/2009,0.5664,2/8/2011,0.8904,7/8/2009,1.5457,2/21/2012,0.1870,1/10/2012,0.2550,7/8/2009,0.1097,12/6/2011,0.3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2009,0.6735,7/9/2009,0.5600,2/9/2011,0.8773,7/9/2009,1.6773,2/22/2012,0.1883,1/11/2012,0.2485,7/9/2009,0.1097,12/7/2011,0.3410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2009,0.6632,7/10/2009,0.5612,2/10/2011,0.8550,7/10/2009,1.6489,2/23/2012,0.1857,1/12/2012,0.2562,7/10/2009,0.1097,12/8/2011,0.3369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2009,0.6567,7/13/2009,0.5484,2/11/2011,0.8786,7/13/2009,1.6154,2/24/2012,0.1857,1/13/2012,0.2498,7/13/2009,0.1071,12/9/2011,0.3212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2009,0.6632,7/14/2009,0.5677,2/14/2011,0.9146,7/14/2009,1.6438,2/27/2012,0.1844,1/16/2012,0.2510,7/14/2009,0.1071,12/12/2011,0.3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2009,0.6761,7/15/2009,0.5794,2/15/2011,0.8815,7/15/2009,1.6774,2/28/2012,0.1844,1/17/2012,0.2511,7/15/2009,0.1071,12/13/2011,0.3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2009,0.6761,7/16/2009,0.5910,2/16/2011,0.8870,7/16/2009,1.6671,2/29/2012,0.1883,1/18/2012,0.2500,7/16/2009,0.1071,12/14/2011,0.3122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2009,0.6903,7/17/2009,0.6052,2/17/2011,0.9002,7/17/2009,1.6774,3/1/2012,0.1908,1/19/2012,0.2487,7/17/2009,0.1071,12/15/2011,0.2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2009,0.7019,7/20/2009,0.6194,2/18/2011,0.9352,7/20/2009,1.6542,3/2/2012,0.2024,1/20/2012,0.2487,7/20/2009,0.1058,12/16/2011,0.3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2009,0.7110,7/21/2009,0.6194,2/21/2011,0.9276,7/21/2009,1.6619,3/5/2012,0.1971,1/26/2012,0.2566,7/21/2009,0.1045,12/19/2011,0.3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2009,0.7316,7/22/2009,0.6129,2/22/2011,0.9034,7/22/2009,1.6774,3/6/2012,0.1894,1/27/2012,0.2566,7/22/2009,0.1071,12/20/2011,0.2943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2009,0.7639,7/23/2009,0.6206,2/23/2011,0.8826,7/23/2009,1.6800,3/7/2012,0.1868,1/30/2012,0.2514,7/23/2009,0.1136,12/21/2011,0.3033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2009,0.7626,7/24/2009,0.6323,2/24/2011,0.8658,7/24/2009,1.7032,3/8/2012,0.1896,1/31/2012,0.2540,7/24/2009,0.1136,12/22/2011,0.2981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2009,0.7419,7/27/2009,0.6452,2/25/2011,0.8904,7/27/2009,1.7368,3/9/2012,0.1895,2/1/2012,0.2541,7/27/2009,0.1110,12/23/2011,0.3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2009,0.7600,7/28/2009,0.6581,2/28/2011,0.9000,7/28/2009,1.7316,3/12/2012,0.1895,2/2/2012,0.2514,7/28/2009,0.1136,12/28/2011,0.2971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2009,0.7406,7/29/2009,0.6271,3/1/2011,0.9153,7/29/2009,1.6361,3/13/2012,0.1869,2/3/2012,0.2515,7/29/2009,0.1097,12/29/2011,0.2921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2009,0.7458,7/30/2009,0.6232,3/2/2011,0.8908,7/30/2009,1.6310,3/14/2012,0.1830,2/6/2012,0.2502,7/30/2009,0.1084,12/30/2011,0.2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
