"","APEXGCE.US.Equity","HFRIAWJ.Index","HFRIEM.Index","HFRIEMNI.Index","HFRIFWI.Index","MXAP.Index"
"last.mon.ret.apex",-0.0122,0.0118,0.022643,0.00246,0.00899,0.02
"ytd.ret.apex",0.17016210951172,0.108683616202148,0.201232155137222,0.0478183882187035,0.0853580341586957,0.287127508183965
"ann.ret.3yr.apex",0.0989773329089887,0.053550906320897,0.0753888041002739,0.0375606114212792,0.0420397932370442,0.0803560036434356
"ann.ret.5yr.apex",0.0825804121307703,0.0562372291077158,0.0503101720779018,0.0415143008109371,0.0492313885331139,0.0609206884123763
"ann.ret.incep.apex",0.0989263046563262,0.0611383758081943,0.0625106966161817,0.041075693712697,0.0514996805645143,0.0758173308144132
"ann.std.incep.apex",0.10193670971261,0.0434108004445679,0.0747597120382673,0.016513298087757,0.035406119460315,0.116617813793809
"downrisk.incep.apex",0.0437135897916918,0.0297274833557546,0.0551086205296398,0.0105528896079189,0.0251510645723557,0.0815809414017759
"drawdown.incep.apex",-0.0905365874190697,-0.0819383959335197,-0.145903823550394,-0.00881299999999996,-0.0723440234872178,-0.222942700720636
"sharpe.incep.apex",0.921417857424794,1.29318914263925,0.769273918373892,2.18464497648981,1.31332326934708,0.607259976075563
"HFRIAWJ.Index",0.282094863427601,1,0.823975029250875,0.368705426198273,0.76515282314715,0.76945961015025
"HFRIEM.Index",0.300014961516269,0.823975029250875,1,0.348343863114401,0.821367701706428,0.869032080737138
"HFRIEMNI.Index",-0.134589080631589,0.368705426198273,0.348343863114401,1,0.507798220263124,0.329453229119387
"HFRIFWI.Index",0.138393807011879,0.76515282314715,0.821367701706428,0.507798220263124,1,0.77561584834138
"MXAP.Index",0.224659546672945,0.76945961015025,0.869032080737138,0.329453229119387,0.77561584834138,1
