"","APEXGCE.US.Equity","HFRIAWJ.Index","HFRIEM.Index","HFRIEMNI.Index","HFRIFWI.Index","MXAP.Index"
"1",1000,1000,1000,1000,1000,1000
"2",1023.649282,1016.02,1030.042,1002.308,1013.09,1040.1
"3",1013.27112226127,1014.6077322,1031.7415693,1005.554475612,1009.2301271,1036.04361
"4",1036.69896894543,1023.45511162478,1044.50937122009,1009.28307160757,1013.31750911476,1058.629360698
"5",1112.23923463154,1043.86280655058,1081.07659979713,1011.37632469808,1027.9194144211,1098.64555053238
"6",1129.75895455685,1081.4418675864,1117.66779947046,1023.64735364565,1053.7510293055,1131.4950524933
"7",1146.06538013684,1097.11196024773,1116.65295710855,1027.95588535714,1054.89961792744,1147.10968421771
"8",1144.65768751353,1105.54875122204,1108.0212297501,1031.47766222037,1064.9000663054,1151.35399004932
"9",1155.53362620431,1132.2919755141,1116.00452271045,1036.0254472331,1071.64088372511,1206.9643877687
"10",1282.49935206675,1134.53391362561,1117.95529861614,1039.36455724953,1076.77404355815,1145.28850755372
"11",1273.65198796404,1112.80758917968,1072.60097010659,1039.27205380394,1060.96700059872,1108.639275312
"12",1212.39787609511,1117.38122837121,1080.44704620292,1050.48475999243,1074.70652325647,1123.38417767365
"13",1268.13024852793,1113.47039407191,1065.32294845017,1045.69665045638,1067.22656585461,1105.74704608417
"14",1303.17877273463,1126.03034011704,1101.1135382263,1049.91080795772,1084.05672879813,1176.84658114738
"15",1286.72745042352,1137.1780404842,1133.51050074799,1064.31978388614,1100.38262313383,1208.85680815459
"16",1281.40701255786,1149.1411534701,1135.41819892075,1073.40481756139,1110.12100934857,1206.5599802191
"17",1290.50500234702,1157.92059188261,1140.23691375697,1076.72271185247,1121.76617873664,1200.527180318
"18",1280.56811382895,1153.91418663469,1111.63293053846,1076.79485227416,1115.73107669503,1144.94277186928
"19",1324.49160013328,1158.94525248842,1133.34312167188,1086.67013786437,1137.65519235209,1170.70398423634
"20",1310.31954001185,1145.69850825248,1131.57963977456,1089.81822125376,1134.29910953465,1172.10882901742
"21",1289.87855518767,1134.56231875226,1131.19942901559,1093.72303994052,1131.86036644915,1166.48270663814
"22",1289.36260376559,1140.22378472284,1155.23967928103,1095.95423494199,1142.30743763148,1204.16009806255
"23",1300.3221858976,1152.02510089472,1171.07570480462,1094.73772574121,1157.18028046944,1237.7561647985
"24",1354.67565326812,1160.65376890042,1177.59508325327,1093.23902979467,1149.9363319137,1264.24414672518
"25",1326.09199698417,1166.01598931274,1187.05941493737,1100.0061793891,1164.25303924603,1256.27940860082
"26",1292.01143266167,1167.22864594163,1158.24354763977,1096.86346173458,1153.53026875457,1191.70664699873
"27",1298.98829439804,1159.92179461803,1147.7753424562,1097.48099586354,1148.91614767955,1204.69624945102
"28",1254.95259121795,1169.38675646212,1138.63675517956,1107.75561294681,1157.91216111588,1194.93820983047
"29",1246.0424278203,1173.50299784486,1111.08630025124,1109.68199995773,1155.21422578048,1171.03944563386
"30",1282.17765822709,1174.65303078275,1099.90766098441,1112.24203633163,1154.70593152114,1192.23525959983
"31",1315.514277341,1177.90681967802,1119.4981163342,1121.05544222752,1176.39130891511,1241.95146992514
"32",1287.09916895043,1192.54820144662,1121.74271005745,1127.12819955807,1180.732192845,1242.6966408071
"33",1389.03742313131,1242.20590855485,1185.0101206474,1128.75915406283,1191.96095599896,1302.71888855808
"34",1333.19811872143,1255.08758382657,1185.00775062716,1133.43898951558,1198.96968642023,1286.17435867339
"35",1329.06520455339,1230.91459696207,1164.12198902236,1133.00714926057,1184.22235927726,1242.57304791436
"36",1322.68569157153,1212.19238594227,1124.35325363338,1135.99149009172,1178.18282524495,1206.53842952485
"37",1323.34703441732,1190.11836259427,1066.81560023194,1131.68608234427,1150.05960120635,1103.86200917228
"38",1328.90509196187,1181.68042340347,1052.12661623235,1144.2602464052,1134.14277632566,1051.75972233935
"39",1330.63266858142,1206.8265828135,1086.59217992689,1156.10562847599,1153.76344635609,1142.1058824883
"40",1280.4678169759,1206.62142229442,1080.27364640061,1157.34612981534,1155.56331733241,1119.37797542679
"41",1273.16915041914,1204.6666955903,1074.60112948336,1157.06258001354,1142.23967228356,1120.94510459238
"42",1298.88716725761,1166.47876134009,1016.38353869247,1157.47449429202,1112.59855278781,1031.15740171453
"43",1316.81181016576,1152.24772045174,1013.86290751652,1149.98679178845,1112.23139526539,1012.28722126316
"44",1301.93183671089,1182.83989742973,1070.66356304722,1162.98739246962,1135.343563659,1095.19354468461
"45",1302.97338218026,1192.1961610184,1089.49225246697,1152.73798457978,1147.00354205778,1114.57847042553
"46",1283.68937612399,1193.31682540976,1085.39249312094,1158.28611249956,1151.22451509255,1097.19104628689
"47",1263.27871504362,1190.44093186052,1104.13939226212,1158.72626122231,1155.94453560443,1094.99666419431
"48",1315.95743746094,1217.76155124672,1133.99200901071,1168.1362771897,1177.66473342844,1158.83496971684
"49",1395.44126668358,1230.08529814534,1151.32054090041,1164.36903769576,1182.69336184018,1172.27745536556
"50",1411.07020887043,1239.71686602982,1160.11317587126,1165.02224872591,1190.34538789128,1186.93092355763
"51",1406.27257016028,1244.20464108485,1169.16089852988,1167.49675598221,1183.26283283333,1181.1149620322
"52",1428.06979499776,1239.71306233053,1148.04000689794,1175.94593000525,1192.32662613283,1152.53197995102
"53",1413.36067610928,1237.77910995329,1150.31657023162,1182.91340964053,1204.32143199173,1147.23033284324
"54",1510.03454635516,1256.46957451359,1185.18841705819,1186.21610388025,1218.79737560427,1203.9035112857
