Date1,Price1
7/21/2011,6.3775
7/22/2011,6.3857
7/25/2011,6.3864
7/26/2011,6.3684
7/27/2011,6.3755
7/28/2011,6.378
7/29/2011,6.379
8/1/2011,6.3675
8/2/2011,6.3725
8/3/2011,6.367
8/4/2011,6.3865
8/5/2011,6.3855
8/8/2011,6.3935
8/9/2011,6.3855
8/10/2011,6.3615
8/11/2011,6.2712
8/12/2011,6.2665
8/15/2011,6.2605
8/16/2011,6.2705
8/17/2011,6.2725
8/18/2011,6.2965
8/19/2011,6.2785
8/22/2011,6.2825
8/23/2011,6.2825
8/24/2011,6.2875
8/25/2011,6.2945
8/26/2011,6.2845
8/29/2011,6.2825
8/30/2011,6.278
8/31/2011,6.277
9/1/2011,6.2775
9/2/2011,6.2835
9/5/2011,6.2875
9/6/2011,6.2912
9/7/2011,6.2915
9/8/2011,6.2905
9/9/2011,6.3075
9/12/2011,6.332
9/13/2011,6.3305
9/14/2011,6.348
9/15/2011,6.3275
9/16/2011,6.3225
9/19/2011,6.3485
9/20/2011,6.3395
9/21/2011,6.3575
9/22/2011,6.4285
9/23/2011,6.4125
9/26/2011,6.3975
9/27/2011,6.3687
9/28/2011,6.3792
9/29/2011,6.4235
9/30/2011,6.431
10/3/2011,6.421
10/4/2011,6.4085
10/5/2011,6.3785
10/6/2011,6.3765
10/7/2011,6.371
10/10/2011,6.3395
10/11/2011,6.3755
10/12/2011,6.3725
10/13/2011,6.4115
10/14/2011,6.3925
10/17/2011,6.3935
10/18/2011,6.3925
10/19/2011,6.395
10/20/2011,6.402
10/21/2011,6.409
10/24/2011,6.3945
10/25/2011,6.395
10/26/2011,6.395
10/27/2011,6.3525
10/28/2011,6.355
10/31/2011,6.367
11/1/2011,6.385
11/2/2011,6.372
11/3/2011,6.362
11/4/2011,6.3545
11/7/2011,6.347
11/8/2011,6.327
11/9/2011,6.3372
11/10/2011,6.339
11/11/2011,6.33
11/14/2011,6.344
11/15/2011,6.3515
11/16/2011,6.3405
11/17/2011,6.3315
11/18/2011,6.332
11/21/2011,6.3638
11/22/2011,6.3685
11/23/2011,6.3955
11/24/2011,6.3945
11/25/2011,6.4095
11/28/2011,6.408
11/29/2011,6.3895
11/30/2011,6.3795
12/1/2011,6.3825
12/2/2011,6.3825
12/5/2011,6.381
12/6/2011,6.3865
