"","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"X000001.CH.Equity",0.0856414547907294,0.342349048470741,0.0271996168063618,-0.42173754310197,-0.0492096520850333,0.0979336747988028,0.541321902789833,0.471910112359551,1.31174893395804,4.51428302337805
"X000002.CH.Equity",0.237012624526968,0.389823502406801,0.031204009689519,-0.447368371729009,0.0094194959886768,0.176554444176987,0.571727923064647,0.502994011976048,1.04296383116132,5.87148850900907
"X000063.CH.Equity",0.0772373296250819,0.389621873852852,0.0358420751545887,-0.69810581354915,-0.0393506877579501,0.0801808927015983,0.535777081517394,0.50974930362117,0.417196940186784,4.02874878547105
"X000069.CH.Equity",0.0824766240853085,0.380791120922428,0.0351055585664327,-0.483626154204267,-0.0394538715594832,0.0830805720444864,0.537782840205164,0.52247191011236,0.0786361936490015,1.96256454743214
"X000157.CH.Equity",0.000534548919761013,0.366082838884654,0.0333155000617638,-0.650186885095685,-0.0731964434412041,0.0385426807023199,0.517737242703326,0.483516483516484,0.433195471344234,3.18796690015642
"X000333.CH.Equity",0.461667155624918,0.333133274039591,0.0256802576396061,-0.341552764419214,0.0729363813357866,0.325910356756934,0.619491232586346,0.553299492385787,0.441273128744346,1.63225315684349
"X000338.CH.Equity",0.0267565680932496,0.361713382232286,0.0333547162357527,-0.702237760138163,-0.0647631075114415,0.0525095850107983,0.523197109480605,0.502747252747253,0.381502346855346,2.36447086737508
"X000538.CH.Equity",0.169874850468406,0.271005444977355,0.0234396367152741,-0.378531552048643,-0.0340280277147081,0.158755408260448,0.564803510503882,0.533527696793003,0.223907185685971,1.05365134888047
"X000562.CH.Equity",0.466743274589184,0.544123439471323,0.0376378094982589,-0.540776221629816,0.0661226269326938,0.265407893310337,0.595605351739023,0.50261780104712,1.99778352478455,9.16642032093017
"X000625.CH.Equity",0.182853917314338,0.383902673081434,0.0341370187191502,-0.524522816992651,-0.00677394329894482,0.135904389537467,0.557479382021372,0.520114942528736,0.18925188101072,1.37384418501888
"X000651.CH.Equity",0.382413928125752,0.365123398354059,0.029370977010973,-0.469754272317052,0.0493891006513041,0.255379427139241,0.599336258399061,0.534328358208955,0.486907228529608,1.36662550413566
"X000725.CH.Equity",0.0653135137507415,0.319668928586699,0.0280471390784072,-0.565036115394981,-0.0636111149242609,0.0777303036601352,0.534834149081858,0.478021978021978,0.751199907483167,4.89849534667204
"X000776.CH.Equity",0.0234263590798227,0.468588568429519,0.0377204739791552,-0.661972982080501,-0.0394496847925826,0.0645935314581671,0.527612921506908,0.462809917355372,1.61511092394138,7.84336876483857
"X000858.CH.Equity",0.14862991418408,0.293521902589208,0.0265516033659362,-0.616431820481637,-0.0370106402524379,0.131574457947604,0.554788918280077,0.524216524216524,-0.0014479688530827,0.307576153463827
"X000895.CH.Equity",0.0199223213768462,0.318560531962241,0.0301000427886463,-0.430113071882319,-0.0825388724409464,0.0449743536855381,0.520426406559489,0.489614243323442,0.0769905248845695,2.696326818265
"X002024.CH.Equity",-0.00555683492035464,0.46466399909966,0.0407786336295303,-0.686034416591808,-0.0482097169477457,0.0464335290135224,0.521847733403229,0.504132231404959,1.15924317890237,8.09074417257142
"X002236.CH.Equity",0.408933258869586,0.406660438564766,0.0340567317325927,-0.52762201542817,0.0563652382852398,0.240147584844472,0.595172672770384,0.567493112947658,0.299571749352657,1.08647651835042
"X002241.CH.Equity",0.230669657663053,0.432009460841444,0.0393233708950822,-0.505320120286937,0.0131433002921507,0.147174592797305,0.564372444645444,0.546703296703297,0.0672022957672411,1.82746928777911
"X002304.CH.Equity",0.128758436120774,0.357226647473382,0.0308520768042382,-0.745752140517311,-0.0296549144566539,0.114447475613935,0.548356665070659,0.519230769230769,0.685459736914882,2.80855830999887
"X002353.CH.Equity",0.0593396311038454,0.382238178045961,0.0363239023067952,-0.734678363310033,-0.0467794534333957,0.0693858897037688,0.531097205101542,0.508720930232558,-0.128580693276619,1.18612583485285
