,7751 JP Equity,,6758 JP Equity,,6971 JP Equity,,6502 JP Equity,,6752 JP Equity,,7974 JP Equity,,4901 JP Equity,,3765 JP Equity,,9613 JP Equity,,6594 JP Equity,,7731 JP Equity,,7752 JP Equity,,8035 JP Equity,,6702 JP Equity,,4307 JP Equity,,6701 JP Equity,,6753 JP Equity,,4716 JP Equity,,6762 JP Equity,,6963 JP Equity,,4704 JP Equity,,4902 JP Equity,,7832 JP Equity,,4768 JP Equity,,6857 JP Equity,,6448 JP Equity,,8036 JP Equity,,9766 JP Equity,,3436 JP Equity,,4684 JP Equity,,6724 JP Equity,,6952 JP Equity,,4739 JP Equity,,5214 JP Equity,,4062 JP Equity,,9719 JP Equity,,6592 JP Equity,,6723 JP Equity,,6976 JP Equity,,6727 JP Equity,,6925 JP Equity,,3668 JP Equity,,6588 JP Equity,,6457 JP Equity,,6967 JP Equity,,6479 JP Equity,,6703 JP Equity,,3774 JP Equity,,6770 JP Equity,,7735 JP Equity,,3105 JP Equity,,9684 JP Equity,,4733 JP Equity,,6256 JP Equity,,6756 JP Equity,,1973 JP Equity,,7732 JP Equity,,9697 JP Equity,,2327 JP Equity,,3626 JP Equity
5/26/2009,33.3965,5/26/2009,25.9166,5/26/2009,76.9069,5/26/2009,3.5609,5/26/2009,13.9486,5/26/2009,266.8563,5/26/2009,26.9174,5/26/2009,19.2162,5/26/2009,2793.9317,5/26/2009,55.2044,5/26/2009,14.2120,5/26/2009,13.4956,5/26/2009,44.5638,5/26/2009,5.1096,5/26/2009,18.3523,5/26/2009,3.7084,5/26/2009,10.7986,5/26/2009,35.9250,5/26/2009,43.9317,5/26/2009,62.7897,5/26/2009,31.7109,5/26/2009,9.4501,5/26/2009,10.8407,5/26/2009,46.8816,5/26/2009,17.0670,5/26/2009,9.4185,5/26/2009,15.0864,5/26/2009,19.0582,5/26/2009,15.3498,5/26/2009,151.8121,5/26/2009,13.8432,5/26/2009,8.9654,5/26/2009,25.8639,5/26/2009,8.7758,5/26/2009,27.9183,5/26/2009,14.2014,5/26/2009,48.4619,5/26/2009,9.4606,5/26/2009,8.7021,5/26/2009,4.2009,5/26/2009,14.1172,,,5/26/2009,3.9086,5/26/2009,20.0169,5/26/2009,11.0514,5/26/2009,4.0244,5/26/2009,1.0430,5/26/2009,8.4492,5/26/2009,5.0148,5/26/2009,2.3072,5/26/2009,9.7345,5/26/2009,22.5453,5/26/2009,37.6106,5/27/2009,369.4737,5/27/2009,6.4000,5/26/2009,11.0830,5/26/2009,5.8892,5/26/2009,19.0792,5/26/2009,13.6009,5/26/2009,16.5824
5/27/2009,33.3684,5/27/2009,26.0526,5/27/2009,78.0000,5/27/2009,3.6211,5/27/2009,14.1790,5/27/2009,270.2105,5/27/2009,28.1053,5/27/2009,22.2105,5/27/2009,2869.4737,5/27/2009,55.5790,5/27/2009,14.6947,5/27/2009,13.8526,5/27/2009,46.0000,5/27/2009,5.0842,5/27/2009,18.6211,5/27/2009,3.8632,5/27/2009,10.8421,5/27/2009,36.0000,5/27/2009,43.8947,5/27/2009,64.8421,5/27/2009,32.4211,5/27/2009,9.6526,5/27/2009,10.6526,5/27/2009,46.1053,5/27/2009,17.7895,5/27/2009,9.4421,5/27/2009,15.0737,5/27/2009,18.9368,5/27/2009,15.0316,5/27/2009,152.0000,5/27/2009,14.1474,5/27/2009,9.0211,5/27/2009,26.7368,5/27/2009,9.0211,5/27/2009,28.0526,5/27/2009,14.0632,5/27/2009,49.0526,5/27/2009,9.8316,5/27/2009,9.0211,5/27/2009,4.1605,5/27/2009,14.3158,,,5/27/2009,3.9474,5/27/2009,20.1053,5/27/2009,11.0105,5/27/2009,3.9895,5/27/2009,1.0421,5/27/2009,8.3632,5/27/2009,5.0421,5/27/2009,2.4316,5/27/2009,9.8211,5/27/2009,22.5263,5/27/2009,37.5790,5/28/2009,350.1083,5/28/2009,6.4350,5/27/2009,11.3790,5/27/2009,5.8316,5/27/2009,19.1790,5/27/2009,13.6000,5/27/2009,16.5895
5/28/2009,32.8968,5/28/2009,25.5749,5/28/2009,76.5185,5/28/2009,3.5887,5/28/2009,14.0456,5/28/2009,264.5148,5/28/2009,28.8234,5/28/2009,23.6156,5/28/2009,2792.6163,5/28/2009,55.9967,5/28/2009,14.4271,5/28/2009,13.6125,5/28/2009,46.1999,5/28/2009,5.0428,5/28/2009,18.1603,5/28/2009,3.8259,5/28/2009,10.9312,5/28/2009,34.8561,5/28/2009,44.0342,5/28/2009,63.9373,5/28/2009,31.4530,5/28/2009,9.5597,5/28/2009,10.3640,5/28/2009,45.0655,5/28/2009,17.6549,5/28/2009,9.3637,5/28/2009,15.3553,5/28/2009,18.0984,5/28/2009,15.3140,5/28/2009,146.2308,5/28/2009,13.9425,5/28/2009,8.7759,5/28/2009,25.7812,5/28/2009,9.0440,5/28/2009,28.2562,5/28/2009,13.9321,5/28/2009,48.9842,5/28/2009,10.2300,5/28/2009,9.7556,5/28/2009,4.2023,5/28/2009,14.2518,,,5/28/2009,3.8981,5/28/2009,19.3978,5/28/2009,11.0550,5/28/2009,3.9600,5/28/2009,1.0209,5/28/2009,7.8426,5/28/2009,5.2078,5/28/2009,2.3925,5/28/2009,9.9412,5/28/2009,21.5531,5/28/2009,39.0843,5/29/2009,348.3628,5/29/2009,6.4128,5/28/2009,10.6631,5/28/2009,5.7028,5/28/2009,18.8512,5/28/2009,13.5403,5/28/2009,15.8915
5/29/2009,32.9532,5/29/2009,26.1011,5/29/2009,78.0416,5/29/2009,3.7347,5/29/2009,14.3111,5/29/2009,269.9027,5/29/2009,28.8210,5/29/2009,25.9441,5/29/2009,2962.6530,5/29/2009,57.8512,5/29/2009,14.9283,5/29/2009,13.7253,5/29/2009,45.6115,5/29/2009,5.1679,5/29/2009,18.3283,5/29/2009,3.8812,5/29/2009,11.3087,5/29/2009,35.5686,5/29/2009,44.5653,5/29/2009,64.7557,5/29/2009,32.9532,5/29/2009,10.3672,5/29/2009,10.5032,5/29/2009,45.2976,5/29/2009,17.9098,5/29/2009,9.4257,5/29/2009,15.3573,5/29/2009,18.4120,5/29/2009,15.3677,5/29/2009,147.9234,5/29/2009,14.6563,5/29/2009,8.9549,5/29/2009,25.6826,5/29/2009,9.5617,5/29/2009,28.5072,5/29/2009,14.1856,5/29/2009,49.4822,5/29/2009,10.2207,5/29/2009,10.3672,5/29/2009,4.2682,5/29/2009,14.7505,,,5/29/2009,4.0590,5/29/2009,19.6464,5/29/2009,11.4238,5/29/2009,4.0485,5/29/2009,1.0461,5/29/2009,8.0866,5/29/2009,5.3458,5/29/2009,2.6363,5/29/2009,10.2835,5/29/2009,22.0211,5/29/2009,38.2885,6/1/2009,353.1483,6/1/2009,6.4312,5/29/2009,10.9426,5/29/2009,5.6701,5/29/2009,19.4581,5/29/2009,13.7044,5/29/2009,16.3406
6/1/2009,32.6222,6/1/2009,26.7191,6/1/2009,77.1541,6/1/2009,3.7800,6/1/2009,14.2813,6/1/2009,274.9586,6/1/2009,28.3761,6/1/2009,26.9159,6/1/2009,2985.7084,6/1/2009,57.8915,6/1/2009,14.9441,6/1/2009,13.5978,6/1/2009,45.9818,6/1/2009,5.1678,6/1/2009,18.6413,6/1/2009,3.9457,6/1/2009,11.2573,6/1/2009,35.2113,6/1/2009,45.9818,6/1/2009,63.8981,6/1/2009,34.9006,6/1/2009,11.2676,6/1/2009,10.5841,6/1/2009,46.6032,6/1/2009,17.7403,6/1/2009,9.3310,6/1/2009,15.5137,6/1/2009,18.7655,6/1/2009,14.3952,6/1/2009,160.2113,6/1/2009,14.4573,6/1/2009,9.2896,6/1/2009,26.4085,6/1/2009,9.5899,6/1/2009,28.3761,6/1/2009,14.0224,6/1/2009,49.0887,6/1/2009,10.1388,6/1/2009,10.3252,6/1/2009,4.2642,6/1/2009,14.4884,,,6/1/2009,3.9975,6/1/2009,19.5008,6/1/2009,11.1123,6/1/2009,4.0182,6/1/2009,1.0563,6/1/2009,7.9484,6/1/2009,5.4370,6/1/2009,2.6409,6/1/2009,10.1802,6/1/2009,22.4213,6/1/2009,37.5932,6/2/2009,374.4908,6/2/2009,6.5497,6/1/2009,11.1640,6/1/2009,5.7581,6/1/2009,19.8840,6/1/2009,13.8360,6/1/2009,16.2386
6/2/2009,33.2184,6/2/2009,28.0999,6/2/2009,77.8230,6/2/2009,3.8441,6/2/2009,14.5096,6/2/2009,275.9845,6/2/2009,29.1445,6/2/2009,26.3763,6/2/2009,3001.1491,6/2/2009,58.0800,6/2/2009,15.5124,6/2/2009,14.1231,6/2/2009,47.4251,6/2/2009,5.2753,6/2/2009,19.0954,6/2/2009,4.0113,6/2/2009,11.4907,6/2/2009,35.3076,6/2/2009,46.1715,6/2/2009,66.2279,6/2/2009,34.5764,6/2/2009,11.2295,6/2/2009,10.6550,6/2/2009,47.2161,6/2/2009,18.7507,6/2/2009,9.4850,6/2/2009,15.9302,6/2/2009,19.0118,6/2/2009,14.4573,6/2/2009,162.4360,6/2/2009,15.0528,6/2/2009,9.4850,6/2/2009,26.3763,6/2/2009,9.6313,6/2/2009,28.6222,6/2/2009,14.2066,6/2/2009,50.4544,6/2/2009,10.3520,6/2/2009,10.3729,6/2/2009,4.3691,6/2/2009,14.7080,,,6/2/2009,4.0113,6/2/2009,19.5550,6/2/2009,11.6787,6/2/2009,4.1053,6/2/2009,1.0551,6/2/2009,7.9703,6/2/2009,5.5782,6/2/2009,2.8936,6/2/2009,10.2580,6/2/2009,23.0335,6/2/2009,38.8593,6/3/2009,364.6213,6/3/2009,6.6778,6/2/2009,10.8743,6/2/2009,5.9229,6/2/2009,20.6309,6/2/2009,13.9768,6/2/2009,16.4107
6/3/2009,32.9201,6/3/2009,27.6591,6/3/2009,77.5081,6/3/2009,3.8858,6/3/2009,14.3244,6/3/2009,268.6738,6/3/2009,29.6385,6/3/2009,24.5859,6/3/2009,2980.5188,6/3/2009,59.3812,6/3/2009,15.7516,6/3/2009,13.8244,6/3/2009,48.2342,6/3/2009,5.1360,6/3/2009,18.8978,6/3/2009,3.9692,6/3/2009,11.5220,6/3/2009,34.8995,6/3/2009,46.6715,6/3/2009,66.1527,6/3/2009,34.3786,6/3/2009,11.7721,6/3/2009,10.5428,6/3/2009,47.8175,6/3/2009,18.8040,6/3/2009,9.4385,6/3/2009,15.8454,6/3/2009,18.6374,6/3/2009,13.6993,6/3/2009,160.4334,6/3/2009,14.9182,6/3/2009,9.4177,6/3/2009,26.2007,6/3/2009,10.3969,6/3/2009,29.5864,6/3/2009,14.1681,6/3/2009,50.7345,6/3/2009,10.0427,6/3/2009,10.2615,6/3/2009,4.5578,6/3/2009,14.8140,,,6/3/2009,4.2817,6/3/2009,19.9500,6/3/2009,11.8554,6/3/2009,4.1775,6/3/2009,1.0835,6/3/2009,8.1675,6/3/2009,5.6881,6/3/2009,2.9274,6/3/2009,10.2407,6/3/2009,23.1274,6/3/2009,38.9624,6/4/2009,367.1673,6/4/2009,6.5458,6/3/2009,11.1157,6/3/2009,5.9694,6/3/2009,19.8562,6/3/2009,14.1265,6/3/2009,16.0433
6/4/2009,32.3149,6/4/2009,27.3434,6/4/2009,76.7478,6/4/2009,3.7804,6/4/2009,14.0342,6/4/2009,262.6618,6/4/2009,28.4827,6/4/2009,24.7540,6/4/2009,2908.3377,6/4/2009,59.8654,6/4/2009,15.1321,6/4/2009,13.7960,6/4/2009,48.2652,6/4/2009,5.1994,6/4/2009,18.7882,6/4/2009,3.9151,6/4/2009,11.2377,6/4/2009,34.6971,6/4/2009,45.3651,6/4/2009,64.9405,6/4/2009,33.7649,6/4/2009,11.2066,6/4/2009,10.4195,6/4/2009,47.5401,6/4/2009,18.8607,6/4/2009,9.4459,6/4/2009,15.7949,6/4/2009,17.9700,6/4/2009,13.8167,6/4/2009,159.6064,6/4/2009,14.8524,6/4/2009,9.1766,6/4/2009,26.4112,6/4/2009,10.4816,6/4/2009,29.0523,6/4/2009,14.1067,6/4/2009,50.2330,6/4/2009,9.9223,6/4/2009,10.2538,6/4/2009,4.5313,6/4/2009,14.8731,,,6/4/2009,4.1947,6/4/2009,19.6168,6/4/2009,11.4345,6/4/2009,4.1533,6/4/2009,1.1082,6/4/2009,8.0218,6/4/2009,5.6033,6/4/2009,2.9311,6/4/2009,10.1088,6/4/2009,22.5790,6/4/2009,38.9436,6/5/2009,401.1403,6/5/2009,6.4345,6/4/2009,11.3206,6/4/2009,5.9037,6/4/2009,19.2750,6/4/2009,14.6971,6/4/2009,17.0896
6/5/2009,33.0890,6/5/2009,27.4384,6/5/2009,76.3592,6/5/2009,3.6245,6/5/2009,14.0297,6/5/2009,257.7886,6/5/2009,28.1511,6/5/2009,25.4225,6/5/2009,2909.7943,6/5/2009,61.0874,6/5/2009,15.5162,6/5/2009,13.6327,6/5/2009,49.8880,6/5/2009,5.0397,6/5/2009,18.4993,6/5/2009,3.8587,6/5/2009,11.1688,6/5/2009,34.0053,6/5/2009,44.4920,6/5/2009,63.9381,6/5/2009,34.5144,6/5/2009,10.9652,6/5/2009,10.2016,6/5/2009,47.5463,6/5/2009,19.3138,6/5/2009,9.3158,6/5/2009,15.3940,6/5/2009,17.6848,6/5/2009,14.1010,6/5/2009,163.7141,6/5/2009,14.8748,6/5/2009,9.0511,6/5/2009,26.1148,6/5/2009,10.0081,6/5/2009,29.4237,6/5/2009,13.7956,6/5/2009,48.4626,6/5/2009,9.7740,6/5/2009,10.2932,6/5/2009,4.4848,6/5/2009,14.7221,,,6/5/2009,4.0827,6/5/2009,19.1611,6/5/2009,11.3928,6/5/2009,4.1132,6/5/2009,1.0589,6/5/2009,7.7479,6/5/2009,5.5284,6/5/2009,2.9118,6/5/2009,9.8860,6/5/2009,22.4496,6/5/2009,38.5869,6/8/2009,434.9594,6/8/2009,6.4837,6/5/2009,10.9143,6/5/2009,5.8135,6/5/2009,18.4891,6/5/2009,14.3250,6/5/2009,16.4325
6/8/2009,34.1463,6/8/2009,27.5407,6/8/2009,77.8455,6/8/2009,3.6484,6/8/2009,13.5264,6/8/2009,261.8902,6/8/2009,28.8618,6/8/2009,25.2947,6/8/2009,2900.4065,6/8/2009,60.4675,6/8/2009,15.7622,6/8/2009,13.8821,6/8/2009,47.8659,6/8/2009,5.1220,6/8/2009,18.5061,6/8/2009,3.9634,6/8/2009,11.1281,6/8/2009,33.5366,6/8/2009,44.0041,6/8/2009,63.5163,6/8/2009,34.9594,6/8/2009,11.4431,6/8/2009,10.3049,6/8/2009,46.8496,6/8/2009,18.9228,6/8/2009,9.4411,6/8/2009,15.5589,6/8/2009,17.6829,6/8/2009,14.2073,6/8/2009,159.0447,6/8/2009,15.5996,6/8/2009,9.0752,6/8/2009,26.9309,6/8/2009,10.1423,6/8/2009,30.4878,6/8/2009,14.2276,6/8/2009,48.1707,6/8/2009,10.0915,6/8/2009,10.3862,6/8/2009,4.5452,6/8/2009,14.8171,,,6/8/2009,4.0752,6/8/2009,18.9533,6/8/2009,11.6362,6/8/2009,4.1870,6/8/2009,1.0569,6/8/2009,7.6474,6/8/2009,5.5589,6/8/2009,2.7744,6/8/2009,9.9390,6/8/2009,22.1037,6/8/2009,39.0244,6/9/2009,397.6632,6/9/2009,6.2417,6/8/2009,11.2500,6/8/2009,5.9756,6/8/2009,18.7500,6/8/2009,14.1260,6/8/2009,16.3211
6/9/2009,34.3343,6/9/2009,27.5187,6/9/2009,77.6878,6/9/2009,3.6077,6/9/2009,13.4263,6/9/2009,267.5003,6/9/2009,28.6974,6/9/2009,24.0238,6/9/2009,2974.2749,6/9/2009,60.7769,6/9/2009,15.4966,6/9/2009,13.9900,6/9/2009,49.2979,6/9/2009,5.1143,6/9/2009,18.8173,6/9/2009,3.8741,6/9/2009,10.9665,6/9/2009,33.9244,6/9/2009,44.5834,6/9/2009,64.0566,6/9/2009,33.7194,6/9/2009,11.1920,6/9/2009,10.2388,6/9/2009,47.1456,6/9/2009,19.1452,6/9/2009,9.6136,6/9/2009,15.7323,6/9/2009,17.7001,6/9/2009,14.3692,6/9/2009,160.2952,6/9/2009,15.9270,6/9/2009,9.0704,6/9/2009,27.4675,6/9/2009,10.1363,6/9/2009,29.9785,6/9/2009,14.3897,6/9/2009,48.0681,6/9/2009,10.0441,6/9/2009,9.9723,6/9/2009,4.6172,6/9/2009,15.1993,,,6/9/2009,4.0791,6/9/2009,19.1042,6/9/2009,11.7147,6/9/2009,4.1509,6/9/2009,1.0864,6/9/2009,7.5587,6/9/2009,5.5652,6/9/2009,2.7775,6/9/2009,9.9416,6/9/2009,22.5479,6/9/2009,39.0489,6/10/2009,400.1222,6/10/2009,6.3225,6/9/2009,11.5097,6/9/2009,5.9240,6/9/2009,19.0427,6/9/2009,14.3282,6/9/2009,16.2755
6/10/2009,34.3107,6/10/2009,27.4893,6/10/2009,77.0719,6/10/2009,3.6143,6/10/2009,13.4799,6/10/2009,268.0717,6/10/2009,28.7111,6/10/2009,23.9259,6/10/2009,3039.0959,6/10/2009,61.1892,6/10/2009,15.8522,6/10/2009,14.1621,6/10/2009,50.7025,6/10/2009,5.2230,6/10/2009,19.3545,6/10/2009,3.8791,6/10/2009,11.0263,6/10/2009,34.5144,6/10/2009,45.2046,6/10/2009,65.5671,6/10/2009,34.5144,6/10/2009,11.3623,6/10/2009,10.4052,6/10/2009,49.1753,6/10/2009,18.7742,6/10/2009,9.6925,6/10/2009,16.7278,6/10/2009,18.0004,6/10/2009,14.3657,6/10/2009,157.9108,6/10/2009,15.8624,6/10/2009,9.0613,6/10/2009,27.4893,6/10/2009,10.1710,6/10/2009,29.8819,6/10/2009,14.5184,6/10/2009,48.7681,6/10/2009,9.8656,6/10/2009,10.0896,6/10/2009,4.7343,6/10/2009,15.1802,,,6/10/2009,4.0216,6/10/2009,18.7742,6/10/2009,12.2175,6/10/2009,4.1743,6/10/2009,1.0996,6/10/2009,7.6207,6/10/2009,5.5488,6/10/2009,2.9118,6/10/2009,10.0591,6/10/2009,22.3987,6/10/2009,39.7068,6/11/2009,397.5066,6/11/2009,6.3765,6/10/2009,11.2604,6/10/2009,6.0069,6/10/2009,19.0898,6/10/2009,14.4879,6/10/2009,16.7176
6/11/2009,34.4370,6/11/2009,27.3350,6/11/2009,77.3554,6/11/2009,3.9240,6/11/2009,13.7237,6/11/2009,264.1529,6/11/2009,29.7364,6/11/2009,22.9920,6/11/2009,3137.1347,6/11/2009,62.3340,6/11/2009,16.1966,6/11/2009,13.9792,6/11/2009,50.4803,6/11/2009,5.3750,6/11/2009,20.3556,6/11/2009,3.9751,6/11/2009,11.2712,6/11/2009,34.1304,6/11/2009,44.9622,6/11/2009,66.5236,6/11/2009,33.0063,6/11/2009,11.3734,6/11/2009,10.3413,6/11/2009,49.6628,6/11/2009,18.6900,6/11/2009,9.6771,6/11/2009,16.9835,6/11/2009,18.0462,6/11/2009,14.4697,6/11/2009,163.8054,6/11/2009,16.1353,6/11/2009,9.0844,6/11/2009,27.9481,6/11/2009,10.3720,6/11/2009,30.8604,6/11/2009,14.8477,6/11/2009,48.5387,6/11/2009,10.3004,6/11/2009,10.1778,6/11/2009,4.9791,6/11/2009,15.8798,,,6/11/2009,4.0159,6/11/2009,18.7615,6/11/2009,12.6405,6/11/2009,4.2408,6/11/2009,1.1036,6/11/2009,7.6793,6/11/2009,5.5896,6/11/2009,3.3824,6/11/2009,10.2902,6/11/2009,22.0724,6/11/2009,39.5463,6/12/2009,394.8708,6/12/2009,6.2894,6/11/2009,11.5267,6/11/2009,6.0392,6/11/2009,18.6593,6/11/2009,15.0215,6/11/2009,17.1163
6/12/2009,34.6021,6/12/2009,27.3255,6/12/2009,77.1423,6/12/2009,3.8571,6/12/2009,13.6678,6/12/2009,259.0067,6/12/2009,30.4295,6/12/2009,22.8984,6/12/2009,3226.1347,6/12/2009,62.4873,6/12/2009,16.3953,6/12/2009,13.9324,6/12/2009,50.4783,6/12/2009,5.4040,6/12/2009,21.6263,6/12/2009,4.0403,6/12/2009,11.2559,6/12/2009,36.0269,6/12/2009,45.7969,6/12/2009,65.7439,6/12/2009,33.5844,6/12/2009,11.0828,6/12/2009,10.3399,6/12/2009,50.5801,6/12/2009,18.8174,6/12/2009,9.6581,6/12/2009,16.7311,6/12/2009,18.4103,6/12/2009,14.4616,6/12/2009,163.8510,6/12/2009,16.1205,6/12/2009,9.1594,6/12/2009,28.5976,6/12/2009,10.7674,6/12/2009,30.3786,6/12/2009,15.1842,6/12/2009,48.2394,6/12/2009,9.9837,6/12/2009,10.6045,6/12/2009,4.9715,6/12/2009,15.6931,,,6/12/2009,4.1523,6/12/2009,18.8073,6/12/2009,12.4466,6/12/2009,4.2337,6/12/2009,1.1398,6/12/2009,7.6023,6/12/2009,5.6686,6/12/2009,3.3381,6/12/2009,10.3501,6/12/2009,22.1860,6/12/2009,39.6906,6/15/2009,407.0183,6/15/2009,6.2022,6/12/2009,11.5510,6/12/2009,6.1266,6/12/2009,17.8404,6/12/2009,15.5709,6/12/2009,17.5656
6/15/2009,33.8672,6/15/2009,26.8285,6/15/2009,75.1811,6/15/2009,3.8050,6/15/2009,13.6795,6/15/2009,259.6144,6/15/2009,29.7868,6/15/2009,23.2990,6/15/2009,3152.0963,6/15/2009,61.1037,6/15/2009,15.7095,6/15/2009,13.6489,6/15/2009,47.8425,6/15/2009,5.2943,6/15/2009,21.5240,6/15/2009,3.9682,6/15/2009,11.0986,6/15/2009,36.9275,6/15/2009,44.8842,6/15/2009,65.7962,6/15/2009,33.1531,6/15/2009,10.6600,6/15/2009,10.4254,6/15/2009,50.8008,6/15/2009,17.9945,6/15/2009,9.4665,6/15/2009,16.5868,6/15/2009,18.7902,6/15/2009,13.8529,6/15/2009,163.9294,6/15/2009,15.8421,6/15/2009,8.9666,6/15/2009,28.9197,6/15/2009,10.4152,6/15/2009,29.5318,6/15/2009,15.6381,6/15/2009,48.0465,6/15/2009,10.1194,6/15/2009,10.2826,6/15/2009,4.8506,6/15/2009,15.5055,,,6/15/2009,4.1314,6/15/2009,19.2390,6/15/2009,12.0983,6/15/2009,4.2028,6/15/2009,1.1221,6/15/2009,7.8445,6/15/2009,5.5391,6/15/2009,3.3663,6/15/2009,10.2214,6/15/2009,22.7481,6/15/2009,41.0079,6/16/2009,401.3274,6/16/2009,6.0977,6/15/2009,11.6291,6/15/2009,6.2328,6/15/2009,18.0149,6/15/2009,16.7500,6/15/2009,18.0149
6/16/2009,33.4958,6/16/2009,26.4441,6/16/2009,75.3915,6/16/2009,3.7644,6/16/2009,13.4813,6/16/2009,264.7516,6/16/2009,29.3996,6/16/2009,22.7523,6/16/2009,3194.0268,6/16/2009,60.6658,6/16/2009,15.6176,6/16/2009,13.1287,6/16/2009,46.6660,6/16/2009,5.2577,6/16/2009,21.4145,6/16/2009,3.8888,6/16/2009,10.7747,6/16/2009,36.8143,6/16/2009,44.1771,6/16/2009,65.1250,6/16/2009,34.0143,6/16/2009,10.1213,6/16/2009,10.4221,6/16/2009,51.2289,6/16/2009,17.3390,6/16/2009,9.2191,6/16/2009,16.2398,6/16/2009,19.1745,6/16/2009,13.6472,6/16/2009,163.1235,6/16/2009,14.8398,6/16/2009,8.7836,6/16/2009,28.9848,6/16/2009,10.3080,6/16/2009,29.0885,6/16/2009,15.6072,6/16/2009,47.5993,6/16/2009,9.5199,6/16/2009,10.0487,6/16/2009,4.7910,6/16/2009,15.2650,,,6/16/2009,4.0133,6/16/2009,18.8012,6/16/2009,11.7806,6/16/2009,4.0962,6/16/2009,1.0889,6/16/2009,7.7051,6/16/2009,5.2784,6/16/2009,3.3185,6/16/2009,10.1110,6/16/2009,23.7997,6/16/2009,40.5476,6/17/2009,405.3489,6/17/2009,6.1952,6/16/2009,11.5421,6/16/2009,6.0666,6/16/2009,17.8575,6/16/2009,15.8975,6/16/2009,17.6190
6/17/2009,33.4308,6/17/2009,26.6924,6/17/2009,77.3088,6/17/2009,3.9281,6/17/2009,13.6858,6/17/2009,270.8943,6/17/2009,29.7743,6/17/2009,25.5746,6/17/2009,3238.6126,6/17/2009,63.7275,6/17/2009,15.6289,6/17/2009,13.2574,6/17/2009,47.6390,6/17/2009,5.3594,6/17/2009,21.7823,6/17/2009,3.9177,6/17/2009,10.9695,6/17/2009,36.7739,6/17/2009,45.1316,6/17/2009,68.4288,6/17/2009,33.1174,6/17/2009,10.2904,6/17/2009,10.5621,6/17/2009,51.2955,6/17/2009,17.6348,6/17/2009,9.3920,6/17/2009,16.4856,6/17/2009,18.9198,6/17/2009,14.0827,6/17/2009,164.3335,6/17/2009,15.1797,6/17/2009,8.9636,6/17/2009,29.6699,6/17/2009,10.7501,6/17/2009,29.2520,6/17/2009,16.0573,6/17/2009,48.1613,6/17/2009,9.7263,6/17/2009,10.4158,6/17/2009,4.7195,6/17/2009,15.5245,,,6/17/2009,4.1684,6/17/2009,19.1601,6/17/2009,12.1396,6/17/2009,4.2415,6/17/2009,1.1387,6/17/2009,7.8354,6/17/2009,5.4430,6/17/2009,3.3849,6/17/2009,10.4262,6/17/2009,23.7672,6/17/2009,41.1617,6/18/2009,404.7323,6/18/2009,6.0399,6/17/2009,11.8888,6/17/2009,6.1116,6/17/2009,18.0631,6/17/2009,15.9737,6/17/2009,18.0004
6/18/2009,32.1710,6/18/2009,25.6849,6/18/2009,74.9274,6/18/2009,3.7983,6/18/2009,13.2213,6/18/2009,268.2648,6/18/2009,29.1615,6/18/2009,24.8858,6/18/2009,3175.5915,6/18/2009,62.1627,6/18/2009,15.6185,6/18/2009,12.5156,6/18/2009,45.9734,6/18/2009,5.2304,6/18/2009,21.4819,6/18/2009,3.7671,6/18/2009,10.6476,6/18/2009,36.3221,6/18/2009,44.5206,6/18/2009,68.4932,6/18/2009,33.1050,6/18/2009,9.6306,6/18/2009,10.4608,6/18/2009,51.2661,6/18/2009,17.4865,6/18/2009,8.9456,6/18/2009,16.2101,6/18/2009,18.6488,6/18/2009,13.9166,6/18/2009,160.4400,6/18/2009,14.9543,6/18/2009,8.6758,6/18/2009,29.0058,6/18/2009,10.6268,6/18/2009,28.1237,6/18/2009,15.2761,6/18/2009,47.4263,6/18/2009,9.2258,6/18/2009,10.2117,6/18/2009,4.7452,6/18/2009,15.0996,,,6/18/2009,3.9851,6/18/2009,18.7111,6/18/2009,11.8929,6/18/2009,4.0058,6/18/2009,1.1104,6/18/2009,7.6432,6/18/2009,5.1785,6/18/2009,3.3105,6/18/2009,10.4089,6/18/2009,23.6613,6/18/2009,41.0959,6/19/2009,423.1649,6/19/2009,6.1655,6/18/2009,11.6542,6/18/2009,5.8115,6/18/2009,17.9120,6/18/2009,15.6912,6/18/2009,17.8912
