,939 HK Equity,,3988 HK Equity,,2628 HK Equity,,3328 HK Equity,,2318 HK Equity,,998 HK Equity,,2328 HK Equity,,2007 HK Equity,,960 HK Equity,,2777 HK Equity,,410 HK Equity,,3618 HK Equity,,3900 HK Equity,,3377 HK Equity,,272 HK Equity,,1918 HK Equity,,588 HK Equity,,1387 HK Equity,,1638 HK Equity,,337 HK Equity,,1777 HK Equity,,2868 HK Equity,,1238 HK Equity,,832 HK Equity,,3883 HK Equity,,2118 HK Equity,,8207 HK Equity,,733 HK Equity,,
5/19/2008,0.87929,5/19/2008,0.5004,5/19/2008,4.26277,5/19/2008,1.2099,5/19/2008,9.06399,5/19/2008,0.6252,5/19/2008,0.8130,5/19/2008,0.76376,12/2/2009,1.0839,5/19/2008,2.4205,5/19/2008,0.61666,12/30/2010,0.6580,5/19/2008,1.11281,5/19/2008,0.8397,5/19/2008,0.7519,10/20/2010,0.38521,5/19/2008,0.39999,11/4/2008,0.1497,12/22/2009,0.3676,5/19/2008,0.4978,12/8/2009,0.2877,5/19/2008,0.36923,10/28/2009,0.3484,6/20/2008,0.28114,5/19/2008,0.3705,7/28/2010,0.18669,12/2/2010,0.1320,5/19/2008,0.39821,,
5/20/2008,0.85197,5/20/2008,0.4930,5/20/2008,4.16683,5/20/2008,1.1701,5/20/2008,8.90419,5/20/2008,0.6141,5/20/2008,0.7932,5/20/2008,0.75403,12/3/2009,1.1432,5/20/2008,2.3616,5/20/2008,0.62823,12/31/2010,0.6729,5/20/2008,1.08209,5/20/2008,0.8141,5/20/2008,0.7251,10/21/2010,0.38636,5/20/2008,0.39873,11/5/2008,0.1497,12/23/2009,0.3624,5/20/2008,0.47281,12/9/2009,0.2826,5/20/2008,0.36155,10/29/2009,0.3445,6/23/2008,0.26858,5/20/2008,0.3590,7/29/2010,0.18801,12/3/2010,0.1331,5/20/2008,0.38852,,
5/21/2008,0.8755,5/21/2008,0.4954,5/21/2008,4.24967,5/21/2008,1.1766,5/21/2008,8.77497,5/21/2008,0.6165,5/21/2008,0.7826,5/21/2008,0.75027,12/4/2009,1.2245,5/21/2008,2.3511,5/21/2008,0.61406,1/3/2011,0.6848,5/21/2008,1.11402,5/21/2008,0.8153,5/21/2008,0.7175,10/22/2010,0.38641,5/21/2008,0.39356,11/6/2008,0.1484,12/24/2009,0.3649,5/21/2008,0.46901,12/10/2009,0.2748,5/21/2008,0.3692,10/30/2009,0.3548,6/24/2008,0.28104,5/21/2008,0.3654,7/30/2010,0.18539,12/6/2010,0.1289,5/21/2008,0.38847,,
5/22/2008,0.85194,5/22/2008,0.4881,5/22/2008,4.13462,5/22/2008,1.1524,5/22/2008,8.60897,5/22/2008,0.6153,5/22/2008,0.7605,5/22/2008,0.74667,12/7/2009,1.2077,5/22/2008,2.3154,5/22/2008,0.60897,1/4/2011,0.7092,5/22/2008,1.10897,5/22/2008,0.8064,5/22/2008,0.7272,10/25/2010,0.40218,5/22/2008,0.38718,11/7/2008,0.1484,12/28/2009,0.3584,5/22/2008,0.46154,12/11/2009,0.2813,5/22/2008,0.36795,11/2/2009,0.3523,6/25/2008,0.26854,5/22/2008,0.3577,8/2/2010,0.1816,12/7/2010,0.1267,5/22/2008,0.40695,,
5/23/2008,0.84307,5/23/2008,0.4831,5/23/2008,4.04409,5/23/2008,1.1301,5/23/2008,8.34455,5/23/2008,0.6177,5/23/2008,0.7522,5/23/2008,0.74652,12/8/2009,1.2451,5/23/2008,2.2585,5/23/2008,0.61783,1/5/2011,0.6885,5/23/2008,1.09338,5/23/2008,0.8050,5/23/2008,0.7131,10/26/2010,0.39567,5/23/2008,0.38839,11/10/2008,0.1471,12/29/2009,0.3598,5/23/2008,0.46145,12/14/2009,0.2838,5/23/2008,0.36147,11/3/2009,0.3406,6/26/2008,0.28113,5/23/2008,0.3538,8/3/2010,0.18298,12/8/2010,0.1234,5/23/2008,0.40688,,
5/26/2008,0.82043,5/26/2008,0.4731,5/26/2008,3.88908,5/26/2008,1.0999,5/26/2008,8.00241,5/26/2008,0.6175,5/26/2008,0.7122,5/26/2008,0.74019,12/9/2009,1.2361,5/26/2008,2.2271,5/26/2008,0.60995,1/6/2011,0.7166,5/26/2008,1.07638,5/26/2008,0.7560,5/26/2008,0.7290,10/27/2010,0.38793,5/26/2008,0.37673,11/11/2008,0.1471,12/30/2009,0.3830,5/26/2008,0.45256,12/15/2009,0.2773,5/26/2008,0.33701,11/4/2009,0.3394,6/27/2008,0.28997,5/26/2008,0.3434,8/4/2010,0.18161,12/9/2010,0.1233,5/26/2008,0.40578,,
5/27/2008,0.82638,5/27/2008,0.4754,5/27/2008,3.95829,5/27/2008,1.1051,5/27/2008,8.15357,5/27/2008,0.6247,5/27/2008,0.7202,5/27/2008,0.74361,12/10/2009,1.2489,5/27/2008,2.3237,5/27/2008,0.63666,1/7/2011,0.7399,5/27/2008,1.07604,5/27/2008,0.7955,5/27/2008,0.7470,10/28/2010,0.3971,5/27/2008,0.3843,11/12/2008,0.1381,12/31/2009,0.3805,5/27/2008,0.46241,12/16/2009,0.2812,5/27/2008,0.34715,11/5/2009,0.3458,6/30/2008,0.29138,5/27/2008,0.3536,8/5/2010,0.18161,12/10/2010,0.1201,5/27/2008,0.40565,,
5/28/2008,0.8327,5/28/2008,0.4754,5/28/2008,3.9652,5/28/2008,1.1207,5/28/2008,8.26351,5/28/2008,0.6471,5/28/2008,0.7168,5/28/2008,0.74126,12/11/2009,1.2477,5/28/2008,2.2651,5/28/2008,0.63418,1/10/2011,0.7329,5/28/2008,1.09283,5/28/2008,0.8238,5/28/2008,0.7353,10/29/2010,0.3909,5/28/2008,0.37922,11/13/2008,0.1381,1/4/2010,0.3739,5/28/2008,0.46872,12/17/2009,0.2811,5/28/2008,0.33438,11/6/2009,0.3458,7/2/2008,0.2876,5/28/2008,0.3523,8/6/2010,0.18035,12/13/2010,0.1189,5/28/2008,0.40279,,
5/29/2008,0.83907,5/29/2008,0.4817,5/29/2008,3.98514,5/29/2008,1.1209,5/29/2008,8.39954,5/29/2008,0.6670,5/29/2008,0.7087,5/29/2008,0.75117,12/14/2009,1.2062,5/29/2008,2.2963,5/29/2008,0.6266,1/11/2011,0.7370,5/29/2008,1.11481,5/29/2008,0.8098,5/29/2008,0.7408,11/1/2010,0.38056,5/29/2008,0.38442,11/14/2008,0.1458,1/5/2010,0.3635,5/29/2008,0.4688,12/18/2009,0.2630,5/29/2008,0.33316,11/9/2009,0.3406,7/3/2008,0.28135,5/29/2008,0.3524,8/9/2010,0.18166,12/14/2010,0.1179,5/29/2008,0.3883,,
5/30/2008,0.86392,5/30/2008,0.4890,5/30/2008,4.01712,5/30/2008,1.1297,5/30/2008,8.33536,5/30/2008,0.6880,5/30/2008,0.7111,5/30/2008,0.73528,12/15/2009,1.1711,5/30/2008,2.4167,5/30/2008,0.62788,1/12/2011,0.7525,5/30/2008,1.13018,5/30/2008,0.8906,5/30/2008,0.7837,11/2/2010,0.38188,5/30/2008,0.38954,11/17/2008,0.1471,1/6/2010,0.3559,5/30/2008,0.4688,12/21/2009,0.2501,5/30/2008,0.34341,11/10/2009,0.3329,7/4/2008,0.29387,5/30/2008,0.3588,8/10/2010,0.18162,12/15/2010,0.1125,5/30/2008,0.398,,
6/2/2008,0.86019,6/2/2008,0.4915,6/2/2008,4.13885,6/2/2008,1.1540,6/2/2008,8.68133,6/2/2008,0.6731,6/2/2008,0.7531,6/2/2008,0.74017,12/16/2009,1.1415,6/2/2008,2.4884,6/2/2008,0.63813,1/13/2011,0.7384,6/2/2008,1.10455,6/2/2008,0.8316,6/2/2008,0.7880,11/3/2010,0.38188,6/2/2008,0.3921,11/18/2008,0.1484,1/7/2010,0.3417,6/2/2008,0.4863,12/22/2009,0.2567,6/2/2008,0.34982,11/11/2009,0.3277,7/7/2008,0.29248,6/2/2008,0.3639,8/11/2010,0.17768,12/16/2010,0.1125,6/2/2008,0.398,,
6/3/2008,0.85015,6/3/2008,0.4792,6/3/2008,4.01025,6/3/2008,1.1274,6/3/2008,8.39206,6/3/2008,0.6607,6/3/2008,0.7273,6/3/2008,0.72665,12/17/2009,1.1630,6/3/2008,2.4318,6/3/2008,0.62396,1/14/2011,0.7345,6/3/2008,1.09417,6/3/2008,0.8200,6/3/2008,0.7772,11/4/2010,0.38568,6/3/2008,0.38821,11/19/2008,0.1458,1/8/2010,0.3365,6/3/2008,0.48374,12/23/2009,0.2541,6/3/2008,0.34337,11/12/2009,0.3355,7/8/2008,0.27872,6/3/2008,0.3536,8/12/2010,0.17766,12/17/2010,0.1179,6/3/2008,0.37855,,
6/4/2008,0.84243,6/4/2008,0.4753,6/4/2008,3.88093,6/4/2008,1.1182,6/4/2008,8.17173,6/4/2008,0.6605,6/4/2008,0.7213,6/4/2008,0.72032,12/18/2009,1.0699,6/4/2008,2.4336,6/4/2008,0.63914,1/17/2011,0.7163,6/4/2008,1.06053,6/4/2008,0.8261,6/4/2008,0.7512,11/5/2010,0.3961,6/4/2008,0.38169,11/20/2008,0.1458,1/11/2010,0.3327,6/4/2008,0.48484,12/24/2009,0.2540,6/4/2008,0.34326,11/13/2009,0.3342,7/9/2008,0.2937,6/4/2008,0.3497,8/13/2010,0.18012,12/20/2010,0.1222,6/4/2008,0.36873,,
6/5/2008,0.84737,6/5/2008,0.4790,6/5/2008,3.9,6/5/2008,1.1203,6/5/2008,8.12659,6/5/2008,0.6790,6/5/2008,0.7177,6/5/2008,0.71663,12/21/2009,0.9992,6/5/2008,2.3695,6/5/2008,0.62374,1/18/2011,0.7445,6/5/2008,1.06946,6/5/2008,0.8261,6/5/2008,0.7405,11/8/2010,0.40255,6/5/2008,0.37783,11/21/2008,0.1445,1/12/2010,0.3301,6/5/2008,0.48732,12/28/2009,0.2566,6/5/2008,0.33685,11/16/2009,0.3600,7/10/2008,0.28744,6/5/2008,0.3343,8/16/2010,0.17756,12/21/2010,0.1265,6/5/2008,0.36871,,
