,914 HK Equity,,2899 HK Equity,,358 HK Equity,,2600 HK Equity,,3993 HK Equity,,656 HK Equity,,3323 HK Equity,,2009 HK Equity,,3983 HK Equity,,1818 HK Equity,,2128 HK Equity,,691 HK Equity,,930 HK Equity,,2626 HK Equity,,246 HK Equity,,468 HK Equity,,189 HK Equity,,906 HK Equity,,743 HK Equity,,2233 HK Equity,,1053 HK Equity,,1768 HK Equity,,2198 HK Equity,,3868 HK Equity,,3833 HK Equity,,1091 HK Equity,,1938 HK Equity,,769 HK Equity,,1266 HK Equity,,609 HK Equity,,3330 HK Equity,,1090 HK Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2008,1.2248,11/25/2008,0.2106,11/25/2008,0.5093,11/25/2008,0.3790,11/25/2008,0.3185,11/25/2008,0.2256,11/25/2008,0.2927,2/12/2010,0.9755,11/25/2008,0.3068,11/25/2008,0.2211,1/7/2011,0.8119,1/29/2009,0.2604,6/28/2010,0.3855,11/25/2008,0.1019,9/11/2009,1.1355,7/5/2011,0.6028,11/25/2008,0.0542,6/8/2010,0.8097,12/9/2008,0.4593,3/10/2011,0.4018,11/25/2008,0.1934,7/4/2011,0.7622,4/6/2011,0.3963,11/25/2008,0.1096,11/25/2008,0.1882,6/13/2011,0.2839,9/2/2010,0.3552,11/25/2008,0.0851,9/11/2012,0.1767,11/25/2008,0.0155,11/25/2008,0.1599,6/24/2011,0.3274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2008,1.2616,11/26/2008,0.2227,11/26/2008,0.5339,11/26/2008,0.4114,11/26/2008,0.3340,11/26/2008,0.2308,11/26/2008,0.3024,2/17/2010,0.9746,11/26/2008,0.3018,11/26/2008,0.2244,1/10/2011,0.8190,1/30/2009,0.2734,6/29/2010,0.3713,11/26/2008,0.1045,9/14/2009,1.2697,7/6/2011,0.5911,11/26/2008,0.0529,6/9/2010,0.8024,12/10/2008,0.4555,3/11/2011,0.4019,11/26/2008,0.1999,7/5/2011,0.7545,4/7/2011,0.3899,11/26/2008,0.1124,11/26/2008,0.1909,6/14/2011,0.2852,9/3/2010,0.3616,11/26/2008,0.0838,9/12/2012,0.1780,11/26/2008,0.0155,11/26/2008,0.1599,6/27/2011,0.3172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2008,1.3546,11/27/2008,0.2314,11/27/2008,0.5496,11/27/2008,0.4257,11/27/2008,0.3470,11/27/2008,0.2335,11/27/2008,0.3322,2/18/2010,0.9619,11/27/2008,0.3393,11/27/2008,0.2245,1/11/2011,0.8206,2/2/2009,0.2876,6/30/2010,0.3622,11/27/2008,0.1058,9/15/2009,1.2503,7/7/2011,0.5974,11/27/2008,0.0516,6/10/2010,0.8008,12/11/2008,0.4490,3/14/2011,0.4313,11/27/2008,0.2051,7/6/2011,0.7453,4/8/2011,0.3850,11/27/2008,0.1124,11/27/2008,0.1935,6/15/2011,0.2888,9/6/2010,0.3657,11/27/2008,0.0852,9/13/2012,0.1677,11/27/2008,0.0155,11/27/2008,0.1574,6/28/2011,0.3172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2008,1.3763,11/28/2008,0.2409,11/28/2008,0.5664,11/28/2008,0.4568,11/28/2008,0.3652,11/28/2008,0.2335,11/28/2008,0.3600,2/19/2010,0.9400,11/28/2008,0.3690,11/28/2008,0.2277,1/12/2011,0.8708,2/3/2009,0.2786,7/2/2010,0.3695,11/28/2008,0.1110,9/16/2009,1.4787,7/8/2011,0.5962,11/28/2008,0.0490,6/11/2010,0.8112,12/12/2008,0.4065,3/15/2011,0.4245,11/28/2008,0.2077,7/7/2011,0.7413,4/11/2011,0.3797,11/28/2008,0.1097,11/28/2008,0.1948,6/16/2011,0.2693,9/7/2010,0.3592,11/28/2008,0.0852,9/14/2012,0.1742,11/28/2008,0.0155,11/28/2008,0.1587,6/29/2011,0.3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2008,1.3417,12/1/2008,0.2666,12/1/2008,0.6128,12/1/2008,0.4773,12/1/2008,0.3741,12/1/2008,0.2451,12/1/2008,0.3786,2/22/2010,0.9545,12/1/2008,0.3625,12/1/2008,0.2445,1/13/2011,0.8516,2/4/2009,0.2837,7/5/2010,0.3657,12/1/2008,0.1161,9/17/2009,1.4632,7/11/2011,0.5624,12/1/2008,0.0464,6/14/2010,0.8470,12/15/2008,0.4323,3/16/2011,0.4270,12/1/2008,0.2245,7/8/2011,0.7234,4/12/2011,0.3756,12/1/2008,0.1124,12/1/2008,0.2064,6/17/2011,0.2695,9/8/2010,0.3668,12/1/2008,0.0890,9/17/2012,0.1729,12/1/2008,0.0155,12/1/2008,0.1909,6/30/2011,0.3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2008,1.2902,12/2/2008,0.2348,12/2/2008,0.5741,12/2/2008,0.4451,12/2/2008,0.3419,12/2/2008,0.2309,12/2/2008,0.3948,2/23/2010,0.9675,12/2/2008,0.3342,12/2/2008,0.2258,1/14/2011,0.8837,2/5/2009,0.2915,7/6/2010,0.3698,12/2/2008,0.1122,9/18/2009,1.4735,7/12/2011,0.5529,12/2/2008,0.0471,6/15/2010,0.8342,12/16/2008,0.4323,3/17/2011,0.4114,12/2/2008,0.2129,7/11/2011,0.6766,4/13/2011,0.3794,12/2/2008,0.1097,12/2/2008,0.1974,6/20/2011,0.2669,9/9/2010,0.3643,12/2/2008,0.0877,9/18/2012,0.1690,12/2/2008,0.0177,12/2/2008,0.1677,7/4/2011,0.3278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2008,1.3329,12/3/2008,0.2468,12/3/2008,0.6127,12/3/2008,0.4708,12/3/2008,0.3521,12/3/2008,0.2451,12/3/2008,0.4289,2/24/2010,0.9631,12/3/2008,0.3521,12/3/2008,0.2386,1/17/2011,0.9092,2/6/2009,0.3031,7/7/2010,0.3723,12/3/2008,0.1174,9/21/2009,1.4476,7/13/2011,0.5636,12/3/2008,0.0464,6/17/2010,0.8477,12/17/2008,0.4452,3/18/2011,0.4154,12/3/2008,0.2257,7/12/2011,0.6171,4/14/2011,0.3717,12/3/2008,0.1142,12/3/2008,0.2103,6/21/2011,0.2632,9/10/2010,0.3631,12/3/2008,0.0890,9/19/2012,0.1690,12/3/2008,0.0194,12/3/2008,0.1767,7/5/2011,0.3406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2008,1.3867,12/4/2008,0.2408,12/4/2008,0.5818,12/4/2008,0.4554,12/4/2008,0.3457,12/4/2008,0.2425,12/4/2008,0.3999,2/25/2010,0.9685,12/4/2008,0.3509,12/4/2008,0.2380,1/18/2011,0.8872,2/9/2009,0.3096,7/8/2010,0.3724,12/4/2008,0.1161,9/22/2009,1.5406,7/14/2011,0.5534,12/4/2008,0.0484,6/18/2010,0.8661,12/18/2008,0.4645,3/21/2011,0.4206,12/4/2008,0.2180,7/13/2011,0.6163,4/15/2011,0.3705,12/4/2008,0.1115,12/4/2008,0.2090,6/22/2011,0.2735,9/13/2010,0.3940,12/4/2008,0.0942,9/20/2012,0.1690,12/4/2008,0.0194,12/4/2008,0.1793,7/6/2011,0.3379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/2008,1.3934,12/5/2008,0.2555,12/5/2008,0.5974,12/5/2008,0.4709,12/5/2008,0.3677,12/5/2008,0.2593,12/5/2008,0.4484,2/26/2010,0.9792,12/5/2008,0.3535,12/5/2008,0.2432,1/19/2011,0.9373,2/10/2009,0.3019,7/9/2010,0.3744,12/5/2008,0.1174,9/23/2009,1.5380,7/15/2011,0.5440,12/5/2008,0.0497,6/21/2010,0.8815,12/19/2008,0.4839,3/22/2011,0.4260,12/5/2008,0.2322,7/14/2011,0.6241,4/18/2011,0.3716,12/5/2008,0.1115,12/5/2008,0.2051,6/23/2011,0.2709,9/14/2010,0.3876,12/5/2008,0.0942,9/21/2012,0.1677,12/5/2008,0.0213,12/5/2008,0.1845,7/7/2011,0.3405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/2008,1.5181,12/8/2008,0.2838,12/8/2008,0.6799,12/8/2008,0.5419,12/8/2008,0.3948,12/8/2008,0.2864,12/8/2008,0.5161,3/1/2010,0.9968,12/8/2008,0.3690,12/8/2008,0.2709,1/20/2011,0.9507,2/11/2009,0.2967,7/12/2010,0.3719,12/8/2008,0.1277,9/24/2009,1.4580,7/18/2011,0.5554,12/8/2008,0.0497,6/22/2010,0.8920,12/22/2008,0.4619,3/23/2011,0.4376,12/8/2008,0.2387,7/15/2011,0.5158,4/19/2011,0.3664,12/8/2008,0.1124,12/8/2008,0.2232,6/24/2011,0.2774,9/15/2010,0.3785,12/8/2008,0.0968,9/24/2012,0.1664,12/8/2008,0.0213,12/8/2008,0.1935,7/8/2011,0.3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/2008,1.4688,12/9/2008,0.2925,12/9/2008,0.7097,12/9/2008,0.5445,12/9/2008,0.4116,12/9/2008,0.2723,12/9/2008,0.5219,3/2/2010,0.9984,12/9/2008,0.3639,12/9/2008,0.2710,1/21/2011,0.9346,2/12/2009,0.2980,7/13/2010,0.3718,12/9/2008,0.1290,9/25/2009,1.2658,7/19/2011,0.5567,12/9/2008,0.0497,6/23/2010,0.8937,12/23/2008,0.4465,3/24/2011,0.4376,12/9/2008,0.2361,7/18/2011,0.4938,4/20/2011,0.4066,12/9/2008,0.1134,12/9/2008,0.2323,6/27/2011,0.2799,9/16/2010,0.3966,12/9/2008,0.0955,9/25/2012,0.1651,12/9/2008,0.0213,12/9/2008,0.1858,7/11/2011,0.3146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/2008,1.5914,12/10/2008,0.3441,12/10/2008,0.8129,12/10/2008,0.5897,12/10/2008,0.4645,12/10/2008,0.2968,12/10/2008,0.5290,3/3/2010,1.0087,12/10/2008,0.3923,12/10/2008,0.2935,1/24/2011,0.9055,2/13/2009,0.3070,7/14/2010,0.3796,12/10/2008,0.1432,9/28/2009,1.1432,7/20/2011,0.5647,12/10/2008,0.0490,6/24/2010,0.8859,12/24/2008,0.4645,3/25/2011,0.4414,12/10/2008,0.2452,7/19/2011,0.4965,4/21/2011,0.4377,12/10/2008,0.1234,12/10/2008,0.2671,6/28/2011,0.2800,9/17/2010,0.3928,12/10/2008,0.1071,9/26/2012,0.1638,12/10/2008,0.0213,12/10/2008,0.2129,7/12/2011,0.3041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2008,1.5311,12/11/2008,0.3776,12/11/2008,0.7871,12/11/2008,0.5884,12/11/2008,0.4774,12/11/2008,0.3084,12/11/2008,0.4897,3/4/2010,0.9970,12/11/2008,0.4129,12/11/2008,0.3361,1/25/2011,0.9164,2/16/2009,0.3224,7/15/2010,0.3707,12/11/2008,0.1458,9/29/2009,1.1587,7/21/2011,0.5493,12/11/2008,0.0503,6/25/2010,0.8600,12/29/2008,0.4748,3/28/2011,0.4410,12/11/2008,0.2439,7/20/2011,0.4864,4/26/2011,0.4337,12/11/2008,0.1316,12/11/2008,0.2581,6/29/2011,0.2827,9/20/2010,0.3890,12/11/2008,0.1097,9/27/2012,0.1638,12/11/2008,0.0213,12/11/2008,0.2477,7/13/2011,0.3030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2008,1.3634,12/12/2008,0.3441,12/12/2008,0.6968,12/12/2008,0.5381,12/12/2008,0.4297,12/12/2008,0.2839,12/12/2008,0.4626,3/5/2010,1.0048,12/12/2008,0.3703,12/12/2008,0.3226,1/26/2011,0.8952,2/17/2009,0.3172,7/16/2010,0.3655,12/12/2008,0.1316,9/30/2009,1.1393,7/22/2011,0.5610,12/12/2008,0.0497,6/28/2010,0.8584,12/30/2008,0.4748,3/29/2011,0.4312,12/12/2008,0.2168,7/21/2011,0.4864,4/27/2011,0.4441,12/12/2008,0.1316,12/12/2008,0.2452,6/30/2011,0.2892,9/21/2010,0.3878,12/12/2008,0.0968,9/28/2012,0.1625,12/12/2008,0.0213,12/12/2008,0.2387,7/14/2011,0.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2008,1.4279,12/15/2008,0.3553,12/15/2008,0.7135,12/15/2008,0.5510,12/15/2008,0.4323,12/15/2008,0.2865,12/15/2008,0.4697,3/8/2010,1.0028,12/15/2008,0.3858,12/15/2008,0.3277,1/27/2011,0.9387,2/18/2009,0.3082,7/19/2010,0.3652,12/15/2008,0.1342,10/2/2009,1.1845,7/25/2011,0.5339,12/15/2008,0.0490,6/29/2010,0.8158,12/31/2008,0.5032,3/30/2011,0.4368,12/15/2008,0.2206,7/22/2011,0.4993,4/28/2011,0.4286,12/15/2008,0.1316,12/15/2008,0.2465,7/4/2011,0.2944,9/22/2010,0.3880,12/15/2008,0.1058,10/3/2012,0.1599,12/15/2008,0.0213,12/15/2008,0.2439,7/15/2011,0.2938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2008,1.4408,12/16/2008,0.3690,12/16/2008,0.7329,12/16/2008,0.5548,12/16/2008,0.4413,12/16/2008,0.2839,12/16/2008,0.5097,3/9/2010,1.0026,12/16/2008,0.3935,12/16/2008,0.3355,1/28/2011,0.9354,2/19/2009,0.3159,7/20/2010,0.3666,12/16/2008,0.1419,10/5/2009,1.2219,7/26/2011,0.5327,12/16/2008,0.0484,6/30/2010,0.8284,1/2/2009,0.5122,3/31/2011,0.4424,12/16/2008,0.2271,7/25/2011,0.5082,4/29/2011,0.4159,12/16/2008,0.1280,12/16/2008,0.2477,7/5/2011,0.2931,9/24/2010,0.3867,12/16/2008,0.1058,10/4/2012,0.1625,12/16/2008,0.0161,12/16/2008,0.2477,7/18/2011,0.2886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
