"","ann.ret","ann.std","downrisk","drawdown","sharpe","sortino","omega","wl","skewness","kurtosis"
"AAASYWB.KY.Equity",0.093778233552275,0.19536048728786,0.170508659385392,-0.356209095491683,0.454432903934467,0.520667008187627,1.60763339057665,0.655172413793103,-0.470872940665166,1.55286779872558
"AESOPHK.KY.Equity",0.194461837739252,0.156256703605831,0.133941007055463,-0.263892423895026,1.21250374138945,1.41451704675327,2.72473868235674,0.661016949152542,-0.33610856440213,4.06812306060024
"AHPACOB.KY.Equity",0.0708127790153605,0.0318919960074996,0.0245825300819661,-0.0264114405459999,2.06361429996054,2.67721747094052,5.34587619790226,0.783333333333333,-0.306857241425452,1.66230876863397
"AISMERC.KY.Equity",0.0886507228749127,0.202576497871072,0.104863068305863,-0.223549040432079,0.41293399655942,0.797713858905233,1.49828055949264,0.583333333333333,0.572466633604978,0.798902548071442
"AJAOPAR.KY.Equity",0.0969639163217322,0.132654500168466,0.109329509862328,-0.265028190457779,0.693258926044283,0.841162797103333,1.83279606633886,0.677966101694915,-0.522487027310616,1.88100878365355
"ALASOPP.KY.Equity",0.0274083436761008,0.122883207792961,0.0801606763514764,-0.286578342839222,0.182354807288684,0.27954284689226,1.22135913620198,0.566666666666667,-0.347368342144974,-0.117846887342792
"ALCINDA.KY.Equity",0.206283077369625,0.236642312229825,0.155729867171632,-0.352361774011652,0.850579405994567,1.29251428146271,1.98462017145711,0.7,-0.190198715257763,0.137130837656186
"ALLIVFD.AU.Equity",0.0295988186767864,0.119425487352731,0.125436633428016,-0.200078547929571,0.205976288831313,0.196105539542425,1.29323114823165,0.683333333333333,-1.55468878990149,3.80170394925232
"ALTACIF.MP.Equity",0.119661304785385,0.132717399507566,0.0987081001173254,-0.167374601936871,0.86395080984727,1.16162001547084,1.96351560295872,0.683333333333333,-0.523608452965961,0.285893707298976
"ALTOGLA.KY.Equity",0.163213501870299,0.232729777880621,0.159382943379446,-0.368756415492809,0.679816323081164,0.992662693483065,2.03165946038296,0.5,-0.00795551393911603,2.10035191542555
"APEXGCE.US.Equity",0.109954252511378,0.101841391676286,0.0450636987983079,-0.0905337521387642,1.0305657727556,2.32901992757236,2.46165792481027,0.566666666666667,0.971368000351967,1.5850032218899
"APSASPH.KY.Equity",0.0875144161043269,0.160992444466361,0.101736744194429,-0.251580993633742,0.512535953956325,0.811058155612233,1.68368390600531,0.6,0.607373551168476,2.37977171758731
"APSCHIA.KY.Equity",0.148229686786618,0.269632890090136,0.213319126590635,-0.430832761448109,0.531202579695443,0.671433870350875,1.74993667029529,0.6,-0.301351020153438,1.66105306522843
"APSCHIN.KY.Equity",0.110552972096171,0.241463013444288,0.149558615528849,-0.377878019033482,0.437139297611413,0.705763233518373,1.59182194965798,0.533333333333333,0.373467230295958,1.93824578671727
"ARASALP.KY.Equity",0.0799704339804912,0.134005757942928,0.0957740579443642,-0.236767668322401,0.559456810896295,0.782784352982537,1.6127361400318,0.610169491525424,-0.448291130454237,0.449920958344841
"ARMACRO.KY.Equity",0.117996135376386,0.0694457737751098,0.039029250266273,-0.065866590551,1.6271132026307,2.89516541069791,3.84925003611583,0.666666666666667,0.482132353978332,1.06111461574517
"ARMLLOA.KY.Equity",0.0441621596708561,0.0729728545713557,0.0453446957043681,-0.191086566104961,0.536667503291403,0.863654702331228,1.57728056310074,0.610169491525424,-0.121970575826813,-0.0955650154013905
"ARNASIA.KY.Equity",0.0700713107328941,0.126971770118546,0.0919342805484035,-0.225679993428451,0.512486442239413,0.707802468728016,1.57299108651182,0.610169491525424,-0.405751986785806,0.690546742660977
"ARQCALA.KY.Equity",0.0354895839264187,0.0993092581521628,0.0899546261165674,-0.24982917687536,0.30701653092305,0.338944034817163,1.35528916083853,0.627118644067797,-1.37332850620516,2.91411865029332
"ARQVALA.KY.Equity",0.193913633362178,0.112680475950288,0.0742169903771842,-0.154170416758825,1.6765427352785,2.54542298740605,3.33077337575695,0.694915254237288,-0.297942840533304,1.22494754877692
"ARXBRLS.KY.Equity",0.048680881537597,0.0836728737751787,0.0381991283231643,-0.138637594812815,0.522043519802648,1.14350466764731,1.6153303132491,0.526315789473684,0.725669291570612,0.372305738770207
"ASCREHA.KY.Equity",0.0871814159625186,0.0822308467013464,0.0763270692654124,-0.0908180461510001,0.999398878391617,1.07670079243772,2.33691134460478,0.716666666666667,-0.92629944824476,3.25720338807319
"ASEASCF.KY.Equity",0.132282828641452,0.214411773991066,0.0951663579346172,-0.314276013665561,0.593637309519933,1.33747714427508,1.6888032303929,0.490909090909091,0.637866921274354,0.365090834830434
"ATCHSTA.KY.Equity",0.113693963495286,0.232632272309303,0.173360697846388,-0.25847385877,0.467235102061714,0.626981575671768,1.7618458850954,0.610169491525424,0.394015865999773,5.18365942432504
"ATHASIE.SP.Equity",0.00524210138621783,0.0991420205509693,0.0704930047361245,-0.239371836719253,0.00244196542366583,0.00343440298968797,1.07820115985342,0.616666666666667,-0.524780246885593,-0.120615256890706
"ATLRIVR.KY.Equity",0.0481779517623289,0.319399963291424,0.179510228203413,-0.449421767533304,0.135184585863377,0.240531986363482,1.28758002513965,0.5,1.34460725883277,6.25321921504105
"ATMOSBE.KY.Equity",0.0958222019718797,0.180864347843115,0.111506142839107,-0.280937352042582,0.502156467291501,0.814504023360646,1.57573883205565,0.55,0.137070840478578,0.730862147381863
"BERINUR.KY.Equity",-0.195261667689177,0.239827583015319,0.238611952862878,-0.748157364929957,-0.835023499679709,-0.839277602343167,0.300469462009089,0.166666666666667,-1.90852736726929,11.3445569452249
"BRASCEH.KY.Equity",0.0593829855599111,0.242446142108194,0.142314869423402,-0.534290531121032,0.224309552162897,0.382131437004771,1.30150620232219,0.576271186440678,0.108147060389814,0.07251824387038
"BRASFXI.KY.Equity",0.0658431650792553,0.175175232659041,0.0767417247399937,-0.237450530283331,0.34732743981953,0.792830305617916,1.89496843358035,0.483333333333333,4.84892855910325,30.7473594991786
"BRAXFDA.KY.Equity",0.0558418500603322,0.158176448985107,0.0834615266423997,-0.346733360093342,0.321424904823341,0.609165110029317,1.38097062237804,0.576271186440678,0.49888334862538,0.894147935087847
