"","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","inforatio.incep","alpha.incep","beta.incep","corr.bhf.incep","corr.bidx.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"AAASYWB.KY.Equity",0.018090608113895,0.189191782429665,0.153013544102001,-0.431121033125517,0.0691922658890408,0.0855519567938937,-0.124394887523633,0.000647365456648059,0.567923887594177,0.583999457086803,0.493291951410568,1.16228811273013,0.587719298245614,-0.573956898250267,1.03359220413662
"AESOPHK.KY.Equity",0.1071053806708,0.21704791382338,0.180853467076648,-0.643304926917097,0.470427837209653,0.564575190740061,0.216056747519948,0.00713032127929173,0.925173005879012,0.774933475129761,0.680625183908997,1.58445830177789,0.612403100775194,-0.651976334772665,1.67393704621368
"AHPACOB.KY.Equity",0.0669430369305679,0.0441064897201107,0.0496635911151482,-0.0949232141998351,1.40439734206108,1.24725247489552,0.315056465906817,0.00418981296621376,0.1927362365341,0.624088227325695,0.569372457399096,3.25972721803079,0.789473684210526,-1.67034371295605,6.36237002294505
"AISMERC.KY.Equity",0.133297550953823,0.209551872334815,0.121689822410622,-0.367935783878685,0.612247218430161,1.05429976322016,0.221930635327421,0.012447698068115,-0.0331685614695643,0.0968324514630261,-0.0233348283162802,1.69895544620794,0.596273291925466,0.128843646300227,0.458917458725887
"AJAOPAR.KY.Equity",0.0834381760487766,0.135293457394969,0.102885149074101,-0.265028190457778,0.579763260981558,0.762385793816394,0.442882494780638,0.00286193245668173,0.684512217350428,0.726126991045138,0.605059724218606,1.67342813890982,0.631578947368421,-0.38600362342388,1.11407842344902
"ALASOPP.KY.Equity",0.185438760882868,0.156870166431363,0.0847055104510487,-0.286577621898877,1.15024268149685,2.13018916859186,0.675205388678123,0.010398185957578,0.675815995014923,0.599533786605236,0.557758931378868,2.3942555526896,0.65979381443299,0.388840453339862,1.70493549233604
"ALCINDA.KY.Equity",0.139471934592637,0.292587366202841,0.189201732137617,-0.438643065447173,0.459595834016332,0.710733105206605,0.330297820339855,0.0093207766253676,1.07953933341106,0.648422541761689,0.598510247254687,1.60355560501368,0.631578947368421,0.683496114471388,4.79748803209899
"ALLIVFD.AU.Equity",0.0537097561347537,0.136164721418186,0.114609174193105,-0.200078547929571,0.357726697689613,0.425007478482329,-0.134878526571662,0.00465280394311027,0.0970545815079119,0.132605830746647,0.104273114494084,1.47604134078591,0.640243902439024,-0.161274250564101,4.07913274955872
"ALTACIF.MP.Equity",0.0987421309726686,0.124507686361005,0.0877584731232261,-0.167374601936871,0.752902360588945,1.06818324928056,0.447334927364387,0.00544115785706521,0.522089280489667,0.50635009404082,0.495328562322536,1.84206961113016,0.691358024691358,-0.393582653971471,0.304787136977015
"ALTOGLA.KY.Equity",0.0781538876905197,0.208101079291437,0.150780375851084,-0.405582775068484,0.35153055399617,0.485168492767051,0.124704735963574,0.00467913391078136,0.527268935743214,0.335305872783126,0.334862985386645,1.51381719275251,0.537634408602151,0.0190982827537605,2.52899478928982
"APEXGCE.US.Equity",0.103173034865886,0.102357260158847,0.0444883756807808,-0.0905346604242415,0.959121362896318,2.20671205373536,0.53408246350236,0.00820548560719397,0.0529953128609079,0.144445933657177,0.0500292124393831,2.29187574359352,0.555555555555556,0.935887416561443,1.41508704257938
"APSASPH.KY.Equity",0.0618802741199784,0.179249105493009,0.13243557763566,-0.510337128263692,0.31732528853371,0.429493910438932,0.059436809626013,0.00370461084766347,0.527448787012131,0.447678023902245,0.430471305008245,1.42451268938746,0.585365853658537,-0.144695940359444,2.31498979133676
"APSCHIA.KY.Equity",0.161770687222188,0.286036524132433,0.214903778445167,-0.634920416271765,0.548079262596564,0.729492465681279,0.209538205748401,0.0121117608820245,0.731214200916923,0.430343982599661,0.375916761059654,1.68439881476583,0.608695652173913,-0.507901007910109,1.11560022622041
"APSCHIN.KY.Equity",0.095175612867507,0.245168974115119,0.175505254492464,-0.496555019537871,0.367810050978004,0.513805772529615,0.199661126296374,0.00784377232179017,0.625469708372289,0.488537220156947,0.407310436550848,1.48554054727979,0.581395348837209,-0.200698406990312,1.4509035400878
"ARASALP.KY.Equity",0.0982854684559529,0.193677182650903,0.137857908656954,-0.298670670251033,0.481654406467162,0.676678395637675,0.416088664973354,0.0051936914178497,0.946916978580415,0.822448584158111,0.803700428852129,1.56989781940874,0.609090909090909,-0.211072068948131,1.4405290937548
"ARMACRO.KY.Equity",0.121299084164228,0.0754422343398394,0.0433706756841383,-0.065866590551,1.54156468431653,2.68151423351612,0.667073447022165,0.0105182333497842,-0.0932256574282862,-0.0109509217410497,-0.128804067714198,3.75053115851108,0.671641791044776,0.655831095122912,1.62510663096154
"ARMLLOA.KY.Equity",0.0480975110115711,0.0764208119202509,0.0567576704776436,-0.191087395256322,0.563949923177283,0.759324874486293,0.0482856299736702,0.00199852821568698,0.248811904600942,0.490425520959011,0.469777201288309,1.64523135276886,0.611111111111111,-0.530905330694383,1.48898126660107
"ARNASIA.KY.Equity",0.134292135935371,0.185811925048939,0.130809939611978,-0.350097082943659,0.695822595354513,0.988396878088092,0.499487149785863,0.00806985029133433,0.948140200620898,0.828962043702432,0.785733232931745,1.79507805797625,0.638297872340426,-0.277145601036274,1.19201656494575
"ARQCALA.KY.Equity",0.0379034645950755,0.0874514105380548,0.0753792843062503,-0.249828384136858,0.376248529241932,0.436505399300365,0.0583897739884411,0.00134804108445768,0.31527535591573,0.505599505636545,0.471781182285404,1.43236030831103,0.595744680851064,-1.26811736889481,3.43839655840543
