,2333 HK Equity,,1128 HK Equity,,1211 HK Equity,,489 HK Equity,,2282 HK Equity,,2238 HK Equity,,3333 HK Equity,,670 HK Equity,,1055 HK Equity,,2313 HK Equity,,3383 HK Equity,,3308 HK Equity,,2020 HK Equity,,1833 HK Equity,,881 HK Equity,,425 HK Equity,,3918 HK Equity,,1293 HK Equity,,921 HK Equity,,3669 HK Equity,,210 HK Equity,,3368 HK Equity,,1728 HK Equity,,3818 HK Equity,,2006 HK Equity,,848 HK Equity,,1028 HK Equity,,1628 HK Equity,,2331 HK Equity,,2698 HK Equity,,1966 HK Equity,,331 HK Equity,,1234 HK Equity,,1899 HK Equity,,2200 HK Equity,,811 HK Equity,,1146 HK Equity,,2355 HK Equity,,1698 HK Equity,,672 HK Equity,,2722 HK Equity,,1086 HK Equity,,946 HK Equity,,1968 HK Equity,,2083 HK Equity,,496 HK Equity,,3666 HK Equity,,873 HK Equity,,238 HK Equity,,837 HK Equity,,1863 HK Equity
8/7/2009,0.39945,1/6/2011,2.53181,8/7/2009,5.70,8/7/2009,0.97927,9/3/2012,1.62,11/29/2011,0.89988,2/1/2011,0.52,8/7/2009,0.30707,8/7/2009,0.35,8/7/2009,0.74058,8/7/2009,1.23,8/7/2009,1.26569,8/7/2009,1.40,8/7/2009,0.59866,6/28/2011,2.15,8/7/2009,0.91863,8/7/2009,0.13,3/20/2013,0.90311,8/7/2009,0.27,,,8/7/2009,0.63,8/7/2009,1.49148,3/15/2012,1.07,8/7/2009,0.68381,8/7/2009,0.31,8/7/2009,0.26191,12/24/2012,0.37675,1/27/2011,0.22293,8/7/2009,2.8449,8/7/2009,0.70316,5/11/2011,0.25863,3/15/2011,0.27058,12/23/2010,1.45311,8/7/2009,0.37803,3/22/2013,0.31043,8/7/2009,0.37416,3/15/2013,0.16751,8/7/2009,0.65542,12/29/2011,0.22644,8/7/2009,0.34728,9/15/2009,0.18064,2/28/2012,0.36492,3/24/2011,0.26433,12/28/2010,0.64906,8/24/2012,0.17533,8/7/2009,0.13418,,,9/8/2011,0.53,2/8/2012,0.27083,3/28/2011,0.52566,7/28/2011,0.35547
8/10/2009,0.41908,1/7/2011,2.56826,8/10/2009,5.81,8/10/2009,1.02575,9/4/2012,1.63,11/30/2011,0.89576,2/2/2011,0.55,8/10/2009,0.31869,8/10/2009,0.36,8/10/2009,0.7148,8/10/2009,1.24,8/10/2009,1.25929,8/10/2009,1.41,8/10/2009,0.61803,6/29/2011,2.12,8/10/2009,0.93027,8/10/2009,0.13,3/21/2013,0.90175,8/10/2009,0.28,,,8/10/2009,0.63,8/10/2009,1.51992,3/16/2012,1.05,8/10/2009,0.70577,8/10/2009,0.31,8/10/2009,0.27095,12/27/2012,0.37668,1/28/2011,0.22099,8/10/2009,2.90308,8/10/2009,0.7277,5/12/2011,0.25733,3/16/2011,0.27313,12/24/2010,1.45488,8/10/2009,0.37675,3/25/2013,0.32211,8/10/2009,0.38063,3/18/2013,0.17908,8/10/2009,0.63352,12/30/2011,0.22532,8/10/2009,0.34729,9/16/2009,0.18064,2/29/2012,0.40358,3/25/2011,0.26431,12/29/2010,0.63986,8/27/2012,0.17535,8/10/2009,0.14193,,,9/9/2011,0.53761,2/9/2012,0.27851,3/29/2011,0.52875,7/29/2011,0.35667
8/11/2009,0.43609,1/10/2011,2.61656,8/11/2009,6.19,8/11/2009,1.1457,9/5/2012,1.62,12/1/2011,0.9293,2/7/2011,0.54,8/11/2009,0.31481,8/11/2009,0.36,8/11/2009,0.73026,8/11/2009,1.25,8/11/2009,1.25666,8/11/2009,1.47,8/11/2009,0.61672,6/30/2011,2.18,8/11/2009,1.00507,8/11/2009,0.14,3/22/2013,0.90038,8/11/2009,0.28,,,8/11/2009,0.64,8/11/2009,1.54567,3/19/2012,1.05,8/11/2009,0.72381,8/11/2009,0.32,8/11/2009,0.27997,12/28/2012,0.37669,1/31/2011,0.22097,8/11/2009,3.1094,8/11/2009,0.71606,5/13/2011,0.25989,3/17/2011,0.26529,12/28/2010,1.45492,8/11/2009,0.37158,3/26/2013,0.32603,8/11/2009,0.38061,3/19/2013,0.17522,8/11/2009,0.63607,1/3/2012,0.23044,8/11/2009,0.34298,9/17/2009,0.17935,3/1/2012,0.38813,3/28/2011,0.26411,12/30/2010,0.65669,8/28/2012,0.17663,8/11/2009,0.13934,,,9/12/2011,0.52045,2/10/2012,0.2837,3/30/2011,0.537,8/1/2011,0.34915
8/12/2009,0.39066,1/11/2011,2.64322,8/12/2009,5.99,8/12/2009,1.08245,9/6/2012,1.56,12/2/2011,0.94369,2/8/2011,0.55,8/12/2009,0.30061,8/12/2009,0.34,8/12/2009,0.76378,8/12/2009,1.21,8/12/2009,1.25147,8/12/2009,1.43,8/12/2009,0.6167,7/4/2011,2.25,8/12/2009,0.96763,8/12/2009,0.13,3/25/2013,0.91092,8/12/2009,0.29,,,8/12/2009,0.63,8/12/2009,1.49402,3/20/2012,1.02,8/12/2009,0.71476,8/12/2009,0.31,8/12/2009,0.26707,12/31/2012,0.37673,2/1/2011,0.22191,8/12/2009,3.02546,8/12/2009,0.7096,5/16/2011,0.25587,3/18/2011,0.28588,12/29/2010,1.44933,8/12/2009,0.35867,3/27/2013,0.33234,8/12/2009,0.37157,3/20/2013,0.17521,8/12/2009,0.64509,1/4/2012,0.2343,8/12/2009,0.35372,9/18/2009,0.1845,3/2/2012,0.40857,3/29/2011,0.26437,12/31/2010,0.65613,8/29/2012,0.17535,8/12/2009,0.13934,,,9/14/2011,0.50103,2/13/2012,0.28502,3/31/2011,0.53751,8/2/2011,0.33999
8/13/2009,0.3757,1/12/2011,2.55718,8/13/2009,6.01,8/13/2009,1.0915,9/7/2012,1.64,12/5/2011,0.93826,2/9/2011,0.55,8/13/2009,0.31223,8/13/2009,0.35,8/13/2009,0.76121,8/13/2009,1.27,8/13/2009,1.23342,8/13/2009,1.49,8/13/2009,0.61671,7/5/2011,2.30,8/13/2009,0.96764,8/13/2009,0.14,3/26/2013,0.89174,8/13/2009,0.28,,,8/13/2009,0.64,8/13/2009,1.60242,3/21/2012,0.96,8/13/2009,0.72638,8/13/2009,0.31,8/13/2009,0.26965,1/2/2013,0.37673,2/2/2011,0.22205,8/13/2009,3.10291,8/13/2009,0.7096,5/17/2011,0.25852,3/21/2011,0.28341,12/30/2010,1.47786,8/13/2009,0.38448,3/28/2013,0.33493,8/13/2009,0.37028,3/21/2013,0.17648,8/13/2009,0.62832,1/5/2012,0.23181,8/13/2009,0.3591,9/21/2009,0.18063,3/5/2012,0.41864,3/30/2011,0.26465,1/3/2011,0.66421,8/30/2012,0.17019,8/13/2009,0.14321,,,9/15/2011,0.50576,2/14/2012,0.27599,4/1/2011,0.52836,8/3/2011,0.3577
8/14/2009,0.37571,1/13/2011,2.59204,8/14/2009,5.80,8/14/2009,1.10185,9/10/2012,1.65,12/6/2011,0.90706,2/10/2011,0.52,8/14/2009,0.30965,8/14/2009,0.33,8/14/2009,0.75865,8/14/2009,1.25,8/14/2009,1.23861,8/14/2009,1.48,8/14/2009,0.61286,7/6/2011,2.23,8/14/2009,0.96767,8/14/2009,0.14,3/27/2013,0.86177,8/14/2009,0.26,,,8/14/2009,0.62,8/14/2009,1.59472,3/22/2012,0.97,8/14/2009,0.72123,8/14/2009,0.29,8/14/2009,0.27482,1/3/2013,0.38189,2/7/2011,0.22216,8/14/2009,3.12879,8/14/2009,0.70962,5/18/2011,0.2598,3/22/2011,0.28225,12/31/2010,1.54385,8/14/2009,0.38449,4/2/2013,0.33237,8/14/2009,0.369,3/22/2013,0.18162,8/14/2009,0.61673,1/6/2012,0.23308,8/14/2009,0.34621,9/22/2009,0.18322,3/6/2012,0.39289,3/31/2011,0.2649,1/4/2011,0.68086,8/31/2012,0.16245,8/14/2009,0.14063,,,9/16/2011,0.51321,2/15/2012,0.27342,4/4/2011,0.53398,8/4/2011,0.33968
8/17/2009,0.34112,1/14/2011,2.57908,8/17/2009,5.52,8/17/2009,1.05278,9/11/2012,1.64,12/7/2011,0.94823,2/11/2011,0.49,8/17/2009,0.30835,8/17/2009,0.31,8/17/2009,0.69153,8/17/2009,1.21,8/17/2009,1.19986,8/17/2009,1.48,8/17/2009,0.61799,7/7/2011,2.22,8/17/2009,0.95473,8/17/2009,0.13,3/28/2013,0.77291,8/17/2009,0.24,,,8/17/2009,0.58,8/17/2009,1.57917,3/23/2012,0.95,8/17/2009,0.67347,8/17/2009,0.28,8/17/2009,0.2632,1/4/2013,0.38319,2/8/2011,0.22216,8/17/2009,3.07706,8/17/2009,0.66831,5/19/2011,0.25854,3/23/2011,0.28101,1/3/2011,1.53181,8/17/2009,0.38447,4/3/2013,0.34142,8/17/2009,0.35867,3/25/2013,0.17523,8/17/2009,0.59219,1/9/2012,0.2498,8/17/2009,0.33975,9/23/2009,0.18192,3/7/2012,0.38254,4/1/2011,0.26482,1/5/2011,0.65888,9/3/2012,0.16114,8/17/2009,0.13805,,,9/19/2011,0.49133,2/16/2012,0.27728,4/6/2011,0.54034,8/5/2011,0.3087
8/18/2009,0.37205,1/17/2011,2.54639,8/18/2009,5.48,8/18/2009,1.07718,9/12/2012,1.65,12/8/2011,0.92465,2/14/2011,0.51,8/18/2009,0.30832,8/18/2009,0.32,8/18/2009,0.70565,8/18/2009,1.20,8/18/2009,1.17523,8/18/2009,1.41,8/18/2009,0.63728,7/8/2011,2.22,8/18/2009,0.94173,8/18/2009,0.13,4/2/2013,0.74976,8/18/2009,0.23,,,8/18/2009,0.62,8/18/2009,1.56611,3/26/2012,0.94,8/18/2009,0.67211,8/18/2009,0.28,8/18/2009,0.25543,1/7/2013,0.3819,2/9/2011,0.22033,8/18/2009,2.95419,8/18/2009,0.65663,5/20/2011,0.25725,3/24/2011,0.27845,1/4/2011,1.53161,8/18/2009,0.37411,4/5/2013,0.33739,8/18/2009,0.36121,3/26/2013,0.17912,8/18/2009,0.56891,1/10/2012,0.26012,8/18/2009,0.34186,9/24/2009,0.17935,3/8/2012,0.4023,4/4/2011,0.26506,1/6/2011,0.67412,9/4/2012,0.16761,8/18/2009,0.13932,,,9/20/2011,0.47617,2/17/2012,0.27985,4/7/2011,0.54307,8/8/2011,0.30872
8/19/2009,0.37617,1/18/2011,2.6422,8/19/2009,5.39,8/19/2009,1.03976,9/13/2012,1.66,12/9/2011,0.89818,2/15/2011,0.50,8/19/2009,0.29929,8/19/2009,0.32,8/19/2009,0.81916,8/19/2009,1.19,8/19/2009,1.16489,8/19/2009,1.34,8/19/2009,0.62308,7/11/2011,2.21,8/19/2009,0.94301,8/19/2009,0.13,4/3/2013,0.77302,8/19/2009,0.23,,,8/19/2009,0.66,8/19/2009,1.57125,3/27/2012,0.97,8/19/2009,0.65533,8/19/2009,0.27,8/19/2009,0.25542,1/8/2013,0.37931,2/10/2011,0.21306,8/19/2009,2.83805,8/19/2009,0.6721,5/23/2011,0.25972,3/25/2011,0.27842,1/5/2011,1.51336,8/19/2009,0.36766,4/8/2013,0.33615,8/19/2009,0.36637,3/27/2013,0.18034,8/19/2009,0.56245,1/11/2012,0.2704,8/19/2009,0.34186,9/25/2009,0.17806,3/9/2012,0.4087,4/6/2011,0.26502,1/7/2011,0.67166,9/5/2012,0.16372,8/19/2009,0.14319,,,9/21/2011,0.48017,2/20/2012,0.27211,4/8/2011,0.54721,8/9/2011,0.28941
8/20/2009,0.38599,1/19/2011,2.76424,8/20/2009,5.51,8/20/2009,1.07593,9/14/2012,1.70,12/12/2011,0.91354,2/16/2011,0.50,8/20/2009,0.30317,8/20/2009,0.33,8/20/2009,0.91596,8/20/2009,1.22,8/20/2009,1.29009,8/20/2009,1.38,8/20/2009,0.62569,7/12/2011,2.16,8/20/2009,0.92628,8/20/2009,0.13,4/5/2013,0.74045,8/20/2009,0.24,,,8/20/2009,0.66,8/20/2009,1.58939,3/28/2012,0.98,8/20/2009,0.66827,8/20/2009,0.28,8/20/2009,0.26318,1/9/2013,0.38185,2/11/2011,0.21111,8/20/2009,2.93495,8/20/2009,0.67085,5/24/2011,0.25845,3/28/2011,0.27693,1/6/2011,1.46917,8/20/2009,0.3651,4/9/2013,0.33616,8/20/2009,0.3651,3/28/2013,0.18034,8/20/2009,0.58957,1/12/2012,0.26007,8/20/2009,0.34295,9/28/2009,0.17418,3/12/2012,0.40218,4/7/2011,0.2651,1/10/2011,0.66089,9/6/2012,0.1676,8/20/2009,0.14191,,,9/22/2011,0.45638,2/21/2012,0.26696,4/11/2011,0.54704,8/10/2011,0.29207
8/21/2009,0.38134,1/20/2011,2.66569,8/21/2009,5.47,8/21/2009,1.09526,9/17/2012,1.71,12/13/2011,0.89351,2/17/2011,0.49,8/21/2009,0.30574,8/21/2009,0.32,8/21/2009,1.01656,8/21/2009,1.21,8/21/2009,1.33134,8/21/2009,1.41,8/21/2009,0.6231,7/13/2011,2.23,8/21/2009,0.91465,8/21/2009,0.13,4/8/2013,0.71352,8/21/2009,0.25,,,8/21/2009,0.65,8/21/2009,1.67449,3/29/2012,0.94,8/21/2009,0.66696,8/21/2009,0.27,8/21/2009,0.24898,1/10/2013,0.38058,2/14/2011,0.21112,8/21/2009,2.90263,8/21/2009,0.6747,5/25/2011,0.25698,3/29/2011,0.28362,1/7/2011,1.38964,8/21/2009,0.36122,4/10/2013,0.33492,8/21/2009,0.3638,4/2/2013,0.17778,8/21/2009,0.6102,1/13/2012,0.26266,8/21/2009,0.34294,9/29/2009,0.17419,3/13/2012,0.39822,4/8/2011,0.26524,1/11/2011,0.66627,9/7/2012,0.16761,8/21/2009,0.15223,,,9/23/2011,0.42941,2/22/2012,0.27338,4/12/2011,0.54029,8/11/2011,0.29001
8/24/2009,0.38605,1/21/2011,2.59959,8/24/2009,5.95,8/24/2009,1.17028,9/18/2012,1.73,12/14/2011,0.87992,2/18/2011,0.49,8/24/2009,0.30967,8/24/2009,0.33,8/24/2009,1.03222,8/24/2009,1.24,8/24/2009,1.45027,8/24/2009,1.41,8/24/2009,0.63481,7/14/2011,2.32,8/24/2009,0.929,8/24/2009,0.14,4/9/2013,0.79725,8/24/2009,0.26,,,8/24/2009,0.64,8/24/2009,1.62058,3/30/2012,1.00,8/24/2009,0.66062,8/24/2009,0.29,8/24/2009,0.24257,1/11/2013,0.37539,2/15/2011,0.21117,8/24/2009,2.87731,8/24/2009,0.68901,5/26/2011,0.25817,3/30/2011,0.28006,1/10/2011,1.39635,8/24/2009,0.37418,4/11/2013,0.3337,8/24/2009,0.37289,4/3/2013,0.18037,8/24/2009,0.61804,1/16/2012,0.25875,8/24/2009,0.34192,9/30/2009,0.1729,3/14/2012,0.39554,4/11/2011,0.26515,1/12/2011,0.68174,9/10/2012,0.16634,8/24/2009,0.15354,,,9/26/2011,0.39486,2/23/2012,0.27462,4/13/2011,0.54015,8/12/2011,0.30154
8/25/2009,0.37675,1/24/2011,2.56269,8/25/2009,6.03,8/25/2009,1.10961,9/19/2012,1.73,12/15/2011,0.84048,2/21/2011,0.49,8/25/2009,0.30966,8/25/2009,0.33,8/25/2009,0.98058,8/25/2009,1.25,8/25/2009,1.42959,8/25/2009,1.38,8/25/2009,0.67092,7/15/2011,2.32,8/25/2009,0.93929,8/25/2009,0.14,4/10/2013,0.80124,8/25/2009,0.25,,,8/25/2009,0.62,8/25/2009,1.56119,4/2/2012,0.99,8/25/2009,0.65802,8/25/2009,0.29,8/25/2009,0.24256,1/14/2013,0.37667,2/16/2011,0.21394,8/25/2009,2.87723,8/25/2009,0.6748,5/27/2011,0.25821,3/31/2011,0.2739,1/11/2011,1.45088,8/25/2009,0.36772,4/12/2013,0.33369,8/25/2009,0.37288,4/5/2013,0.17642,8/25/2009,0.62061,1/17/2012,0.2653,8/25/2009,0.33869,10/2/2009,0.17419,3/15/2012,0.39167,4/12/2011,0.265,1/13/2011,0.6792,9/11/2012,0.16378,8/25/2009,0.16386,,,9/27/2011,0.40659,2/24/2012,0.32499,4/14/2011,0.54664,8/15/2011,0.32079
8/26/2009,0.38448,1/25/2011,2.67599,8/26/2009,5.95,8/26/2009,1.07603,9/20/2012,1.71,12/16/2011,0.84918,2/22/2011,0.47,8/26/2009,0.32126,8/26/2009,0.34,8/26/2009,1.00636,8/26/2009,1.24,8/26/2009,1.44761,8/26/2009,1.36,8/26/2009,0.67736,7/18/2011,2.34,8/26/2009,0.92895,8/26/2009,0.14,4/11/2013,0.83748,8/26/2009,0.26,,,8/26/2009,0.63,8/26/2009,1.49664,4/3/2012,1.03,8/26/2009,0.63091,8/26/2009,0.28,8/26/2009,0.25159,1/15/2013,0.37667,2/17/2011,0.20956,8/26/2009,2.76104,8/26/2009,0.69026,5/30/2011,0.25709,4/1/2011,0.27125,1/12/2011,1.49726,8/26/2009,0.37029,4/15/2013,0.33365,8/26/2009,0.37803,4/8/2013,0.18289,8/26/2009,0.63865,1/18/2012,0.28088,8/26/2009,0.33868,10/5/2009,0.17289,3/16/2012,0.37616,4/13/2011,0.26493,1/14/2011,0.6676,9/12/2012,0.16636,8/26/2009,0.16644,,,9/28/2011,0.41314,2/27/2012,0.32366,4/15/2011,0.54671,8/16/2011,0.34144
8/27/2009,0.36844,1/26/2011,2.7227,8/27/2009,5.86,8/27/2009,1.04625,9/21/2012,1.74,12/19/2011,0.8375,2/23/2011,0.45,8/27/2009,0.31865,8/27/2009,0.33,8/27/2009,1.00497,8/27/2009,1.20,8/27/2009,1.43456,8/27/2009,1.33,8/27/2009,0.66439,7/19/2011,2.30,8/27/2009,0.95207,8/27/2009,0.13,4/12/2013,0.81555,8/27/2009,0.27,,,8/27/2009,0.64,8/27/2009,1.43714,4/5/2012,1.08,8/27/2009,0.61149,8/27/2009,0.27,8/27/2009,0.25543,1/16/2013,0.37665,2/18/2011,0.21231,8/27/2009,2.87686,8/27/2009,0.69406,5/31/2011,0.26872,4/4/2011,0.27149,1/13/2011,1.47161,8/27/2009,0.36767,4/16/2013,0.33107,8/27/2009,0.3767,4/9/2013,0.18031,8/27/2009,0.62698,1/19/2012,0.28352,8/27/2009,0.34187,10/6/2009,0.17032,3/19/2012,0.34267,4/14/2011,0.26496,1/17/2011,0.65718,9/13/2012,0.16378,8/27/2009,0.16642,,,9/30/2011,0.39816,2/28/2012,0.31205,4/18/2011,0.55293,8/17/2011,0.35176
8/28/2009,0.36434,1/27/2011,2.72863,8/28/2009,5.81,8/28/2009,1.02051,9/24/2012,1.71,12/20/2011,0.8018,2/24/2011,0.43,8/28/2009,0.32125,8/28/2009,0.33,8/28/2009,0.94697,8/28/2009,1.16,8/28/2009,1.39079,8/28/2009,1.29,8/28/2009,0.68378,7/20/2011,2.28,8/28/2009,0.90698,8/28/2009,0.13,4/15/2013,0.83091,8/28/2009,0.27,,,8/28/2009,0.63,8/28/2009,1.48368,4/10/2012,1.04,8/28/2009,0.58702,8/28/2009,0.27,8/28/2009,0.24642,1/17/2013,0.37409,2/21/2011,0.20787,8/28/2009,2.87705,8/28/2009,0.72765,6/1/2011,0.26228,4/6/2011,0.26888,1/14/2011,1.4201,8/28/2009,0.35737,4/17/2013,0.32977,8/28/2009,0.3664,4/10/2013,0.18163,8/28/2009,0.62444,1/20/2012,0.27705,8/28/2009,0.33437,10/7/2009,0.17161,3/20/2012,0.3581,4/15/2011,0.26499,1/18/2011,0.64287,9/14/2012,0.16254,8/28/2009,0.16514,,,10/3/2011,0.36853,2/29/2012,0.32106,4/19/2011,0.56313,8/18/2011,0.32711
8/31/2009,0.34475,1/28/2011,2.85509,8/31/2009,6.27,8/31/2009,1.03477,9/25/2012,1.69,12/21/2011,0.83401,2/25/2011,0.44,8/31/2009,0.30966,8/31/2009,0.31,8/31/2009,0.92252,8/31/2009,1.14,8/31/2009,1.47087,8/31/2009,1.23,8/31/2009,0.66576,7/21/2011,2.21,8/31/2009,0.88768,8/31/2009,0.14,4/16/2013,0.81674,8/31/2009,0.25,,,8/31/2009,0.65,8/31/2009,1.45797,4/11/2012,1.07,8/31/2009,0.61802,8/31/2009,0.25,8/31/2009,0.24256,1/18/2013,0.37794,2/22/2011,0.20497,8/31/2009,2.78047,8/31/2009,0.7006,6/2/2011,0.26478,4/7/2011,0.27539,1/17/2011,1.41724,8/31/2009,0.35224,4/18/2013,0.32844,8/31/2009,0.3574,4/11/2013,0.18167,8/31/2009,0.59351,1/26/2012,0.28105,8/31/2009,0.34299,10/8/2009,0.17161,3/21/2012,0.35674,4/18/2011,0.26489,1/19/2011,0.6287,9/17/2012,0.15996,8/31/2009,0.16515,,,10/4/2011,0.35711,3/1/2012,0.31979,4/20/2011,0.55334,8/19/2011,0.32067
9/1/2009,0.34577,1/31/2011,2.77778,9/1/2009,6.27,9/1/2009,1.07213,9/26/2012,1.68,12/22/2011,0.83012,2/28/2011,0.47,9/1/2009,0.31093,9/1/2009,0.31,9/1/2009,0.93538,9/1/2009,1.15,9/1/2009,1.44499,9/1/2009,1.31,9/1/2009,0.64509,7/22/2011,2.31,9/1/2009,0.89022,9/1/2009,0.14,4/17/2013,0.8257,9/1/2009,0.24,,,9/1/2009,0.64,9/1/2009,1.44499,4/12/2012,1.09,9/1/2009,0.61541,9/1/2009,0.26,9/1/2009,0.24513,1/21/2013,0.37534,2/23/2011,0.2049,9/1/2009,2.79967,9/1/2009,0.68895,6/3/2011,0.26487,4/8/2011,0.28455,1/18/2011,1.35517,9/1/2009,0.34835,4/19/2013,0.34004,9/1/2009,0.35996,4/12/2013,0.18038,9/1/2009,0.61283,1/27/2012,0.27981,9/1/2009,0.3376,10/9/2009,0.17419,3/22/2012,0.36699,4/19/2011,0.26485,1/20/2011,0.6205,9/18/2012,0.15479,9/1/2009,0.16127,,,10/6/2011,0.37009,3/2/2012,0.32737,4/21/2011,0.54712,8/22/2011,0.31542
9/2/2009,0.35298,2/1/2011,2.67575,9/2/2009,6.12,9/2/2009,1.04113,9/27/2012,1.72,12/23/2011,0.85128,3/1/2011,0.49,9/2/2009,0.29286,9/2/2009,0.30,9/2/2009,0.9276,9/2/2009,1.12,9/2/2009,1.39591,9/2/2009,1.29,9/2/2009,0.63345,7/25/2011,2.23,9/2/2009,0.85922,9/2/2009,0.14,4/18/2013,0.83205,9/2/2009,0.24,,,9/2/2009,0.67,9/2/2009,1.43462,4/13/2012,1.11,9/2/2009,0.59217,9/2/2009,0.25,9/2/2009,0.24512,1/22/2013,0.37403,2/24/2011,0.2013,9/2/2009,2.74151,9/2/2009,0.70699,6/7/2011,0.26607,4/11/2011,0.28961,1/19/2011,1.37569,9/2/2009,0.34188,4/22/2013,0.36837,9/2/2009,0.35994,4/15/2013,0.1752,9/2/2009,0.58056,1/30/2012,0.2669,9/2/2009,0.33328,10/12/2009,0.1729,3/23/2012,0.36689,4/20/2011,0.26509,1/21/2011,0.59951,9/19/2012,0.15607,9/2/2009,0.16127,,,10/7/2011,0.3881,3/5/2012,0.31945,4/26/2011,0.5469,8/23/2011,0.32577
9/3/2009,0.37672,2/2/2011,2.64533,9/3/2009,6.52,9/3/2009,1.04888,9/28/2012,1.73,12/28/2011,0.81276,3/2/2011,0.48,9/3/2009,0.29673,9/3/2009,0.31,9/3/2009,1.01921,9/3/2009,1.17,9/3/2009,1.40883,9/3/2009,1.30,9/3/2009,0.64507,7/26/2011,2.17,9/3/2009,0.85407,9/3/2009,0.14,4/19/2013,0.90291,9/3/2009,0.25,,,9/3/2009,0.68,9/3/2009,1.43722,4/16/2012,1.11,9/3/2009,0.60895,9/3/2009,0.27,9/3/2009,0.25158,1/23/2013,0.37276,2/25/2011,0.19333,9/3/2009,2.7867,9/3/2009,0.70829,6/8/2011,0.26473,4/12/2011,0.28172,1/20/2011,1.33092,9/3/2009,0.34576,4/23/2013,0.37092,9/3/2009,0.36769,4/16/2013,0.17649,9/3/2009,0.60637,1/31/2012,0.26689,9/3/2009,0.33544,10/13/2009,0.1729,3/26/2012,0.36945,4/21/2011,0.26519,1/24/2011,0.60027,9/20/2012,0.15606,9/3/2009,0.16385,,,10/10/2011,0.37398,3/6/2012,0.2937,4/27/2011,0.53029,8/24/2011,0.32072
9/4/2009,0.38759,2/7/2011,2.48991,9/4/2009,6.99,9/4/2009,1.058,10/3/2012,1.76,12/29/2011,0.83112,3/3/2011,0.49,9/4/2009,0.30321,9/4/2009,0.32,9/4/2009,0.98187,9/4/2009,1.26,9/4/2009,1.39604,9/4/2009,1.37,9/4/2009,0.64383,7/27/2011,2.18,9/4/2009,0.86317,9/4/2009,0.14,4/22/2013,0.87971,9/4/2009,0.25,,,9/4/2009,0.68,9/4/2009,1.43991,4/17/2012,1.06,9/4/2009,0.65157,9/4/2009,0.27,9/4/2009,0.25547,1/24/2013,0.37147,2/28/2011,0.19616,9/4/2009,2.88368,9/4/2009,0.72511,6/9/2011,0.26081,4/13/2011,0.28551,1/21/2011,1.28246,9/4/2009,0.35095,4/24/2013,0.38767,9/4/2009,0.37417,4/17/2013,0.17648,9/4/2009,0.63738,2/1/2012,0.26437,9/4/2009,0.34729,10/14/2009,0.17806,3/27/2012,0.37477,4/26/2011,0.26508,1/25/2011,0.62889,9/21/2012,0.15348,9/4/2009,0.16257,,,10/11/2011,0.39071,3/7/2012,0.28465,4/28/2011,0.53157,8/25/2011,0.32964
9/7/2009,0.3814,2/8/2011,2.44112,9/7/2009,7.28,9/7/2009,1.07865,10/4/2012,1.70,12/30/2011,0.83434,3/4/2011,0.49,9/7/2009,0.30708,9/7/2009,0.33,9/7/2009,0.99092,9/7/2009,1.31,9/7/2009,1.43218,9/7/2009,1.42,9/7/2009,0.65803,7/28/2011,2.09,9/7/2009,0.86576,9/7/2009,0.14,4/23/2013,0.8539,9/7/2009,0.25,,,9/7/2009,0.69,9/7/2009,1.43735,4/18/2012,1.07,9/7/2009,0.67093,9/7/2009,0.27,9/7/2009,0.26966,1/25/2013,0.37014,3/1/2011,0.20415,9/7/2009,2.98049,9/7/2009,0.73028,6/10/2011,0.2595,4/14/2011,0.28168,1/24/2011,1.24928,9/7/2009,0.34837,4/25/2013,0.3928,9/7/2009,0.37417,4/18/2013,0.17646,9/7/2009,0.64513,2/2/2012,0.27722,9/7/2009,0.35912,10/15/2009,0.17677,3/28/2012,0.3645,4/27/2011,0.26514,1/26/2011,0.64728,9/24/2012,0.15091,9/7/2009,0.16386,,,10/12/2011,0.39722,3/8/2012,0.30559,4/29/2011,0.5343,8/26/2011,0.32713
9/8/2009,0.38347,2/9/2011,2.40209,9/8/2009,7.53,9/8/2009,1.08512,10/5/2012,1.73,1/3/2012,0.87154,3/7/2011,0.47,9/8/2009,0.31096,9/8/2009,0.33,9/8/2009,0.97287,9/8/2009,1.32,9/8/2009,1.47091,9/8/2009,1.42,9/8/2009,0.66965,7/29/2011,2.11,9/8/2009,0.8761,9/8/2009,0.14,4/24/2013,0.8642,9/8/2009,0.25,,,9/8/2009,0.69,9/8/2009,1.41156,4/19/2012,1.06,9/8/2009,0.67223,9/8/2009,0.27,9/8/2009,0.2658,1/28/2013,0.37125,3/2/2011,0.20323,9/8/2009,3.00634,9/8/2009,0.72255,6/13/2011,0.25817,4/15/2011,0.28043,1/25/2011,1.34762,9/8/2009,0.37418,4/26/2013,0.38898,9/8/2009,0.3716,4/19/2013,0.18548,9/8/2009,0.74836,2/3/2012,0.28114,9/8/2009,0.3516,10/16/2009,0.17418,3/29/2012,0.35677,4/28/2011,0.26514,1/27/2011,0.67285,9/25/2012,0.1509,9/8/2009,0.15741,,,10/13/2011,0.42429,3/9/2012,0.31845,5/3/2011,0.51625,8/29/2011,0.32459
