"","Information Ratio: bench_h[, 3]/100"
"JAAAX.US.Equity",-0.208905193508904
"JANLYNP.US.Equity",-0.324407963803437
"JORCAPP.US.Equity",0.172989207374096
"JSIEQUI.BM.Equity",-0.271285490717427
"KACIPQP.US.Equity",-0.830021813912564
"KALOCAP.US.Equity",0.166447164670049
"KAYNMLP.US.Equity",-0.950854772434765
"KEYREOH.US.Equity",-0.242890078437655
"KEYREOO.KY.Equity",-0.543894186525446
"KGRSEIV.US.Equity",-0.545056035525977
"KINETIC.KY.Equity",-0.470406273564596
"KININST.US.Equity",-0.206272453025159
"LAKEGEN.KY.Equity",0.324470393175671
"LAWTONP.US.Equity",0.265604620363102
"LEGIONS.KY.Equity",-0.642398496823621
"LEVPART.US.Equity",0.420378880531255
"LIVEQOP.US.Equity",0.175083540050799
"LOGICAL.US.Equity",-0.19250135459826
"LQLAX.US.Equity",-0.278628263337624
"LSNAX.US.Equity",-0.43062367785845
"LSUSSIU.LX.Equity",-0.541024091914849
"LTEPART.US.Equity",1.32072219934179
"LTPUSE1.KY.Equity",-0.363538651125519
"MARLNLP.US.Equity",0.348493173262004
"MATAMNB.US.Equity",-0.0125258277999286
"MATAMNC.US.Equity",0.496281249463217
"MEDISIP.US.Equity",0.963099076737297
"MENDCAP.US.Equity",2.22996102094508
"METISLC.US.Equity",0.60171426434732
"MICMIAD.US.Equity",0.0380410675151416
"MILE26F.US.Equity",0.41083628751676
"MILLRLP.US.Equity",0.59793894916773
"MULTADV.LX.Equity",-0.470584585090081
"NCHPX.US.Equity",-0.60320520194977
"NEWBRCP.US.Equity",0.319649438596754
"NEWPRDM.US.Equity",0.467288792087811
"NOIFUND.KY.Equity",1.10456747573113
"NPEAKCP.US.Equity",0.0103685530236898
"NSPARLP.US.Equity",-0.641079603385977
"NVINSUR.US.Equity",1.47293019868654
"OCEANPT.US.Equity",-0.724506323561959
"ODAAX.US.Equity",-0.644448594952065
"OGBORNE.US.Equity",-0.461784641566379
"OKLOKOK.US.Equity",0.188746298356366
"OLYWFRI.BH.Equity",-0.379945210476922
"OLYWSCI.KY.Equity",-0.243301926568019
"OPEXCAP.US.Equity",2.57832743620823
"OPTFNDI.BH.Equity",-0.222944093452483
"ORILX.US.Equity",0.110548270893474
"PABALFD.US.Equity",-0.480849519323256
"PACAPRV.KY.Equity",1.17105897713179
"PACROCK.US.Equity",0.476796877913889
"PADIVMG.US.Equity",-0.314596759815517
"PAMSECT.US.Equity",-0.413287908739711
"PAMSFII.US.Equity",-0.389813228766612
"PASELST.US.Equity",-0.527214905981053
"PDPAX.US.Equity",-0.546398441736781
"PECGREN.US.Equity",-0.575281263155231
"PECINTL.BH.Equity",-0.909249572010921
"PERWHIS.BH.Equity",0.921753140006761
"PGSPEIA.KY.Equity",-1.27871452033478
"PINPIAG.US.Equity",-0.390478065847661
"PINPIAJ.US.Equity",-0.888593662577552
"PIPDYNC.US.Equity",-0.349962096636312
"PLDLX.US.Equity",-0.00227437268244854
"PPFAMRF.US.Equity",1.15381600759828
"PRIMSVA.KY.Equity",1.21164300048784
"PTDEFMC.US.Equity",-0.264198944035933
"PUNCHMC.US.Equity",0.240504719109824
"QMETRIC.CN.Equity",0.479872852839492
"QUQEQMN.US.Equity",0.133335177685928
"RAMSEYP.VI.Equity",0.783304906001042
"RBBAX.US.Equity",0.0413921269260655
"RBICPTN.US.Equity",0.324445726659908
"REDOAKP.US.Equity",0.908626877676557
"REDWORP.US.Equity",-0.179174572430362
"REEFENR.US.Equity",-0.274902546651471
"RMDFX.US.Equity",-0.302181459732794
"RMRGX.US.Equity",-0.175984165404645
"ROSENHI.US.Equity",-0.283954994846335
"ROTHCSF.US.Equity",-0.448759916486522
"ROUBAIX.US.Equity",0.943745894002855
"RRCMONI.US.Equity",-0.957272848470317
"RUDGEAR.US.Equity",-0.947957913716342
"RWRINVS.US.Equity",-0.14665175159651
"SANDPOP.US.Equity",1.00070974822276
"SANSNLP.US.Equity",0.667035295333689
"SAPHVOO.KY.Equity",0.156171531653602
"SAPHVOY.US.Equity",0.281055601600555
"SASGTVA.KY.Equity",0.384373760947746
"SCOPLBF.US.Equity",0.287177241345222
"SCOPQPL.US.Equity",0.781037131185785
"SCPLBIN.BH.Equity",0.275311295398112
"SCPOGVA.KY.Equity",-0.861907161978332
"SCWCAPI.US.Equity",1.45851468269986
"SEEDLCA.US.Equity",-0.480342638712376
"SELAX.US.Equity",-0.427517941367862
"SEMPALT.US.Equity",-0.683645838293262
"SERALTS.US.Equity",-0.327982723737173
"SEVHILL.US.Equity",-0.482469421783456
"SGUSUAF.CN.Equity",-0.235922052562457
"SILSEAS.US.Equity",0.0544959931622075
"SIMCOEP.US.Equity",0.175610707471478
"SIMUSEA.LE.Equity",0.0234785088236661
"SITOWER.US.Equity",0.312500695783052
"SKYBGII.US.Equity",-0.576371228678321
"SKYQUES.US.Equity",0.00349916661452913
"SKYSPIN.US.Equity",-0.00316793962306332
"SMINVES.US.Equity",0.206959512808316
"SMINVII.US.Equity",0.232752113456603
"SMINVOS.KY.Equity",0.0602754243067908
"SMSAX.US.Equity",-0.215992670497325
"SNOWCAP.US.Equity",-0.295244832666618
"SNOWONE.US.Equity",1.50573470032932
"SOLSPVE.VI.Equity",-0.5191122806795
"SOMERCP.US.Equity",-0.637287536617991
"SOSNFLP.US.Equity",0.493398989319894
"SPESPAB.US.Equity",-0.0275180577344508
"SPIMLPE.US.Equity",-0.842835238672929
"SPITFIR.US.Equity",0.331712270856913
"SPYGPAR.US.Equity",0.306138323372472
"SRUSOGP.US.Equity",0.0895630629431899
"STONEPC.US.Equity",1.03252276162165
"SUMUSEV.US.Equity",-0.15411507208492
"SYNCCAP.US.Equity",1.45542852860517
"SYWLPHF.US.Equity",-0.0767635682120688
"TALCPFI.US.Equity",0.0607053195929374
"TAMGLHC.US.Equity",0.939717387505586
"THETHAI.US.Equity",1.01121716702474
"TIBTIAD.US.Equity",0.0730280131230609
"TPHMLPF.US.Equity",-1.04076507311781
"TRELLUS.US.Equity",-1.1058343339174
"TRGLATF.KY.Equity",0.423910666489281
"TRINNFA.KY.Equity",0.818082505305856
"TRINNLB.US.Equity",0.951178544534587
"TRIUMII.US.Equity",-0.577232451197561
"TRIUMPH.US.Equity",-0.464472063048515
"TWINLLP.US.Equity",-0.0647971000373673
"VAHOLLP.US.Equity",1.04251171174486
"VALUEWO.US.Equity",-0.17713223917242
"VICEQLP.US.Equity",-0.525882558352161
"VLDSX.US.Equity",-0.909756910053565
"VLTAVAF.MV.Equity",-0.230154302297022
"VOYPART.US.Equity",-0.566751663920601
"WEACX.US.Equity",0.0362119591647874
"WEBCAPV.US.Equity",1.03120835429634
"WEDOPPT.US.Equity",1.21374464009069
"WEISABR.US.Equity",-0.420455462000399
"WELENLP.US.Equity",0.126435142632784
"WELENQP.US.Equity",0.134634240531894
"WESTPRT.US.Equity",0.382854396800544
"WINDMIL.US.Equity",0.0513644843662165
"WYPSCVA.US.Equity",-0.264570640206396
"WYPSCVI.US.Equity",-0.248759506276555
"ZLPOFUT.KY.Equity",0.657075958352505
"ZLPUTLP.US.Equity",0.657075958352505
"ZPENRGF.US.Equity",-0.072397534254324
"ZWDIMIL.KY.Equity",-0.749503574895886
