,Ticker,name,Nxt_dt,Last_dt,Country,Industry,L_Px,5d,rel_5d,1m,rel_1m,S,S_h,S_l,s_4w %,EPS,EPS_h,EPS_l,eps_4w %,eps_gaap_4w %,NI,NI_h,NI_l,net_4w %,OP,OP_h,OP_l,op_4w %,EBITDA,EBITDA_h,EBITDA_l,ebitda_4w %,ROA,ROA_h,ROA_l,roa_4w %,ROE,ROE_h,ROE_l,roe_4w %,Q_Y,S_0FQ,OP_0FQ,EPS_0FQ,S_1FQ,OP_1FQ,EPS_1FQ,S_2FQ,OP_2FQ,EPS_2FQ,S_3FQ,OP_3FQ,EPS_3FQ,S_4FQ,OP_4FQ,EPS_4FQ,S_mean,OP_mean,EPS_mean,S_trend_th,OP_trend_th,EPS_trend_th
11,2330 TT Equity,TSMC,7/16/2015,4/10/2015,TAIWAN,Semiconductors,144.5,3.21,3.64,-2.36,0.55,207726.56,222521,204939,0,2.75,3.27,2.27,-0.61,-0.61,71756.24,84748,58872,-0.21,78754.8,94205,75071,0.02,136459.83,146800,131258,0,17.05,19,15.1,3.02,23.49,26,21.6,0,Q,-0.046873958,-0.25924795,1.802403204,1.381686541,3.241948821,4.082321188,0.317408427,3.238577551,3.521126761,0.352531887,4.41991433,6.088560886,3.24122818,6.811647109,8.060747664,1.05,3.49,4.71,0+00+,0++++,+++++
12,2409 TT Equity,AU OPTRONICS COR,7/30/2015,4/28/2015,TAIWAN,Electronics,14.55,-6.73,-6.35,-5.83,-3.02,96891.67,108000,91600,0,0.6,0.85,0.32,0,0,5734.21,8169,3096,0,7633.25,9647,4320,0,20165.2,21852,18581,0,5,5,5,0,11.22,11.24,11.2,0,Q,0.211951861,58.41380349,21.34831461,1.722112974,21.0706801,-4.167741935,0.727281315,78.89179703,73.91304348,0.140496126,59.14519519,99.0521327,0.517099957,NA,NA,0.66,54.38,47.54,0+000,#NAME?,#NAME?
13,2600 HK Equity,ALUMINUM CORP-H,8/28/2015,4/28/2015,CHINA,Mining,4.4,-2.65,-2.73,-6.38,-4.52,33502,33502,33502,0,0.01,0.01,0.01,0,NA,-2767,-2767,-2767,0,-355,-355,-355,0,1305,1305,1305,0,NA,NA,NA,NA,NA,NA,NA,NA,Q,-14.83909704,NA,-50,NA,NA,NA,-4.080642479,94.36310729,18.69918699,-6.462796954,-106.5988235,-61.11111111,NA,NA,-1550,-8.46,-6.12,-410.6,#NAME?,NANA+-NA,-NA+--
14,2628 HK Equity,CHINA LIFE-H,8/14/2015,4/28/2015,CHINA,Insurance,36.3,1.97,1.89,-1.36,0.6,NA,NA,NA,NA,0.38,0.38,0.38,-7.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,NA,4.87804878,10.23908698,NA,-11.11111111,NA,NA,33.33333333,NA,NA,44.44444444,NA,NA,-10.34482759,10.24,NA,12.24,NA+NANANA,NANANANANA,+-++-
15,338 HK Equity,SINOPEC SHANG-H,8/14/2015,4/23/2015,CHINA,Chemicals,3.91,2.36,2.28,0.26,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.16984127,30,NA,57.17,30,NANANANANA,NANANANA+,NANANANA+
16,358 HK Equity,JIANGXI COPPER-H,8/14/2015,4/27/2015,CHINA,Mining,14.6,-2.8,-2.87,-6.05,-4.18,NA,NA,NA,NA,0.14,0.14,0.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q,NA,NA,-33.33333333,NA,NA,NA,NA,NA,77.77777778,NA,NA,127.2727273,NA,NA,-41.17647059,NA,NA,32.64,NANANANANA,NANANANANA,-NA++-
17,386 HK Equity,SINOPEC CORP-H,8/14/2015,4/29/2015,CHINA,Oil&Gas,6.47,-1.22,-1.3,-6.23,-4.37,588005,588005,588005,0,0.1,0.1,0.1,0,NA,12546,12546,12546,0,22636,22636,22636,0,44771,44771,44771,0,NA,NA,NA,NA,NA,NA,NA,NA,Q,-29.33081712,-64.19898302,NA,-17.14948453,NA,-100,-1.781157483,0.231902746,10.45751634,-9.246206559,14.40344634,19.53125,-19.11010497,-7.17758827,-14.70588235,-15.32,-14.19,-21.18,-----,-NA0+-,NA-++-
18,5406 JP Equity,KOBE STEEL LTD,7/31/2015,4/28/2015,JAPAN,Iron/Steel,224,-3.03,-2.12,0.45,-2.25,430440,474000,324500,-4.61,3.68,3.95,3.41,0,0,11733.33,14400,10000,-3.83,25700,32500,20600,-7.39,54970,54970,54970,1.85,NA,NA,NA,NA,NA,NA,NA,NA,Q,-3.761505775,-3.560516498,104.2005954,-3.674313894,19.17078443,109.7565985,-2.807718803,26.49524511,124.043949,-1.708211792,56.52684564,111.7449664,-1.745304989,31.28706596,-15.81932584,-2.74,25.98,86.79,-----,-++++,++++-
19,5411 JP Equity,JFE HOLDINGS INC,7/30/2015,4/23/2015,JAPAN,Iron/Steel,2913,-3.4,-2.49,3.79,1.01,897320,1027600,8.00E+05,6.65,46.51,52.01,41.01,4.76,4.76,23866.67,26000,20400,-1.78,35566.67,39000,33700,3.54,75173,75173,75173,5.62,NA,NA,NA,NA,NA,NA,NA,NA,Q,-1.999511785,16.34677807,21.73754393,-0.171798789,36.34667967,77.79774763,-3.817793453,21.19026925,33.1135098,1.050108932,0.969404187,-29.78195587,-1.649346083,2.528664843,-1.83804006,-1.32,15.48,20.21,-0-+-,+++0+,+++--
20,6501 JP Equity,HITACHI LTD,7/31/2015,5/14/2015,JAPAN,Machinery-Constr&Mining,844.6,1.15,2.1,1.54,-1.19,2178917,2220000,2115668,1.68,7.23,8.4,6.06,0,0,25710.75,40593,12000,-26.38,95000,110000,80000,-13.64,229117,229117,229117,0,NA,NA,NA,NA,NA,NA,NA,NA,Q,4.998584051,8.581561806,-46.34118175,4.424211861,-15.1145817,32.83674411,1.392037565,8.366191937,53.12880236,5.250605014,20.2729994,72.68264511,7.171466634,-0.911949915,-12.58099457,4.65,4.24,19.95,+++++,0,-+++-
