"","time","event","date","broker","name","is_forced","newtp_to_px","oldtp_to_px","chg_tgt","newtp_avgtp","chg_2d","chg_5d","char_newrating","newrating","oldrating","chg_rating","score"
"1","A","TP- ","04/24/2018","Macquarie","NIDEC CORP","","-3.10077519379846","-0.119260584376868","-2.98507462686567","-14.3384290985767","-1.1526785","-0.600873","","3","3","","0.5"
"2","A","TP- ","04/24/2018","Macquarie","JFE HOLDINGS INC","Forced","5","1.6733742851091","-16.6666666666667","-29.3785310734463","2.786225","4.777563","","1","1","","0.5"
"3","A","TP- ","04/24/2018","Macquarie","NSSMC","","-6.48505793860541","13.8442772921326","-17.8571428571429","-19.1951421705927","0.464035","2.360702","","3","3","","0.5"
"4","A","TP- ","04/24/2018","Macquarie","PING AN","","34.5345345345345","38.1381381381381","-2.60869565217391","4.34451565697558","1.4308617","0.806731","","5","5","","0.5"
"5","A","TP+ ","04/24/2018","J.P. Morgan","SK HYNIX INC","Forced","-4.99390986601705","-14.7381242387333","11.4285714285714","-30.2325581395349","-2.2328573","-1.2680248","","3","3","","1.5"
"6","A","TP+ ","04/24/2018","Clarksons Platou Securities AS","AP MOLLER-B","","60.5522292993631","59.6828025477707","0.544471125080771","23.8430264693238","-1.8032904","5.6600964","","5","5","","1.5"
"7","A","TP- ","04/24/2018","Carnegie","AP MOLLER-B","","22.0806794055202","27.3885350318471","-4.16666666666667","-5.83225859280641","-1.8032904","5.6600964","","5","5","","0.5"
"8","A","TP+ ","04/24/2018","Morgan Stanley","ALCOA CORP","Forced","15.606936416185","5.97302504816957","9.09090909090909","-6.02409552171175","-12.9822362","-5.4058601","","5","5","","1.5"
"9","B/D"," Upgrade","04/23/2018","Morningstar, Inc","ALUMINA LTD","","-38.9312977099237","-56.1068702290076","39.1304347826087","-41.1067037168609","-8.3197796","-2.873364"," hold","3","1","2","1.5"
"10","A","TP- ","04/23/2018","BOCOM International Holdings","NETEASE INC-ADR","","16.9568218421658","27.3103765626199","-8.13253012048193","-12.622043371089","-4.3710772","-4.0821431","","3","3","","0.5"
"11","A","TP- ","04/23/2018","BOCOM International Holdings","YY INC-ADR","","42.2807390104056","72.0110426842217","-17.2839506172839","-14.8695826664715","-0.4307422","1.6161409","","5","5","","0.5"
"12","A","TP- ","04/23/2018","BOCOM International Holdings","TAL EDUCATIO-ADR","","12.0448179271709","12.4929971988795","-0.398406374501984","7.09505122929264","-3.0032492","-0.1086781","","5","5","","0.5"
"13","A","TP- ","04/23/2018","BOCOM International Holdings","BAIDU INC-SP ADR","","27.4738570564342","28.7702013654827","-1.00671140939597","6.861277202391","-1.5516462","0.9431039","","5","5","","0.5"
"14","A","TP- ","04/23/2018","BOCOM International Holdings","ALIBABA GRP-ADR","","21.8887053596856","25.8757190864043","-3.16742081447964","-5.42331999273852","-2.3604722","0.7799435","","5","5","","0.5"
"15","B/D","TP- ","04/23/2018","Masterlink Securities","INNOLUX","Forced","6.66666666666667","33.3333333333333","-20","-0.826449407579111","-2.401038","-0.461042","","3","3","","-0.5"
"16","B/D","TP- ","04/23/2018","Masterlink Securities","AU OPTRONICS","Forced","-0.826446280991733","23.9669421487603","-20","-0.0787829077063096","-2.493545","-1.831893","","3","3","","-0.5"
