,4502 JP Equity,,4503 JP Equity,,4578 JP Equity,,4523 JP Equity,,4568 JP Equity,,4519 JP Equity,,4543 JP Equity,,7741 JP Equity,,7733 JP Equity,,4528 JP Equity,,4507 JP Equity,,4508 JP Equity,,6869 JP Equity,,4151 JP Equity,,4530 JP Equity,,4506 JP Equity,,4536 JP Equity,,7459 JP Equity,,6965 JP Equity,,2784 JP Equity,,9987 JP Equity,,4974 JP Equity,,4544 JP Equity,,7701 JP Equity,,4555 JP Equity,,6849 JP Equity,,8086 JP Equity,,4569 JP Equity,,4527 JP Equity,,4534 JP Equity,,4521 JP Equity,,3360 JP Equity,,8129 JP Equity,,4516 JP Equity,,4547 JP Equity,,6376 JP Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2009,41.7101,11/30/2009,36.9598,7/10/2012,31.3578,11/30/2009,36.7281,11/30/2009,19.6153,11/30/2009,19.0013,11/30/2009,56.6562,11/30/2009,25.5475,11/30/2009,30.4136,11/30/2009,46.2287,11/30/2009,21.5734,11/30/2009,13.2082,11/30/2009,27.0536,11/30/2009,10.7867,11/30/2009,35.3377,11/30/2009,10.2653,11/30/2009,33.8895,11/30/2009,13.8339,11/30/2009,23.0101,11/30/2009,43.5639,11/30/2009,36.6122,11/30/2009,5.0979,11/30/2009,31.9778,11/30/2009,6.2797,11/30/2009,57.3514,11/30/2009,17.6920,11/30/2009,10.6940,11/30/2009,15.6413,11/30/2009,12.9070,11/30/2009,9.6281,11/30/2009,8.7939,11/30/2009,6.1522,11/30/2009,13.8686,11/30/2009,11.8410,11/30/2009,22.2686,11/30/2009,5.1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2009,42.1332,12/1/2009,37.8622,7/11/2012,31.0020,12/1/2009,37.0541,12/1/2009,20.0970,12/1/2009,19.1735,12/1/2009,57.7167,12/1/2009,25.8571,12/1/2009,31.5711,12/1/2009,45.8271,12/1/2009,22.1401,12/1/2009,13.3326,12/1/2009,27.8195,12/1/2009,10.9316,12/1/2009,36.1307,12/1/2009,10.3775,12/1/2009,33.0717,12/1/2009,13.9790,12/1/2009,23.2021,12/1/2009,44.2110,12/1/2009,36.9387,12/1/2009,5.5985,12/1/2009,31.9751,12/1/2009,6.4758,12/1/2009,57.7167,12/1/2009,17.9499,12/1/2009,10.9258,12/1/2009,15.8836,12/1/2009,13.2402,12/1/2009,9.7772,12/1/2009,8.8999,12/1/2009,6.1757,12/1/2009,14.4061,12/1/2009,12.0166,12/1/2009,22.6942,12/1/2009,5.1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2009,41.8434,12/2/2009,37.8310,7/12/2012,31.2445,12/2/2009,36.4554,12/2/2009,19.9817,12/2/2009,18.9614,12/2/2009,56.8612,12/2/2009,25.4500,12/2/2009,31.0100,12/2/2009,45.6265,12/2/2009,21.7242,12/2/2009,13.2523,12/2/2009,27.5708,12/2/2009,10.7073,12/2/2009,35.3090,12/2/2009,10.4093,12/2/2009,33.7040,12/2/2009,13.8485,12/2/2009,23.0425,12/2/2009,42.7605,12/2/2009,36.5700,12/2/2009,5.4540,12/2/2009,31.6405,12/2/2009,6.4886,12/2/2009,56.9758,12/2/2009,18.0328,12/2/2009,10.6328,12/2/2009,15.8432,12/2/2009,12.8167,12/2/2009,9.6297,12/2/2009,8.8043,12/2/2009,6.1676,12/2/2009,13.8828,12/2/2009,11.6474,12/2/2009,22.3432,12/2/2009,5.0441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2009,41.8367,12/3/2009,38.4354,7/13/2012,30.8712,12/3/2009,36.8481,12/3/2009,20.1814,12/3/2009,19.0363,12/3/2009,58.8435,12/3/2009,26.8708,12/3/2009,32.1996,12/3/2009,44.7846,12/3/2009,22.1088,12/3/2009,13.0726,12/3/2009,28.1179,12/3/2009,10.9184,12/3/2009,34.4671,12/3/2009,10.3628,12/3/2009,33.0499,12/3/2009,14.0590,12/3/2009,23.9796,12/3/2009,42.9705,12/3/2009,36.7347,12/3/2009,5.4847,12/3/2009,31.8027,12/3/2009,6.8141,12/3/2009,57.2562,12/3/2009,18.0499,12/3/2009,10.8163,12/3/2009,15.8844,12/3/2009,12.8005,12/3/2009,9.6372,12/3/2009,8.8209,12/3/2009,6.2472,12/3/2009,14.1383,12/3/2009,11.6893,12/3/2009,22.1655,12/3/2009,5.1587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2009,41.4306,12/4/2009,37.8763,7/17/2012,31.4672,12/4/2009,36.7655,12/4/2009,19.8267,12/4/2009,18.6827,12/4/2009,57.5364,12/4/2009,26.5467,12/4/2009,32.0449,12/4/2009,43.8743,12/4/2009,21.7705,12/4/2009,12.6847,12/4/2009,27.9351,12/4/2009,10.5965,12/4/2009,33.7665,12/4/2009,10.1077,12/4/2009,32.4336,12/4/2009,13.5844,12/4/2009,23.4922,12/4/2009,41.9860,12/4/2009,35.8769,12/4/2009,5.2955,12/4/2009,30.2122,12/4/2009,6.6645,12/4/2009,55.9813,12/4/2009,17.6164,12/4/2009,10.5632,12/4/2009,15.4837,12/4/2009,12.3070,12/4/2009,9.3858,12/4/2009,8.5527,12/4/2009,5.9980,12/4/2009,13.7954,12/4/2009,11.4962,12/4/2009,21.6150,12/4/2009,5.1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2009,41.8251,12/7/2009,38.5820,7/18/2012,31.6083,12/7/2009,37.0163,12/7/2009,19.9620,12/7/2009,18.8437,12/7/2009,58.2644,12/7/2009,27.0633,12/7/2009,33.0463,12/7/2009,44.1736,12/7/2009,22.1203,12/7/2009,12.8495,12/7/2009,28.2375,12/7/2009,10.6688,12/7/2009,34.3324,12/7/2009,10.2102,12/7/2009,32.3194,12/7/2009,13.5317,12/7/2009,24.0438,12/7/2009,41.6014,12/7/2009,35.6744,12/7/2009,5.2337,12/7/2009,30.6978,12/7/2009,6.9448,12/7/2009,56.9224,12/7/2009,17.8595,12/7/2009,10.7023,12/7/2009,15.6900,12/7/2009,12.2232,12/7/2009,9.5952,12/7/2009,8.6446,12/7/2009,5.8376,12/7/2009,13.5764,12/7/2009,11.8094,12/7/2009,21.3263,12/7/2009,5.2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/2009,42.5773,12/8/2009,39.0669,7/19/2012,31.7262,12/8/2009,37.9346,12/8/2009,20.4394,12/8/2009,19.1145,12/8/2009,59.4497,12/8/2009,27.4601,12/8/2009,33.8014,12/8/2009,45.1818,12/8/2009,22.4890,12/8/2009,13.1695,12/8/2009,28.8189,12/8/2009,10.7689,12/8/2009,34.7639,12/8/2009,10.5198,12/8/2009,33.1220,12/8/2009,13.8829,12/8/2009,24.9122,12/8/2009,42.3508,12/8/2009,36.4625,12/8/2009,5.3788,12/8/2009,31.6499,12/8/2009,6.9868,12/8/2009,57.1849,12/8/2009,17.8802,12/8/2009,10.8425,12/8/2009,15.7966,12/8/2009,12.0711,12/8/2009,9.6931,12/8/2009,8.6400,12/8/2009,5.9336,12/8/2009,14.0641,12/8/2009,11.7993,12/8/2009,21.3679,12/8/2009,5.4354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/2009,42.6718,12/9/2009,38.4615,7/20/2012,31.2659,12/9/2009,37.5512,12/9/2009,20.5052,12/9/2009,19.2763,12/9/2009,59.9681,12/9/2009,27.5945,12/9/2009,33.7961,12/9/2009,45.4028,12/9/2009,22.4738,12/9/2009,13.3478,12/9/2009,29.9272,12/9/2009,10.7419,12/9/2009,34.8202,12/9/2009,10.5371,12/9/2009,33.4547,12/9/2009,13.7802,12/9/2009,25.1479,12/9/2009,43.0132,12/9/2009,36.2995,12/9/2009,5.3340,12/9/2009,31.8616,12/9/2009,7.0209,12/9/2009,58.1475,12/9/2009,18.0018,12/9/2009,11.0890,12/9/2009,15.9650,12/9/2009,12.1188,12/9/2009,9.6723,12/9/2009,8.7164,12/9/2009,5.9285,12/9/2009,13.9622,12/9/2009,11.8571,12/9/2009,21.5066,12/9/2009,5.3823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/2009,42.2807,12/10/2009,37.6332,7/23/2012,31.4676,12/10/2009,37.0664,12/10/2009,20.3809,12/10/2009,19.0773,12/10/2009,58.1501,12/10/2009,26.9213,12/10/2009,32.7590,12/10/2009,45.1145,12/10/2009,22.0018,12/10/2009,13.0923,12/10/2009,28.6216,12/10/2009,10.4738,12/10/2009,34.1193,12/10/2009,10.4285,12/10/2009,33.3825,12/10/2009,13.5344,12/10/2009,24.3142,12/10/2009,42.3940,12/10/2009,36.3863,12/10/2009,5.2993,12/10/2009,31.5688,12/10/2009,6.9939,12/10/2009,57.2433,12/10/2009,17.3770,12/10/2009,10.7515,12/10/2009,15.7901,12/10/2009,12.4122,12/10/2009,9.5670,12/10/2009,8.6715,12/10/2009,5.9170,12/10/2009,13.6477,12/10/2009,11.9474,12/10/2009,21.3670,12/10/2009,5.1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2009,42.2314,12/11/2009,37.9747,7/24/2012,31.4235,12/11/2009,37.4146,12/11/2009,20.1187,12/11/2009,18.9425,12/11/2009,59.1464,12/11/2009,27.0528,12/11/2009,32.9338,12/11/2009,44.6959,12/11/2009,22.0903,12/11/2009,12.7591,12/11/2009,28.3970,12/11/2009,10.5523,12/11/2009,33.0458,12/11/2009,10.4290,12/11/2009,33.5499,12/11/2009,13.5992,12/11/2009,24.4203,12/11/2009,41.8954,12/11/2009,36.2944,12/11/2009,5.2061,12/11/2009,30.6374,12/11/2009,6.9340,12/11/2009,57.5781,12/11/2009,17.0270,12/11/2009,10.5635,12/11/2009,15.5707,12/11/2009,12.4230,12/11/2009,9.5105,12/11/2009,8.5359,12/11/2009,5.8138,12/11/2009,13.4984,12/11/2009,11.8293,12/11/2009,21.1941,12/11/2009,5.1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2009,42.1231,12/14/2009,37.8317,7/25/2012,31.4242,12/14/2009,37.3800,12/14/2009,20.0226,12/14/2009,19.0062,12/14/2009,59.7403,12/14/2009,27.6680,12/14/2009,33.4839,12/14/2009,43.9300,12/14/2009,22.2473,12/14/2009,12.8289,12/14/2009,28.4020,12/14/2009,10.7284,12/14/2009,32.9757,12/14/2009,10.4800,12/14/2009,33.5404,12/14/2009,13.5630,12/14/2009,24.7318,12/14/2009,41.5584,12/14/2009,36.1378,12/14/2009,5.2230,12/14/2009,30.7736,12/14/2009,7.0356,12/14/2009,59.4015,12/14/2009,17.1203,12/14/2009,10.6494,12/14/2009,15.7086,12/14/2009,12.5692,12/14/2009,9.4862,12/14/2009,8.5827,12/14/2009,5.8611,12/14/2009,13.3145,12/14/2009,11.8012,12/14/2009,21.1632,12/14/2009,5.3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2009,41.2910,12/15/2009,37.7296,7/26/2012,31.3107,12/15/2009,36.7279,12/15/2009,19.9221,12/15/2009,18.6644,12/15/2009,58.6533,12/15/2009,27.2677,12/15/2009,32.9994,12/15/2009,43.5170,12/15/2009,21.3467,12/15/2009,12.6767,12/15/2009,27.6572,12/15/2009,10.5732,12/15/2009,32.5543,12/15/2009,10.2838,12/15/2009,32.8325,12/15/2009,13.3333,12/15/2009,24.8748,12/15/2009,41.5136,12/15/2009,35.8375,12/15/2009,5.3784,12/15/2009,30.2727,12/15/2009,6.9004,12/15/2009,59.9889,12/15/2009,16.5721,12/15/2009,10.5287,12/15/2009,15.5036,12/15/2009,12.1759,12/15/2009,9.3823,12/15/2009,8.4363,12/15/2009,6.0100,12/15/2009,12.9772,12/15/2009,11.6973,12/15/2009,20.6678,12/15/2009,5.2643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2009,42.0290,12/16/2009,37.9041,7/27/2012,30.4315,12/16/2009,37.6812,12/16/2009,20.2230,12/16/2009,18.8406,12/16/2009,59.3088,12/16/2009,27.3690,12/16/2009,33.2776,12/16/2009,44.7046,12/16/2009,20.8919,12/16/2009,12.8651,12/16/2009,28.2609,12/16/2009,10.6912,12/16/2009,32.9431,12/16/2009,10.5128,12/16/2009,32.8874,12/16/2009,13.5117,12/16/2009,25.2508,12/16/2009,42.3634,12/16/2009,35.4515,12/16/2009,5.3094,12/16/2009,30.3790,12/16/2009,6.9231,12/16/2009,60.0892,12/16/2009,16.7336,12/16/2009,10.6410,12/16/2009,15.5518,12/16/2009,12.2854,12/16/2009,9.5095,12/16/2009,8.5619,12/16/2009,5.9420,12/16/2009,12.8317,12/16/2009,11.9398,12/16/2009,20.3902,12/16/2009,5.3066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/2009,41.8238,12/17/2009,37.1644,7/30/2012,30.6788,12/17/2009,37.9410,12/17/2009,20.1908,12/17/2009,18.9150,12/17/2009,59.6849,12/17/2009,27.5682,12/17/2009,32.8933,12/17/2009,44.2645,12/17/2009,20.7011,12/17/2009,12.8023,12/17/2009,28.1229,12/17/2009,10.6501,12/17/2009,32.4495,12/17/2009,10.4504,12/17/2009,33.1152,12/17/2009,13.2904,12/17/2009,25.4049,12/17/2009,41.4910,12/17/2009,35.1675,12/17/2009,5.2585,12/17/2009,29.6761,12/17/2009,7.0446,12/17/2009,59.7959,12/17/2009,16.6075,12/17/2009,10.6335,12/17/2009,15.5314,12/17/2009,12.1478,12/17/2009,9.4631,12/17/2009,8.5645,12/17/2009,5.8908,12/17/2009,12.9576,12/17/2009,11.9370,12/17/2009,20.4793,12/17/2009,5.2918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2009,41.6161,12/18/2009,36.9798,7/31/2012,30.5221,12/18/2009,37.3110,12/18/2009,20.3996,12/18/2009,19.0308,12/18/2009,59.1677,12/18/2009,27.4865,12/18/2009,32.2883,12/18/2009,44.8173,12/18/2009,20.8853,12/18/2009,12.7939,12/18/2009,27.5969,12/18/2009,10.6414,12/18/2009,32.0676,12/18/2009,10.3543,12/18/2009,33.2266,12/18/2009,13.1251,12/18/2009,24.7820,12/18/2009,41.2849,12/18/2009,34.8824,12/18/2009,5.3538,12/18/2009,29.3079,12/18/2009,6.9544,12/18/2009,59.6092,12/18/2009,16.4477,12/18/2009,10.5089,12/18/2009,15.4322,12/18/2009,11.8225,12/18/2009,9.3609,12/18/2009,8.5330,12/18/2009,5.9057,12/18/2009,12.8933,12/18/2009,11.7011,12/18/2009,20.3113,12/18/2009,5.1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/2009,41.2133,12/21/2009,36.4875,8/1/2012,30.6866,12/21/2009,37.3667,12/21/2009,20.5297,12/21/2009,19.1120,12/21/2009,59.3472,12/21/2009,27.4206,12/21/2009,32.0365,12/21/2009,43.8510,12/21/2009,21.1891,12/21/2009,12.6058,12/21/2009,27.2008,12/21/2009,10.6605,12/21/2009,32.2013,12/21/2009,10.3748,12/21/2009,33.0806,12/21/2009,13.1993,12/21/2009,24.5082,12/21/2009,40.6638,12/21/2009,35.4984,12/21/2009,5.2836,12/21/2009,29.6736,12/21/2009,6.9129,12/21/2009,59.7868,12/21/2009,16.5403,12/21/2009,10.4077,12/21/2009,15.3424,12/21/2009,11.8365,12/21/2009,9.2648,12/21/2009,8.5504,12/21/2009,5.7479,12/21/2009,12.4959,12/21/2009,11.4628,12/21/2009,20.4198,12/21/2009,5.3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2009,41.2214,12/22/2009,37.1865,8/2/2012,30.5176,12/22/2009,36.8593,12/22/2009,20.7525,12/22/2009,19.0404,12/22/2009,60.1963,12/22/2009,27.4809,12/22/2009,32.4973,12/22/2009,43.7296,12/22/2009,21.2541,12/22/2009,12.6390,12/22/2009,26.8811,12/22/2009,10.7961,12/22/2009,32.1156,12/22/2009,10.5453,12/22/2009,32.0065,12/22/2009,12.8681,12/22/2009,24.8637,12/22/2009,40.7852,12/22/2009,34.0240,12/22/2009,5.2345,12/22/2009,28.7895,12/22/2009,6.8811,12/22/2009,59.3239,12/22/2009,16.2377,12/22/2009,10.3817,12/22/2009,15.2017,12/22/2009,11.6249,12/22/2009,9.1821,12/22/2009,8.4842,12/22/2009,5.6380,12/22/2009,12.3010,12/22/2009,11.4504,12/22/2009,20.1527,12/22/2009,5.7361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/2009,41.6849,12/24/2009,37.4291,8/3/2012,30.4414,12/24/2009,36.9926,12/24/2009,21.0934,12/24/2009,19.0310,12/24/2009,60.1266,12/24/2009,27.9354,12/24/2009,33.1733,12/24/2009,44.5220,12/24/2009,21.6063,12/24/2009,12.6801,12/24/2009,26.4622,12/24/2009,10.8359,12/24/2009,32.1912,12/24/2009,10.6613,12/24/2009,31.8093,12/24/2009,12.6691,12/24/2009,24.9891,12/24/2009,41.2484,12/24/2009,33.8280,12/24/2009,5.2761,12/24/2009,28.1536,12/24/2009,6.8856,12/24/2009,58.1624,12/24/2009,16.5212,12/24/2009,10.3776,12/24/2009,15.1899,12/24/2009,11.6434,12/24/2009,9.2863,12/24/2009,8.5007,12/24/2009,5.6416,12/24/2009,12.4836,12/24/2009,11.5015,12/24/2009,20.3623,12/24/2009,5.8599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2009,41.6940,12/25/2009,37.4261,8/6/2012,31.1077,12/25/2009,37.2073,12/25/2009,20.8361,12/25/2009,19.0195,12/25/2009,60.0788,12/25/2009,27.4130,12/25/2009,32.9394,12/25/2009,43.7733,12/25/2009,21.4161,12/25/2009,12.7161,12/25/2009,26.6470,12/25/2009,10.8667,12/25/2009,32.2281,12/25/2009,10.6478,12/25/2009,31.7356,12/25/2009,12.6942,12/25/2009,24.6772,12/25/2009,41.1469,12/25/2009,33.5960,12/25/2009,5.2528,12/25/2009,28.4526,12/25/2009,6.9162,12/25/2009,58.2184,12/25/2009,16.0976,12/25/2009,10.4290,12/25/2009,15.1018,12/25/2009,11.6109,12/25/2009,9.1924,12/25/2009,8.5248,12/25/2009,5.5811,12/25/2009,12.3550,12/25/2009,11.5890,12/25/2009,20.2232,12/25/2009,5.7671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/2009,41.9351,12/28/2009,37.5669,8/7/2012,30.9657,12/28/2009,37.6761,12/28/2009,21.4044,12/28/2009,19.0674,12/28/2009,61.2646,12/28/2009,27.0831,12/28/2009,33.0894,12/28/2009,44.0101,12/28/2009,21.7320,12/28/2009,12.7880,12/28/2009,26.7555,12/28/2009,10.8879,12/28/2009,32.4888,12/28/2009,10.7131,12/28/2009,31.2875,12/28/2009,12.7334,12/28/2009,24.7352,12/28/2009,41.1707,12/28/2009,33.4171,12/28/2009,5.2446,12/28/2009,28.3390,12/28/2009,6.9127,12/28/2009,58.4253,12/28/2009,16.3045,12/28/2009,10.6203,12/28/2009,14.9722,12/28/2009,11.6195,12/28/2009,9.2498,12/28/2009,8.5618,12/28/2009,5.5914,12/28/2009,12.3294,12/28/2009,11.5540,12/28/2009,20.3342,12/28/2009,5.9081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2009,41.8160,12/29/2009,37.6887,8/8/2012,31.0261,12/29/2009,37.5801,12/29/2009,21.2013,12/29/2009,18.9204,12/29/2009,61.5836,12/29/2009,27.0446,12/29/2009,32.5296,12/29/2009,44.2055,12/29/2009,21.8312,12/29/2009,12.7403,12/29/2009,26.6102,12/29/2009,10.8939,12/29/2009,32.9097,12/29/2009,10.7310,12/29/2009,31.7693,12/29/2009,12.6208,12/29/2009,24.5465,12/29/2009,41.0557,12/29/2009,33.1270,12/29/2009,5.2053,12/29/2009,28.1851,12/29/2009,6.8209,12/29/2009,58.2166,12/29/2009,16.0747,12/29/2009,10.5246,12/29/2009,14.9343,12/29/2009,11.5999,12/29/2009,9.1344,12/29/2009,8.5587,12/29/2009,5.5175,12/29/2009,12.3710,12/29/2009,11.4478,12/29/2009,20.1369,12/29/2009,5.8325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2009,41.4592,12/30/2009,37.4540,8/9/2012,30.9950,12/30/2009,37.0210,12/30/2009,21.0976,12/30/2009,18.8353,12/30/2009,60.6192,12/30/2009,26.6291,12/30/2009,32.2581,12/30/2009,43.0829,12/30/2009,21.7580,12/30/2009,12.5677,12/30/2009,26.2503,12/30/2009,10.6625,12/30/2009,32.4746,12/30/2009,10.5651,12/30/2009,32.2581,12/30/2009,12.4594,12/30/2009,24.3559,12/30/2009,39.9437,12/30/2009,33.0158,12/30/2009,5.1445,12/30/2009,27.5493,12/30/2009,6.6681,12/30/2009,57.4800,12/30/2009,15.9234,12/30/2009,10.3865,12/30/2009,14.7651,12/30/2009,11.5934,12/30/2009,9.0063,12/30/2009,8.5516,12/30/2009,5.4990,12/30/2009,12.0264,12/30/2009,11.2362,12/30/2009,19.9069,12/30/2009,5.6398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2010,41.5363,1/4/2010,37.4366,8/10/2012,30.7565,1/4/2010,37.0590,1/4/2010,21.0271,1/4/2010,18.7938,1/4/2010,60.9559,1/4/2010,26.9608,1/4/2010,32.3336,1/4/2010,43.4783,1/4/2010,21.6097,1/4/2010,12.5688,1/4/2010,26.2434,1/4/2010,10.7779,1/4/2010,32.4199,1/4/2010,10.5621,1/4/2010,31.4166,1/4/2010,12.6227,1/4/2010,24.3931,1/4/2010,40.2956,1/4/2010,32.9054,1/4/2010,5.1354,1/4/2010,27.8347,1/4/2010,6.7429,1/4/2010,58.1508,1/4/2010,15.8270,1/4/2010,10.3895,1/4/2010,14.8452,1/4/2010,11.5654,1/4/2010,9.0301,1/4/2010,8.5878,1/4/2010,5.5454,1/4/2010,12.0941,1/4/2010,12.6119,1/4/2010,19.7864,1/4/2010,5.6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2010,42.2674,1/5/2010,38.2263,8/13/2012,30.9460,1/5/2010,37.4072,1/5/2010,21.4067,1/5/2010,18.7527,1/5/2010,60.5068,1/5/2010,27.9598,1/5/2010,32.4924,1/5/2010,43.7964,1/5/2010,21.9201,1/5/2010,12.7239,1/5/2010,26.2669,1/5/2010,10.8017,1/5/2010,32.9838,1/5/2010,10.7471,1/5/2010,31.0179,1/5/2010,12.5928,1/5/2010,25.1529,1/5/2010,40.9021,1/5/2010,33.5299,1/5/2010,5.1988,1/5/2010,28.0909,1/5/2010,6.7824,1/5/2010,57.1210,1/5/2010,16.2298,1/5/2010,10.7307,1/5/2010,14.9519,1/5/2010,11.5880,1/5/2010,9.1525,1/5/2010,8.6064,1/5/2010,5.5810,1/5/2010,12.2215,1/5/2010,12.1778,1/5/2010,20.1835,1/5/2010,5.7230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
