,XLE Equity,,XLB Equity,,XLI Equity,,XLF Equity,,XLU Equity,,XLK Equity,,XLV Equity,,XLP Equity,,XLY Equity,,,,,,,
7/16/2009,48.17,7/16/2009,26.48,7/16/2009,22.64,7/16/2009,12.22,7/16/2009,28.15,7/16/2009,18.82,7/16/2009,26.61,7/16/2009,23.91,7/16/2009,23.73,,,,,,,
7/17/2009,48.45,7/17/2009,26.61,7/17/2009,22.38,7/17/2009,12.14,7/17/2009,28.02,7/17/2009,19,7/17/2009,26.53,7/17/2009,23.93,7/17/2009,23.77,,,,,,,
7/20/2009,49.28,7/20/2009,27.18,7/20/2009,22.83,7/20/2009,12.24,7/20/2009,28.23,7/20/2009,19.17,7/20/2009,26.59,7/20/2009,24,7/20/2009,24.27,,,,,,,
7/21/2009,49.71,7/21/2009,27.5,7/21/2009,22.84,7/21/2009,12.13,7/21/2009,28.51,7/21/2009,19.28,7/21/2009,26.98,7/21/2009,23.97,7/21/2009,24.27,,,,,,,
7/22/2009,49.26,7/22/2009,27.58,7/22/2009,22.91,7/22/2009,12.14,7/22/2009,28.36,7/22/2009,19.39,7/22/2009,26.88,7/22/2009,23.98,7/22/2009,24.44,,,,,,,
7/23/2009,50.66,7/23/2009,28.52,7/23/2009,23.39,7/23/2009,12.49,7/23/2009,29.1,7/23/2009,19.77,7/23/2009,27.42,7/23/2009,24.31,7/23/2009,25.01,,,,,,,
7/24/2009,51.19,7/24/2009,28.75,7/24/2009,23.41,7/24/2009,12.42,7/24/2009,29.56,7/24/2009,19.652,7/24/2009,27.9,7/24/2009,24.53,7/24/2009,24.99,,,,,,,
7/27/2009,51.36,7/27/2009,28.81,7/27/2009,23.54,7/27/2009,12.62,7/27/2009,29.49,7/27/2009,19.65,7/27/2009,27.88,7/27/2009,24.44,7/27/2009,25.09,,,,,,,
7/28/2009,50.61,7/28/2009,28.57,7/28/2009,23.52,7/28/2009,12.59,7/28/2009,29.01,7/28/2009,19.69,7/28/2009,28.07,7/28/2009,24.47,7/28/2009,25.01,,,,,,,
7/29/2009,49.44,7/29/2009,27.97,7/29/2009,23.41,7/29/2009,12.59,7/29/2009,28.87,7/29/2009,19.67,7/29/2009,28.05,7/29/2009,24.6,7/29/2009,24.88,,,,,,,
7/30/2009,50.13,7/30/2009,28.82,7/30/2009,23.79,7/30/2009,12.88,7/30/2009,29.31,7/30/2009,19.77,7/30/2009,28.09,7/30/2009,24.57,7/30/2009,25.27,,,,,,,
7/31/2009,50.62,7/31/2009,29.12,7/31/2009,23.88,7/31/2009,13.01,7/31/2009,28.94,7/31/2009,19.7,7/31/2009,27.87,7/31/2009,24.52,7/31/2009,25.27,,,,,,,
8/3/2009,51.92,8/3/2009,30.15,8/3/2009,24.4,8/3/2009,13.34,8/3/2009,29.23,8/3/2009,19.97,8/3/2009,28.04,8/3/2009,24.55,8/3/2009,25.79,,,,,,,
8/4/2009,51.83,8/4/2009,30.04,8/4/2009,24.58,8/4/2009,13.61,8/4/2009,28.8,8/4/2009,19.91,8/4/2009,28.11,8/4/2009,24.59,8/4/2009,25.9,,,,,,,
8/5/2009,51.31,8/5/2009,30.28,8/5/2009,24.38,8/5/2009,14.08,8/5/2009,28.6,8/5/2009,19.73,8/5/2009,27.71,8/5/2009,24.43,8/5/2009,25.68,,,,,,,
8/6/2009,50.89,8/6/2009,30.03,8/6/2009,24.51,8/6/2009,13.98,8/6/2009,28.65,8/6/2009,19.59,8/6/2009,27.51,8/6/2009,24.18,8/6/2009,25.66,,,,,,,
8/7/2009,50.83,8/7/2009,30.21,8/7/2009,25.12,8/7/2009,14.35,8/7/2009,28.92,8/7/2009,19.79,8/7/2009,27.63,8/7/2009,24.28,8/7/2009,26.5,,,,,,,
8/10/2009,51.05,8/10/2009,29.81,8/10/2009,24.88,8/10/2009,14.29,8/10/2009,28.98,8/10/2009,19.7,8/10/2009,27.85,8/10/2009,24.3,8/10/2009,26.26,,,,,,,
8/11/2009,50.31,8/11/2009,29.74,8/11/2009,24.55,8/11/2009,13.76,8/11/2009,29,8/11/2009,19.42,8/11/2009,27.81,8/11/2009,24.3,8/11/2009,25.98,,,,,,,
8/12/2009,50.85,8/12/2009,30.01,8/12/2009,24.98,8/12/2009,14.04,8/12/2009,29.14,8/12/2009,19.81,8/12/2009,27.96,8/12/2009,24.29,8/12/2009,26.17,,,,,,,
8/13/2009,51.47,8/13/2009,30.56,8/13/2009,25.09,8/13/2009,14.33,8/13/2009,29.04,8/13/2009,19.9,8/13/2009,27.93,8/13/2009,24.43,8/13/2009,26.24,,,,,,,
8/14/2009,50.71,8/14/2009,29.79,8/14/2009,24.73,8/14/2009,14.24,8/14/2009,29.04,8/14/2009,19.71,8/14/2009,27.93,8/14/2009,24.4,8/14/2009,25.88,,,,,,,
8/17/2009,49.07,8/17/2009,28.66,8/17/2009,24,8/17/2009,13.64,8/17/2009,28.64,8/17/2009,19.24,8/17/2009,27.82,8/17/2009,24.15,8/17/2009,25.06,,,,,,,
8/18/2009,49.56,8/18/2009,29.09,8/18/2009,24.29,8/18/2009,13.92,8/18/2009,28.7,8/18/2009,19.53,8/18/2009,27.8,8/18/2009,24.19,8/18/2009,25.34,,,,,,,
8/19/2009,50.48,8/19/2009,29.47,8/19/2009,24.36,8/19/2009,13.91,8/19/2009,28.91,8/19/2009,19.58,8/19/2009,28.19,8/19/2009,24.35,8/19/2009,25.6,,,,,,,
8/20/2009,50.91,8/20/2009,29.53,8/20/2009,24.66,8/20/2009,14.27,8/20/2009,29.15,8/20/2009,19.8,8/20/2009,28.39,8/20/2009,24.47,8/20/2009,25.79,,,,,,,
8/21/2009,52.35,8/21/2009,30.31,8/21/2009,25.3,8/21/2009,14.55,8/21/2009,29.72,8/21/2009,20.09,8/21/2009,28.68,8/21/2009,24.74,8/21/2009,26.32,,,,,,,
8/24/2009,53.02,8/24/2009,30.07,8/24/2009,25.35,8/24/2009,14.438,8/24/2009,29.77,8/24/2009,20.03,8/24/2009,28.88,8/24/2009,24.75,8/24/2009,26.13,,,,,,,
8/25/2009,52.21,8/25/2009,29.92,8/25/2009,25.49,8/25/2009,14.62,8/25/2009,29.58,8/25/2009,20.08,8/25/2009,28.88,8/25/2009,24.79,8/25/2009,26.4,,,,,,,
8/26/2009,52.45,8/26/2009,29.81,8/26/2009,25.23,8/26/2009,14.58,8/26/2009,29.55,8/26/2009,20.17,8/26/2009,28.89,8/26/2009,24.87,8/26/2009,26.55,,,,,,,
8/27/2009,52.29,8/27/2009,30.02,8/27/2009,25.46,8/27/2009,14.73,8/27/2009,29.55,8/27/2009,20.21,8/27/2009,28.88,8/27/2009,24.87,8/27/2009,26.6,,,,,,,
8/28/2009,52.18,8/28/2009,30.21,8/28/2009,25.32,8/28/2009,14.75,8/28/2009,29.48,8/28/2009,20.28,8/28/2009,28.67,8/28/2009,24.77,8/28/2009,26.61,,,,,,,
8/31/2009,51.17,8/31/2009,29.81,8/31/2009,25.02,8/31/2009,14.7,8/31/2009,29.23,8/31/2009,20.02,8/31/2009,28.62,8/31/2009,24.82,8/31/2009,26.16,,,,,,,
9/1/2009,50.28,9/1/2009,28.93,9/1/2009,24.6,9/1/2009,13.91,9/1/2009,29,9/1/2009,19.61,9/1/2009,28.16,9/1/2009,24.59,9/1/2009,25.69,,,,,,,
9/2/2009,49.91,9/2/2009,29.2,9/2/2009,24.5,9/2/2009,13.79,9/2/2009,28.8,9/2/2009,19.65,9/2/2009,28.22,9/2/2009,24.61,9/2/2009,25.56,,,,,,,
9/3/2009,50.26,9/3/2009,29.62,9/3/2009,24.82,9/3/2009,14.06,9/3/2009,28.78,9/3/2009,19.74,9/3/2009,28.09,9/3/2009,24.66,9/3/2009,25.83,,,,,,,
9/4/2009,50.96,9/4/2009,30.03,9/4/2009,25.31,9/4/2009,14.22,9/4/2009,28.92,9/4/2009,20.09,9/4/2009,28.49,9/4/2009,24.84,9/4/2009,26.3,,,,,,,
9/8/2009,52.36,9/8/2009,30.44,9/8/2009,25.53,9/8/2009,14.2811,9/8/2009,28.99,9/8/2009,20.24,9/8/2009,28.36,9/8/2009,25.05,9/8/2009,26.53,,,,,,,
9/9/2009,52.48,9/9/2009,30.58,9/9/2009,25.96,9/9/2009,14.5,9/9/2009,28.95,9/9/2009,20.39,9/9/2009,28.69,9/9/2009,25.04,9/9/2009,26.81,,,,,,,
9/10/2009,53.39,9/10/2009,30.75,9/10/2009,26.18,9/10/2009,14.62,9/10/2009,28.95,9/10/2009,20.67,9/10/2009,28.91,9/10/2009,25.22,9/10/2009,27.17,,,,,,,
9/11/2009,53.6,9/11/2009,30.79,9/11/2009,26.35,9/11/2009,14.53,9/11/2009,28.94,9/11/2009,20.69,9/11/2009,28.92,9/11/2009,25.33,9/11/2009,27.08,,,,,,,
9/14/2009,54,9/14/2009,31.18,9/14/2009,26.6,9/14/2009,14.72,9/14/2009,29.36,9/14/2009,20.62,9/14/2009,29.03,9/14/2009,25.27,9/14/2009,27.17,,,,,,,
9/15/2009,54.54,9/15/2009,31.87,9/15/2009,26.92,9/15/2009,14.75,9/15/2009,29.58,9/15/2009,20.76,9/15/2009,28.77,9/15/2009,25.14,9/15/2009,27.3,,,,,,,
9/16/2009,55.89,9/16/2009,32.31,9/16/2009,27.26,9/16/2009,15.26,9/16/2009,30.05,9/16/2009,20.92,9/16/2009,29.03,9/16/2009,25.34,9/16/2009,27.82,,,,,,,
9/17/2009,55.62,9/17/2009,32.16,9/17/2009,27.31,9/17/2009,15.21,9/17/2009,29.85,9/17/2009,20.84,9/17/2009,29.01,9/17/2009,25.25,9/17/2009,27.79,,,,,,,
9/18/2009,55.18,9/18/2009,32.01,9/18/2009,27.01,9/18/2009,15.14,9/18/2009,29.68,9/18/2009,20.89,9/18/2009,28.76,9/18/2009,25.4,9/18/2009,27.8,,,,,,,
9/21/2009,54.71,9/21/2009,31.69,9/21/2009,26.85,9/21/2009,15,9/21/2009,29.54,9/21/2009,20.8,9/21/2009,29.04,9/21/2009,25.32,9/21/2009,27.69,,,,,,,
9/22/2009,55.57,9/22/2009,32.04,9/22/2009,27.17,9/22/2009,15.34,9/22/2009,29.46,9/22/2009,20.91,9/22/2009,28.95,9/22/2009,25.37,9/22/2009,27.8,,,,,,,
9/23/2009,54.41,9/23/2009,31.53,9/23/2009,26.94,9/23/2009,15.03,9/23/2009,29.36,9/23/2009,20.91,9/23/2009,28.54,9/23/2009,25.37,9/23/2009,27.4,,,,,,,
9/24/2009,53.63,9/24/2009,30.84,9/24/2009,26.5,9/24/2009,14.73,9/24/2009,29.28,9/24/2009,20.71,9/24/2009,28.51,9/24/2009,25.24,9/24/2009,27.14,,,,,,,
9/25/2009,53.56,9/25/2009,30.54,9/25/2009,26.13,9/25/2009,14.59,9/25/2009,29.2,9/25/2009,20.58,9/25/2009,28.53,9/25/2009,25.24,9/25/2009,26.98,,,,,,,
9/28/2009,54.42,9/28/2009,31.12,9/28/2009,26.67,9/28/2009,15.08,9/28/2009,29.45,9/28/2009,20.92,9/28/2009,28.84,9/28/2009,25.29,9/28/2009,27.49,,,,,,,
9/29/2009,54.27,9/29/2009,31.15,9/29/2009,26.61,9/29/2009,15.01,9/29/2009,29.51,9/29/2009,20.81,9/29/2009,28.88,9/29/2009,25.41,9/29/2009,27.62,,,,,,,
9/30/2009,53.92,9/30/2009,30.94,9/30/2009,26.34,9/30/2009,14.94,9/30/2009,29.33,9/30/2009,20.87,9/30/2009,28.67,9/30/2009,25.46,9/30/2009,27.47,,,,,,,
10/1/2009,52.24,10/1/2009,29.73,10/1/2009,25.68,10/1/2009,14.28,10/1/2009,28.83,10/1/2009,20.25,10/1/2009,28.26,10/1/2009,25.23,10/1/2009,26.87,,,,,,,
10/2/2009,51.97,10/2/2009,29.61,10/2/2009,25.35,10/2/2009,14.29,10/2/2009,28.52,10/2/2009,20.25,10/2/2009,28.15,10/2/2009,25.31,10/2/2009,26.53,,,,,,,
10/5/2009,53.12,10/5/2009,30.11,10/5/2009,25.87,10/5/2009,14.74,10/5/2009,28.83,10/5/2009,20.42,10/5/2009,28.33,10/5/2009,25.37,10/5/2009,26.94,,,,,,,
10/6/2009,54.38,10/6/2009,30.74,10/6/2009,26.12,10/6/2009,14.93,10/6/2009,29.05,10/6/2009,20.79,10/6/2009,28.56,10/6/2009,25.6,10/6/2009,27.35,,,,,,,
10/7/2009,54.8,10/7/2009,30.75,10/7/2009,26.02,10/7/2009,15.09,10/7/2009,29.07,10/7/2009,20.75,10/7/2009,28.58,10/7/2009,25.71,10/7/2009,27.37,,,,,,,
10/8/2009,56.21,10/8/2009,31.47,10/8/2009,26.48,10/8/2009,15.11,10/8/2009,29.07,10/8/2009,20.88,10/8/2009,28.61,10/8/2009,25.86,10/8/2009,27.81,,,,,,,
10/9/2009,56.16,10/9/2009,31.5,10/9/2009,26.55,10/9/2009,15.24,10/9/2009,29.25,10/9/2009,21.02,10/9/2009,28.88,10/9/2009,25.92,10/9/2009,27.8,,,,,,,
10/12/2009,56.92,10/12/2009,31.58,10/12/2009,26.5,10/12/2009,15.36,10/12/2009,29.55,10/12/2009,21.03,10/12/2009,29.02,10/12/2009,26.03,10/12/2009,27.94,,,,,,,
10/13/2009,57.01,10/13/2009,31.75,10/13/2009,26.52,10/13/2009,15.21,10/13/2009,29.34,10/13/2009,21.11,10/13/2009,28.74,10/13/2009,25.94,10/13/2009,27.99,,,,,,,
10/14/2009,57.96,10/14/2009,32.43,10/14/2009,27.29,10/14/2009,15.73,10/14/2009,29.36,10/14/2009,21.36,10/14/2009,29.18,10/14/2009,26.03,10/14/2009,28.34,,,,,,,
10/15/2009,59.17,10/15/2009,32.49,10/15/2009,27.25,10/15/2009,15.59,10/15/2009,29.59,10/15/2009,21.32,10/15/2009,29.26,10/15/2009,26.23,10/15/2009,28.38,,,,,,,
10/16/2009,58.99,10/16/2009,32.04,10/16/2009,27.06,10/16/2009,15.22,10/16/2009,29.69,10/16/2009,21.12,10/16/2009,29.24,10/16/2009,26.37,10/16/2009,28.33,,,,,,,
10/19/2009,59.76,10/19/2009,32.53,10/19/2009,27.35,10/19/2009,15.29,10/19/2009,30.11,10/19/2009,21.35,10/19/2009,29.49,10/19/2009,26.52,10/19/2009,28.65,,,,,,,
10/20/2009,59.38,10/20/2009,32.19,10/20/2009,27.16,10/20/2009,15.17,10/20/2009,29.81,10/20/2009,21.28,10/20/2009,29.21,10/20/2009,26.49,10/20/2009,28.36,,,,,,,
10/21/2009,59.22,10/21/2009,31.81,10/21/2009,26.965,10/21/2009,14.88,10/21/2009,29.85,10/21/2009,21.29,10/21/2009,28.825,10/21/2009,26.285,10/21/2009,27.99,,,,,,,
10/22/2009,59.45,10/22/2009,32.19,10/22/2009,27.16,10/22/2009,15.32,10/22/2009,29.92,10/22/2009,21.39,10/22/2009,29.01,10/22/2009,26.33,10/22/2009,28.36,,,,,,,
10/23/2009,58.3,10/23/2009,31.55,10/23/2009,26.68,10/23/2009,15.1,10/23/2009,29.43,10/23/2009,21.33,10/23/2009,28.71,10/23/2009,26.07,10/23/2009,28.25,,,,,,,
10/26/2009,57.34,10/26/2009,30.74,10/26/2009,26.47,10/26/2009,14.71,10/26/2009,29.04,10/26/2009,21.19,10/26/2009,28.4,10/26/2009,25.87,10/26/2009,28.08,,,,,,,
10/27/2009,57.85,10/27/2009,30.49,10/27/2009,26.11,10/27/2009,14.6,10/27/2009,28.97,10/27/2009,21.08,10/27/2009,28.52,10/27/2009,25.89,10/27/2009,27.6,,,,,,,
10/28/2009,55.94,10/28/2009,29.55,10/28/2009,25.57,10/28/2009,14.148,10/28/2009,28.68,10/28/2009,20.77,10/28/2009,28.23,10/28/2009,25.82,10/28/2009,26.82,,,,,,,
10/29/2009,57.43,10/29/2009,30.43,10/29/2009,26.18,10/29/2009,14.74,10/29/2009,28.93,10/29/2009,21.17,10/29/2009,28.48,10/29/2009,26.24,10/29/2009,27.54,,,,,,,
10/30/2009,55.25,10/30/2009,29.34,10/30/2009,25.29,10/30/2009,14.05,10/30/2009,28.39,10/30/2009,20.61,10/30/2009,28.07,10/30/2009,25.83,10/30/2009,26.82,,,,,,,
11/2/2009,55.6,11/2/2009,29.6,11/2/2009,25.58,11/2/2009,14.17,11/2/2009,28.34,11/2/2009,20.73,11/2/2009,28.19,11/2/2009,26.08,11/2/2009,27.08,,,,,,,
11/3/2009,56.32,11/3/2009,29.9,11/3/2009,26.02,11/3/2009,14.208,11/3/2009,28.28,11/3/2009,20.65,11/3/2009,28.2,11/3/2009,25.91,11/3/2009,27.1,,,,,,,
11/4/2009,56.27,11/4/2009,29.9,11/4/2009,25.97,11/4/2009,14.01,11/4/2009,28.47,11/4/2009,20.77,11/4/2009,28.56,11/4/2009,26.01,11/4/2009,27.11,,,,,,,
11/5/2009,57.23,11/5/2009,30.43,11/5/2009,26.64,11/5/2009,14.37,11/5/2009,28.95,11/5/2009,21.22,11/5/2009,29.03,11/5/2009,26.13,11/5/2009,27.85,,,,,,,
11/6/2009,57.08,11/6/2009,30.69,11/6/2009,26.88,11/6/2009,14.31,11/6/2009,28.92,11/6/2009,21.25,11/6/2009,29.16,11/6/2009,26.2,11/6/2009,28.1,,,,,,,
11/9/2009,58.17,11/9/2009,31.69,11/9/2009,27.56,11/9/2009,14.82,11/9/2009,29.44,11/9/2009,21.74,11/9/2009,29.65,11/9/2009,26.63,11/9/2009,28.71,,,,,,,
11/10/2009,58.21,11/10/2009,31.73,11/10/2009,27.4,11/10/2009,14.77,11/10/2009,29.58,11/10/2009,21.73,11/10/2009,29.85,11/10/2009,26.62,11/10/2009,28.81,,,,,,,
11/11/2009,58.19,11/11/2009,32.04,11/11/2009,27.61,11/11/2009,14.97,11/11/2009,29.51,11/11/2009,21.86,11/11/2009,29.89,11/11/2009,26.7,11/11/2009,28.84,,,,,,,
11/12/2009,56.91,11/12/2009,31.89,11/12/2009,27.29,11/12/2009,14.69,11/12/2009,29.1,11/12/2009,21.7,11/12/2009,29.72,11/12/2009,26.54,11/12/2009,28.52,,,,,,,
11/13/2009,57.27,11/13/2009,32.01,11/13/2009,27.5,11/13/2009,14.66,11/13/2009,29.36,11/13/2009,21.9,11/13/2009,29.78,11/13/2009,26.72,11/13/2009,29.02,,,,,,,
11/16/2009,58.77,11/16/2009,32.67,11/16/2009,28.13,11/16/2009,14.82,11/16/2009,29.77,11/16/2009,22.14,11/16/2009,30.08,11/16/2009,26.87,11/16/2009,29.49,,,,,,,
11/17/2009,58.67,11/17/2009,33.05,11/17/2009,28.08,11/17/2009,14.86,11/17/2009,29.61,11/17/2009,22.24,11/17/2009,30.16,11/17/2009,27,11/17/2009,29.25,,,,,,,
11/18/2009,58.44,11/18/2009,33.05,11/18/2009,27.93,11/18/2009,14.98,11/18/2009,29.48,11/18/2009,22.12,11/18/2009,30.33,11/18/2009,26.98,11/18/2009,29.17,,,,,,,
11/19/2009,57.13,11/19/2009,32.55,11/19/2009,27.51,11/19/2009,14.69,11/19/2009,29.12,11/19/2009,21.8,11/19/2009,30.18,11/19/2009,26.85,11/19/2009,28.84,,,,,,,
11/20/2009,56.6,11/20/2009,32.44,11/20/2009,27.46,11/20/2009,14.6,11/20/2009,29.25,11/20/2009,21.69,11/20/2009,30.39,11/20/2009,26.89,11/20/2009,28.69,,,,,,,
11/23/2009,57.33,11/23/2009,32.77,11/23/2009,27.96,11/23/2009,14.81,11/23/2009,29.62,11/23/2009,22.07,11/23/2009,30.67,11/23/2009,27.12,11/23/2009,28.94,,,,,,,
11/24/2009,57.66,11/24/2009,32.73,11/24/2009,27.73,11/24/2009,14.7,11/24/2009,29.68,11/24/2009,22.03,11/24/2009,30.91,11/24/2009,27.18,11/24/2009,28.91,,,,,,,
11/25/2009,58.11,11/25/2009,33.26,11/25/2009,27.96,11/25/2009,14.67,11/25/2009,30.02,11/25/2009,22.07,11/25/2009,31.1,11/25/2009,27.13,11/25/2009,29.19,,,,,,,
11/27/2009,57.02,11/27/2009,32.35,11/27/2009,27.42,11/27/2009,14.28,11/27/2009,29.51,11/27/2009,21.71,11/27/2009,30.79,11/27/2009,26.88,11/27/2009,28.62,,,,,,,
11/30/2009,56.82,11/30/2009,32.5,11/30/2009,27.51,11/30/2009,14.66,11/30/2009,29.76,11/30/2009,21.75,11/30/2009,30.68,11/30/2009,26.78,11/30/2009,28.62,,,,,,,
12/1/2009,57.57,12/1/2009,33.13,12/1/2009,27.96,12/1/2009,14.67,12/1/2009,30.32,12/1/2009,22.1,12/1/2009,31.22,12/1/2009,27.15,12/1/2009,29.07,,,,,,,
12/2/2009,57.23,12/2/2009,33.45,12/2/2009,27.88,12/2/2009,14.66,12/2/2009,30.73,12/2/2009,22.07,12/2/2009,31.15,12/2/2009,27.12,12/2/2009,29.16,,,,,,,
12/3/2009,56.31,12/3/2009,32.91,12/3/2009,27.75,12/3/2009,14.36,12/3/2009,30.83,12/3/2009,22.08,12/3/2009,31,12/3/2009,26.91,12/3/2009,28.96,,,,,,,
12/4/2009,55.9,12/4/2009,32.55,12/4/2009,28.17,12/4/2009,14.63,12/4/2009,30.64,12/4/2009,22.22,12/4/2009,30.98,12/4/2009,27.05,12/4/2009,29.15,,,,,,,
12/7/2009,55.77,12/7/2009,32.59,12/7/2009,28.07,12/7/2009,14.39,12/7/2009,30.91,12/7/2009,22.181,12/7/2009,30.94,12/7/2009,27.02,12/7/2009,29.24,,,,,,,
12/8/2009,54.82,12/8/2009,32.07,12/8/2009,27.64,12/8/2009,14.26,12/8/2009,30.78,12/8/2009,21.98,12/8/2009,30.7,12/8/2009,26.71,12/8/2009,29.02,,,,,,,
12/9/2009,54.82,12/9/2009,32.47,12/9/2009,27.77,12/9/2009,14.31,12/9/2009,30.89,12/9/2009,22.19,12/9/2009,30.96,12/9/2009,26.76,12/9/2009,29.02,,,,,,,
12/10/2009,55.5,12/10/2009,32.35,12/10/2009,27.89,12/10/2009,14.29,12/10/2009,31.28,12/10/2009,22.29,12/10/2009,31.28,12/10/2009,26.85,12/10/2009,29.47,,,,,,,
12/11/2009,55.53,12/11/2009,32.44,12/11/2009,28.17,12/11/2009,14.39,12/11/2009,31.82,12/11/2009,22.24,12/11/2009,31.28,12/11/2009,27,12/11/2009,29.76,,,,,,,
12/14/2009,56.1,12/14/2009,32.91,12/14/2009,28.55,12/14/2009,14.47,12/14/2009,31.97,12/14/2009,22.42,12/14/2009,31.57,12/14/2009,27.1,12/14/2009,29.99,,,,,,,
12/15/2009,56.28,12/15/2009,32.59,12/15/2009,28.47,12/15/2009,14.24,12/15/2009,31.77,12/15/2009,22.28,12/15/2009,31.58,12/15/2009,26.99,12/15/2009,29.95,,,,,,,
12/16/2009,56.64,12/16/2009,32.92,12/16/2009,28.35,12/16/2009,14.33,12/16/2009,31.63,12/16/2009,22.35,12/16/2009,31.42,12/16/2009,26.86,12/16/2009,29.98,,,,,,,
12/17/2009,56.16,12/17/2009,32.19,12/17/2009,28.04,12/17/2009,14.06,12/17/2009,31.45,12/17/2009,22.08,12/17/2009,31.13,12/17/2009,26.54,12/17/2009,29.62,,,,,,,
12/18/2009,56.15,12/18/2009,31.99,12/18/2009,27.85,12/18/2009,14.22,12/18/2009,31.35,12/18/2009,22.33,12/18/2009,31.13,12/18/2009,26.24,12/18/2009,29.61,,,,,,,
12/21/2009,56.82,12/21/2009,32.46,12/21/2009,28.06,12/21/2009,14.43,12/21/2009,31.44,12/21/2009,22.53,12/21/2009,31.42,12/21/2009,26.38,12/21/2009,29.99,,,,,,,
12/22/2009,57.09,12/22/2009,32.65,12/22/2009,28.09,12/22/2009,14.46,12/22/2009,31.18,12/22/2009,22.71,12/22/2009,31.56,12/22/2009,26.56,12/22/2009,29.97,,,,,,,
12/23/2009,57.54,12/23/2009,33.15,12/23/2009,28.14,12/23/2009,14.4,12/23/2009,31.25,12/23/2009,22.8,12/23/2009,31.46,12/23/2009,26.58,12/23/2009,30.16,,,,,,,
12/24/2009,57.81,12/24/2009,33.41,12/24/2009,28.25,12/24/2009,14.53,12/24/2009,31.48,12/24/2009,23.01,12/24/2009,31.46,12/24/2009,26.68,12/24/2009,30.18,,,,,,,
12/28/2009,57.91,12/28/2009,33.44,12/28/2009,28.2,12/28/2009,14.48,12/28/2009,31.5,12/28/2009,23.08,12/28/2009,31.62,12/28/2009,26.73,12/28/2009,30.16,,,,,,,
12/29/2009,57.53,12/29/2009,33.49,12/29/2009,28.28,12/29/2009,14.42,12/29/2009,31.48,12/29/2009,23.05,12/29/2009,31.58,12/29/2009,26.78,12/29/2009,30.26,,,,,,,
12/30/2009,57.47,12/30/2009,33.45,12/30/2009,28.14,12/30/2009,14.43,12/30/2009,31.47,12/30/2009,23.13,12/30/2009,31.49,12/30/2009,26.73,12/30/2009,30.05,,,,,,,
12/31/2009,57.01,12/31/2009,32.99,12/31/2009,27.79,12/31/2009,14.4,12/31/2009,31.02,12/31/2009,22.93,12/31/2009,31.07,12/31/2009,26.47,12/31/2009,29.77,,,,,,,
1/4/2010,58.81,1/4/2010,34.02,1/4/2010,28.32,1/4/2010,14.69,1/4/2010,31.08,1/4/2010,23.27,1/4/2010,31.61,1/4/2010,26.67,1/4/2010,30,,,,,,,
1/5/2010,59.29,1/5/2010,34.13,1/5/2010,28.42,1/5/2010,14.96,1/5/2010,30.71,1/5/2010,23.24,1/5/2010,31.3,1/5/2010,26.68,1/5/2010,30.11,,,,,,,
1/6/2010,60,1/6/2010,34.71,1/6/2010,28.48,1/6/2010,14.99,1/6/2010,30.89,1/6/2010,22.98,1/6/2010,31.62,1/6/2010,26.66,1/6/2010,30.15,,,,,,,
1/7/2010,59.91,1/7/2010,34.44,1/7/2010,28.79,1/7/2010,15.31,1/7/2010,30.75,1/7/2010,22.89,1/7/2010,31.73,1/7/2010,26.66,1/7/2010,30.4,,,,,,,
1/8/2010,60.3,1/8/2010,34.92,1/8/2010,29.25,1/8/2010,15.22,1/8/2010,30.72,1/8/2010,23.04,1/8/2010,31.78,1/8/2010,26.57,1/8/2010,30.39,,,,,,,
1/11/2010,60.22,1/11/2010,34.73,1/11/2010,29.57,1/11/2010,15.23,1/11/2010,31.04,1/11/2010,22.95,1/11/2010,31.96,1/11/2010,26.64,1/11/2010,30.33,,,,,,,
1/12/2010,59.35,1/12/2010,34.07,1/12/2010,29.33,1/12/2010,15.01,1/12/2010,30.91,1/12/2010,22.7,1/12/2010,31.73,1/12/2010,26.79,1/12/2010,29.94,,,,,,,
1/13/2010,59.57,1/13/2010,34.47,1/13/2010,29.45,1/13/2010,15.18,1/13/2010,31.25,1/13/2010,22.92,1/13/2010,32.15,1/13/2010,26.98,1/13/2010,30.28,,,,,,,
1/14/2010,59.74,1/14/2010,34.05,1/14/2010,29.45,1/14/2010,15.25,1/14/2010,31.11,1/14/2010,22.98,1/14/2010,32.44,1/14/2010,26.9,1/14/2010,30.28,,,,,,,
1/15/2010,59.26,1/15/2010,33.8,1/15/2010,29.07,1/15/2010,14.94,1/15/2010,30.91,1/15/2010,22.66,1/15/2010,32.22,1/15/2010,26.77,1/15/2010,29.98,,,,,,,
1/19/2010,59.8,1/19/2010,34.34,1/19/2010,29.39,1/19/2010,15.13,1/19/2010,31.27,1/19/2010,23.05,1/19/2010,33,1/19/2010,26.93,1/19/2010,30.38,,,,,,,
1/20/2010,58.87,1/20/2010,33.73,1/20/2010,28.94,1/20/2010,15.09,1/20/2010,30.94,1/20/2010,22.68,1/20/2010,32.72,1/20/2010,26.73,1/20/2010,29.97,,,,,,,
1/21/2010,57.67,1/21/2010,32.27,1/21/2010,28.27,1/21/2010,14.66,1/21/2010,30.49,1/21/2010,22.44,1/21/2010,32.01,1/21/2010,26.35,1/21/2010,29.59,,,,,,,
