"","time","event","date","broker","name","is_forced","newtp_to_px","oldtp_to_px","chg_tgt","newtp_avgtp","chg_2d","chg_5d","char_newrating","newrating","oldrating","chg_rating","score"
"1","A","TP+ ","05/10/2018","Craig-Hallum Capital Group LLC","SYNAPTICS INC","Forced","15.9090909090909","11.3636363636364","4.08163265306122","-2.85714285714286","-4.926463","-2.8223102","","5","5","","1.5"
"2","A","TP+ ","05/10/2018","Okasan Securities (AGCO Partner)","NINTENDO CO LTD","","46.1538461538461","41.7582417582418","3.10077519379845","12.5000033041589","-3.559711","-1.6236984","","5","5","","1.5"
"3","A","TP+ ","05/10/2018","Aton LLC","GAZPROM","Forced","36.5840333265041","11.3159871611009","22.6993865030675","14.6513072822457","0.9757047","0.7574594","","5","5","","1.5"
"4","A","TP- ","05/10/2018","Nomura","ORIX CORP","","16.3804152781338","25.6088182517303","-7.34693877551021","-3.71155885471898","-2.764119","1.1307856","","3","3","","0.5"
"5","A","TP- ","05/10/2018","Mizuho Securities Co Ltd","MITSUI OSK LINES","Forced","7.0336391437309","19.2660550458716","-10.2564102564103","-11.7647076925899","-1.084851","-1.2528914","","3","3","","0.5"
"6","A","TP- ","05/10/2018","J.P. Morgan","SYNAPTICS INC","","18.1818181818182","22.7272727272727","-3.7037037037037","-0.952380952380949","-4.926463","-2.8223102","","5","5","","0.5"
"7","B/D","TP+ ","05/10/2018","Barclays","DEUTSCHE TELEKOM","","14.1856392294221","12.0840630472855","1.875","-0.715039464110179","-1.966927","-2.7643198","","3","3","","0.5"
"8","B/D","TP- ","05/09/2018","Morningstar, Inc","SOFTBANK GROUP C","","37.6421304608019","47.2172351885099","-6.50406504065041","-11.9396810744795","-1.454905","-2.5545294","","5","5","","-0.5"
"9","A","TP- ","05/09/2018","Stifel","SYNAPTICS INC","","22.7272727272727","29.5454545454545","-5.26315789473684","2.85714285714285","-4.926463","-2.8223102","","5","5","","0.5"
"10","B/D","TP- ","05/09/2018","Motilal Oswal Securities Ltd","HINDALCO INDS","","53.3360961458765","54.9937836717778","-1.06951871657754","22.7027815333334","1.0041872","3.8030145","","5","5","","-0.5"
"11","B/D","TP+ ","05/09/2018","DZ Bank AG","TOYOTA MOTOR","Forced","-4.50474183350895","-8.06111696522656","3.86819484240688","-7.12132595816944","6.231225","5.3238316","","3","3","","0.5"
"12","B/D","TP+ ","05/09/2018","Nomura","TOYOTA MOTOR","Forced","22.4973656480506","11.9599578503688","9.41176470588235","19.1409198053826","6.231225","5.3238316","","5","5","","0.5"
"13","B/D","TP- ","05/09/2018","Prabhudas Lilladher Pvt Ltd","HINDALCO INDS","","26.3986738499793","30.5428926647327","-3.17460317460317","1.14688748018024","1.0041872","3.8030145","","5","5","","-0.5"
"14","B/D","TP+ ","05/09/2018","New Street Research","DEUTSCHE TELEKOM","","26.0945709281961","19.0893169877408","5.88235294117647","9.63983372061452","-1.966927","-2.7643198","","3","3","","0.5"
"15","B/D","TP+ ","05/09/2018","AlphaValue","TOTAL SA","","-4.23502479969478","-7.09652804273178","3.08008213552361","-9.76162751826847","0.9718349","0.6612652","","2","2","","0.5"
"16","B/D","TP- ","05/09/2018","TH Capital LLC","NETEASE INC-ADR","","10.5962664225921","25.8509238601911","-12.1212121212121","-15.2511642271785","0.241724","2.263813","","5","5","","-0.5"
"17","B/D","TP+ ","05/09/2018","Goldman Sachs","ORIX CORP","","37.913355549859","33.8118431171494","3.06513409961686","14.1039236479321","-2.764119","1.1307856","","5","5","","0.5"
"18","B/D","TP- ","05/09/2018","China Merchants Securities","JD.COM INC-ADR","","31.8977119784657","50.7402422611036","-12.5","2.32474106655931","-0.7605176","-3.0890856","","5","5","","-0.5"
"19","B/D","TP+ ","05/09/2018","Morningstar, Inc","JD.COM INC-ADR","","21.1305518169583","4.97981157469718","15.3846153846154","-6.02829902050676","-0.7605176","-3.0890856","","3","3","","0.5"
