"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"DERNMOF.US.Equity",2.41300191204589,0.96636375110438,1.33876319207875
"DGHMENV.US.Equity",4.03519421734096,1.39142545771578,2.12302675329571
"DIAMOND.US.Equity",12.1884057971014,1.40245540546532,2.35140885442277
"DORSCAP.US.Equity",7.3,4.76712328767123,2.92934782608696
"DOVDOAD.US.Equity",5.87094430992736,1.40227895819054,1.87005801613131
"DUNLCAP.US.Equity",1.62423780487805,1.2411074793309,1.26225669544856
"DUNWPAR.US.Equity",36.7455818606202,1.68429737710613,3.13273865654949
"ECAGLSF.US.Equity",1.7378874510984,1.06202248623708,1.06202248623708
"ECOSTCP.US.Equity",5.85789772727273,1.92819458896982,3.17679867986799
"ECOSTGC.US.Equity",4.27948240165632,3.73910702005849,3.73910702005849
"EHPADVA.CN.Equity",1.51796052631579,1.819870708095,3.00338822726709
"EINEIAD.US.Equity",3.35307580174927,1.34097053437656,1.83914184686523
"EJFFINS.US.Equity",5.19512195121951,2.10284401034186,2.4797621769952
"ELIZAPC.US.Equity",21.4140625,2.42760111368977,2.69934007179641
"ENGNCAP.US.Equity",5.62111274595377,2.02135893378154,2.18583025196093
"EXCINVA.US.Equity",12.78125,1.26499032882012,2.54229249011858
"EXCQUAL.US.Equity",8.64150943396226,1.05935696619951,2.06953642384106
"FALCHIO.US.Equity",3.02149492842924,1.91995369725665,1.91995369725665
"FATPITC.US.Equity",3.27250900360144,1.12235246558032,1.49999445814855
"FBRUSVA.US.Equity",3.41087860963663,1.73381623489907,1.73381623489907
"FHVFUND.KY.Equity",0.460794390223424,0.481645638476965,0.481645638476965
"FINCHLP.US.Equity",7.79089552238806,2.65272030651341,2.65272030651341
"FINOPLS.US.Equity",26.3534146341463,7.25929273084479,7.25929273084479
"FISHENI.US.Equity",14.2184673964779,0.935703719357566,1.63988354542219
"FOFIPAR.US.Equity",2.64923874853605,2.20718846197697,2.59853640537881
"FONTAFE.MV.Equity",0.71716935181716,1.37640753501512,1.85888855407356
"FOUUAIG.KY.Equity",1.90437085587989,2.71651777641144,2.71651777641144
"GASAX.US.Equity",2.78364116094987,1.04178516028956,1.97002098039644
"GCPGCFF.KY.Equity",7.62512432312963,4.12612195409461,6.58160116358711
"GEMFOLS.US.Equity",0.269281045751634,0.269281045751634,0.269281045751634
"GLIDLLC.US.Equity",16.9184636118598,37.3520889487871,37.3520889487871
"GLIDSPC.KY.Equity",Inf,Inf,Inf
"GOLDGAF.US.Equity",44.3169840353914,8.58620324816167,8.58620324816167
"GPOF8DR.US.Equity",2.12889021479714,1.87119302625755,1.87119302625755
"GPOFPAN.US.Equity",2.20220222793488,0.946814247162208,0.946814247162208
"GPOFSCO.US.Equity",3.58803267045455,1.30849566299232,1.30849566299232
"GRATIAC.KY.Equity",3.78915757366121,1.76876433785193,1.76876433785193
"HA4EAG1.US.Equity",1.85298696733044,1.40002178645747,1.56051959625041
"HAAHAUS.US.Equity",0.762707373271889,1.57156144781145,1.81798099078341
"HALFMCP.US.Equity",2.02510062751569,2.11009306896352,2.21748974909531
"HARBOUR.BH.Equity",6.86142100240234,1.38219662103982,1.90532802281771
"HARSMCP.US.Equity",1.38939670932358,1.99075785582255,3.2259301879555
"HARVQPL.US.Equity",4.73223156285823,1.43498095617077,2.40924664436293
"HASMCAP.US.Equity",4.74160881472518,1.48328457901813,2.21005430777429
"HESTIAC.US.Equity",5.11928934010152,1.57839435994153,1.97232510315578
"HILSCPEQ.CN.Equity",0.871894521316136,1.25350161830594,1.81169421942203
"HINOKIN.KY.Equity",2.22146274777854,1.66820624948803,1.80245060859619
"HLUSPFEQ.CN.Equity",4.13985923078352,1.95248739093991,2.13890803594407
"HMICAPA.US.Equity",7.81189179537541,2.06596394243023,2.95270788110197
"HOLLPAO.KY.Equity",Inf,34.0819672131148,34.0819672131148
"HYPERHL.US.Equity",Inf,Inf,Inf
"IMUAX.US.Equity",1.80702124963035,1.05627125631248,1.43189378408695
"INFCCGR.KY.Equity",3.76758881627438,1.55850820429135,1.56580044338485
"IQHIX.US.Equity",1.03685987619584,1.00095906012108,1.37983982025078
"IRONBAY.US.Equity",10.8380281690141,3.43648997129165,3.31895856906949
"JAAAX.US.Equity",11.4096,1.30966258579585,1.88859068488016
"JANLYNP.US.Equity",2.23232323232323,1.03300371567744,1.02997821930027
"JORCAPP.US.Equity",13.5841584158416,1.43808082379733,2.32122200737668
"JSIEQUI.BM.Equity",3.50976217550142,1.33692501192291,1.72071848254102
"KACIPQP.US.Equity",1.58762383530365,0.695367375472131,1.04474802774585
"KALOCAP.US.Equity",2.02083333333333,1.41595015012939,2.17772068900393
"KAYNMLP.US.Equity",1.19624888232873,0.693797690421038,1.05726723919381
"KEYREOH.US.Equity",1.35847547169811,1.32407282235708,1.31104680906795
"KEYREOO.KY.Equity",0.939615094339623,1.11852385458545,1.06098534275885
"KGRSEIV.US.Equity",3.68296362242501,1.15522273046107,1.15522273046107
"KINETIC.KY.Equity",6.69517346018207,1.0198542236352,1.62527600129076
"KININST.US.Equity",8.20043103448276,1.19971414559862,1.94854641089429
"LAKEGEN.KY.Equity",5.6312853883208,1.50751285702251,1.36600275582108
"LAWTONP.US.Equity",5.54545454545454,1.36538461538462,1.36538461538462
"LEGIONS.KY.Equity",Inf,0.920790387791128,1.94221874148144
"LEVPART.US.Equity",3.37647058823529,1.34351145038168,1.65874499332443
"LIVEQOP.US.Equity",4.45248205868614,1.88407425207257,2.58363678340637
"LOGICAL.US.Equity",1.05224063777334,1.46783810853309,1.36077301821763
"LQLAX.US.Equity",2.0327645278249,1.43238620009046,1.43238620009046
"LSNAX.US.Equity",3.14926029808062,1.32050961246666,1.20683987253294
"LSUSSIU.LX.Equity",7.82443098384728,0.982881841183423,1.61947677500778
"LTEPART.US.Equity",2.11524163568773,7.71675153030275,12.3154724322111
"LTPUSE1.KY.Equity",0.0540803634200422,0.360871690996717,0.299396081428177
"MARLNLP.US.Equity",4.0019267822736,1.51781904385618,2.80864849637298
"MATAMNB.US.Equity",1.03665865384615,1.60186936002091,1.60186936002091
"MATAMNC.US.Equity",1.14664071364655,1.79068735585033,1.41242830856135
"MEDISIP.US.Equity",3.36703058588216,2.38656507252968,3.1251857674093
"MENDCAP.US.Equity",8.96407125195539,4.85925340990668,5.02182949386245
"METISLC.US.Equity",0.730994152046784,1.74852071005917,2.20770593445527
"MICMIAD.US.Equity",1.7897326743389,1.40809668985607,1.88795647043793
"MILE26F.US.Equity",3.30444444444444,1.82465923172243,1.82465923172243
"MILLRLP.US.Equity",7.48922077922078,1.93275219120466,2.33559233830669
"MULTADV.LX.Equity",5.54624914494186,1.10508348610217,1.61157392663791
"NCHPX.US.Equity",3.15622288955622,1.06194060151703,1.4638857023673
"NEWBRCP.US.Equity",5.71875,1.86111972740615,1.84661311685285
"NEWPRDM.US.Equity",2.39159866031417,1.73406702387019,1.86887174559269
"NOIFUND.KY.Equity",3.20338983050847,2.05876198779425,2.14542284219704
"NPEAKCP.US.Equity",1.01067101237508,1.10105547570619,1.10105547570619
"NSPARLP.US.Equity",0.714912280701754,0.877608863694924,1.2245288864589
"NVINSUR.US.Equity",Inf,4.76304533789564,4.06345475910693
"OCEANPT.US.Equity",0.991386033935906,0.97924092374945,1.76295602912751
"ODAAX.US.Equity",1.47745622788714,0.983864569038963,1.07388791867218
"OGBORNE.US.Equity",4.19846560846561,1.20906623735051,2.05356212975251
"OKLOKOK.US.Equity",12.6588823529412,1.38263041338583,1.65914965986395
"OLYWFRI.BH.Equity",1.12099342305292,0.969034970976378,1.13236201525053
"OLYWSCI.KY.Equity",1.37936772046589,1.14383172256964,1.67007751937984
"OPEXCAP.US.Equity",Inf,20.4547393004011,5.28647532626427
"OPTFNDI.BH.Equity",9.12148617077398,1.21555183097161,1.64681041634968
"ORILX.US.Equity",5.18840489070953,1.89352961421733,2.23728979501489
"PABALFD.US.Equity",9.14125,1.07847624840801,1.72813140379025
"PACAPRV.KY.Equity",3.48241206030151,2.76303317535545,1.75053033517183
"PACROCK.US.Equity",4.01413427561838,1.45463992461387,1.60810103910263
"PADIVMG.US.Equity",8.76176870748299,1.17137798465773,1.79970287859289
"PAMSECT.US.Equity",7.32708333333333,1.13765505790658,1.7019399943095
"PAMSFII.US.Equity",7.20479125479707,1.13298275293934,1.67045386576283
"PASELST.US.Equity",8.386952568571,1.03720447559679,1.68322064565279
"PDPAX.US.Equity",1.65619066455696,0.958090498747946,1.1852223745556
"PECGREN.US.Equity",0.554402290622763,0.675543970988214,1.04127286915807
"PECINTL.BH.Equity",0.427393811980471,0.506440267892296,0.845692743756412
"PERWHIS.BH.Equity",5.95310706673225,1.8301066063759,2.36351130948581
"PGSPEIA.KY.Equity",1.00117401060083,0.424629168457448,0.802185057464173
"PINPIAG.US.Equity",9.42736641221374,1.06388597285068,1.84383522297808
"PINPIAJ.US.Equity",1.59987297921478,0.713396527003346,1.02180998151571
"PIPDYNC.US.Equity",2.55859986580183,2.03695329783872,2.03695329783872
"PLDLX.US.Equity",4.10683058661438,1.86353956564567,2.14732869360479
"PPFAMRF.US.Equity",2.17273678320317,2.10387938306355,2.10387938306355
"PRIMSVA.KY.Equity",94.9,3.71428571428571,3.71428571428571
"PTDEFMC.US.Equity",1.0256032960565,1.50808662280702,1.92426812033111
"PUNCHMC.US.Equity",2.46575342465753,1.65654809619238,2.15804374669254
"QMETRIC.CN.Equity",1.50005501424258,2.74674533298404,2.47284345047923
"QUQEQMN.US.Equity",0.133073546987516,1.19335857876666,1.21780828344074
"RAMSEYP.VI.Equity",Inf,2.15563071175614,2.05662064351317
"RBBAX.US.Equity",13.8912516321582,1.93324044877906,2.30648075529391
"RBICPTN.US.Equity",0.456692913385827,0.956388049471946,0.932062612738402
"REDOAKP.US.Equity",6.88651351351351,3.7567628992629,2.58656607929515
"REDWORP.US.Equity",0.630769230769231,2.04677741428389,2.50733739388393
"REEFENR.US.Equity",0.498506181391652,1.18875024266531,1.18875024266531
"RMDFX.US.Equity",9.20813850625553,3.04566591484978,3.04566591484978
"RMRGX.US.Equity",9.95473121659855,1.57329397315176,1.90090194478948
"ROSENHI.US.Equity",5.22314814814815,5.22314814814815,5.22314814814815
"ROTHCSF.US.Equity",4.24878048780488,1.06509679477984,1.51385169491525
"ROUBAIX.US.Equity",3.74863387978142,2.54947793445002,2.85996423145709
"RRCMONI.US.Equity",0.754705340124937,0.622726966594828,0.864829270763568
"RUDGEAR.US.Equity",0.892923627966162,0.513818217416942,0.834851421605602
"RWRINVS.US.Equity",1.37266706803131,0.983251362488369,1.50916567387879
"SANDPOP.US.Equity",3.8642090298544,2.98633296068458,3.24071638401057
"SANSNLP.US.Equity",2.27352941176471,1.74139010644959,2.65369504209542
"SAPHVOO.KY.Equity",3.07792667390176,1.33078257722103,1.91574116397149
"SAPHVOY.US.Equity",4.89117647058824,1.57449998296364,2.65280205188733
"SASGTVA.KY.Equity",24.4228101721038,2.75990835926009,2.10945194962456
"SCOPLBF.US.Equity",6.26800447278552,1.42249727563874,1.64583420505076
"SCOPQPL.US.Equity",6.03823192875976,1.56722540282122,1.56722540282122
"SCPLBIN.BH.Equity",6.140390917603,1.40450137010194,1.41553106252526
"SCPOGVA.KY.Equity",0,0.353595867963609,1.06230711125499
"SCWCAPI.US.Equity",7.04061823029495,3.34473811247888,3.34473811247888
"SEEDLCA.US.Equity",1.72345383804815,1.11302538682795,1.84367741751396
"SELAX.US.Equity",1.70136304194749,1.07741518839176,1.35436838692617
"SEMPALT.US.Equity",10.0606060606061,6.29824561403509,6.29824561403509
"SERALTS.US.Equity",1.03422053231939,2.44486692015209,2.44486692015209
"SEVHILL.US.Equity",1.0843989769821,0.802990736881502,1.45842935213849
"SGUSUAF.CN.Equity",1.35095957533687,1.12276108106339,1.12276108106339
"SILSEAS.US.Equity",0.405553290560694,1.53786628525324,3.06383104785354
"SIMCOEP.US.Equity",4.66666666666667,1.79322571678452,2.46788021501451
"SIMUSEA.LE.Equity",5.68482221625561,1.69892107427548,2.21480599594109
"SITOWER.US.Equity",2.10453173122146,1.23162474545426,1.44931521031944
"SKYBGII.US.Equity",Inf,0.898622313124686,1.16113306772058
"SKYQUES.US.Equity",6.67727550397068,1.45956481307511,1.99417027865537
"SKYSPIN.US.Equity",6.7848152281746,1.46746919899742,2.0082247086457
"SMINVES.US.Equity",1.80341947995409,1.52073859679929,2.2207730725911
"SMINVII.US.Equity",1.94185017370973,1.56926022607312,2.23705291234205
"SMINVOS.KY.Equity",1.66272174880491,1.38128810546919,2.06060099960412
"SMSAX.US.Equity",4.88435649987836,1.28129161665817,1.60710222606177
"SNOWCAP.US.Equity",2.98747763864043,1.06169278088426,1.62241224562426
"SNOWONE.US.Equity",Inf,Inf,Inf
"SOLSPVE.VI.Equity",3.25447789634146,1.07202600135267,1.07202600135267
"SOMERCP.US.Equity",0.7999875,0.932707036915918,1.37368691119312
"SOSNFLP.US.Equity",5.39444217524191,1.70886793928963,1.16531658080545
"SPESPAB.US.Equity",5.73305109660728,1.28657848610886,2.03347938545506
"SPIMLPE.US.Equity",1.36940077561403,0.778190258245806,1.28161371335485
"SPITFIR.US.Equity",3.38943381736945,1.77621396487515,2.35316669253834
