"","ann.ret","ann.std","downrisk","drawdown","sharpe","sortino","omega","wl","skewness","kurtosis"
"AHPACOB.KY.Equity",0.0708127790153605,0.0318919960074996,0.0245825300819661,-0.0264114405459999,2.06361429996054,2.67721747094052,5.34587619790226,0.783333333333333,-0.306857241425452,1.66230876863397
"AISMERC.KY.Equity",0.0886507228749127,0.202576497871072,0.104863068305863,-0.223549040432079,0.41293399655942,0.797713858905233,1.49828055949264,0.583333333333333,0.572466633604978,0.798902548071442
"ALASOPP.KY.Equity",0.0274083436761008,0.122883207792961,0.0801606763514764,-0.286578342839222,0.182354807288684,0.27954284689226,1.22135913620198,0.566666666666667,-0.347368342144974,-0.117846887342792
"ALCINDA.KY.Equity",0.206283077369625,0.236642312229825,0.155729867171632,-0.352361774011652,0.850579405994567,1.29251428146271,1.98462017145711,0.7,-0.190198715257763,0.137130837656186
"ALLIVFD.AU.Equity",0.0295988186767864,0.119425487352731,0.125436633428016,-0.200078547929571,0.205976288831313,0.196105539542425,1.29323114823165,0.683333333333333,-1.55468878990149,3.80170394925232
"ALTACIF.MP.Equity",0.119661304785385,0.132717399507566,0.0987081001173254,-0.167374601936871,0.86395080984727,1.16162001547084,1.96351560295872,0.683333333333333,-0.523608452965961,0.285893707298976
"APEXGCE.US.Equity",0.109954252511378,0.101841391676286,0.0450636987983079,-0.0905337521387642,1.0305657727556,2.32901992757236,2.46165792481027,0.566666666666667,0.971368000351967,1.5850032218899
"APSASPH.KY.Equity",0.0875144161043269,0.160992444466361,0.101736744194429,-0.251580993633742,0.512535953956325,0.811058155612233,1.68368390600531,0.6,0.607373551168476,2.37977171758731
"APSCHIA.KY.Equity",0.148229686786618,0.269632890090136,0.213319126590635,-0.430832761448109,0.531202579695443,0.671433870350875,1.74993667029529,0.6,-0.301351020153438,1.66105306522843
"APSCHIN.KY.Equity",0.110552972096171,0.241463013444288,0.149558615528849,-0.377878019033482,0.437139297611413,0.705763233518373,1.59182194965798,0.533333333333333,0.373467230295958,1.93824578671727
"ARMACRO.KY.Equity",0.117996135376386,0.0694457737751098,0.039029250266273,-0.065866590551,1.6271132026307,2.89516541069791,3.84925003611583,0.666666666666667,0.482132353978332,1.06111461574517
"ASCREHA.KY.Equity",0.0871814159625186,0.0822308467013464,0.0763270692654124,-0.0908180461510001,0.999398878391617,1.07670079243772,2.33691134460478,0.716666666666667,-0.92629944824476,3.25720338807319
"ATHASIE.SP.Equity",0.00524210138621783,0.0991420205509693,0.0704930047361245,-0.239371836719253,0.00244196542366583,0.00343440298968797,1.07820115985342,0.616666666666667,-0.524780246885593,-0.120615256890706
"ATLRIVR.KY.Equity",0.0481779517623289,0.319399963291424,0.179510228203413,-0.449421767533304,0.135184585863377,0.240531986363482,1.28758002513965,0.5,1.34460725883277,6.25321921504105
"ATMOSBE.KY.Equity",0.0958222019718797,0.180864347843115,0.111506142839107,-0.280937352042582,0.502156467291501,0.814504023360646,1.57573883205565,0.55,0.137070840478578,0.730862147381863
"BERINUR.KY.Equity",-0.195261667689177,0.239827583015319,0.238611952862878,-0.748157364929957,-0.835023499679709,-0.839277602343167,0.300469462009089,0.166666666666667,-1.90852736726929,11.3445569452249
"BRASFXI.KY.Equity",0.0658431650792553,0.175175232659041,0.0767417247399937,-0.237450530283331,0.34732743981953,0.792830305617916,1.89496843358035,0.483333333333333,4.84892855910325,30.7473594991786
"CAMCCGA.KY.Equity",0.119662945161419,0.0863599701061135,0.0211578547440322,-0.0857856552121451,1.32773257124254,5.419403174311,3.64139916692616,0.6,2.42106124020214,8.87989018970739
"CCIOIGF.KY.Equity",0.129035661782684,0.149869525155524,0.130340343656695,-0.284028244553981,0.827624306235498,0.951629083542875,1.99610085742265,0.633333333333333,-0.97623559933585,1.99672768465097
"CEASOPP.AU.Equity",0.109907440802478,0.103418205865656,0.0434452742836826,-0.124794484254684,1.01440012350201,2.41470315315466,2.12364238478285,0.633333333333333,0.112639956356344,-0.938563943297165
