,time,event,date,broker,name,is_forced,newtp_to_px,oldtp_to_px,chg_tgt,newtp_avgtp,chg_2d,chg_5d,char_newrating,newrating,oldrating,chg_rating,score
50,B/D,TP- ,4/19/2018,J.P. Morgan,TSMC,,17.90393013,24.45414847,(5.26),3.259057996,-3.1499616,-4.643134,,5,5,,-0.5
51,B/D,TP- ,4/19/2018,Canaccord Genuity,QUALCOMM INC,,50.77601936,64.13591981,(8.14),16.25080258,-4.2392941,-7.043252,,5,5,,-0.5
52,B/D,TP- ,4/19/2018,Stifel,QUALCOMM INC,,6.879203597,29.78189008,(17.65),-17.59436779,-4.2392941,-7.043252,,3,3,,-0.5
53,B/D,TP+ ,4/19/2018,Macquarie,ALCOA CORP,,11.4922813,-2.229845626,14.04 ,6.849317302,-0.9591531,5.017028,,5,5,,0.5
54,B/D,TP- ,4/19/2018,Bank of China International,NETEASE INC-ADR,,3.056081246,16.17230977,(11.29),-21.42617355,-2.8498161,-3.311117,,3,3,,-0.5
55,B/D,TP- ,4/19/2018,Bank of China International,TENCENT,,24.93753123,27.43628186,(1.96),-4.090653065,-0.3927384,-0.645711,,5,5,,-0.5
56,B/D,TP- ,4/19/2018,KGI Securities,TSMC,,4.80349345,7.423580786,(2.44),-8.21417067,-3.1499616,-4.643134,,3,3,,-0.5
57,B/D,TP- ,4/19/2018,Clarksons Platou Securities AS,AP MOLLER-B,,58.57668776,58.95907173,(0.24),22.88864541,6.1930537,3.6570677,,5,5,,-0.5
58,B/D,TP- ,4/19/2018,HSBC,TSMC,,15.72052402,22.27074236,(5.36),1.346853219,-3.1499616,-4.643134,,5,5,,-0.5
59,B/D,TP- ,4/19/2018,Susquehanna Financial,TSMC,,-8.296943231,3.056768559,(11.02),-19.68739934,-3.1499616,-4.643134,,3,3,,-0.5
60,B/D,TP+ ,4/19/2018,J.P. Morgan,SINOPEC OILFIE-H,,157.7876106,-9.734513274,185.59 ,131.5580256,4.1868916,3.067856,,1,1,,0.5
61,B/D,TP- ,4/19/2018,J.P. Morgan,SINOPEC OILFIE-H,,-16.81415929,-9.734513274,(7.84),-25.27822036,4.1868916,3.067856,,1,1,,-0.5
62,B/D,TP+ ,4/19/2018,Clarksons Platou Securities AS,AP MOLLER-B,,58.95907173,58.76761603,0.12 ,23.184973,6.1930537,3.6570677,,5,5,,0.5
63,B/D,TP+ ,4/19/2018,BCS,LUKOIL,,29.74542262,26.51667921,2.55 ,14.45696153,-0.5668842,-0.355701,,5,5,,0.5
64,B/D,TP+ ,4/19/2018,BCS,GAZPROM,,18.62236068,15.67324334,2.55 ,2.024145074,0.2928599,-1.222527,,3,3,,0.5
65,B/D,TP+ ,4/19/2018,Goldman Sachs,CHEVRON CORP,,13.14257604,11.50282856,1.47 ,1.486814018,-0.6014051,0.649354,,5,5,,0.5
66,B/D,TP+ ,4/19/2018,Goldman Sachs,CONOCOPHILLIPS,Forced,17.21723246,11.12802557,5.48 ,14.74509873,-0.2063681,0.157138,,5,5,,0.5
67,B/D,TP- ,4/19/2018,China Merchants Securities,CHINA COM CONS-H,,25.11682243,42.64018692,(12.29),-11.06959477,1.8272736,2.808166,,5,5,,-0.5
68,B/D,TP+ ,4/19/2018,Renaissance Capital,GAZPROM,Forced,-3.080650744,-10.00346141,7.69 ,-16.64207581,0.2928599,-1.222527,,3,3,,0.5
69,B/D,TP+ ,4/19/2018,J.P. Morgan,ALUMINA LTD,,13.07420495,-8.127208481,23.08 ,23.30931722,5.4715335,8.5853603,,5,5,,0.5
70,B/D,TP- ,4/19/2018,Morgans Financial Limited,BHP BILLITON LTD,,5.541153597,6.675307842,(1.06),4.01513806,2.5017215,3.1198263,,4,4,,-0.5
71,B/D,TP+ ,4/19/2018,Credit Suisse,ALCOA CORP,Forced,21.7838765,4.631217839,16.39 ,16.71233121,-0.9591531,5.017028,,5,5,,0.5
72,B/D,TP+ Upgrade,4/19/2018,Credit Suisse,HSBC HOLDINGS PL,,0.260416667,-14.32291667,17.02 ,-8.049356576,1.0774206,1.921362, neutral,3,1,2,1.5
73,B/D,TP+ ,4/19/2018,"Morningstar, Inc",BHP BILLITON LTD,,-25.4698639,-28.7103046,4.55 ,-26.54749231,2.5017215,3.1198263,,3,3,,0.5
74,B/D,TP+ ,4/19/2018,First Shanghai Securities Ltd,HUANENG RENEWA-H,Forced,20.12987013,0.649350649,19.35 ,3.18478637,1.2074266,-3.672218,,5,5,,0.5
75,B/D,TP+ ,4/19/2018,J.P. Morgan,ALCOA CORP,,47.51286449,35.50600343,8.86 ,41.36986597,-0.9591531,5.017028,,5,5,,0.5
76,B/D,TP- ,4/19/2018,Morgan Stanley,GLENCORE PLC,,0.210970464,2.848101266,(2.56),-15.04956074,1.0272209,8.593729,,3,3,,-0.5
