"","intraday.1","interday.1","security.1","intraday.5","interday.5","security.5"
"2017-10-12",7.94899999999978,0.376559,252.334,NA,NA,NA
"2017-10-13",7.0799999999999,0.307193,252.642,NA,NA,NA
"2017-10-16",7.20799999999963,0.336921,252.978,NA,NA,NA
"2017-10-17",6.56400000000016,0.17837,253.157,NA,NA,NA
"2017-10-18",7.1759999999995,0.247736,253.405,35.976999999999,1.446779,1264.516
"2017-10-19",9.95100000000005,0.069366,253.474,37.9789999999992,1.139586,1265.656
"2017-10-20",7.94399999999928,1.308048,254.782,38.8429999999986,2.140441,1267.796
"2017-10-23",9.77000000000072,0.990945,253.791,41.4049999999997,2.794465,1268.609
"2017-10-24",8.95400000000058,0.445925,254.237,43.7950000000001,3.06202,1269.689
"2017-10-25",16.7080000000005,1.258501,252.978,53.3270000000011,4.072785,1269.262
"2017-10-26",11.8659999999999,0.327012,253.305,55.242000000001,4.330431,1269.093
"2017-10-27",11.3459999999994,2.071076,255.377,58.6440000000011,5.093459,1269.688
"2017-10-30",10.9399999999997,0.951307,254.425,59.8140000000001,5.053821,1270.322
"2017-10-31",8.04200000000003,0.396378,254.822,58.9019999999996,5.004274,1270.907
"2017-11-01",12.5320000000006,0.336921,255.159,54.7259999999997,4.082694,1273.088
"2017-11-02",13.3819999999993,0.099095,255.258,56.2419999999991,3.854777,1275.041
"2017-11-03",9.10599999999999,0.852213,256.11,54.0019999999996,2.635914,1275.774
"2017-11-06",7.33800000000065,0.396378,256.506,50.4000000000006,2.080985,1277.855
"2017-11-07",11.9100000000001,0.17837,256.328,54.2680000000007,1.862977,1279.361
"2017-11-08",8.84800000000058,0.436016,256.764,50.5840000000006,1.962072,1280.966
"2017-11-09",20.6320000000006,0.931489,255.832,57.834000000002,2.794466,1281.54
"2017-11-10",11.4500000000001,0.079276,255.753,60.1780000000021,2.021529,1281.183
"2017-11-13",8.83900000000074,0.237827,255.991,61.6790000000021,1.862978,1280.668
"2017-11-14",15.2759999999989,0.594567,255.396,65.0450000000009,2.279175,1279.736
"2017-11-15",14.1940000000003,1.278319,254.118,70.3910000000006,3.121478,1277.09
"2017-11-16",10.1879999999996,2.160261,256.278,59.9469999999997,4.35025,1277.536
"2017-11-17",10.244,0.753118,255.525,58.7409999999996,5.024092,1277.308
"2017-11-20",8.13599999999974,0.436016,255.961,58.0379999999986,5.222281,1277.278
"2017-11-21",7.80199999999957,1.674698,257.636,50.5639999999993,6.302412,1279.518
"2017-11-22",7.62199999999973,0.227917,257.408,43.9919999999987,5.25201,1282.808
"2017-11-24",3.56699999999955,0.594567,258.003,37.3709999999986,3.686316,1284.533
"2017-11-27",8.61399999999935,0.128823,257.874,35.7409999999979,3.062021,1286.882
"2017-11-28",11.7560000000007,2.616096,260.49,39.3609999999989,5.242101,1291.411
"2017-11-29",16.4880000000009,0.158551,260.331,48.0470000000002,3.725954,1294.106
"2017-11-30",18.3189999999996,2.279174,262.61,58.744,5.777211,1299.308
"2017-12-01",36.0480000000001,0.54502,262.065,91.2250000000006,5.727664,1303.37
"2017-12-04",19.5260000000005,0.317102,261.748,102.137000000002,5.915943,1307.244
"2017-12-05",16.6459999999998,0.941398,260.807,107.027000000001,4.241245,1307.561
"2017-12-06",15.7900000000003,0.049547,260.856,106.329,4.132241,1308.086
"2017-12-07",13.496,0.822485,261.679,101.506000000001,2.675552,1307.155
"2017-12-08",10.6400000000003,1.426961,263.106,76.0980000000009,3.557493,1308.196
"2017-12-11",9.05199999999945,0.792756,263.899,65.6239999999999,4.033147,1310.347
"2017-12-12",10.503000000001,0.465744,264.364,59.4810000000011,3.557493,1313.904
"2017-12-13",12.5899999999995,0.029728,264.335,56.2810000000002,3.537674,1317.383
"2017-12-14",13.6169999999997,1.08013,263.255,56.4019999999999,3.795319,1318.959
"2017-12-15",11.4260000000007,2.192553,265.447,57.1880000000003,4.560911,1321.3
"2017-12-18",10.3009999999998,1.68326,267.13,58.4370000000006,5.451415,1324.531
"2017-12-19",12.15,1.025892,266.104,60.0839999999996,6.011563,1326.271
"2017-12-20",13.6060000000002,0.139442,265.965,61.1000000000004,6.121277,1327.901
"2017-12-21",9.08400000000074,0.547806,266.513,56.5670000000014,5.588953,1331.159
"2017-12-22",8.41400000000056,0.069721,266.443,53.5550000000013,3.466121,1332.155
"2017-12-26",8.19600000000065,0.318724,266.124,51.4500000000022,2.101585,1331.149
"2017-12-27",7.68700000000064,0.129482,266.254,46.9870000000028,1.205175,1331.299
"2017-12-28",5.96400000000068,0.547806,266.802,39.3450000000033,1.613539,1332.136
"2017-12-29",9.90899999999965,1.005972,265.796,40.1700000000022,2.071705,1331.419
"2018-01-02",9.48799999999977,1.902382,267.698,41.2440000000014,3.904366,1332.674
"2018-01-03",8.91000000000031,1.69322,269.391,41.9580000000011,5.278862,1335.941
"2018-01-04",10.7200000000003,1.135453,270.527,44.9910000000007,6.284833,1340.214
"2018-01-05",9.46699999999976,1.802781,272.33,48.4939999999998,7.539808,1345.742
"2018-01-08",8.8520000000002,0.498006,272.828,47.4370000000004,7.031842,1352.774
"2018-01-09",11.9420000000008,0.617527,273.445,49.8910000000014,5.746987,1358.521
"2018-01-10",14.2719999999997,0.418325,273.027,55.2530000000007,4.472092,1362.157
"2018-01-11",10.3100000000005,1.992023,275.019,54.8430000000009,5.328662,1366.649
"2018-01-12",12.7619999999995,1.792821,276.812,58.1380000000007,5.318702,1371.131
"2018-01-16",24.474,0.946211,275.865,73.7600000000005,5.766907,1374.168
