,1800 HK Equity,,1186 HK Equity,,390 HK Equity,,2338 HK Equity,,1919 HK Equity,,177 HK Equity,,552 HK Equity,,576 HK Equity,,2866 HK Equity,,2357 HK Equity,,694 HK Equity,,3898 HK Equity,,1882 HK Equity,,1138 HK Equity,,1333 HK Equity,,2880 HK Equity,,3808 HK Equity,,107 HK Equity,,2382 HK Equity,,38 HK Equity,,1308 HK Equity,,2222 HK Equity,,995 HK Equity,,1133 HK Equity,,631 HK Equity,,598 HK Equity,,3339 HK Equity,,1101 HK Equity,,1893 HK Equity,,1685 HK Equity,,826 HK Equity,,187 HK Equity,,357 HK Equity,,6888 HK Equity,,3378 HK Equity,,1080 HK Equity,,1708 HK Equity,,569 HK Equity,,2345 HK Equity
12/18/2008,1.3239,12/18/2008,1.5226,12/18/2008,0.74322,12/18/2008,0.8581,12/18/2008,0.83354,12/18/2008,0.6826,12/18/2008,0.59575,12/18/2008,0.6129,12/18/2008,0.16258,12/18/2008,0.1187,12/18/2008,0.54064,12/18/2008,0.9032,12/18/2008,0.1368,12/18/2008,1.22579,12/18/2009,0.7515,12/18/2008,0.26709,12/18/2008,0.76515,12/18/2008,0.19613,12/18/2008,0.0619,12/18/2008,0.25161,5/23/2011,0.54772,12/31/2010,0.52362,12/18/2008,0.35225,12/18/2008,0.74322,7/14/2010,0.74469,12/18/2008,0.17419,12/18/2008,0.15193,7/8/2011,0.66429,12/18/2008,0.55612,6/7/2011,0.93833,12/18/2008,0.05,12/18/2008,0.09935,12/18/2008,0.38451,12/18/2008,0.00129,12/18/2008,0.11226,8/6/2010,0.21385,12/18/2008,0.33548,12/18/2008,0.19226,12/18/2008,0.12774
12/19/2008,1.2697,12/19/2008,1.5122,12/19/2008,0.74838,12/19/2008,0.8495,12/19/2008,0.7716,12/19/2008,0.6942,12/19/2008,0.62478,12/19/2008,0.6258,12/19/2008,0.16774,12/19/2008,0.1200,12/19/2008,0.55483,12/19/2008,0.8839,12/19/2008,0.1316,12/19/2008,1.13547,12/21/2009,0.7775,12/19/2008,0.2929,12/19/2008,0.72257,12/19/2008,0.19613,12/19/2008,0.0645,12/19/2008,0.24903,5/24/2011,0.56318,1/3/2011,0.5548,12/19/2008,0.36516,12/19/2008,0.78709,7/15/2010,0.71821,12/19/2008,0.17935,12/19/2008,0.1371,7/11/2011,0.64581,12/19/2008,0.60644,6/8/2011,0.93297,12/19/2008,0.05742,12/19/2008,0.09677,12/19/2008,0.4258,12/19/2008,0.00129,12/19/2008,0.12129,8/9/2010,0.21258,12/19/2008,0.38709,12/19/2008,0.19226,12/19/2008,0.12
12/22/2008,1.2308,12/22/2008,1.5327,12/22/2008,0.71476,12/22/2008,0.8160,12/22/2008,0.72895,12/22/2008,0.6864,12/22/2008,0.59316,12/22/2008,0.6322,12/22/2008,0.15611,12/22/2008,0.1123,12/22/2008,0.5251,12/22/2008,0.8451,12/22/2008,0.1252,12/22/2008,1.05149,12/22/2009,0.7790,12/22/2008,0.26836,12/22/2008,0.75991,12/22/2008,0.19998,12/22/2008,0.0645,12/22/2008,0.23868,5/25/2011,0.56279,1/4/2011,0.54572,12/22/2008,0.36899,12/22/2008,0.75475,7/16/2010,0.72928,12/22/2008,0.19353,12/22/2008,0.13515,7/12/2011,0.6081,12/22/2008,0.57284,6/9/2011,0.93789,12/22/2008,0.05677,12/22/2008,0.09289,12/22/2008,0.4064,12/22/2008,0.00129,12/22/2008,0.11741,8/10/2010,0.20996,12/22/2008,0.36254,12/22/2008,0.19482,12/22/2008,0.11483
12/23/2008,1.1677,12/23/2008,1.4400,12/23/2008,0.67225,12/23/2008,0.7796,12/23/2008,0.64515,12/23/2008,0.6516,12/23/2008,0.55536,12/23/2008,0.5781,12/23/2008,0.14322,12/23/2008,0.1136,12/23/2008,0.49161,12/23/2008,0.8090,12/23/2008,0.1136,12/23/2008,0.92902,12/23/2009,0.7558,12/23/2008,0.24516,12/23/2008,0.76515,12/23/2008,0.19355,12/23/2008,0.0639,12/23/2008,0.22322,5/26/2011,0.58312,1/5/2011,0.5392,12/23/2008,0.35612,12/23/2008,0.72128,7/19/2010,0.72018,12/23/2008,0.17806,12/23/2008,0.13161,7/13/2011,0.63168,12/23/2008,0.55483,6/10/2011,0.93266,12/23/2008,0.05032,12/23/2008,0.09161,12/23/2008,0.38064,12/23/2008,0.00129,12/23/2008,0.11097,8/11/2010,0.20987,12/23/2008,0.36258,12/23/2008,0.19742,12/23/2008,0.1071
12/24/2008,1.1521,12/24/2008,1.4502,12/24/2008,0.66445,12/24/2008,0.7870,12/24/2008,0.65542,12/24/2008,0.6528,12/24/2008,0.56667,12/24/2008,0.5767,12/24/2008,0.14708,12/24/2008,0.1135,12/24/2008,0.49672,12/24/2008,0.8064,12/24/2008,0.1187,12/24/2008,0.89152,12/24/2009,0.7503,12/24/2008,0.2503,12/24/2008,0.78056,12/24/2008,0.19611,12/24/2008,0.0639,12/24/2008,0.23869,5/27/2011,0.57423,1/6/2011,0.53647,12/24/2008,0.36641,12/24/2008,0.74186,7/20/2010,0.73487,12/24/2008,0.18063,12/24/2008,0.12805,7/14/2011,0.67029,12/24/2008,0.58059,6/13/2011,0.9235,12/24/2008,0.04903,12/24/2008,0.09676,12/24/2008,0.38706,12/24/2008,0.00129,12/24/2008,0.11612,8/12/2010,0.20855,12/24/2008,0.36254,12/24/2008,0.1974,12/24/2008,0.11225
12/29/2008,1.2038,12/29/2008,1.4606,12/29/2008,0.67738,12/29/2008,0.7849,12/29/2008,0.68254,12/29/2008,0.6851,12/29/2008,0.58815,12/29/2008,0.5909,12/29/2008,0.15096,12/29/2008,0.1264,12/29/2008,0.49287,12/29/2008,0.7935,12/29/2008,0.1161,12/29/2008,0.97413,12/28/2009,0.7298,12/29/2008,0.25289,12/29/2008,0.74834,12/29/2008,0.19225,12/29/2008,0.0639,12/29/2008,0.24386,5/30/2011,0.56432,1/7/2011,0.52755,12/29/2008,0.37288,12/29/2008,0.78318,7/21/2010,0.74413,12/29/2008,0.18967,12/29/2008,0.1287,7/15/2011,0.68768,12/29/2008,0.58964,6/14/2011,0.93654,12/29/2008,0.05096,12/29/2008,0.09548,12/29/2008,0.38707,12/29/2008,0.00129,12/29/2008,0.11354,8/13/2010,0.20843,12/29/2008,0.42578,12/29/2008,0.20644,12/29/2008,0.11483
12/30/2008,1.1987,12/30/2008,1.4684,12/30/2008,0.67483,12/30/2008,0.7613,12/30/2008,0.67741,12/30/2008,0.7058,12/30/2008,0.60585,12/30/2008,0.5806,12/30/2008,0.15097,12/30/2008,0.1252,12/30/2008,0.48516,12/30/2008,0.8000,12/30/2008,0.1148,12/30/2008,0.98321,12/29/2009,0.7556,12/30/2008,0.24516,12/30/2008,0.7058,12/30/2008,0.18967,12/30/2008,0.0639,12/30/2008,0.23484,5/31/2011,0.57602,1/10/2011,0.52331,12/30/2008,0.36774,12/30/2008,0.79225,7/22/2010,0.75469,12/30/2008,0.18709,12/30/2008,0.12742,7/18/2011,0.66694,12/30/2008,0.5858,6/15/2011,0.91916,12/30/2008,0.05484,12/30/2008,0.09032,12/30/2008,0.38322,12/30/2008,0.00129,12/30/2008,0.11355,8/16/2010,0.20844,12/30/2008,0.49032,12/30/2008,0.20645,12/30/2008,0.11097
12/31/2008,1.2335,12/31/2008,1.4890,12/31/2008,0.69289,12/31/2008,0.7849,12/31/2008,0.69547,12/31/2008,0.7355,12/31/2008,0.61342,12/31/2008,0.5871,12/31/2008,0.15097,12/31/2008,0.1355,12/31/2008,0.50193,12/31/2008,0.8064,12/31/2008,0.1342,12/31/2008,0.99354,12/30/2009,0.7479,12/31/2008,0.25161,12/31/2008,0.67354,12/31/2008,0.18967,12/31/2008,0.0645,12/31/2008,0.23742,6/1/2011,0.57728,1/11/2011,0.52221,12/31/2008,0.36129,12/31/2008,0.82709,7/23/2010,0.75448,12/31/2008,0.19355,12/31/2008,0.12806,7/19/2011,0.67476,12/31/2008,0.59999,6/16/2011,0.9118,12/31/2008,0.05484,12/31/2008,0.09032,12/31/2008,0.38193,6/25/2013,0.31323,12/31/2008,0.11484,8/17/2010,0.20464,12/31/2008,0.46451,12/31/2008,0.21677,12/31/2008,0.11355
1/2/2009,1.3031,1/2/2009,1.5405,1/2/2009,0.72252,1/2/2009,0.8268,1/2/2009,0.74832,1/2/2009,0.7561,1/2/2009,0.65754,1/2/2009,0.5987,1/2/2009,0.16128,1/2/2009,0.1445,1/2/2009,0.51608,1/2/2009,0.8154,1/2/2009,0.1329,1/2/2009,1.03991,12/31/2009,0.8048,1/2/2009,0.26062,1/2/2009,0.74574,1/2/2009,0.19353,1/2/2009,0.0639,1/2/2009,0.24643,6/2/2011,0.56555,1/12/2011,0.53896,1/2/2009,0.37803,1/2/2009,0.91476,7/26/2010,0.74947,1/2/2009,0.19998,1/2/2009,0.13547,7/20/2011,0.6686,1/2/2009,0.61672,6/17/2011,0.8945,1/2/2009,0.05516,1/2/2009,0.09289,1/2/2009,0.40254,6/26/2013,0.32863,1/2/2009,0.11741,8/18/2010,0.20466,1/2/2009,0.46447,1/2/2009,0.21417,1/2/2009,0.1187
1/5/2009,1.3571,1/5/2009,1.5661,1/5/2009,0.7482,1/5/2009,0.8385,1/5/2009,0.81657,1/5/2009,0.7727,1/5/2009,0.6688,1/5/2009,0.6373,1/5/2009,0.17157,1/5/2009,0.1458,1/5/2009,0.53277,1/5/2009,0.8514,1/5/2009,0.1432,1/5/2009,1.1623,1/4/2010,0.8446,1/5/2009,0.27348,1/5/2009,0.7353,1/5/2009,0.19221,1/5/2009,0.0722,1/5/2009,0.24897,6/3/2011,0.56831,1/13/2011,0.53256,1/5/2009,0.39345,1/5/2009,0.92106,7/27/2010,0.74665,1/5/2009,0.20124,1/5/2009,0.13803,7/21/2011,0.65713,1/5/2009,0.62565,6/20/2011,0.88548,1/5/2009,0.05773,1/5/2009,0.09417,1/5/2009,0.41538,6/27/2013,0.35318,1/5/2009,0.11997,8/19/2010,0.20721,1/5/2009,0.51084,1/5/2009,0.21156,1/5/2009,0.11997
1/6/2009,1.3697,1/6/2009,1.6199,1/6/2009,0.75193,1/6/2009,0.8749,1/6/2009,0.8061,1/6/2009,0.7777,1/6/2009,0.66867,1/6/2009,0.6849,1/6/2009,0.19346,1/6/2009,0.1457,1/6/2009,0.53525,1/6/2009,0.8383,1/6/2009,0.1432,1/6/2009,1.17368,1/5/2010,0.9024,1/6/2009,0.28633,1/6/2009,0.7055,1/6/2009,0.19733,1/6/2009,0.0709,1/6/2009,0.24634,6/7/2011,0.57071,1/14/2011,0.52739,1/6/2009,0.40885,1/6/2009,0.90928,7/28/2010,0.74333,1/6/2009,0.19862,1/6/2009,0.13607,7/22/2011,0.66235,1/6/2009,0.60877,6/21/2011,0.86912,1/6/2009,0.05707,1/6/2009,0.1006,1/6/2009,0.43336,6/28/2013,0.34811,1/6/2009,0.12124,8/20/2010,0.20319,1/6/2009,0.53525,1/6/2009,0.22829,1/6/2009,0.13156
1/7/2009,1.3081,1/7/2009,1.5816,1/7/2009,0.72244,1/7/2009,0.8439,1/7/2009,0.83855,1/7/2009,0.7740,1/7/2009,0.62088,1/7/2009,0.6528,1/7/2009,0.20125,1/7/2009,0.1471,1/7/2009,0.55602,1/7/2009,0.7986,1/7/2009,0.1509,1/7/2009,1.21138,1/6/2010,1.0407,1/7/2009,0.27866,1/7/2009,0.71083,1/7/2009,0.19222,1/7/2009,0.0722,1/7/2009,0.24511,6/8/2011,0.58857,1/17/2011,0.52471,1/7/2009,0.42959,1/7/2009,0.87338,7/29/2010,0.75375,1/7/2009,0.19867,1/7/2009,0.13804,7/25/2011,0.6532,1/7/2009,0.57021,6/22/2011,0.90652,1/7/2009,0.05483,1/7/2009,0.09676,1/7/2009,0.41669,7/2/2013,0.35467,1/7/2009,0.11869,8/23/2010,0.20708,1/7/2009,0.51603,1/7/2009,0.22963,1/7/2009,0.12901
1/8/2009,1.2378,1/8/2009,1.4906,1/8/2009,0.68983,1/8/2009,0.7822,1/8/2009,0.72465,1/8/2009,0.7401,1/8/2009,0.58903,1/8/2009,0.6357,1/8/2009,0.18181,1/8/2009,0.1393,1/8/2009,0.52608,1/8/2009,0.7582,1/8/2009,0.1380,1/8/2009,1.09986,1/7/2010,1.0407,1/8/2009,0.28367,1/8/2009,0.67307,1/8/2009,0.18439,1/8/2009,0.0671,1/8/2009,0.2308,6/9/2011,0.59743,1/18/2011,0.52073,1/8/2009,0.42937,1/8/2009,0.78525,7/30/2010,0.76732,1/8/2009,0.19083,1/8/2009,0.12217,7/26/2011,0.66237,1/8/2009,0.51834,6/23/2011,0.90496,1/8/2009,0.0548,1/8/2009,0.09155,1/8/2009,0.3894,7/3/2013,0.33918,1/8/2009,0.11218,8/24/2010,0.20703,1/8/2009,0.51576,1/8/2009,0.22565,1/8/2009,0.11347
1/9/2009,1.2247,1/9/2009,1.4465,1/9/2009,0.68842,1/9/2009,0.8014,1/9/2009,0.74128,1/9/2009,0.7374,1/9/2009,0.60279,1/9/2009,0.6407,1/9/2009,0.17791,1/9/2009,0.1457,1/9/2009,0.52083,1/9/2009,0.7800,1/9/2009,0.1418,1/9/2009,1.09967,1/8/2010,1.0406,1/9/2009,0.2862,1/9/2009,0.65361,1/9/2009,0.18306,1/9/2009,0.0658,1/9/2009,0.22818,6/10/2011,0.59479,1/19/2011,0.52456,1/9/2009,0.4164,1/9/2009,0.798,8/2/2010,0.77191,1/9/2009,0.18822,1/9/2009,0.11893,7/27/2011,0.64563,1/9/2009,0.51954,6/24/2011,0.89885,1/9/2009,0.05479,1/9/2009,0.09153,1/9/2009,0.39062,7/4/2013,0.34693,1/9/2009,0.11345,8/25/2010,0.20573,1/9/2009,0.52856,1/9/2009,0.21916,1/9/2009,0.1186
1/12/2009,1.1411,1/12/2009,1.3590,1/12/2009,0.64724,1/12/2009,0.7865,1/12/2009,0.6769,1/12/2009,0.6833,1/12/2009,0.57512,1/12/2009,0.5879,1/12/2009,0.16374,1/12/2009,0.1483,1/12/2009,0.4835,1/12/2009,0.7478,1/12/2009,0.1354,1/12/2009,0.9541,1/11/2010,1.0406,1/12/2009,0.27334,1/12/2009,0.61888,1/12/2009,0.17664,1/12/2009,0.0670,1/12/2009,0.2179,6/13/2011,0.58955,1/20/2011,0.51901,1/12/2009,0.39067,1/12/2009,0.75554,8/3/2010,0.8075,1/12/2009,0.18179,1/12/2009,0.11604,7/28/2011,0.6378,1/12/2009,0.49639,6/27/2011,0.89884,1/12/2009,0.0548,1/12/2009,0.09154,1/12/2009,0.39324,7/5/2013,0.34559,1/12/2009,0.10572,8/26/2010,0.20312,1/12/2009,0.52218,1/12/2009,0.20242,1/12/2009,0.11475
1/13/2009,1.0572,1/13/2009,1.3176,1/13/2009,0.61885,1/13/2009,0.7736,1/13/2009,0.6008,1/13/2009,0.6666,1/13/2009,0.57509,1/13/2009,0.6111,1/13/2009,0.15471,1/13/2009,0.1444,1/13/2009,0.47445,1/13/2009,0.7555,1/13/2009,0.1315,1/13/2009,0.86639,1/12/2010,1.0406,1/13/2009,0.26172,1/13/2009,0.61241,1/13/2009,0.17147,1/13/2009,0.0645,1/13/2009,0.21789,6/14/2011,0.59096,1/21/2011,0.5135,1/13/2009,0.38678,1/13/2009,0.66011,8/4/2010,0.81576,1/13/2009,0.17534,1/13/2009,0.11023,7/29/2011,0.6107,1/13/2009,0.46543,6/28/2011,0.8965,1/13/2009,0.05093,1/13/2009,0.08767,1/13/2009,0.39452,7/8/2013,0.37389,1/13/2009,0.10443,8/27/2010,0.19412,1/13/2009,0.51571,1/13/2009,0.19081,1/13/2009,0.11346
1/14/2009,1.0571,1/14/2009,1.3279,1/14/2009,0.62526,1/14/2009,0.7789,1/14/2009,0.61237,1/14/2009,0.6794,1/14/2009,0.61793,1/14/2009,0.6188,1/14/2009,0.16115,1/14/2009,0.1405,1/14/2009,0.47571,1/14/2009,0.7452,1/14/2009,0.1328,1/14/2009,0.89212,1/13/2010,1.0404,1/14/2009,0.27073,1/14/2009,0.63041,1/14/2009,0.17533,1/14/2009,0.0638,1/14/2009,0.22174,6/15/2011,0.58924,1/24/2011,0.50407,1/14/2009,0.38934,1/14/2009,0.68327,8/5/2010,0.81658,1/14/2009,0.17791,1/14/2009,0.1128,8/1/2011,0.61486,1/14/2009,0.48345,6/29/2011,0.89807,1/14/2009,0.05415,1/14/2009,0.08767,1/14/2009,0.40352,7/9/2013,0.41512,1/14/2009,0.10571,8/30/2010,0.19154,1/14/2009,0.51568,1/14/2009,0.18693,1/14/2009,0.11345
1/15/2009,0.9985,1/15/2009,1.3399,1/15/2009,0.60811,1/15/2009,0.7494,1/15/2009,0.60553,1/15/2009,0.6648,1/15/2009,0.59485,1/15/2009,0.5952,1/15/2009,0.15331,1/15/2009,0.1276,1/15/2009,0.46639,1/15/2009,0.7228,1/15/2009,0.1288,1/15/2009,0.84516,1/14/2010,1.0403,1/15/2009,0.25896,1/15/2009,0.60939,1/15/2009,0.17522,1/15/2009,0.0644,1/15/2009,0.21773,6/16/2011,0.58093,1/25/2011,0.50183,1/15/2009,0.40197,1/15/2009,0.67639,8/6/2010,0.8176,1/15/2009,0.17135,1/15/2009,0.10758,8/2/2011,0.57862,1/15/2009,0.46123,6/30/2011,0.90088,1/15/2009,0.0525,1/15/2009,0.08761,1/15/2009,0.39939,,,1/15/2009,0.10307,8/31/2010,0.19412,1/15/2009,0.51534,1/15/2009,0.17908,1/15/2009,0.1108
1/16/2009,0.9587,1/16/2009,1.3916,1/16/2009,0.61462,1/16/2009,0.7720,1/16/2009,0.60689,1/16/2009,0.6829,1/16/2009,0.61257,1/16/2009,0.6030,1/16/2009,0.15591,1/16/2009,0.1430,1/16/2009,0.46129,1/16/2009,0.7357,1/16/2009,0.1263,1/16/2009,0.87748,1/15/2010,1.0399,1/16/2009,0.26286,1/16/2009,0.6275,1/16/2009,0.18168,1/16/2009,0.0631,1/16/2009,0.22034,6/17/2011,0.56211,1/26/2011,0.4983,1/16/2009,0.40717,1/16/2009,0.69451,8/9/2010,0.81596,1/16/2009,0.1791,1/16/2009,0.11081,8/3/2011,0.55001,1/16/2009,0.47159,7/4/2011,0.9062,1/16/2009,0.05154,1/16/2009,0.08891,1/16/2009,0.39944,,,1/16/2009,0.10308,9/1/2010,0.19938,1/16/2009,0.5154,1/16/2009,0.18297,1/16/2009,0.11339
1/19/2009,0.9796,1/19/2009,1.3818,1/19/2009,0.62514,1/19/2009,0.7852,1/19/2009,0.59549,1/19/2009,0.6922,1/19/2009,0.61277,1/19/2009,0.6032,1/19/2009,0.15725,1/19/2009,0.1585,1/19/2009,0.46273,1/19/2009,0.7411,1/19/2009,0.1302,1/19/2009,0.86101,1/18/2010,1.0395,1/19/2009,0.25263,1/19/2009,0.60967,1/19/2009,0.18303,1/19/2009,0.0632,1/19/2009,0.2217,6/20/2011,0.5531,1/27/2011,0.51234,1/19/2009,0.39313,1/19/2009,0.72696,8/10/2010,0.81922,1/19/2009,0.17401,1/19/2009,0.11633,8/4/2011,0.55887,1/19/2009,0.46917,7/5/2011,0.90746,1/19/2009,0.05156,1/19/2009,0.09023,1/19/2009,0.39957,,,1/19/2009,0.10183,9/2/2010,0.20591,1/19/2009,0.52589,1/19/2009,0.18432,1/19/2009,0.11085
1/20/2009,0.9447,1/20/2009,1.3275,1/20/2009,0.61736,1/20/2009,0.8130,1/20/2009,0.55678,1/20/2009,0.6973,1/20/2009,0.6102,1/20/2009,0.5929,1/20/2009,0.15208,1/20/2009,0.1547,1/20/2009,0.45883,1/20/2009,0.7192,1/20/2009,0.1302,1/20/2009,0.82486,1/19/2010,1.0396,1/20/2009,0.25261,1/20/2009,0.57611,1/20/2009,0.17786,1/20/2009,0.0644,1/20/2009,0.2191,6/21/2011,0.55331,1/28/2011,0.50686,1/20/2009,0.38665,1/20/2009,0.72175,8/11/2010,0.81116,1/20/2009,0.16626,1/20/2009,0.11761,8/5/2011,0.51877,1/20/2009,0.46269,7/6/2011,0.90589,1/20/2009,0.05155,1/20/2009,0.09022,1/20/2009,0.40083,,,1/20/2009,0.09795,9/3/2010,0.20975,1/20/2009,0.52843,1/20/2009,0.18688,1/20/2009,0.10826
1/21/2009,0.9150,1/21/2009,1.2475,1/21/2009,0.55801,1/21/2009,0.8420,1/21/2009,0.53739,1/21/2009,0.6895,1/21/2009,0.58241,1/21/2009,0.5735,1/21/2009,0.14691,1/21/2009,0.1534,1/21/2009,0.4343,1/21/2009,0.7346,1/21/2009,0.1315,1/21/2009,0.79642,1/20/2010,1.0388,1/21/2009,0.24485,1/21/2009,0.56317,1/21/2009,0.17269,1/21/2009,0.0632,1/21/2009,0.21006,6/22/2011,0.55085,1/31/2011,0.52091,1/21/2009,0.38661,1/21/2009,0.68688,8/12/2010,0.80417,1/21/2009,0.15722,1/21/2009,0.11759,8/8/2011,0.49703,1/21/2009,0.46522,7/7/2011,0.92757,1/21/2009,0.048,1/21/2009,0.09021,1/21/2009,0.3995,,,1/21/2009,0.09794,9/6/2010,0.21506,1/21/2009,0.52837,1/21/2009,0.17913,1/21/2009,0.10825
1/22/2009,0.9163,1/22/2009,1.2321,1/22/2009,0.53743,1/22/2009,0.8431,1/22/2009,0.54001,1/22/2009,0.6895,1/22/2009,0.58875,1/22/2009,0.5658,1/22/2009,0.14435,1/22/2009,0.1547,1/22/2009,0.44077,1/22/2009,0.7630,1/22/2009,0.1315,1/22/2009,0.82613,1/21/2010,1.0385,1/22/2009,0.25003,1/22/2009,0.5645,1/22/2009,0.17399,1/22/2009,0.0644,1/22/2009,0.2075,6/23/2011,0.55196,2/1/2011,0.53258,1/22/2009,0.36989,1/22/2009,0.63409,8/13/2010,0.81827,1/22/2009,0.15723,1/22/2009,0.11599,8/9/2011,0.48277,1/22/2009,0.45624,7/8/2011,0.84031,1/22/2009,0.04672,1/22/2009,0.09022,1/22/2009,0.39953,,,1/22/2009,0.09666,9/7/2010,0.21112,1/22/2009,0.5413,1/22/2009,0.17914,1/22/2009,0.11213
1/23/2009,0.9051,1/23/2009,1.2623,1/23/2009,0.53636,1/23/2009,0.8273,1/23/2009,0.53249,1/23/2009,0.6911,1/23/2009,0.58016,1/23/2009,0.5493,1/23/2009,0.13796,1/23/2009,0.1483,1/23/2009,0.42419,1/23/2009,0.7852,1/23/2009,0.1289,1/23/2009,0.86385,1/22/2010,1.0386,1/23/2009,0.24497,1/23/2009,0.56859,1/23/2009,0.17406,1/23/2009,0.0632,1/23/2009,0.20113,6/24/2011,0.55986,2/2/2011,0.53163,1/23/2009,0.36101,1/23/2009,0.62403,8/16/2010,0.8715,1/23/2009,0.16374,1/23/2009,0.10959,8/10/2011,0.48422,1/23/2009,0.45642,7/11/2011,0.70615,1/23/2009,0.04803,1/23/2009,0.09283,1/23/2009,0.39067,,,1/23/2009,0.09412,9/8/2010,0.2059,1/23/2009,0.53378,1/23/2009,0.18437,1/23/2009,0.10959
1/29/2009,0.9592,1/29/2009,1.3511,1/29/2009,0.56081,1/29/2009,0.8337,1/29/2009,0.58144,1/29/2009,0.7142,1/29/2009,0.59777,1/29/2009,0.5531,1/29/2009,0.15084,1/29/2009,0.1560,1/29/2009,0.42931,1/29/2009,0.8444,1/29/2009,0.1302,1/29/2009,0.95403,1/25/2010,1.0389,1/29/2009,0.26687,1/29/2009,0.59304,1/29/2009,0.1676,1/29/2009,0.0638,1/29/2009,0.20757,6/27/2011,0.54573,2/7/2011,0.53319,1/29/2009,0.36872,1/29/2009,0.68071,8/17/2010,0.8992,1/29/2009,0.1676,1/29/2009,0.11667,8/11/2011,0.47608,1/29/2009,0.46283,7/12/2011,0.65685,1/29/2009,0.05221,1/29/2009,0.09411,1/29/2009,0.38419,,,1/29/2009,0.09669,9/9/2010,0.2098,1/29/2009,0.53374,1/29/2009,0.18436,1/29/2009,0.10572
1/30/2009,0.9955,1/30/2009,1.3927,1/30/2009,0.57513,1/30/2009,0.8135,1/30/2009,0.6151,1/30/2009,0.7208,1/30/2009,0.59665,1/30/2009,0.5790,1/30/2009,0.16248,1/30/2009,0.1599,1/30/2009,0.44875,1/30/2009,0.8021,1/30/2009,0.1315,1/30/2009,0.99809,1/26/2010,1.0380,1/30/2009,0.26693,1/30/2009,0.5906,1/30/2009,0.16764,1/30/2009,0.0632,1/30/2009,0.22567,6/28/2011,0.53687,2/8/2011,0.53705,1/30/2009,0.3572,1/30/2009,0.71569,8/18/2010,0.82378,1/30/2009,0.16248,1/30/2009,0.11702,8/12/2011,0.47349,1/30/2009,0.4797,7/13/2011,0.64196,1/30/2009,0.05094,1/30/2009,0.09414,1/30/2009,0.38428,,,1/30/2009,0.09929,9/10/2010,0.20856,1/30/2009,0.53386,1/30/2009,0.18311,1/30/2009,0.10832
2/2/2009,0.9865,2/2/2009,1.3515,2/2/2009,0.55322,2/2/2009,0.8124,2/2/2009,0.59964,2/2/2009,0.7041,2/2/2009,0.55125,2/2/2009,0.6048,2/2/2009,0.15475,2/2/2009,0.1599,2/2/2009,0.41524,2/2/2009,0.7699,2/2/2009,0.1303,2/2/2009,0.95427,1/27/2010,1.0378,2/2/2009,0.24759,2/2/2009,0.56741,2/2/2009,0.17538,2/2/2009,0.0645,2/2/2009,0.22825,6/29/2011,0.53704,2/9/2011,0.52281,2/2/2009,0.3585,2/2/2009,0.67831,8/19/2010,0.87516,2/2/2009,0.16119,2/2/2009,0.1138,8/15/2011,0.50171,2/2/2009,0.45392,7/14/2011,0.64461,2/2/2009,0.04836,2/2/2009,0.09156,2/2/2009,0.37397,,,2/2/2009,0.09672,9/13/2010,0.20986,2/2/2009,0.53388,2/2/2009,0.18054,2/2/2009,0.10059
2/3/2009,1.0125,2/3/2009,1.3027,2/3/2009,0.55721,2/3/2009,0.8169,2/3/2009,0.59849,2/3/2009,0.7159,2/3/2009,0.56904,2/3/2009,0.6114,2/3/2009,0.15478,2/3/2009,0.1599,2/3/2009,0.4192,2/3/2009,0.7739,2/3/2009,0.1303,2/3/2009,0.9777,1/28/2010,1.0391,2/3/2009,0.26184,2/3/2009,0.57914,2/3/2009,0.18316,2/3/2009,0.0684,2/3/2009,0.23862,6/30/2011,0.53847,2/10/2011,0.52376,2/3/2009,0.356,2/3/2009,0.68362,8/20/2010,0.84963,2/3/2009,0.16381,2/3/2009,0.11609,8/16/2011,0.50574,2/3/2009,0.45531,7/15/2011,0.59146,2/3/2009,0.04837,2/3/2009,0.09158,2/3/2009,0.37405,,,2/3/2009,0.09803,9/14/2010,0.20732,2/3/2009,0.53399,2/3/2009,0.178,2/3/2009,0.10319
2/4/2009,1.0651,2/4/2009,1.3282,2/4/2009,0.58028,2/4/2009,0.8565,2/4/2009,0.68473,2/4/2009,0.7557,2/4/2009,0.60295,2/4/2009,0.6422,2/4/2009,0.1715,2/4/2009,0.1625,2/4/2009,0.45906,2/4/2009,0.8124,2/4/2009,0.1315,2/4/2009,1.08319,1/29/2010,1.0393,2/4/2009,0.27209,2/4/2009,0.59575,2/4/2009,0.18182,2/4/2009,0.0696,2/4/2009,0.23598,7/4/2011,0.53215,2/11/2011,0.51693,2/4/2009,0.35977,2/4/2009,0.72212,8/23/2010,0.8163,2/4/2009,0.1715,2/4/2009,0.12283,8/17/2011,0.49811,2/4/2009,0.48485,7/18/2011,0.58999,2/4/2009,0.04932,2/4/2009,0.10058,2/4/2009,0.3804,,,2/4/2009,0.10316,9/15/2010,0.20858,2/4/2009,0.53386,2/4/2009,0.17924,2/4/2009,0.10445
