,9531 JP Equity,,9503 JP Equity,,9502 JP Equity,,9501 JP Equity,,9532 JP Equity,,9508 JP Equity,,9506 JP Equity,,9504 JP Equity,,9513 JP Equity,,9507 JP Equity,,9505 JP Equity,,9509 JP Equity,,9533 JP Equity,,8088 JP Equity,,9536 JP Equity,,9793 JP Equity,,9511 JP Equity,,8174 JP Equity,,9543 JP Equity,,6332 JP Equity,,9539 JP Equity,,9534 JP Equity,,9535 JP Equity,,7568 JP Equity,,9537 JP Equity,,9540 JP Equity,,2766 JP Equity,,3361 JP Equity,,9541 JP Equity,,9818 JP Equity,,1981 JP Equity,,1783 JP Equity,,9542 JP Equity,,1875 JP Equity,,1844 JP Equity,,9544 JP Equity
4/21/2009,3.6196,4/21/2009,20.3285,4/21/2009,21.2917,4/21/2009,23.725,4/21/2009,3.2445,4/21/2009,20.4806,4/21/2009,20.4299,4/21/2009,20.4299,4/21/2009,27.882,4/21/2009,26.716,4/21/2009,22.1028,4/21/2009,19.2132,4/21/2009,4.5321,4/21/2009,2.2407,4/21/2009,2.5145,4/21/2009,19.7709,4/21/2009,49.0723,4/21/2009,13.8599,4/21/2009,5.2013,4/21/2009,5.2925,11/12/2009,4.6334,4/21/2009,2.484,8/6/2009,2.3645,5/7/2010,9.2704,7/8/2009,3.0881,8/7/2009,2.3368,4/21/2009,2666.5315,7/7/2009,2.6779,3/17/2010,4.9922,8/10/2009,5.9922,3/29/2010,3.5525,4/27/2009,0.497,10/22/2009,2.8453,4/21/2009,2.4638,4/21/2009,0.1622,12/27/2010,3.7627
4/22/2009,3.5849,4/22/2009,20.4780,4/22/2009,21.3461,4/22/2009,23.6442,4/22/2009,3.1968,4/22/2009,20.478,4/22/2009,20.478,4/22/2009,20.4269,4/22/2009,28.1892,4/22/2009,27.0146,4/22/2009,22.1121,4/22/2009,19.4873,4/22/2009,4.5041,4/22/2009,2.2265,4/22/2009,2.5432,4/22/2009,19.712,4/22/2009,49.4332,4/22/2009,13.5226,4/22/2009,5.1476,4/22/2009,5.2702,11/19/2009,4.7592,4/22/2009,2.4921,8/7/2009,2.3163,5/10/2010,8.8677,7/9/2009,3.0082,8/10/2009,2.3412,4/22/2009,2637.1157,7/8/2009,2.6547,3/23/2010,4.9795,8/11/2009,6.0088,3/30/2010,3.5453,4/28/2009,0.5079,10/27/2009,2.8861,4/22/2009,2.4819,4/22/2009,0.1634,12/28/2010,3.8232
4/23/2009,3.6477,4/23/2009,20.7418,4/23/2009,21.9168,4/23/2009,24.0625,4/23/2009,3.2186,4/23/2009,20.9972,4/23/2009,20.8951,4/23/2009,20.8951,4/23/2009,28.7626,4/23/2009,27.6387,4/23/2009,22.4277,4/23/2009,19.8018,4/23/2009,4.5775,4/23/2009,2.4216,4/23/2009,2.5646,4/23/2009,20.0266,4/23/2009,51.4969,4/23/2009,14.1719,4/23/2009,5.4767,4/23/2009,5.3234,11/20/2009,4.7442,4/23/2009,2.5135,8/10/2009,2.3412,5/11/2010,8.8858,7/10/2009,3.0861,8/12/2009,2.3718,4/23/2009,2881.3733,7/9/2009,2.5677,3/26/2010,4.8617,8/12/2009,6.0335,3/31/2010,3.5424,4/30/2009,0.4652,10/28/2009,2.9224,4/23/2009,2.4829,4/23/2009,0.1737,12/29/2010,3.8255
4/24/2009,3.6907,4/24/2009,20.5155,4/24/2009,21.8041,4/24/2009,23.8144,4/24/2009,3.268,4/24/2009,20.6701,4/24/2009,20.6186,4/24/2009,20.6186,4/24/2009,28.7629,4/24/2009,27.2165,4/24/2009,21.9072,4/24/2009,19.5464,4/24/2009,4.5052,4/24/2009,2.3814,4/24/2009,2.5464,4/24/2009,20,4/24/2009,50.1031,4/24/2009,13.6289,4/24/2009,5.6083,4/24/2009,5.433,11/24/2009,4.5516,4/24/2009,2.567,8/11/2009,2.3576,5/12/2010,8.8772,7/13/2009,3.0247,8/13/2009,2.3904,4/24/2009,2988.6598,7/10/2009,2.6096,3/31/2010,4.923,8/13/2009,6.2906,4/1/2010,3.5295,5/1/2009,0.4526,10/29/2009,2.7966,4/24/2009,2.5052,4/24/2009,0.165,12/30/2010,3.7925
4/27/2009,3.6032,4/27/2009,20.5322,4/27/2009,22.0543,4/27/2009,23.8662,4/27/2009,3.2201,4/27/2009,20.9153,4/27/2009,20.7082,4/27/2009,20.8118,4/27/2009,29.0433,4/27/2009,27.0242,4/27/2009,22.2613,4/27/2009,19.6314,4/27/2009,4.4523,4/27/2009,2.4022,4/27/2009,2.5575,4/27/2009,19.5796,4/27/2009,49.6997,4/27/2009,13.771,4/27/2009,5.6326,4/27/2009,5.4049,11/25/2009,4.6533,4/27/2009,2.5989,8/12/2009,2.351,5/13/2010,8.9116,7/14/2009,3.0062,8/17/2009,2.437,4/27/2009,3106.2332,7/13/2009,2.5926,4/1/2010,5.0011,8/14/2009,6.2256,4/2/2010,3.5843,5/7/2009,0.4643,10/30/2009,2.8556,4/27/2009,2.5368,4/27/2009,0.1657,1/5/2011,3.7251
4/28/2009,3.7110,4/28/2009,20.6282,4/28/2009,22.1312,4/28/2009,23.8416,4/28/2009,3.2342,4/28/2009,21.0428,4/28/2009,20.6696,4/28/2009,20.5867,4/28/2009,29.2837,4/28/2009,26.6404,4/28/2009,22.2349,4/28/2009,19.4465,4/28/2009,4.4884,4/28/2009,2.3012,4/28/2009,2.5189,4/28/2009,19.1873,4/28/2009,50.2747,4/28/2009,13.7348,4/28/2009,5.6183,4/28/2009,5.2659,11/26/2009,4.6348,4/28/2009,2.5915,8/13/2009,2.38,5/14/2010,8.9765,7/17/2009,2.9771,8/18/2009,2.4061,4/28/2009,2903.4933,7/14/2009,2.5768,4/2/2010,4.9693,8/17/2009,6.2301,4/5/2010,3.5991,5/8/2009,0.4861,11/2/2009,2.8562,4/28/2009,2.5604,4/28/2009,0.1659,1/6/2011,3.6921
4/30/2009,3.7820,4/30/2009,20.3256,4/30/2009,21.9436,4/30/2009,23.3593,4/30/2009,3.1651,4/30/2009,20.5784,4/30/2009,20.7807,4/30/2009,20.1234,4/30/2009,28.9716,4/30/2009,27.3536,4/30/2009,22.4998,4/30/2009,18.3638,4/30/2009,4.2471,4/30/2009,2.255,4/30/2009,2.4573,4/30/2009,19.0717,4/30/2009,47.4264,4/30/2009,13.692,4/30/2009,5.6022,4/30/2009,5.2988,11/27/2009,4.6094,4/30/2009,2.5382,8/14/2009,2.4058,5/17/2010,8.9774,7/21/2009,2.9638,8/19/2009,2.4507,4/30/2009,2902.2146,7/15/2009,2.5339,4/5/2010,5.043,8/19/2009,6.0948,4/6/2010,3.6106,5/11/2009,0.4927,11/6/2009,2.8832,4/30/2009,2.5281,4/30/2009,0.1618,1/7/2011,3.7135
5/1/2009,3.6512,5/1/2009,20.2676,5/1/2009,21.3237,5/1/2009,23.3856,5/1/2009,3.098,5/1/2009,20.2173,5/1/2009,20.167,5/1/2009,20.2173,5/1/2009,28.2136,5/1/2009,26.9564,5/1/2009,22.581,5/1/2009,17.7932,5/1/2009,4.1642,5/1/2009,2.2832,5/1/2009,2.4241,5/1/2009,19.3422,5/1/2009,49.3864,5/1/2009,14.1018,5/1/2009,5.5321,5/1/2009,5.2605,12/1/2009,4.6058,5/1/2009,2.4945,8/17/2009,2.3946,5/18/2010,8.9386,7/22/2009,2.9782,8/20/2009,2.4326,5/1/2009,2877.6906,7/16/2009,2.5532,4/6/2010,5.0059,8/21/2009,6.0292,4/7/2010,3.6245,5/12/2009,0.5303,11/9/2009,2.9108,5/1/2009,2.5146,5/1/2009,0.1609,1/11/2011,3.6962
5/7/2009,3.6439,5/7/2009,20.3896,5/7/2009,21.399,5/7/2009,23.7206,5/7/2009,3.119,5/7/2009,20.2382,5/7/2009,20.1878,5/7/2009,20.2887,5/7/2009,28.1619,5/7/2009,27.203,5/7/2009,22.7112,5/7/2009,17.8359,5/7/2009,4.1789,5/7/2009,2.3418,5/7/2009,2.4427,5/7/2009,19.5619,5/7/2009,49.6619,5/7/2009,14.6159,5/7/2009,5.3699,5/7/2009,5.4709,12/2/2009,4.5627,5/7/2009,2.4932,8/18/2009,2.385,5/19/2010,9.0353,7/23/2009,2.9489,8/24/2009,2.423,5/7/2009,2964.5705,7/17/2009,2.605,4/13/2010,5.044,8/25/2009,6.1539,4/8/2010,3.6338,5/13/2009,0.522,11/10/2009,2.9409,5/7/2009,2.5235,5/7/2009,0.1615,1/12/2011,3.7273
5/8/2009,3.6861,5/8/2009,20.7089,5/8/2009,21.6203,5/8/2009,24.2025,5/8/2009,3.1696,5/8/2009,20.4557,5/8/2009,20.3038,5/8/2009,20.557,5/8/2009,27.8481,5/8/2009,27.5443,5/8/2009,23.1392,5/8/2009,18.0861,5/8/2009,4.3646,5/8/2009,2.3494,5/8/2009,2.481,5/8/2009,19.7975,5/8/2009,48.9114,5/8/2009,14.8354,5/8/2009,5.3367,5/8/2009,5.4684,12/3/2009,4.3991,5/8/2009,2.481,8/19/2009,2.4507,5/20/2010,9.2537,7/24/2009,3.0047,8/25/2009,2.4297,5/8/2009,3035.9494,7/21/2009,2.6963,4/14/2010,5.1348,8/26/2009,6.2997,4/9/2010,3.6373,5/14/2009,0.5128,11/11/2009,2.9369,5/8/2009,2.5317,5/8/2009,0.162,1/13/2011,3.748
5/11/2009,3.7052,5/11/2009,20.8868,5/11/2009,21.9645,5/11/2009,24.8384,5/11/2009,3.1715,5/11/2009,20.6815,5/11/2009,20.4865,5/11/2009,20.7328,5/11/2009,27.9688,5/11/2009,27.8662,5/11/2009,23.2988,5/11/2009,18.4132,5/11/2009,4.3518,5/11/2009,2.3709,5/11/2009,2.5762,5/11/2009,19.8399,5/11/2009,49.882,5/11/2009,14.7491,5/11/2009,5.6861,5/11/2009,5.6348,12/4/2009,4.3319,5/11/2009,2.5249,8/20/2009,2.4007,5/21/2010,9.2053,7/27/2009,3.2749,8/26/2009,2.4393,5/11/2009,3120.1889,7/22/2009,2.7327,4/15/2010,5.0478,8/27/2009,6.3448,4/12/2010,3.6342,5/15/2009,0.5061,11/13/2009,2.9474,5/11/2009,2.5659,5/11/2009,0.1848,1/14/2011,3.701
5/12/2009,3.7018,5/12/2009,21.1605,5/12/2009,22.2003,5/12/2009,24.9558,5/12/2009,3.1715,5/12/2009,20.8485,5/12/2009,20.6301,5/12/2009,20.8485,5/12/2009,28.2313,5/12/2009,28.1273,5/12/2009,23.2921,5/12/2009,18.6233,5/12/2009,4.3777,5/12/2009,2.3916,5/12/2009,2.5996,5/12/2009,19.9543,5/12/2009,50.7435,5/12/2009,14.7967,5/12/2009,5.4591,5/12/2009,5.7918,12/7/2009,4.2384,5/12/2009,2.5476,8/24/2009,2.3913,5/24/2010,9.1391,7/28/2009,3.2728,8/27/2009,2.4567,5/12/2009,3057.0864,7/23/2009,2.654,4/16/2010,5.3261,8/28/2009,6.1986,4/13/2010,3.6381,5/18/2009,0.4777,11/16/2009,2.8779,5/12/2009,2.5996,5/12/2009,0.1872,1/17/2011,3.7476
5/13/2009,3.7795,5/13/2009,21.6642,5/13/2009,22.6039,5/13/2009,25.2662,5/13/2009,3.2261,5/13/2009,21.2466,5/13/2009,20.8812,5/13/2009,21.351,5/13/2009,29.6513,5/13/2009,28.6594,5/13/2009,23.5435,5/13/2009,18.9079,5/13/2009,4.4164,5/13/2009,2.6102,5/13/2009,2.5997,5/13/2009,19.9624,5/13/2009,54.1867,5/13/2009,15.2119,5/13/2009,5.6275,5/13/2009,5.7841,12/8/2009,4.5408,5/13/2009,2.5684,8/25/2009,2.3979,5/25/2010,9.2022,7/29/2009,3.0271,8/31/2009,2.51,5/13/2009,3066.4022,7/24/2009,2.699,4/19/2010,5.4159,8/31/2009,6.1403,4/14/2010,3.6416,5/19/2009,0.489,11/18/2009,2.9073,5/13/2009,2.6102,5/13/2009,0.1775,1/18/2011,3.7458
5/14/2009,3.7359,5/14/2009,21.4525,5/14/2009,22.3943,5/14/2009,24.9058,5/14/2009,3.244,5/14/2009,21.2955,5/14/2009,20.6258,5/14/2009,21.1386,5/14/2009,29.1963,5/14/2009,28.2545,5/14/2009,23.6501,5/14/2009,18.6794,5/14/2009,4.3638,5/14/2009,2.6476,5/14/2009,2.5638,5/14/2009,19.6003,5/14/2009,52.4278,5/14/2009,14.8388,5/14/2009,5.473,5/14/2009,5.6614,12/9/2009,4.5061,5/14/2009,2.5429,8/26/2009,2.3969,5/26/2010,9.1876,7/31/2009,3.1491,9/1/2009,2.5137,5/14/2009,3033.6961,7/27/2009,2.6346,4/20/2010,5.3602,9/1/2009,6.1339,4/15/2010,3.6409,5/20/2009,0.4843,11/19/2009,2.9253,5/14/2009,2.6162,5/14/2009,0.1779,1/19/2011,3.8086
5/15/2009,3.7428,5/15/2009,21.5076,5/15/2009,22.4565,5/15/2009,25.145,5/15/2009,3.2683,5/15/2009,21.4022,5/15/2009,20.6431,5/15/2009,21.1386,5/15/2009,29.3622,5/15/2009,28.097,5/15/2009,23.5108,5/15/2009,18.7981,5/15/2009,4.3753,5/15/2009,2.6885,5/15/2009,2.5936,5/15/2009,20.0105,5/15/2009,53.0311,5/15/2009,15.0764,5/15/2009,5.7143,5/15/2009,5.7354,12/10/2009,4.5115,5/15/2009,2.5514,8/27/2009,2.414,5/27/2010,8.8255,8/4/2009,3.0919,9/2/2009,2.5396,5/15/2009,3051.1334,7/28/2009,2.6565,4/21/2010,5.3579,9/2/2009,6.1862,4/16/2010,3.6848,5/21/2009,0.4872,11/25/2009,2.9197,5/15/2009,2.6568,5/15/2009,0.1792,1/20/2011,3.7645
5/18/2009,3.6245,5/18/2009,20.9264,5/18/2009,21.861,5/18/2009,24.4574,5/18/2009,3.1467,5/18/2009,20.8744,5/18/2009,20.0229,5/18/2009,20.5629,5/18/2009,28.1442,5/18/2009,27.2095,5/18/2009,22.8996,5/18/2009,18.3093,5/18/2009,4.1957,5/18/2009,2.5963,5/18/2009,2.5029,5/18/2009,19.1505,5/18/2009,50.3687,5/18/2009,14.4771,5/18/2009,5.4627,5/18/2009,5.5769,12/11/2009,4.6824,5/18/2009,2.4717,8/28/2009,2.4046,5/28/2010,8.8235,8/5/2009,3.1181,9/3/2009,2.55,5/18/2009,3092.7407,7/29/2009,2.6908,4/22/2010,5.3625,9/8/2009,6.0649,4/19/2010,3.6828,5/22/2009,0.4871,12/3/2009,2.9138,5/18/2009,2.6171,5/18/2009,0.1869,1/21/2011,3.9778
5/19/2009,3.7041,5/19/2009,21.5898,5/19/2009,22.3182,5/19/2009,24.8153,5/19/2009,3.1526,5/19/2009,21.1216,5/19/2009,20.2893,5/19/2009,20.8615,5/19/2009,27.9888,5/19/2009,27.4685,5/19/2009,23.2546,5/19/2009,18.4788,5/19/2009,4.2139,5/19/2009,2.6324,5/19/2009,2.5388,5/19/2009,19.3944,5/19/2009,51.1913,5/19/2009,15.0765,5/19/2009,5.4833,5/19/2009,5.6186,12/14/2009,4.4721,5/19/2009,2.4659,8/31/2009,2.4238,5/31/2010,8.7896,8/7/2009,2.9722,9/4/2009,2.528,5/19/2009,3068.3592,7/31/2009,2.7053,4/23/2010,5.3084,9/9/2009,5.993,4/20/2010,3.5913,5/25/2009,0.4751,12/7/2009,2.8741,5/19/2009,2.622,5/19/2009,0.1769,1/24/2011,3.7972
5/20/2009,3.6955,5/20/2009,22.0046,5/20/2009,22.7416,5/20/2009,25.1632,5/20/2009,3.1902,5/20/2009,21.3203,5/20/2009,20.5622,5/20/2009,21.215,5/20/2009,29.0588,5/20/2009,27.9006,5/20/2009,23.8471,5/20/2009,18.804,5/20/2009,4.2956,5/20/2009,2.748,5/20/2009,2.6111,5/20/2009,20.6043,5/20/2009,52.9585,5/20/2009,15.3611,5/20/2009,5.5064,5/20/2009,5.5907,12/15/2009,4.3517,5/20/2009,2.5374,9/1/2009,2.4278,6/1/2010,8.7887,8/11/2009,3.1609,9/7/2009,2.4648,5/20/2009,3098.5471,8/3/2009,2.6877,4/26/2010,5.3124,9/10/2009,6.284,4/21/2010,3.5362,5/26/2009,0.4846,12/8/2009,2.8989,5/20/2009,2.6532,5/20/2009,0.179,1/25/2011,3.8233
5/21/2009,3.7708,5/21/2009,21.8727,5/21/2009,22.5612,5/21/2009,25.474,5/21/2009,3.1988,5/21/2009,21.396,5/21/2009,20.7817,5/21/2009,21.449,5/21/2009,29.0224,5/21/2009,28.7046,5/21/2009,24.15,5/21/2009,19.0446,5/21/2009,4.311,5/21/2009,2.7645,5/21/2009,2.6692,5/21/2009,20.5169,5/21/2009,53.596,5/21/2009,15.5704,5/21/2009,5.5503,5/21/2009,5.6244,12/16/2009,4.3032,5/21/2009,2.5845,9/2/2009,2.4528,6/2/2010,8.6952,8/12/2009,3.0168,9/8/2009,2.4737,5/21/2009,3092.8927,8/4/2009,2.7041,4/27/2010,5.3735,9/11/2009,6.3771,4/22/2010,3.5393,5/27/2009,0.4842,12/9/2009,2.9586,5/21/2009,2.6692,5/21/2009,0.1801,1/26/2011,3.918
5/22/2009,3.7276,5/22/2009,21.8151,5/22/2009,22.5564,5/22/2009,25.3627,5/22/2009,3.1981,5/22/2009,21.2327,5/22/2009,20.7773,5/22/2009,21.1797,5/22/2009,29.1221,5/22/2009,28.5397,5/22/2009,23.8272,5/22/2009,19.0512,5/22/2009,4.2359,5/22/2009,2.7957,5/22/2009,2.6686,5/22/2009,20.3325,5/22/2009,54.1142,5/22/2009,15.493,5/22/2009,5.5279,5/22/2009,5.5914,12/17/2009,4.3488,5/22/2009,2.5733,9/3/2009,2.4419,6/3/2010,8.9344,8/17/2009,3.0409,9/9/2009,2.4799,5/22/2009,3086.9427,8/5/2009,2.7178,4/28/2010,5.3146,9/14/2009,6.3504,4/23/2010,3.5036,5/28/2009,0.4641,12/10/2009,3.0379,5/22/2009,2.6686,5/22/2009,0.1694,1/27/2011,3.8949
5/25/2009,3.7166,5/25/2009,21.6978,5/25/2009,22.4369,5/25/2009,25.0766,5/25/2009,3.1887,5/25/2009,21.1171,5/25/2009,20.5892,5/25/2009,21.0537,5/25/2009,28.6665,5/25/2009,28.4025,5/25/2009,23.8623,5/25/2009,18.8892,5/25/2009,4.2023,5/25/2009,2.798,5/25/2009,2.6713,5/25/2009,20.3886,5/25/2009,53.8486,5/25/2009,15.4155,5/25/2009,5.4482,5/25/2009,5.4588,12/18/2009,4.3051,5/25/2009,2.5868,9/4/2009,2.4527,6/4/2010,8.7075,8/18/2009,3.0815,9/14/2009,2.5094,5/25/2009,3144.3353,8/6/2009,2.6679,4/30/2010,5.5296,9/15/2009,6.3146,4/26/2010,3.5912,5/29/2009,0.4603,12/11/2009,3.0021,5/25/2009,2.6396,5/25/2009,0.1689,1/28/2011,3.9445
5/26/2009,3.7295,5/26/2009,21.7025,5/26/2009,22.3873,5/26/2009,25.1264,5/26/2009,3.2027,5/26/2009,21.1231,5/26/2009,20.6384,5/26/2009,21.1757,5/26/2009,28.9718,5/26/2009,28.4977,5/26/2009,23.8622,5/26/2009,18.9949,5/26/2009,4.2035,5/26/2009,2.8234,5/26/2009,2.6865,5/26/2009,20.1011,5/26/2009,54.3616,5/26/2009,15.5289,5/26/2009,5.4256,5/26/2009,5.4888,12/22/2009,4.4711,5/26/2009,2.5811,9/7/2009,2.454,6/7/2010,8.6895,8/19/2009,3.1114,9/15/2009,2.5083,5/26/2009,3318.5841,8/10/2009,2.599,5/6/2010,5.6369,9/16/2009,6.3305,4/27/2010,3.7077,6/1/2009,0.466,12/14/2009,3.1282,5/26/2009,2.6338,5/26/2009,0.1686,1/31/2011,3.9771
