Date,TPTRAN Index
5/31/2010,-0.65263
6/1/2010,-0.49387
6/2/2010,-2.4894
6/3/2010,3.68357
6/4/2010,0.90406
6/7/2010,-4.35341
6/8/2010,0.74207
6/9/2010,-2.1506
6/10/2010,1.00703
6/11/2010,0.07292
6/14/2010,2.09754
6/15/2010,1.3014
6/16/2010,1.54211
6/17/2010,-0.50726
6/18/2010,-1.07345
6/21/2010,2.05928
6/22/2010,-0.44999
6/23/2010,-1.19106
6/24/2010,0.19478
6/25/2010,-1.76246
6/28/2010,-0.64008
6/29/2010,-0.40047
6/30/2010,-0.87637
7/1/2010,-1.46637
7/2/2010,0.03422
7/5/2010,0.51763
7/6/2010,2.28534
7/7/2010,-0.82211
7/8/2010,1.60476
7/9/2010,-0.1656
7/12/2010,0.91069
7/13/2010,-0.22852
7/14/2010,3.34106
7/15/2010,-0.93512
7/16/2010,-0.99494
7/20/2010,-2.52253
7/21/2010,-1.01302
7/22/2010,-0.17055
7/23/2010,1.82624
7/26/2010,0.51673
7/27/2010,-1.74173
7/28/2010,2.37329
7/29/2010,1.1463
7/30/2010,-0.66568
8/2/2010,1.68245
8/3/2010,2.00038
8/4/2010,-2.68938
8/5/2010,1.89321
8/6/2010,1.71403
8/9/2010,-1.90905
8/10/2010,0.12037
8/11/2010,-2.10451
8/12/2010,-0.61689
8/13/2010,-0.09349
8/16/2010,0.40539
8/17/2010,-0.64932
8/18/2010,1.61965
8/19/2010,1.79494
8/20/2010,-2.205
8/23/2010,-0.38128
8/24/2010,0.52005
8/25/2010,-2.61003
8/26/2010,0.69215
8/27/2010,0.76798
8/30/2010,1.15645
8/31/2010,-1.82837
9/1/2010,-0.10227
9/2/2010,1.39849
9/3/2010,0.54824
9/6/2010,2.02456
9/7/2010,-0.45446
9/8/2010,-2.41856
9/9/2010,1.47319
9/10/2010,0.19685
9/13/2010,1.39147
9/14/2010,0.20638
9/15/2010,0.25248
9/16/2010,1.15044
9/17/2010,0.8367
9/21/2010,-0.07808
9/22/2010,0.04859
9/24/2010,-0.07417
9/27/2010,2.17685
9/28/2010,0.12454
9/29/2010,0.82381
9/30/2010,-1.70173
10/1/2010,0.27119
10/4/2010,0.18907
10/5/2010,0.57474
10/6/2010,0.39289
10/7/2010,0.58143
10/8/2010,-0.93531
10/12/2010,-1.75484
10/13/2010,0.44746
10/14/2010,2.6902
10/15/2010,-0.91909
10/18/2010,0.98682
10/19/2010,-0.28461
10/20/2010,-0.70696
10/21/2010,-0.53054
10/22/2010,0.16354
10/25/2010,0.29961
10/26/2010,-1.63252
10/27/2010,1.33232
10/28/2010,0.08459
10/29/2010,-0.11617
11/1/2010,-2.55525
11/2/2010,-0.50852
11/4/2010,2.17537
11/5/2010,2.19175
11/8/2010,2.09957
11/9/2010,-0.16545
11/10/2010,0.17708
11/11/2010,1.16476
11/12/2010,-1.57981
11/15/2010,1.17181
11/16/2010,-0.74463
11/17/2010,1.33718
11/18/2010,1.19252
11/19/2010,0.49712
11/22/2010,0.93771
11/24/2010,-1.06029
11/25/2010,0.88972
11/26/2010,-1.08229
11/29/2010,0.25131
11/30/2010,-1.4057
12/1/2010,1.04731
12/2/2010,1.72277
12/3/2010,1.29307
12/6/2010,-0.03605
12/7/2010,-1.66469
12/8/2010,-0.01652
12/9/2010,1.09475
12/10/2010,-1.58068
12/13/2010,1.47267
12/14/2010,0.39696
12/15/2010,-0.2999
12/16/2010,0.04581
12/17/2010,-0.28608
12/20/2010,0.36547
12/21/2010,0.67211
12/22/2010,-0.20371
12/24/2010,0.09691
12/27/2010,0.4569
12/28/2010,0.56287
12/29/2010,0.74464
12/30/2010,-1.0618
1/4/2011,1.38634
1/5/2011,-1.09019
1/6/2011,2.07257
1/7/2011,1.98532
1/11/2011,-0.34349
1/12/2011,0.71373
1/13/2011,1.53959
1/14/2011,-0.88176
1/17/2011,-0.70011
1/18/2011,0.13032
1/19/2011,1.22464
1/20/2011,-2.0625
1/21/2011,-1.67638
1/24/2011,2.10225
1/25/2011,1.37697
1/26/2011,-0.73103
1/27/2011,0.9523
1/28/2011,0.3131
1/31/2011,-0.56486
2/1/2011,1.03997
2/2/2011,1.91229
2/3/2011,-0.91894
2/4/2011,-0.87241
2/7/2011,0.34787
2/8/2011,0.9158
2/9/2011,1.52618
2/10/2011,-0.46617
2/14/2011,2.15469
2/15/2011,0.19745
2/16/2011,-0.2409
2/17/2011,0.9124
2/18/2011,-0.04158
2/21/2011,-0.17243
2/22/2011,-1.83911
2/23/2011,-1.09297
2/24/2011,-1.00411
2/25/2011,1.62498
2/28/2011,1.0901
3/1/2011,1.42237
3/2/2011,-2.30379
3/3/2011,-0.57897
3/4/2011,0.94578
3/7/2011,-2.2219
3/8/2011,-0.95806
3/9/2011,-0.05798
3/10/2011,-1.45751
3/11/2011,-0.56503
3/14/2011,-7.78389
3/15/2011,-5.64271
3/16/2011,8.73883
3/17/2011,-0.42363
3/18/2011,-1.88278
3/22/2011,2.70763
3/23/2011,-1.70416
3/24/2011,-2.41834
3/25/2011,0.11676
3/28/2011,1.05553
3/29/2011,-1.31321
3/30/2011,2.36649
3/31/2011,0.43906
4/1/2011,-2.89059
4/4/2011,-0.60476
4/5/2011,-3.00217
4/6/2011,-1.33611
4/7/2011,1.2477
4/8/2011,1.10622
4/11/2011,-1.44882
4/12/2011,-0.0604
4/13/2011,1.85986
4/14/2011,1.08782
4/15/2011,-0.05012
4/18/2011,0.59236
4/19/2011,-1.88946
4/20/2011,2.11602
4/21/2011,2.0307
4/22/2011,2.31957
4/25/2011,-0.99454
4/26/2011,-1.41789
4/27/2011,0.14803
4/28/2011,2.56959
5/2/2011,2.08666
5/6/2011,-1.84255
5/9/2011,-1.06565
5/10/2011,0.7992
5/11/2011,0.83577
5/12/2011,1.43015
5/13/2011,0.77119
5/16/2011,-1.45224
5/17/2011,-1.07793
5/18/2011,0.02846
5/19/2011,-0.6246
5/20/2011,-0.65482
5/23/2011,-0.99708
5/24/2011,-0.61599
5/25/2011,1.10476
5/26/2011,2.23269
5/27/2011,0.08973
5/30/2011,-0.53634
5/31/2011,1.57353
6/1/2011,0.48727
6/2/2011,-2.57033
6/3/2011,-0.4777
6/6/2011,-0.49345
6/7/2011,1.44674
6/8/2011,-0.04275
6/9/2011,-0.8015
6/10/2011,0.81577
6/13/2011,-1.86346
6/14/2011,0.50801
6/15/2011,0.6247
6/16/2011,-1.44277
6/17/2011,0.24315
6/20/2011,-0.34446
6/21/2011,1.46652
6/22/2011,1.30129
6/23/2011,0.12137
6/24/2011,1.123
6/27/2011,-1.49892
6/28/2011,0.18269
6/29/2011,2.00609
6/30/2011,0.73923
7/1/2011,0.41318
7/4/2011,1.58137
7/5/2011,-0.67778
7/6/2011,1.56066
7/7/2011,-1.15798
7/8/2011,1.76357
7/11/2011,0.07324
7/12/2011,-1.06612
7/13/2011,0.61842
7/14/2011,0.29894
7/15/2011,-0.12328
7/19/2011,-0.83532
7/20/2011,0.90316
7/21/2011,0.11829
7/22/2011,1.11625
7/25/2011,-1.02571
7/26/2011,0.74677
7/27/2011,-1.29267
7/28/2011,-1.37465
7/29/2011,0.12675
8/1/2011,1.49513
8/2/2011,-0.75799
8/3/2011,-2.14428
8/4/2011,-2.56
8/5/2011,-2.95161
8/8/2011,-1.18842
8/9/2011,-1.20427
8/10/2011,-0.14236
8/11/2011,-2.67328
8/12/2011,-1.58012
8/15/2011,2.70078
8/16/2011,0.3413
8/17/2011,-1.22004
8/18/2011,-2.47172
8/19/2011,-2.53582
8/22/2011,-3.30258
8/23/2011,2.05566
8/24/2011,-2.21229
8/25/2011,2.82082
8/26/2011,1.60462
8/29/2011,-1.10253
8/30/2011,1.27696
8/31/2011,0.85886
9/1/2011,1.57959
9/2/2011,-1.51195
9/5/2011,-3.5008
9/6/2011,-3.25111
9/7/2011,2.97665
9/8/2011,0.23804
9/9/2011,-1.00942
9/12/2011,-2.42245
9/13/2011,2.0152
9/14/2011,-0.49666
9/15/2011,2.43829
9/16/2011,2.46116
9/20/2011,-1.6712
9/21/2011,0.27974
9/22/2011,-2.617
9/26/2011,-2.09727
9/27/2011,3.12792
9/28/2011,1.25822
9/29/2011,1.43692
9/30/2011,-1.17374
10/3/2011,-1.75255
10/4/2011,-2.59867
10/5/2011,-1.72058
10/6/2011,1.80424
10/7/2011,-0.04566
10/11/2011,2.76906
10/12/2011,-0.93552
10/13/2011,1.68838
10/14/2011,-2.14768
10/17/2011,3.48642
10/18/2011,-1.0705
10/19/2011,-0.18754
10/20/2011,-1.9629
10/21/2011,0.86771
10/24/2011,1.85814
10/25/2011,-1.14769
10/26/2011,-0.50175
10/27/2011,2.69598
10/28/2011,1.86369
10/31/2011,-2.77562
11/1/2011,-2.1834
11/2/2011,-3.013
11/4/2011,2.77323
11/7/2011,-0.64927
11/8/2011,-1.24618
11/9/2011,1.29608
11/10/2011,-2.51726
11/11/2011,0.20792
11/14/2011,1.23942
11/15/2011,-0.86386
11/16/2011,-1.33084
11/17/2011,0.77896
11/18/2011,-2.13574
11/21/2011,-2.28634
11/22/2011,0.69394
11/24/2011,-0.992
11/25/2011,0.08968
11/28/2011,2.58724
11/29/2011,2.81106
11/30/2011,-0.10286
12/1/2011,2.31354
12/2/2011,0.33352
12/5/2011,1.13107
12/6/2011,-1.33531
12/7/2011,1.93978
12/8/2011,-1.47248
12/9/2011,-0.42243
12/12/2011,0.08543
12/13/2011,-1.59908
12/14/2011,-1.1438
12/15/2011,-1.62634
12/16/2011,-0.98229
12/19/2011,-0.45916
12/20/2011,0.63923
12/21/2011,1.26867
12/22/2011,-0.62985
12/26/2011,1.17193
12/27/2011,-0.30018
12/28/2011,-0.09994
12/29/2011,0.45431
12/30/2011,2.03489
1/4/2012,3.13818
1/5/2012,-0.70351
1/6/2012,-0.65261
1/10/2012,0.37825
1/11/2012,-0.02647
1/12/2012,-0.68553
1/13/2012,2.08886
1/16/2012,-0.59421
1/17/2012,0.48857
1/18/2012,-0.07977
1/19/2012,0.70397
1/20/2012,3.2813
1/23/2012,-0.13084
1/24/2012,0.12548
1/25/2012,3.13971
1/26/2012,-0.04375
1/27/2012,-0.41112
