"","ABAFINU.KY.Equity","ALGOTRE.KY.Equity","APEXGCE.US.Equity","APHSIFA.LX.Equity","AROYIPA.US.Equity","ARTPAII.US.Equity","ASLNDMB.KY.Equity","BAOBABG.VI.Equity","BBHEDG1.US.Equity","BPCENHO.US.Equity","CALYPSV.AV.Equity","CAMCAPR.KY.Equity","CARMOTT.KY.Equity","CASSIOA.KY.Equity","CAYENRG.US.Equity","CCLDMNA.CN.Equity","CCLMKNA.CN.Equity","CEDMNLP.US.Equity","CHCIMPE.KY.Equity","CHESSIC.US.Equity","CHROEHF.BM.Equity","CLASABE.LX.Equity","CLOVSTR.US.Equity","COEFFCA.KY.Equity","COLOMLP.US.Equity","CONCAPO.KY.Equity","CRJBJPY.KY.Equity","CURCMAF.CN.Equity","CUSHMKN.US.Equity","DACHCEQ.BH.Equity","DONEHF1.NA.Equity","EAMDSSP.KY.Equity","EMEVALU.BM.Equity","FAAREMG.KY.Equity","FIEMKNA.CN.Equity","GLGELNU.KY.Equity","GUEVORA.KY.Equity","HARSMCP.US.Equity","HERACPW.BM.Equity","HILCMNEA.CN.Equity","HSBCTGH.GR.Equity","INSGFIZ.PW.Equity","JADECPA.KY.Equity","KEYREOH.US.Equity","KLPAGEN.NO.Equity","LCIMNAU.KY.Equity","LMLSMOME.CN.Equity","LOGSTNE.US.Equity","MAGGFDI.US.Equity","MAQ8444.AU.Equity","MATAMNC.US.Equity","MNLUSDI.KY.Equity","MWJMA1U.ID.Equity","MWMGLFU.ID.Equity","MWTFNEE.ID.Equity","NORMNIA.CN.Equity","OAKPAMN.US.Equity","PACAPRV.KY.Equity","PAGORAE.KY.Equity","PCDAOAA.KY.Equity","PEGAEUR.VI.Equity","PHNXCPF.US.Equity","PMGLMKNE.CN.Equity","PMMNCLA.CN.Equity","PRYNCIP.MV.Equity","PXPVSCF.KY.Equity","QAAFFNU.KY.Equity","QQMEQHD.SS.Equity","QUANSPA.KY.Equity","QUPANEF.VI.Equity","QUQEQMN.US.Equity","RBRSVFC.KY.Equity","REALRTA.ID.Equity","RENIDEQ.US.Equity","ROMECAP.US.Equity","ROTACRO.US.Equity","SAEEALB.NA.Equity","SCOPQPL.US.Equity","SECHCAE.ID.Equity","SIA3FFU.VI.Equity","SQPTEUR.LX.Equity","SUPBLAE.KY.Equity","SVGRCMN.KY.Equity","TALACTE.KY.Equity","TALENHE.KY.Equity","TESSEQP.US.Equity","TKCAEAU.KY.Equity","TWOPPLD.VI.Equity","VICARCA.KY.Equity","WATSABR.AU.Equity","WGEMNBU.ID.Equity","WILIGEB.VI.Equity","WINCAPA.NA.Equity","WMF0001.AU.Equity","ZALUSMN.US.Equity","ZEBGLAU.US.Equity"
"29",0.016091,NA,0.029,-0.013389,-0.04296,0.007802,0.00314,-0.019122,-0.031494,0.0166,NA,-0.0502,0.021337,0.010323,0.023095,0.051857,0.054338,-0.0119,-0.032847,0.03,-0.064578,0.048624,-0.0115,NA,0.0485,0.0287,0.002727,NA,-0.020399,0.053799,0.023105,0.030987,0,-0.018274,0.053937,0.028209,0.018922,0.0071,NA,-0.006237,0.000591,NA,-0.021039,-0.014,-0.012961,NA,0.015127,0.010508,0.011697,NA,0.0179,NA,0.002544,0.01454,0.030882,0.03999,-0.034,-0.0176,0.044936,NA,0.0137,0.0464,0.004627,-3e-06,0.023371,NA,0.011894,0.0163,0.007248,0.000653,0.0144,-0.115977,0.022169,NA,0.002196,0.020703,0.012082,NA,-0.003966,0.014755,0.007609,-0.029026,0.030019,0.001939,0.004634,-0.010899,NA,0.033896,0.003127,0.020454,NA,0.031522,0.05124,-0.011768,0.0204,0.012696
"30",0.003884,NA,0.026,-0.000679,0.12146,0.0026,0.000317,0.047014,0.009741,-0.0096,NA,0.0544,0.038311,0.007045,-0.023703,-0.012435,0.013496,0.0116,-0.004676,0.023,0.074997,0.013193,NA,NA,0.0196,-0.0264,0.02749,NA,0.034699,-0.0179,0.013932,0.00121,0.190888,0.02781,-0.007263,0.004039,0.017769,-0.0221,NA,0.040019,0.018134,NA,-0.018382,0.028,0.014529,NA,0.011638,0.026106,0.0025,NA,-0.0269,NA,-0.002373,0.01701,-0.011093,-0.02419,0.0363,0.0184,0.01226,NA,0.002684,0.0836,0.000308,-0.00186,0.075727,NA,0.008142,-0.0487,0.007196,0.056042,0.0102,0.190493,0.008584,NA,0.0158,-0.0074,0.025631,NA,0.011124,0.041621,0.016289,0.009253,0.003587,0.008862,0.018639,0.024,NA,0.061772,0.003418,0.042981,NA,0.062193,0.014577,0.007078,-0.003,0.018203
"31",-0.011823,NA,-0.0216,0.00385,0.0013,0.009501,0.001747,-0.037951,-0.013926,0.022598,NA,-0.015,-0.032711,-0.008065,0.047838,0.02935,0.038489,0.006,0.010138,-0.003,0.009981,-0.002518,-9.7e-05,NA,0.0088,0.0085,0.009466,NA,0.0163,0.0163,0.008003,-0.044391,0.035181,0.030529,0.010683,0.017078,0.016629,-0.022,0.00793,-0.007328,0.010717,NA,-0.083394,0.007,0.008543,NA,-0.019551,-0.000739,0.0024,NA,0.017,NA,0.00501,0.019824,0.020884,0.017097,0.0281,0.0058,0.010103,NA,0.01042,0.0092,0.005974,0.012801,0.007265,NA,0.016272,0.0303,0.007144,0.019096,0.0268,0.075772,0.020375,NA,-0.0036,0.0282,0.035548,NA,0.018127,-0.000611,0.015009,0.062059,0.056687,0.012419,0.026166,0.0124,NA,0.035128,0.007975,0.003289,NA,0.030026,0.023348,0.032247,0.014,0.0123
"32",-0.000541,NA,0.0792,-0.046713,0.0186,0.006598,0.061332,0.023385,0.034719,0.0049,NA,0.1256,0.011242,-0.008305,0.007077,-0.01522,-0.014297,-0.016,0.114148,0.004,0.014474,0.003639,-0.0035,NA,-0.0274,-0.0243,0.029422,NA,NA,-0.0521,0.010336,-0.015454,0.008514,-0.015106,-0.007296,0.002687,0.020763,0.0048,0.010894,0.006683,-0.003681,NA,0.070777,-0.001,-0.025924,NA,-0.024178,-0.001033,0.0014,NA,-0.0192,NA,0.008935,0.00395,-0.003528,-0.019818,-0.0059,0.0218,0.002882,NA,0.01334,-0.0214,-0.020338,-0.011164,-0.018217,NA,0.032902,-0.0419,0.00061,0.070172,-0.0131,0.00642,0.062938,NA,0.0285,-0.040498,0.001171,NA,0.000737,0.03588,0.007578,-0.021248,0.035956,-0.01461,-0.028031,-0.0065,NA,0.058246,0.010309,-0.004692,NA,0.005547,0.041067,0.009612,-0.0522,-0.003201
"33",0.024246,NA,-0.0402,0.030107,0.0054,0.014601,-0.018815,0.004584,-0.011801,-0.005697,NA,-0.0716,0.032652,0.00382,0.036269,0.011476,0.00947,-0.004,0.037422,0.031,-0.005117,0.033277,0.034899,NA,-0.0388,0.0025,0.015466,NA,0.021899,0.0225,0.001927,0.00451,1.005024,-0.02106,0.022579,-0.004168,0.02086,-0.0611,0.01005,0.005268,0.012601,NA,-0.012559,-0.003,0.002675,NA,0.003299,-0.005126,0.001,NA,0.0118,NA,0.011526,0.031944,0.016469,0.018323,-0.0766,0.0173,0.003093,0.01,-0.016992,0.0266,0.019473,0.011018,0.059514,NA,0.100288,0.0142,0.000609,0.004643,4e-04,-0.09778,0.024047,NA,-0.0059,-0.013703,0.034294,NA,0.003252,-0.010197,0.0193,0.044098,0.034859,0.009817,0.020615,0.0059,NA,-0.031885,0.008612,0.012529,NA,0.010485,0.003456,-0.006109,0.0427,0.001698
"34",0.00842,NA,-0.0031,0.035592,-0.0099,0.012598,-0.043585,-0.026959,0.008632,-0.026405,NA,-0.0497,0.011796,0.020725,0.003116,0.008492,0.028872,0.0235,-0.079345,-0.004,-0.014044,0.013947,-0.007398,NA,-0.0156,0.0498,0.004558,NA,0.019002,-0.0347,0.015316,-0.047932,-0.181512,-0.017307,0.01918,0.002392,0.003406,0.064,0.010232,-0.028958,-0.012137,0.00124,-0.087328,-0.049,0.027459,NA,0.004949,-0.005126,-0.0047,NA,0.0073,NA,0.004244,-0.008205,0.024033,-0.002453,-0.0548,8e-04,-0.009926,-0.014356,-0.013772,0.0426,-0.003356,-0.001539,-0.010838,NA,0.042709,0.0024,0.000609,-0.007627,0.013,0.004183,-0.030652,NA,-0.0102,-0.004901,0.006179,NA,0.011741,-0.037803,0.002625,0.022092,0.020217,-0.001002,-0.001094,-0.0143,NA,-0.040433,0.013681,-0.134966,NA,-0.028147,-0.034355,0.009899,-2e-04,0.013397
"35",0.038474,NA,-0.0048,0.035282,0.0114,0.000398,-0.041243,-0.033417,-0.019613,-0.018903,NA,-0.1411,-0.051215,0.005478,-0.001413,0.008368,0.008418,-0.0037,-0.075219,0.022,0.030695,0.004221,-0.015602,NA,-9e-04,0.0162,0.002077,NA,-0.018799,0.0497,0.005611,0.042901,-0.02907,-0.014089,7.2e-05,-0.003132,-0.003531,0.0027,0.010378,0.008615,0.012154,0.037152,-0.169326,-0.026,0.024941,NA,0.002097,-0.023126,0.0464,NA,0.0359,NA,0.006073,0.008625,0.033532,0.021621,0.0124,0.0261,0.009122,0.020994,-0.026387,0.0255,0.018492,0.014991,0.048135,NA,0.013741,0.0276,0.00679,-0.055763,0.0156,0.197783,-0.053301,NA,0.063901,0.006899,0.001884,NA,-0.007978,-0.001327,-0.019513,-0.072473,-0.014852,0.019864,0.041902,0.001699,NA,-0.160237,-0.000957,0.190708,NA,0.023982,-0.025139,0.038337,0.0011,0.0039
"36",0.00393,NA,5e-04,0.001059,-0.171,0.0091,-0.121622,-0.044857,0.002837,-0.0036,NA,-0.033,-0.009711,0.031004,0.05665,-0.00116,-0.028535,-0.0116,-0.016085,-0.063,-0.048175,-0.10631,-0.0223,NA,0.0338,0.004,-0.039472,NA,-0.039297,0.0184,0.023915,0.004728,0.000322,-0.06634,0.020996,0.005011,-0.049799,0.0169,0.011985,-0.047394,-0.014205,0.020029,-0.009263,-0.014,-0.029177,0.0383,0.002106,-0.037948,-0.0417,NA,0.0082,NA,0.010418,0.004179,0.015563,-0.006501,0.0175,0.0096,0.015273,0.024793,0.019486,-0.1202,-0.001968,-0.01796,-0.013659,NA,0.012031,0.0063,0.006744,-0.052731,0.0079,-0.067915,-0.04403,NA,-0.1363,-0.014598,0.000772,NA,0.039359,-0.099238,0.043402,0.055517,0.013479,0.007673,0.015239,-0.0174,NA,0.150059,0.009276,-0.035282,0.00573,-0.016184,0.068082,0.040423,-0.0017,0.0026
"37",0.008648,NA,0.0042,0.097124,0.0601,-0.001199,-0.01462,-0.018914,-0.004643,0.0235,-0.018941,-0.1131,0.009521,-0.004509,0.008006,0.037456,0.036119,0.0046,-0.01778,0.012,-0.02863,-0.051857,-0.0079,NA,0.0297,-0.0058,-0.040762,NA,-0.0948,0.035,0.017482,-0.019385,-0.41738,-0.006564,-0.012637,-0.013098,0.001937,0.0424,0.010357,-0.026615,-0.012634,-0.009469,-0.045904,-0.05,0.012682,-0.001445,-0.004494,0.012089,-0.0019,NA,0.0291,NA,0.001645,0.006687,0.020349,0.016496,0.0192,0.0066,0.015657,0.004992,-0.023285,0.0597,0.001085,-0.000738,0.027857,NA,-0.038358,0.0401,0.006699,-0.026153,0.0381,-0.034106,-0.008967,NA,0.1717,0.0439,0.012676,NA,-0.010845,-0.013476,-0.016415,-0.073377,0.019164,0.013032,0.026156,-0.012598,NA,-0.08685,0.019285,-0.004088,0.017927,-0.013287,-0.028738,0.027292,0.0474,0.022697
"38",0.00107,NA,0.0013,-0.056406,0.1692,0.002501,0.112104,0.025876,0.003498,0.0036,0.021635,0.128,0.167929,-0.007781,-0.014083,-0.027108,-0.034951,0.0347,-8.6e-05,0.0303,0.038632,0.11146,0.0283,NA,0.0676,0.037,0.012079,-0.005638,0.0083,-0.0137,0.002087,0.03156,0.130426,0.028876,-0.0191,0.01199,0.038738,0.0206,0.00985,0.011277,0.011707,0.020023,-0.049583,0.05,-0.009395,-0.041548,-0.011245,0.017849,0.0063,NA,0.017,NA,0.000218,-0.014425,0.000497,-0.020401,0.0076,0.0025,0.00801,0.028086,0.004271,-0.0569,-0.022346,-4.5e-05,0.019471,NA,-0.033707,-0.0181,-0.00163,0.020574,-2e-04,0.146266,0.001269,NA,0.0484,-0.014898,-0.034941,NA,0.032298,0.061322,0.045726,-0.011212,-0.004683,0.006071,0.013014,0.0362,NA,-0.0083,-0.002424,0.040155,-0.002676,0.051218,-0.033115,-0.013604,-0.0064,0.025098
