"","time","event","date","broker","name","is_forced","newtp_to_px","oldtp_to_px","chg_tgt","newtp_avgtp","chg_2d","chg_5d","char_newrating","newrating","oldrating","chg_rating","score"
"1","A","TP+ ","05/16/2018","Morgan Stanley","21VIANET-ADR","","136.363636363636","127.272727272727","4","0","8.4396058","5.524428","","5","5","","1.5"
"2","A","TP+ ","05/16/2018","Morningstar, Inc","NSSMC","","1.06704248037044","-0.14093013891685","1.20967741935484","-14.9330023421855","-0.39129","0.759164","","3","3","","1.5"
"3","A","TP+ ","05/16/2018","Argus Research Corp","CHEVRON CORP","Forced","15.6158470787729","0.200400801603196","15.3846153846154","6.52688480707768","0.51945093","1.02508","","5","5","","1.5"
"4","A","TP+ Upgrade","05/16/2018","Jefferies","COSCO SHIP HOL-H","","22.1198156682028","-7.83410138248848","32.5","14.9176065297328","8.791834","7.165292"," buy","5","3","2","2.5"
"5","A","TP- ","05/16/2018","ICBC Research","VIPSHOP HOLDINGS","Forced","14.2384105960265","49.0066225165563","-23.3333333333333","-22.2406365904066","-19.4564812","-25.884973","","3","3","","0.5"
"6","A","TP- ","05/16/2018","Benchmark Company LLC","VIPSHOP HOLDINGS","","57.2847682119205","98.6754966887417","-20.8333333333333","7.05999310016476","-19.4564812","-25.884973","","5","5","","0.5"
"7","A","TP- ","05/16/2018","J.P. Morgan","VIPSHOP HOLDINGS","","82.1192052980132","90.3973509933775","-4.34782608695652","23.9642025370329","-19.4564812","-25.884973","","5","5","","0.5"
"8","A","TP- ","05/16/2018","Credit Suisse","YAHOO JAPAN CORP","","37.8446115288221","55.3884711779449","-11.2903225806452","4.94931425163982","-0.9291939","-4.467444","","5","5","","0.5"
"9","A","TP+ ","05/16/2018","Daiwa Securities","ORIX CORP","","33.3333333333333","28.2051282051282","4","9.0400795193128","-0.8322539","-3.137441","","5","5","","1.5"
"10","B/D","TP- Downgrade","05/16/2018","New Street Research","DEUTSCHE TELEKOM","","-0.814736096351398","27.5239107332625","-22.2222222222222","-13.8115658972876","-0.9714115","-1.7950591"," reduce","2","3","-1","-1"
"11","A","TP+ ","05/16/2018","Iwai Cosmo Securities Co. Ltd","NIPPON TELEGRAPH","Forced","21.7228464419476","12.3595505617978","8.33333333333333","3.96673064619322","-0.6559616","-0.277112","","5","5","","1.5"
"12","A","TP+ ","05/16/2018","SMBC Nikko","SONY CORP","","44.0212241804055","32.651127534584","8.57142857142857","13.5130881579568","0.0815441","1.157597","","5","5","","1.5"
"13","B/D","TP- ","05/16/2018","AlphaValue","DEUTSCHE TELEKOM","","28.2323769040028","29.6493092454835","-1.09289617486338","11.429332661364","-0.9714115","-1.7950591","","5","5","","-0.5"
"14","A"," Initiation","05/16/2018","RBC Capital Markets","MICRON TECH","","48.1207183854842","","","8.87096481132217","4.8226368","9.720867"," outperform","5","","","1"
"15","A","TP+ ","05/15/2018","Haitong International","VIPSHOP HOLDINGS","Forced","-0.662251655629142","-13.0794701986755","14.2857142857143","-32.3831622525275","-19.4564812","-25.884973","","3","3","","1.5"
"16","A","TP- Downgrade","05/15/2018","Daiwa Securities","VIPSHOP HOLDINGS","","32.4503311258278","106.953642384106","-36","-9.84421633670336","-19.4564812","-25.884973"," hold","3","5","-2","-0.5"
"17","B/D","TP+ ","05/15/2018","Macquarie","PETROCHINA-H","Forced","20.5211726384365","14.0065146579805","5.71428571428572","8.09306649862789","1.6928884","1.313343","","5","5","","0.5"
"18","A","TP+ ","05/15/2018","Daiwa Securities","NVIDIA CORP","Forced","22.1697344844437","11.9889232774067","9.09090909090909","8.58712469790424","-2.9276742","-3.41237","","5","5","","1.5"
"19","A","TP- ","05/15/2018","Goldman Sachs","VIPSHOP HOLDINGS","","58.9403973509934","72.1854304635762","-7.6923076923077","8.18694039595595","-19.4564812","-25.884973","","5","5","","0.5"
"20","A","TP- ","05/15/2018","Maybank Kim Eng","VIPSHOP HOLDINGS","","50.6622516556291","65.5629139072848","-9","2.55220391699993","-19.4564812","-25.884973","","5","5","","0.5"
"21","B/D","TP+ ","05/15/2018","Goldman Sachs","MIZUHO FINANCIAL","","19.106699751861","14.1439205955335","4.34782608695652","13.0890016217776","1.2097821","0.425948","","3","3","","0.5"
"22","B/D","TP- ","05/15/2018","Goldman Sachs","MITSUBISHI UFJ F","Forced","9.7679588717521","19.4942337084896","-8.13953488372093","-13.8025095471904","-0.3815106","-1.1431601","","3","3","","-0.5"
"23","B/D","TP- ","05/15/2018","KB SECURITIES","SAMSUNG ELECTRON","","20.3610832497493","20.3610832497493","0","-13.2007233273056","0.1588848","-2.7109919","","5","5","","0"
"24","A","TP- ","05/15/2018","Credit Suisse","VIPSHOP HOLDINGS","","40.728476821192","49.0066225165563","-5.55555555555556","-4.20947985774732","-19.4564812","-25.884973","","3","3","","0.5"
"25","B/D","TP+ ","05/15/2018","Morgan Stanley","TOTAL SA","Forced","26.5138811253959","11.794298490777","13.1666666666667","20.6039092719979","-0.41827632","1.2141246","","5","5","","0.5"
"26","A","TP- ","05/15/2018","Macquarie","VIPSHOP HOLDINGS","","57.2847682119205","65.5629139072848","-5","7.05999310016476","-19.4564812","-25.884973","","5","5","","0.5"
"27","B/D","TP- ","05/15/2018","Nomura","T&D HOLDING INC","","17.8045515394913","27.4431057563588","-7.56302521008403","9.93129294191131","2.4972121","1.914868","","5","5","","-0.5"
"28","B/D","TP- ","05/15/2018","Nomura","VIPSHOP HOLDINGS","","49.0066225165563","82.1192052980132","-18.1818181818182","1.42525662120871","-19.4564812","-25.884973","","5","5","","-0.5"
"29","B/D"," Initiation","05/15/2018","Haitong International","CHINA PACIFIC-H","","36.7262723521321","","","5.43510434295083","-0.390666","-2.6984879"," buy","5","","","0"
"30","B/D","TP- ","05/15/2018","J.P. Morgan","TOSHIBA CORP","","35.016835016835","53.8720538720539","-12.253829321663","8.01346801346801","3.0765961","1.22043","","5","5","","-0.5"
"31","B/D"," Initiation","05/15/2018","Haitong International","NEW CHINA LIFE-H","","41.3654618473895","","","2.89990590383724","-2.864678","-4.232875"," buy","5","","","0"
"32","B/D","TP- ","05/15/2018","CICC","VIPSHOP HOLDINGS","","15.8940397350993","32.4503311258278","-12.5","-21.1136892946154","-19.4564812","-25.884973","","3","3","","-0.5"
"33","B/D","TP- ","05/15/2018","Clarksons Platou Securities AS","AP MOLLER-B","","54.2959285004965","54.9701092353525","-0.435039207355869","27.6265177229613","0.737087","1.6066829","","5","5","","-0.5"
"34","B/D","TP+ ","05/15/2018","Credit Suisse","CHINA LODGIN-ADR","","6.19469026548674","0.294985250737456","5.88235294117647","0.19830745138103","12.8481288","14.967367","","5","5","","0.5"
"35","B/D","TP+ ","05/15/2018","Stifel","WESTERN DIGITAL","","37.3825018076645","32.5620631477464","3.63636363636364","-1.37776160864347","5.9010378","5.274686","","5","5","","0.5"
"36","B/D","TP+ ","05/15/2018","Goldman Sachs","CHINA LODGIN-ADR","","-17.9941002949852","-19.76401179941","2.20588235294118","-22.6246403569891","12.8481288","14.967367","","3","3","","0.5"
"37","B/D"," Initiation","05/15/2018","Haitong International","PING AN","","39.0753641545282","","","6.74169790413521","1.0504344","0.719156"," buy","5","","","0"
"38","B/D"," Initiation","05/15/2018","Haitong International","CHINA LIFE-H","","26.5486725663717","","","-4.09705881355946","0.9255624","-1.6582045"," buy","5","","","0"
