"","ann.ret.60","ann.std.60","downrisk.60","drawdown.60","sharpe.60","sortino.60","omega.60","wl.60","skewness.60","kurtosis.60"
"AISMERC.KY.Equity",0.136955437832999,0.214474454463902,0.0363276161536093,-0.367935138187809,0.123319249543976,0.34781030365084,1.69427117107085,0.596026490066225,0.111005079667931,0.347934272155369
"ALLIVFD.AU.Equity",0.0412646654214519,0.136725650404256,0.0273086680043569,-0.200078547929571,-0.0214335441257029,0.152114087436269,1.36682027380277,0.615894039735099,-0.208752523988243,4.11336828769234
"APSASPH.KY.Equity",0.0739402103885363,0.184223748240317,0.0345770741591968,-0.510337128263692,0.044671165576906,0.213310385160531,1.48877276551373,0.596026490066225,-0.194728892111706,2.1687864939946
"APSCHIA.KY.Equity",0.158466543107844,0.2919006305758,0.0552600584879596,-0.634920830986951,0.129968545221264,0.28866651453684,1.66042419180866,0.615894039735099,-0.517398222579028,1.0289682799561
"ASCREHA.KY.Equity",0.0659209791195692,0.102902621623106,0.0225255934162669,-0.380535125349876,0.0268929821751762,0.257434618591722,1.88964265103917,0.708609271523179,-2.78694614277442,20.4617332131722
"CCIOIGF.KY.Equity",0.0675862049529619,0.211380010328817,0.0413623530778784,-0.628052397931236,0.0387282755687979,0.178017079544521,1.44908927507548,0.615894039735099,-0.339420407159475,7.54640995278674
"CDIFORD.VI.Equity",0.0386330169849332,0.186993146310546,0.0389182017264739,-0.621583007188395,-0.00643502204792507,0.119549094130536,1.27323027908031,0.596026490066225,-0.664516704136373,3.60627926591479
"CONSTEB.KY.Equity",0.0605074106347026,0.133409029544441,0.0233482721467438,-0.302909820912766,0.0165474055261727,0.241442770914635,1.45437988154057,0.556291390728477,0.231680631158243,0.219309941931519
"COPLATA.KY.Equity",0.0690885530084004,0.0827628691468447,0.0133448106013819,-0.271942191704421,0.03606357586366,0.439243093748572,2.09870281408657,0.708609271523179,0.809795037207879,5.74684080611902
"DALGCHI.KY.Equity",0.0720691709464327,0.208141384079531,0.0391211404626621,-0.634244849070494,0.0436842952910434,0.194901819496568,1.52696374138389,0.543046357615894,0.262303459750496,12.8698530773995
"DORASPS.KY.Equity",0.13097106217305,0.158581449169626,0.027212382600963,-0.414360328298954,0.138572172606342,0.416855418557559,2.06930124429107,0.649006622516556,0.103132413398213,5.54164232095003
"FABRAFF.KY.Equity",0.103869410011768,0.342422412481844,0.0619924488352364,-0.760780787052923,0.0821765162635736,0.211687926944311,1.42888142384111,0.556291390728477,0.137013782266352,2.13863172471394
"FBDREOI.KY.Equity",0.0893243036286062,0.244553540765017,0.0481290643241883,-0.727007437233192,0.0669858296935291,0.202143279202038,1.46854032959466,0.582781456953642,-0.679811630109625,3.7279895751156
"FIREFND.KY.Equity",0.0997515399643072,0.256271591074213,0.0499251004883136,-0.707175670279048,0.0779353280005674,0.215634939563318,1.48814152457276,0.582781456953642,-0.594180546840545,2.67007951541927
"FPP395A.KY.Equity",-0.039913597825519,0.232920273022928,0.0531229235319006,-0.741018332198454,-0.088912597602742,-0.0184163645519306,0.957345652723139,0.543046357615894,-1.11397040760242,5.87186106244721
"FRTNHDG.KY.Equity",0.188228389872209,0.222851221207828,0.040350010134911,-0.467297170915,0.179549616437228,0.410178713126725,2.01401310789773,0.642384105960265,-0.424748395441694,1.38876701096057
"GAAOPPO.KY.Equity",-0.0391975729742856,0.225273913668748,0.0481225486611254,-0.63485368754289,-0.0944135886820072,-0.0236855274446558,0.947669734120862,0.470198675496689,-0.462769573656711,5.81253534371763
"GOLDCHI.KY.Equity",0.25806799982151,0.239174972695008,0.0379743758663271,-0.646451380742126,0.240968310788176,0.569789064661013,2.46789693593315,0.695364238410596,0.235897412258626,3.01733923100206
"GREASHI.KY.Equity",0.0301149419067883,0.142063658202212,0.0244913225992851,-0.382225486032376,-0.041739529162372,0.134261906122013,1.26605061180399,0.536423841059603,1.09826364559625,5.29380598166589
"GRECVPD.MV.Equity",0.0674166842461674,0.206557319093713,0.042945888884573,-0.600859547793664,0.0382985126312581,0.169600919688312,1.40200029167722,0.622516556291391,-0.871484949464066,2.9067148336444
"HALCYON.KY.Equity",0.0408781573281651,0.355335899594615,0.0717230526846885,-0.896406694716917,0.0370722005731921,0.122732390665986,1.2689610265575,0.576158940397351,-0.42687628889027,1.65219460573154
"HKPTRLP.US.Equity",0.0509987487225403,0.252568520191614,0.0483497855102525,-0.652852622175551,0.0247076874657173,0.140671641804224,1.2899504975373,0.576158940397351,0.0393564793741158,1.88749645021502
"INDSMLI.MP.Equity",0.0913298871249755,0.321996883055147,0.0595077476257509,-0.729743993710904,0.0705354970089372,0.194200768676463,1.39482137237116,0.589403973509934,0.30313537142901,2.7065781082796
"IVMAOPP.KY.Equity",0.0916564675405993,0.24717568446518,0.0470083126929526,-0.660974861483246,0.0686799029594727,0.210612742761951,1.4827721057241,0.615894039735099,-0.235482002124371,2.63965089421662
"K2AARFA.AU.Equity",0.00829725543870619,0.159370876471806,0.036224640384597,-0.429086084599611,-0.0698087301607128,0.0493683574050856,1.11313432535676,0.596026490066225,-1.32286900637962,3.64669582457915
"LYNASIA.KY.Equity",0.13844051028328,0.20502649116452,0.03566227965798,-0.503574357086517,0.128801494006333,0.353966481579214,1.84576399411638,0.609271523178808,-0.194466330590401,6.04212337752769
"MERINHE.KY.Equity",0.0598065702702724,0.0950656444909377,0.0152833227029027,-0.18107100660442,0.00810274123266952,0.341703459380515,1.71090686992621,0.576158940397351,0.375974115436134,1.2074340297943
"MERINTF.KY.Equity",0.0442208084169946,0.0746521552127063,0.0125162310710999,-0.162797540145598,-0.0537506205076287,0.306934430167726,1.67352978740697,0.576158940397351,0.243757062082759,2.26174828022383
"NORASXD.KY.Equity",0.0837484812737004,0.118499970155559,0.0182433912167144,-0.267268319036558,0.0671153280346866,0.399919110873288,1.82409114030101,0.562913907284768,0.529774392561226,0.956079746220963
"OCTAPAF.KY.Equity",0.0724949216105508,0.085360857439818,0.0125105713836088,-0.106856773168291,0.0465457708053417,0.491341288612473,2.00288594519838,0.543046357615894,0.496773206377669,0.785734448843587
"PANGOLN.KY.Equity",0.129056778806844,0.180808175435829,0.0295393429943258,-0.475284118804203,0.123867423397263,0.388134509721438,1.91501673059228,0.675496688741722,1.37621363290971,13.4227898299241
"REALRTA.ID.Equity",0.0915836771948331,0.10703133334849,0.017928875957313,-0.238918928014156,0.0906335675022921,0.435070840157503,1.9021543401218,0.635761589403974,0.000276154842417336,0.464313767484422
"TANTALF.KY.Equity",0.0521646060785694,0.154526448492775,0.0274801076300224,-0.366086288266901,0.00503384940385813,0.19012115015031,1.35790285035856,0.529801324503311,0.29618408486148,1.19078867627484
"TARPLNG.US.Equity",0.0675668404194827,0.267898451137468,0.0507260699461867,-0.668718435766564,0.0445293972577688,0.166456983918311,1.32429545223319,0.562913907284768,-0.0336589885169833,0.867805521994482
"TELLGNT.KY.Equity",0.115944202278214,0.180726667783833,0.0323717751534077,-0.468959847868281,0.106079875680262,0.325416955152747,1.68920347556025,0.615894039735099,-0.13349551656222,1.19489760273021
"TK5YRGA.CH.Equity",0.0662439317752819,0.037737895489686,0.00470746257911572,-0.0631686921221923,0.038361870009666,1.15092022851566,4.02220555748472,0.735099337748344,0.515753345918767,1.74392431822042
"TKPROST.CH.Equity",0.309831654386563,0.230436789124375,0.0345257982597101,-0.296900183099382,0.29914670537832,0.721189668644945,2.80998391166919,0.66887417218543,0.101542920320612,1.50778542629104
"TROPHY1.KY.Equity",0.0138106653462413,0.494170890495619,0.0826136856553216,-0.883328151994066,0.0396287856803214,0.128952465031558,1.25648348084576,0.490066225165563,1.04029200984448,3.35903236231736
"UGFMSTA.KY.Equity",0.158103545341509,0.198549792694637,0.0329761784133387,-0.423224369930146,0.155515546160595,0.421928497279889,2.06080345200701,0.635761589403974,0.304036316595312,3.81283902110011
"UIFLORG.BM.Equity",-0.0950855097004594,0.389165307431247,0.0785511863151446,-0.955623191265068,-0.0618681857115176,-0.0248298887647354,0.951405763434558,0.483443708609272,0.320260973328671,3.13487489471588
"VAPAHED.KY.Equity",0.121201467619907,0.14714294485786,0.0236453841297278,-0.298035063563657,0.128513416006421,0.442318943398096,2.00044216926467,0.602649006622517,0.465757538307225,3.5278863307352
