,ann.ret.5,ann.std.5,downrisk.5,drawdown.5,sharpe.5,sortino.5,inforatio.5,alpha.5,beta.5,corr.bhf.5,corr.bidx.5,omega.5,wl.5,skewness.5,kurtosis.5
CLARCOB.BH.Equity,-0.054769432,0.092390682,0.097250919,-0.24544867,-0.646920567,-0.614589894,-0.725531,-0.004343635,0.008720897,0.093395447,0.009309123,0.025357311,0.1,-7.319030135,52.53858628
CMCHCSF.KY.Equity,0.046047191,0.143231838,0.089408699,-0.315505139,0.286578682,0.45909617,0.147103722,0.00146576,0.415020822,0.470004617,0.285763074,1.350097739,0.583333333,0.335518821,2.331491428
CMTFGRC.KY.Equity,0.024432105,0.28748546,0.222610814,-0.596751575,0.067593349,0.087291828,0.099878592,-0.005447683,1.443337664,0.567907663,0.495139813,1.232934675,0.483333333,0.215408068,4.730783527
CNALPHA.KY.Equity,0.119185178,0.140098453,0.098683505,-0.255353304,0.815035255,1.157084751,0.48275773,0.00850729,0.227695005,0.336415549,0.160286133,2.1167802,0.583333333,0.275941452,4.052657511
CONSTEB.KY.Equity,0.041377866,0.155714313,0.086523561,-0.291322224,0.23361928,0.420438839,0.014970134,-0.001621489,0.803896661,NA,0.508425076,1.271627816,0.533333333,0.092900848,-0.362383967
CONSTEQ.KY.Equity,0.034703406,0.273365791,0.154811999,-0.545418586,0.108658096,0.191867598,0.053159702,-0.004453873,1.384929268,NA,0.498928943,1.207953436,0.516666667,0.253140782,0.043017757
COPLATA.KY.Equity,0.118349383,0.092267033,0.028744638,-0.080499169,1.22849277,3.943322619,0.446030343,0.006929354,0.368058403,0.400271206,0.393410522,2.976944423,0.666666667,1.680413015,4.50372351
CSVCHNO.VI.Equity,0.117057093,0.23408608,0.153815097,-0.315861001,0.478700369,0.728518172,0.445152483,0.003205407,1.102214656,0.481489807,0.464372378,1.575455576,0.583333333,0.002667874,1.240150675
DALGCHI.KY.Equity,0.083850371,0.106057594,0.070864332,-0.176188106,0.743467473,1.112694766,0.360802468,0.003765398,0.459264862,NA,0.426458447,1.992863061,0.566666667,0.12299328,2.205633526
DBDHAAB.KY.Equity,0.041091065,0.052714259,0.036305249,-0.117937286,0.684654701,0.994100476,-0.030704035,0.001170559,0.306123139,0.661567628,0.572721961,1.732410591,0.7,-0.675214291,-0.141114668
DORASPS.KY.Equity,0.175277265,0.124607711,0.077730554,-0.149165087,1.366506649,2.190609173,0.791162922,0.010324331,0.511850638,0.44354561,0.405111078,2.787432082,0.666666667,-0.007861657,1.412797183
DRAGALT.KY.Equity,-0.057745474,0.229717357,0.173735791,-0.531235836,-0.273142066,-0.361154562,-0.142175128,-0.011085925,1.119672573,NA,0.480012448,0.883186143,0.45,-0.090975481,3.774859885
EMMENAA.BH.Equity,0.094622936,0.115746736,0.064588344,-0.308498121,0.774302058,1.387602307,0.440254565,0.005070007,0.407312437,NA,0.346556613,1.876016835,0.616666667,0.048303158,-0.265969696
ENAMIND.KY.Equity,0.226298866,0.204531478,0.147018321,-0.221235468,1.0819795,1.505246859,0.64564033,0.011390084,1.000851458,NA,0.481908671,2.313283225,0.633333333,-0.251219076,0.776115164
FABRAFF.KY.Equity,-0.039341109,0.314278322,0.168732523,-0.76078133,-0.141088666,-0.262789345,-0.103629953,-0.010556835,1.501336851,NA,0.470455977,1.01825587,0.483333333,0.458478685,0.442313598
FAFRICA.BH.Equity,-0.029139154,0.130258023,0.090881054,-0.491552395,-0.262088688,-0.375646552,-0.116543486,-0.005882925,0.547851932,0.452268959,0.414795944,0.888412489,0.516666667,-0.365317457,-0.564847103
FAVRORC.KY.Equity,0.044516933,0.136611039,0.07123346,-0.37164568,0.28926603,0.554752403,0.047494905,-0.002707688,0.943522096,0.681173222,0.681148915,1.312221666,0.566666667,0.078967341,-0.467776399
FBDREOI.KY.Equity,0.060948001,0.134937251,0.071511227,-0.360845156,0.414622359,0.782366683,0.196297545,-0.001298901,0.92712946,0.689564866,0.677617029,1.433290675,0.566666667,0.160251047,-0.240770093
FOUCHOP.KY.Equity,0.165845789,0.180683151,0.139234803,-0.338295195,0.890209125,1.155212535,0.469345706,0.010015107,0.557641827,0.477648254,0.304378151,2.105061638,0.666666667,-0.423770729,1.313425934
FPP395A.KY.Equity,-0.109183224,0.138837101,0.089418537,-0.492288632,-0.822425874,-1.276952493,-1.434797408,-0.015243924,0.865635801,NA,0.614023433,0.579041394,0.4,-0.044330007,-0.084084915
FRTNHDG.KY.Equity,0.13923829,0.18771923,0.16693884,-0.371179893,0.715101433,0.804116587,0.702335645,0.005578411,0.90465768,0.595777976,0.475281924,1.913294464,0.65,-0.576962083,3.529356507
GAAOPPO.KY.Equity,0.015620241,0.24141559,0.160258163,-0.471338874,0.043991528,0.066269577,0.219646218,-0.005285883,1.197451959,NA,0.48848143,1.163689478,0.516666667,0.546826659,3.402101954
