,857 HK Equity,,386 HK Equity,,883 HK Equity,,1088 HK Equity,,2883 HK Equity,,1898 HK Equity,,1171 HK Equity,,384 HK Equity,,3337 HK Equity,,956 HK Equity,,196 HK Equity,,568 HK Equity,,975 HK Equity,,1393 HK Equity,,951 HK Equity,,686 HK Equity,,712 HK Equity,,839 HK Equity,,866 HK Equity,,3303 HK Equity,,842 HK Equity,,,,,,,,,
6/29/2009,1.11355,6/29/2009,0.57,6/29/2009,1.24903,6/29/2009,3.68,6/29/2009,1.11484,6/29/2009,1.20,6/29/2009,1.38839,6/29/2009,0.26,6/29/2009,0.12645,11/30/2011,0.20,6/29/2009,0.23226,6/29/2009,0.74,12/1/2011,0.81732,6/29/2009,0.81419,8/23/2011,0.54,6/29/2009,0.09,12/16/2010,0.36129,6/29/2009,0.44,8/19/2010,0.15894,6/29/2009,0.11,1/6/2012,0.22149,,,,,,,,,
6/30/2009,1.10966,6/30/2009,0.59,6/30/2009,1.23998,6/30/2009,3.68,6/30/2009,1.08515,6/30/2009,1.18,6/30/2009,1.37547,6/30/2009,0.25,6/30/2009,0.12258,12/1/2011,0.21,6/30/2009,0.22709,6/30/2009,0.72,12/2/2011,0.80465,6/30/2009,0.7858,8/24/2011,0.52,6/30/2009,0.09,12/17/2010,0.37032,6/30/2009,0.43,8/20/2010,0.15947,6/30/2009,0.11,1/9/2012,0.23306,,,,,,,,,
7/2/2009,1.10579,7/2/2009,0.58,7/2/2009,1.21805,7/2/2009,3.66,7/2/2009,1.06063,7/2/2009,1.18,7/2/2009,1.39353,7/2/2009,0.24,7/2/2009,0.12,12/2/2011,0.21,7/2/2009,0.22064,7/2/2009,0.66,12/5/2011,0.79797,7/2/2009,0.7987,8/25/2011,0.59,7/2/2009,0.08,12/20/2010,0.36009,7/2/2009,0.42,8/23/2010,0.15434,7/2/2009,0.10,1/10/2012,0.23565,,,,,,,,,
7/3/2009,1.10063,7/3/2009,0.59,7/3/2009,1.21031,7/3/2009,3.74,7/3/2009,1.02321,7/3/2009,1.19,7/3/2009,1.39611,7/3/2009,0.24,7/3/2009,0.12,12/5/2011,0.20,7/3/2009,0.21935,7/3/2009,0.63,12/6/2011,0.79898,7/3/2009,0.83612,8/26/2011,0.58,7/3/2009,0.08,12/21/2010,0.36661,7/3/2009,0.41,8/24/2010,0.15238,7/3/2009,0.10,1/11/2012,0.23434,,,,,,,,,
7/6/2009,1.07612,7/6/2009,0.59,7/6/2009,1.18321,7/6/2009,3.66,7/6/2009,1.00257,7/6/2009,1.16,7/6/2009,1.38837,7/6/2009,0.24,7/6/2009,0.12,12/6/2011,0.20,7/6/2009,0.22322,7/6/2009,0.62,12/7/2011,0.78097,7/6/2009,0.83096,8/29/2011,0.61,7/6/2009,0.08,12/22/2010,0.36122,7/6/2009,0.38,8/25/2010,0.15173,7/6/2009,0.10,1/12/2012,0.23689,,,,,,,,,
7/7/2009,1.05418,7/7/2009,0.59,7/7/2009,1.16515,7/7/2009,3.57,7/7/2009,0.99354,7/7/2009,1.15,7/7/2009,1.37289,7/7/2009,0.25,7/7/2009,0.11871,12/7/2011,0.20,7/7/2009,0.22064,7/7/2009,0.58,12/8/2011,0.79476,7/7/2009,0.81934,8/30/2011,0.60,7/7/2009,0.07,12/23/2010,0.35878,7/7/2009,0.38,8/26/2010,0.14913,7/7/2009,0.11,1/13/2012,0.23562,,,,,,,,,
7/8/2009,1.02961,7/8/2009,0.59,7/8/2009,1.14831,7/8/2009,3.54,7/8/2009,0.97284,7/8/2009,1.13,7/8/2009,1.29798,7/8/2009,0.24,7/8/2009,0.11483,12/8/2011,0.20,7/8/2009,0.21547,7/8/2009,0.57,12/9/2011,0.77868,7/8/2009,0.8064,8/31/2011,0.61,7/8/2009,0.07,12/24/2010,0.34573,7/8/2009,0.39,8/27/2010,0.14591,7/8/2009,0.10,1/16/2012,0.22915,,,,,,,,,
7/9/2009,1.03993,7/9/2009,0.61,7/9/2009,1.17283,7/9/2009,3.45,7/9/2009,0.97155,7/9/2009,1.09,7/9/2009,1.24895,7/9/2009,0.26,7/9/2009,0.11354,12/9/2011,0.19,7/9/2009,0.22966,7/9/2009,0.59,12/12/2011,0.79662,7/9/2009,0.79866,9/1/2011,0.58,7/9/2009,0.07,12/28/2010,0.34445,7/9/2009,0.39,8/30/2010,0.15233,7/9/2009,0.10,1/17/2012,0.23181,,,,,,,,,
7/10/2009,1.02442,7/10/2009,0.61,7/10/2009,1.16893,7/10/2009,3.37,7/10/2009,0.97023,7/10/2009,1.09,7/10/2009,1.22957,7/10/2009,0.26,7/10/2009,0.11225,12/12/2011,0.19,7/10/2009,0.23224,7/10/2009,0.57,12/13/2011,0.78552,7/10/2009,0.83218,9/2/2011,0.57,7/10/2009,0.06,12/29/2010,0.35719,7/10/2009,0.39,8/31/2010,0.15106,7/10/2009,0.10,1/18/2012,0.2345,,,,,,,,,
7/13/2009,0.98832,7/13/2009,0.60,7/13/2009,1.1367,7/13/2009,3.26,7/13/2009,0.93413,7/13/2009,1.06,7/13/2009,1.18831,7/13/2009,0.25,7/13/2009,0.10709,12/13/2011,0.19,7/13/2009,0.22192,7/13/2009,0.54,12/14/2011,0.77073,7/13/2009,0.82188,9/5/2011,0.54,7/13/2009,0.08,12/30/2010,0.38039,7/13/2009,0.38,9/1/2010,0.15564,7/13/2009,0.10,1/19/2012,0.23841,,,,,,,,,
7/14/2009,1.02964,7/14/2009,0.61,7/14/2009,1.20899,7/14/2009,3.41,7/14/2009,0.98319,7/14/2009,1.10,7/14/2009,1.22963,7/14/2009,0.26,7/14/2009,0.11225,12/14/2011,0.19,7/14/2009,0.22322,7/14/2009,0.57,12/15/2011,0.7608,7/14/2009,0.84384,9/6/2011,0.56,7/14/2009,0.08,12/31/2010,0.37824,7/14/2009,0.39,9/2/2010,0.15894,7/14/2009,0.11,1/20/2012,0.24226,,,,,,,,,
7/15/2009,1.04902,7/15/2009,0.62,7/15/2009,1.24127,7/15/2009,3.47,7/15/2009,0.9987,7/15/2009,1.14,7/15/2009,1.26579,7/15/2009,0.26,7/15/2009,0.12,12/15/2011,0.18,7/15/2009,0.22709,7/15/2009,0.62,12/16/2011,0.76567,7/15/2009,0.89289,9/7/2011,0.56,7/15/2009,0.08,1/3/2011,0.37973,7/15/2009,0.41,9/3/2010,0.15763,7/15/2009,0.11,1/26/2012,0.24624,,,,,,,,,
7/16/2009,1.05804,7/16/2009,0.62,7/16/2009,1.24126,7/16/2009,3.50,7/16/2009,1.02191,7/16/2009,1.15,7/16/2009,1.28384,7/16/2009,0.26,7/16/2009,0.12,12/16/2011,0.19,7/16/2009,0.2258,7/16/2009,0.61,12/19/2011,0.76171,7/16/2009,0.8774,9/8/2011,0.54,7/16/2009,0.08,1/4/2011,0.36553,7/16/2009,0.41,9/6/2010,0.1629,7/16/2009,0.11,1/27/2012,0.24628,,,,,,,,,
7/17/2009,1.09031,7/17/2009,0.63,7/17/2009,1.26192,7/17/2009,3.66,7/17/2009,1.04644,7/17/2009,1.20,7/17/2009,1.33934,7/17/2009,0.26,7/17/2009,0.12387,12/19/2011,0.19,7/17/2009,0.22709,7/17/2009,0.61,12/20/2011,0.77096,7/17/2009,0.88773,9/9/2011,0.54,7/17/2009,0.08,1/5/2011,0.36418,7/17/2009,0.41,9/7/2010,0.16478,7/17/2009,0.11,1/30/2012,0.23982,,,,,,,,,
7/20/2009,1.12902,7/20/2009,0.64,7/20/2009,1.31869,7/20/2009,3.76,7/20/2009,1.1174,7/20/2009,1.26,7/20/2009,1.41159,7/20/2009,0.27,7/20/2009,0.12258,12/20/2011,0.19,7/20/2009,0.24258,7/20/2009,0.63,12/21/2011,0.77104,7/20/2009,0.91612,9/12/2011,0.53,7/20/2009,0.08,1/6/2011,0.36536,7/20/2009,0.39,9/8/2010,0.16279,7/20/2009,0.11,1/31/2012,0.2411,,,,,,,,,
7/21/2009,1.13418,7/21/2009,0.63,7/21/2009,1.32127,7/21/2009,3.75,7/21/2009,1.09934,7/21/2009,1.29,7/21/2009,1.40643,7/21/2009,0.27,7/21/2009,0.13032,12/21/2011,0.19,7/21/2009,0.24903,7/21/2009,0.66,12/22/2011,0.75045,7/21/2009,0.93934,9/14/2011,0.49,7/21/2009,0.10,1/7/2011,0.36028,7/21/2009,0.38,9/9/2010,0.16475,7/21/2009,0.11,2/1/2012,0.24245,,,,,,,,,
7/22/2009,1.13547,7/22/2009,0.66,7/22/2009,1.30063,7/22/2009,3.74,7/22/2009,1.10063,7/22/2009,1.28,7/22/2009,1.41159,7/22/2009,0.25,7/22/2009,0.13032,12/22/2011,0.18,7/22/2009,0.23742,7/22/2009,0.64,12/23/2011,0.76127,7/22/2009,0.93805,9/15/2011,0.50,7/22/2009,0.09,1/10/2011,0.36002,7/22/2009,0.38,9/10/2010,0.16672,7/22/2009,0.11,2/2/2012,0.24498,,,,,,,,,
7/23/2009,1.16644,7/23/2009,0.69,7/23/2009,1.3316,7/23/2009,3.81,7/23/2009,1.12902,7/23/2009,1.31,7/23/2009,1.44772,7/23/2009,0.25,7/23/2009,0.12774,12/23/2011,0.18,7/23/2009,0.24,7/23/2009,0.68,12/28/2011,0.73302,7/23/2009,0.95225,9/16/2011,0.50,7/23/2009,0.09,1/11/2011,0.3743,7/23/2009,0.38,9/13/2010,0.16737,7/23/2009,0.11,2/3/2012,0.25148,,,,,,,,,
7/24/2009,1.18579,7/24/2009,0.70,7/24/2009,1.34966,7/24/2009,3.97,7/24/2009,1.14966,7/24/2009,1.36,7/24/2009,1.49675,7/24/2009,0.25,7/24/2009,0.12903,12/28/2011,0.17,7/24/2009,0.24129,7/24/2009,0.68,12/29/2011,0.73463,7/24/2009,1.05031,9/19/2011,0.48,7/24/2009,0.10,1/12/2011,0.38203,7/24/2009,0.40,9/14/2010,0.16804,7/24/2009,0.11,2/6/2012,0.25793,,,,,,,,,
7/27/2009,1.20257,7/27/2009,0.70,7/27/2009,1.36256,7/27/2009,4.12,7/27/2009,1.16773,7/27/2009,1.41,7/27/2009,1.55095,7/27/2009,0.26,7/27/2009,0.12903,12/29/2011,0.16,7/27/2009,0.24387,7/27/2009,0.68,12/30/2011,0.75194,7/27/2009,1.11482,9/20/2011,0.47,7/27/2009,0.10,1/13/2011,0.38205,7/27/2009,0.40,9/15/2010,0.16545,7/27/2009,0.11,2/7/2012,0.25795,,,,,,,,,
7/28/2009,1.2245,7/28/2009,0.71,7/28/2009,1.40127,7/28/2009,4.28,7/28/2009,1.18063,7/28/2009,1.46,7/28/2009,1.58966,7/28/2009,0.27,7/28/2009,0.13032,12/30/2011,0.18,7/28/2009,0.24129,7/28/2009,0.68,1/3/2012,0.75954,7/28/2009,1.20773,9/21/2011,0.47,7/28/2009,0.10,1/14/2011,0.37689,7/28/2009,0.41,9/16/2010,0.17188,7/28/2009,0.12,2/8/2012,0.26568,,,,,,,,,
7/29/2009,1.17676,7/29/2009,0.67,7/29/2009,1.3445,7/29/2009,4.06,7/29/2009,1.09547,7/29/2009,1.38,7/29/2009,1.5174,7/29/2009,0.26,7/29/2009,0.12387,1/3/2012,0.19,7/29/2009,0.22322,7/29/2009,0.65,1/4/2012,0.76599,7/29/2009,1.14966,9/22/2011,0.43,7/29/2009,0.11,1/17/2011,0.37038,7/29/2009,0.39,9/17/2010,0.18224,7/29/2009,0.11,2/9/2012,0.27851,,,,,,,,,
7/30/2009,1.16902,7/30/2009,0.67,7/30/2009,1.32385,7/30/2009,4.21,7/30/2009,1.0645,7/30/2009,1.40,7/30/2009,1.51224,7/30/2009,0.27,7/30/2009,0.12,1/4/2012,0.18,7/30/2009,0.21548,7/30/2009,0.66,1/5/2012,0.75596,7/30/2009,1.16773,9/23/2011,0.42,7/30/2009,0.12,1/18/2011,0.38058,7/30/2009,0.39,9/20/2010,0.1816,7/30/2009,0.11,2/10/2012,0.27596,,,,,,,,,
7/31/2009,1.18837,7/31/2009,0.69,7/31/2009,1.3445,7/31/2009,4.08,7/31/2009,1.09031,7/31/2009,1.40,7/31/2009,1.55353,7/31/2009,0.27,7/31/2009,0.12387,1/5/2012,0.18,7/31/2009,0.22709,7/31/2009,0.70,1/6/2012,0.74946,7/31/2009,1.15482,9/26/2011,0.41,7/31/2009,0.13,1/19/2011,0.39471,7/31/2009,0.40,9/21/2010,0.18102,7/31/2009,0.11,2/13/2012,0.26696,,,,,,,,,
8/3/2009,1.20386,8/3/2009,0.71,8/3/2009,1.38837,8/3/2009,4.19,8/3/2009,1.1316,8/3/2009,1.46,8/3/2009,1.61546,8/3/2009,0.27,8/3/2009,0.12387,1/6/2012,0.17,8/3/2009,0.23613,8/3/2009,0.72,1/9/2012,0.75969,8/3/2009,1.18579,9/27/2011,0.42,8/3/2009,0.11,1/20/2011,0.39696,8/3/2009,0.40,9/22/2010,0.18369,8/3/2009,0.11,2/14/2012,0.26439,,,,,,,,,
8/4/2009,1.18708,8/4/2009,0.71,8/4/2009,1.38579,8/4/2009,4.28,8/4/2009,1.13676,8/4/2009,1.47,8/4/2009,1.63095,8/4/2009,0.27,8/4/2009,0.12129,1/9/2012,0.18,8/4/2009,0.23226,8/4/2009,0.70,1/10/2012,0.75589,8/4/2009,1.18321,9/28/2011,0.43,8/4/2009,0.11,1/21/2011,0.4031,8/4/2009,0.40,9/24/2010,0.1895,8/4/2009,0.12,2/15/2012,0.26955,,,,,,,,,
8/5/2009,1.17674,8/5/2009,0.69,8/5/2009,1.37029,8/5/2009,4.23,8/5/2009,1.08384,8/5/2009,1.43,8/5/2009,1.58964,8/5/2009,0.29,8/5/2009,0.12129,1/10/2012,0.18,8/5/2009,0.22709,8/5/2009,0.66,1/11/2012,0.73908,8/5/2009,1.12771,9/30/2011,0.40,8/5/2009,0.11,1/24/2011,0.3989,8/5/2009,0.39,9/27/2010,0.19205,8/5/2009,0.12,2/16/2012,0.27083,,,,,,,,,
8/6/2009,1.21155,8/6/2009,0.70,8/6/2009,1.41928,8/6/2009,4.23,8/6/2009,1.0993,8/6/2009,1.44,8/6/2009,1.60508,8/6/2009,0.30,8/6/2009,0.12257,1/11/2012,0.18,8/6/2009,0.22321,8/6/2009,0.66,1/12/2012,0.74673,8/6/2009,1.09156,10/3/2011,0.39,8/6/2009,0.11,1/25/2011,0.4107,8/6/2009,0.39,9/28/2010,0.18756,8/6/2009,0.12,2/17/2012,0.27598,,,,,,,,,
8/7/2009,1.16248,8/7/2009,0.67,8/7/2009,1.37536,8/7/2009,4.14,8/7/2009,1.03862,8/7/2009,1.37,8/7/2009,1.56373,8/7/2009,0.29,8/7/2009,0.11999,1/12/2012,0.18,8/7/2009,0.21546,8/7/2009,0.66,1/13/2012,0.75965,8/7/2009,1.07345,10/4/2011,0.41,8/7/2009,0.11,1/26/2011,0.41354,8/7/2009,0.39,9/29/2010,0.19272,8/7/2009,0.12,2/20/2012,0.27211,,,,,,,,,
8/10/2009,1.18445,8/10/2009,0.68,8/10/2009,1.41154,8/10/2009,4.25,8/10/2009,1.05414,8/10/2009,1.42,8/10/2009,1.56379,8/10/2009,0.31,8/10/2009,0.11999,1/13/2012,0.19,8/10/2009,0.21676,8/10/2009,0.65,1/16/2012,0.7415,8/10/2009,1.13026,10/6/2011,0.42,8/10/2009,0.11,1/27/2011,0.39677,8/10/2009,0.39,9/30/2010,0.19975,8/10/2009,0.12,2/21/2012,0.26825,,,,,,,,,
8/11/2009,1.19086,8/11/2009,0.68,8/11/2009,1.41407,8/11/2009,4.32,8/11/2009,1.05797,8/11/2009,1.43,8/11/2009,1.56373,8/11/2009,0.31,8/11/2009,0.1187,1/16/2012,0.18,8/11/2009,0.21546,8/11/2009,0.65,1/17/2012,0.77271,8/11/2009,1.13667,10/7/2011,0.43,8/11/2009,0.11,1/28/2011,0.3965,8/11/2009,0.39,10/4/2010,0.20173,8/11/2009,0.12,2/22/2012,0.27595,,,,,,,,,
8/12/2009,1.13406,8/12/2009,0.65,8/12/2009,1.35726,8/12/2009,4.10,8/12/2009,1.00892,8/12/2009,1.35,8/12/2009,1.56369,8/12/2009,0.30,8/12/2009,0.11612,1/17/2012,0.19,8/12/2009,0.21804,8/12/2009,0.64,1/18/2012,0.79756,8/12/2009,1.08891,10/10/2011,0.40,8/12/2009,0.11,1/31/2011,0.39133,8/12/2009,0.39,10/5/2010,0.20049,8/12/2009,0.12,2/23/2012,0.27333,,,,,,,,,
8/13/2009,1.15859,8/13/2009,0.66,8/13/2009,1.38824,8/13/2009,4.23,8/13/2009,1.04118,8/13/2009,1.38,8/13/2009,1.56371,8/13/2009,0.30,8/13/2009,0.11741,1/18/2012,0.18,8/13/2009,0.23094,8/13/2009,0.66,1/19/2012,0.82221,8/13/2009,1.02828,10/11/2011,0.36,8/13/2009,0.10,2/1/2011,0.38757,8/13/2009,0.39,10/6/2010,0.20051,8/13/2009,0.12,2/24/2012,0.29275,,,,,,,,,
8/14/2009,1.15475,8/14/2009,0.67,8/14/2009,1.3857,8/14/2009,4.21,8/14/2009,1.02057,8/14/2009,1.37,8/14/2009,1.59988,8/14/2009,0.30,8/14/2009,0.11741,1/19/2012,0.19,8/14/2009,0.23224,8/14/2009,0.66,1/20/2012,0.80796,8/14/2009,0.99089,10/12/2011,0.39,8/14/2009,0.10,2/2/2011,0.39808,8/14/2009,0.39,10/7/2010,0.19795,8/14/2009,0.12,2/27/2012,0.28884,,,,,,,,,
8/17/2009,1.09665,8/17/2009,0.64,8/17/2009,1.32114,8/17/2009,3.94,8/17/2009,0.95215,8/17/2009,1.28,8/17/2009,1.5095,8/17/2009,0.27,8/17/2009,0.11483,1/20/2012,0.19,8/17/2009,0.22449,8/17/2009,0.65,1/26/2012,0.83541,8/17/2009,0.93279,10/13/2011,0.43,8/17/2009,0.10,2/7/2011,0.39828,8/17/2009,0.38,10/8/2010,0.19722,8/17/2009,0.11,2/28/2012,0.29013,,,,,,,,,
8/18/2009,1.10427,8/18/2009,0.65,8/18/2009,1.321,8/18/2009,4.00,8/18/2009,0.94689,8/18/2009,1.28,8/18/2009,1.50161,8/18/2009,0.29,8/18/2009,0.11223,1/26/2012,0.19,8/18/2009,0.23221,8/18/2009,0.64,1/27/2012,0.82524,8/18/2009,0.91077,10/14/2011,0.43,8/18/2009,0.10,2/8/2011,0.40728,8/18/2009,0.38,10/11/2010,0.19399,8/18/2009,0.11,2/29/2012,0.29656,,,,,,,,,
8/19/2009,1.09136,8/19/2009,0.66,8/19/2009,1.29518,8/19/2009,3.84,8/19/2009,0.93011,8/19/2009,1.26,8/19/2009,1.46805,8/19/2009,0.28,8/19/2009,0.10965,1/27/2012,0.19,8/19/2009,0.23865,8/19/2009,0.61,1/30/2012,0.80715,8/19/2009,0.9056,10/17/2011,0.45,8/19/2009,0.09,2/9/2011,0.40078,8/19/2009,0.37,10/12/2010,0.19074,8/19/2009,0.11,3/1/2012,0.30431,,,,,,,,,
8/20/2009,1.12109,8/20/2009,0.68,8/20/2009,1.33653,8/20/2009,3.97,8/20/2009,0.96886,8/20/2009,1.32,8/20/2009,1.51198,8/20/2009,0.28,8/20/2009,0.11224,1/30/2012,0.19,8/20/2009,0.24254,8/20/2009,0.62,1/31/2012,0.80453,8/20/2009,0.99079,10/18/2011,0.41,8/20/2009,0.09,2/10/2011,0.39796,8/20/2009,0.37,10/13/2010,0.19136,8/20/2009,0.11,3/2/2012,0.32093,,,,,,,,,
8/21/2009,1.10945,8/21/2009,0.69,8/21/2009,1.33134,8/21/2009,3.95,8/21/2009,0.98044,8/21/2009,1.32,8/21/2009,1.51453,8/21/2009,0.28,8/21/2009,0.11094,1/31/2012,0.19,8/21/2009,0.23092,8/21/2009,0.61,2/1/2012,0.80085,8/21/2009,1.00882,10/19/2011,0.43,8/21/2009,0.09,2/11/2011,0.38737,8/21/2009,0.36,10/14/2010,0.19787,8/21/2009,0.11,3/5/2012,0.35294,,,,,,,,,
8/24/2009,1.13673,8/24/2009,0.69,8/24/2009,1.37801,8/24/2009,4.05,8/24/2009,1.00512,8/24/2009,1.36,8/24/2009,1.54575,8/24/2009,0.28,8/24/2009,0.11225,2/1/2012,0.19,8/24/2009,0.23483,8/24/2009,0.62,2/2/2012,0.80458,8/24/2009,1.04512,10/20/2011,0.41,8/24/2009,0.10,2/14/2011,0.38995,8/24/2009,0.37,10/15/2010,0.21206,8/24/2009,0.11,3/6/2012,0.32204,,,,,,,,,
8/25/2009,1.12509,8/25/2009,0.71,8/25/2009,1.37798,8/25/2009,4.08,8/25/2009,0.95349,8/25/2009,1.34,8/25/2009,1.5328,8/25/2009,0.28,8/25/2009,0.11096,2/2/2012,0.19,8/25/2009,0.23224,8/25/2009,0.62,2/3/2012,0.84342,8/25/2009,1.08638,10/21/2011,0.43,8/25/2009,0.10,2/15/2011,0.38877,8/25/2009,0.36,10/18/2010,0.2127,8/25/2009,0.11,3/7/2012,0.30655,,,,,,,,,
8/26/2009,1.14183,8/26/2009,0.70,8/26/2009,1.37536,8/26/2009,4.06,8/26/2009,0.93282,8/26/2009,1.37,8/26/2009,1.53793,8/26/2009,0.28,8/26/2009,0.11225,2/3/2012,0.19,8/26/2009,0.23998,8/26/2009,0.65,2/6/2012,0.86408,8/26/2009,1.06958,10/24/2011,0.47,8/26/2009,0.09,2/16/2011,0.38766,8/26/2009,0.36,10/19/2010,0.21779,8/26/2009,0.11,3/8/2012,0.32365,,,,,,,,,
8/27/2009,1.13913,8/27/2009,0.70,8/27/2009,1.33394,8/27/2009,4.04,8/27/2009,0.89918,8/27/2009,1.33,8/27/2009,1.50681,8/27/2009,0.28,8/27/2009,0.10837,2/6/2012,0.19,8/27/2009,0.24382,8/27/2009,0.63,2/7/2012,0.86543,8/27/2009,1.02948,10/25/2011,0.45,8/27/2009,0.09,2/17/2011,0.41862,8/27/2009,0.36,10/20/2010,0.21837,8/27/2009,0.11,3/9/2012,0.32232,,,,,,,,,
8/28/2009,1.13663,8/28/2009,0.66,8/28/2009,1.3366,8/28/2009,4.01,8/28/2009,0.89279,8/28/2009,1.31,8/28/2009,1.47594,8/28/2009,0.27,8/28/2009,0.10579,2/7/2012,0.20,8/28/2009,0.23481,8/28/2009,0.57,2/8/2012,0.89247,8/28/2009,1.01406,10/26/2011,0.45,8/28/2009,0.08,2/18/2011,0.43162,8/28/2009,0.35,10/21/2010,0.24663,8/28/2009,0.11,3/12/2012,0.3403,,,,,,,,,
8/31/2009,1.10444,8/31/2009,0.64,8/31/2009,1.31346,8/31/2009,4.03,8/31/2009,0.87349,8/31/2009,1.27,8/31/2009,1.42184,8/31/2009,0.27,8/31/2009,0.09806,2/8/2012,0.21,8/31/2009,0.22966,8/31/2009,0.55,2/9/2012,0.94126,8/31/2009,0.9909,10/27/2011,0.48,8/31/2009,0.08,2/21/2011,0.42909,8/31/2009,0.35,10/22/2010,0.24602,8/31/2009,0.11,3/13/2012,0.34022,,,,,,,,,
9/1/2009,1.11729,9/1/2009,0.65,9/1/2009,1.32114,9/1/2009,3.99,9/1/2009,0.87732,9/1/2009,1.29,9/1/2009,1.42693,9/1/2009,0.27,9/1/2009,0.09547,2/9/2012,0.22,9/1/2009,0.22965,9/1/2009,0.55,2/10/2012,0.94264,9/1/2009,0.9973,10/28/2011,0.49,9/1/2009,0.10,2/22/2011,0.40808,9/1/2009,0.34,10/25/2010,0.25072,9/1/2009,0.11,3/14/2012,0.34014,,,,,,,,,
9/2/2009,1.09789,9/2/2009,0.65,9/2/2009,1.29528,9/2/2009,3.95,9/2/2009,0.86954,9/2/2009,1.26,9/2/2009,1.38301,9/2/2009,0.27,9/2/2009,0.09289,2/10/2012,0.22,9/2/2009,0.22577,9/2/2009,0.55,2/13/2012,0.90535,9/2/2009,0.94308,10/31/2011,0.47,9/2/2009,0.10,2/23/2011,0.42461,9/2/2009,0.34,10/26/2010,0.24617,9/2/2009,0.11,3/15/2012,0.33498,,,,,,,,,
9/3/2009,1.10823,9/3/2009,0.66,9/3/2009,1.31852,9/3/2009,4.03,9/3/2009,0.90697,9/3/2009,1.29,9/3/2009,1.41657,9/3/2009,0.29,9/3/2009,0.09418,2/13/2012,0.22,9/3/2009,0.2219,9/3/2009,0.57,2/14/2012,0.89505,9/3/2009,0.95341,11/1/2011,0.47,9/3/2009,0.09,2/24/2011,0.39761,9/3/2009,0.35,10/27/2010,0.25454,9/3/2009,0.11,3/16/2012,0.32592,,,,,,,,,
9/4/2009,1.13541,9/4/2009,0.68,9/4/2009,1.34443,9/4/2009,4.14,9/4/2009,0.92123,9/4/2009,1.32,9/4/2009,1.44249,9/4/2009,0.29,9/4/2009,0.0929,2/14/2012,0.22,9/4/2009,0.2245,9/4/2009,0.57,2/15/2012,0.88991,9/4/2009,1.0051,11/2/2011,0.46,9/4/2009,0.10,2/25/2011,0.40413,9/4/2009,0.35,10/28/2010,0.25786,9/4/2009,0.11,3/19/2012,0.31691,,,,,,,,,
9/7/2009,1.14446,9/7/2009,0.67,9/7/2009,1.35735,9/7/2009,4.22,9/7/2009,0.93673,9/7/2009,1.35,9/7/2009,1.46057,9/7/2009,0.28,9/7/2009,0.10322,2/15/2012,0.23,9/7/2009,0.22838,9/7/2009,0.59,2/16/2012,0.88728,9/7/2009,1.0193,11/3/2011,0.44,9/7/2009,0.10,2/28/2011,0.41215,9/7/2009,0.36,10/29/2010,0.25802,9/7/2009,0.11,3/20/2012,0.29498,,,,,,,,,
9/8/2009,1.1806,9/8/2009,0.69,9/8/2009,1.39866,9/8/2009,4.36,9/8/2009,0.94448,9/8/2009,1.40,9/8/2009,1.50962,9/8/2009,0.30,9/8/2009,0.09935,2/16/2012,0.23,9/8/2009,0.22322,9/8/2009,0.58,2/17/2012,0.88598,9/8/2009,1.03867,11/4/2011,0.45,9/8/2009,0.10,3/1/2011,0.4108,9/8/2009,0.35,11/1/2010,0.25994,9/8/2009,0.11,3/21/2012,0.30265,,,,,,,,,
9/9/2009,1.17283,9/9/2009,0.67,9/9/2009,1.36765,9/9/2009,4.31,9/9/2009,0.93155,9/9/2009,1.39,9/9/2009,1.48636,9/9/2009,0.31,9/9/2009,0.09935,2/17/2012,0.24,9/9/2009,0.21934,9/9/2009,0.57,2/20/2012,0.88725,9/9/2009,1.02058,11/7/2011,0.44,9/9/2009,0.09,3/2/2011,0.41074,9/9/2009,0.35,11/2/2010,0.27222,9/9/2009,0.10,3/22/2012,0.30132,,,,,,,,,
9/10/2009,1.16636,9/10/2009,0.68,9/10/2009,1.39086,9/10/2009,4.37,9/10/2009,0.97541,9/10/2009,1.38,9/10/2009,1.48892,9/10/2009,0.32,9/10/2009,0.10193,2/20/2012,0.24,9/10/2009,0.22063,9/10/2009,0.57,2/21/2012,0.8834,9/10/2009,1.04121,11/8/2011,0.44,9/10/2009,0.09,3/3/2011,0.4121,9/10/2009,0.35,11/3/2010,0.26706,9/10/2009,0.11,3/23/2012,0.29093,,,,,,,,,
9/11/2009,1.18321,9/11/2009,0.67,9/11/2009,1.42192,9/11/2009,4.37,9/11/2009,0.99354,9/11/2009,1.38,9/11/2009,1.48385,9/11/2009,0.31,9/11/2009,0.09935,2/21/2012,0.23,9/11/2009,0.21935,9/11/2009,0.57,2/22/2012,0.89621,9/11/2009,1.03354,11/9/2011,0.47,9/11/2009,0.09,3/4/2011,0.4109,9/11/2009,0.35,11/4/2010,0.26572,9/11/2009,0.11,3/26/2012,0.29093,,,,,,,,,
