,151 HK Equity,,322 HK Equity,,1044 HK Equity,,220 HK Equity,,1112 HK Equity,,1025 HK Equity,,1230 HK Equity,,829 HK Equity,,1117 HK Equity,,1700 HK Equity,,1068 HK Equity,,1886 HK Equity,,980 HK Equity,,1006 HK Equity,,1007 HK Equity,,1717 HK Equity,,1338 HK Equity,,2218 HK Equity,,814 HK Equity,,,,
5/19/2008,0.44358,5/19/2008,1.41,5/19/2008,3.71,5/19/2008,0.57692,12/31/2010,1.41,5/19/2008,0.87178,11/12/2010,0.44,10/27/2009,0.28386,12/9/2010,0.34,11/3/2010,0.86826,5/19/2008,1.54,5/19/2008,0.79,5/19/2008,0.77,1/4/2010,0.90,11/10/2010,0.4967,10/21/2009,0.70,7/16/2009,0.40,5/19/2008,1.01281,5/19/2008,0.66,,,,
5/20/2008,0.44874,5/20/2008,1.41,5/20/2008,3.68,5/20/2008,0.54489,1/3/2011,1.43,5/20/2008,0.85901,11/15/2010,0.43,10/28/2009,0.27999,12/10/2010,0.34,11/4/2010,0.83973,5/20/2008,1.54,5/20/2008,0.77,5/20/2008,0.76,1/5/2010,0.94,11/11/2010,0.49157,10/22/2009,0.73,7/17/2009,0.41,5/20/2008,0.98722,5/20/2008,0.67,,,,
5/21/2008,0.46278,5/21/2008,1.40,5/21/2008,3.65,5/21/2008,0.54868,1/4/2011,1.42,5/21/2008,0.83327,11/16/2010,0.42,10/29/2009,0.28257,12/13/2010,0.33,11/5/2010,0.85284,5/21/2008,1.63,5/21/2008,0.77,5/21/2008,0.75,1/6/2010,0.99,11/12/2010,0.47862,10/23/2009,0.74,7/20/2009,0.41,5/21/2008,0.99992,5/21/2008,0.67,,,,
5/22/2008,0.45,5/22/2008,1.33,5/22/2008,3.61,5/22/2008,0.53077,1/5/2011,1.43,5/22/2008,0.82051,11/17/2010,0.42,10/30/2009,0.29677,12/14/2010,0.33,11/8/2010,0.83993,5/22/2008,1.60,5/22/2008,0.77,5/22/2008,0.77,1/7/2010,1.06,11/15/2010,0.47599,10/27/2009,0.73,7/21/2009,0.42,5/22/2008,0.98718,5/22/2008,0.67,,,,
5/23/2008,0.44863,5/23/2008,1.33,5/23/2008,3.61,5/23/2008,0.52169,1/6/2011,1.42,5/23/2008,0.82036,11/18/2010,0.43,11/2/2009,0.29548,12/15/2010,0.33,11/9/2010,0.86566,5/23/2008,1.65,5/23/2008,0.77,5/23/2008,0.77,1/8/2010,1.01,11/16/2010,0.45905,10/28/2009,0.73,7/22/2009,0.41,5/23/2008,0.99981,5/23/2008,0.67,,,,
5/26/2008,0.44209,5/26/2008,1.34,5/26/2008,3.56,5/26/2008,0.52538,1/7/2011,1.42,5/26/2008,0.87008,11/19/2010,0.43,11/3/2009,0.28386,12/16/2010,0.32,11/10/2010,0.86439,5/26/2008,1.67,5/26/2008,0.75,5/26/2008,0.77,1/11/2010,0.97,11/17/2010,0.44474,10/29/2009,0.80,7/23/2009,0.41,5/26/2008,1.01231,5/26/2008,0.67,,,,
5/27/2008,0.44195,5/27/2008,1.35,5/27/2008,3.55,5/27/2008,0.53033,1/10/2011,1.41,5/27/2008,0.85699,11/22/2010,0.43,11/4/2009,0.29161,12/17/2010,0.31,11/11/2010,0.86445,5/27/2008,1.66,5/27/2008,0.77,5/27/2008,0.78,1/12/2010,1.02,11/18/2010,0.45013,10/30/2009,0.87,7/24/2009,0.42,5/27/2008,1.01199,5/27/2008,0.67,,,,
5/28/2008,0.44969,5/28/2008,1.28,5/28/2008,3.56,5/28/2008,0.53553,1/11/2011,1.41,5/28/2008,0.83788,11/23/2010,0.42,11/5/2009,0.29225,12/20/2010,0.31,11/12/2010,0.84114,5/28/2008,1.61,5/28/2008,0.75,5/28/2008,0.77,1/13/2010,1.01,11/19/2010,0.4501,11/2/2009,0.89,7/27/2009,0.43,5/28/2008,1.01212,5/28/2008,0.69,,,,
5/29/2008,0.43824,5/29/2008,1.25,5/29/2008,3.56,5/29/2008,0.53306,1/12/2011,1.41,5/29/2008,0.84572,11/24/2010,0.42,11/6/2009,0.30967,12/21/2010,0.31,11/15/2010,0.81911,5/29/2008,1.54,5/29/2008,0.76,5/29/2008,0.78,1/14/2010,1.05,11/22/2010,0.43842,11/3/2009,0.88,7/28/2009,0.44,5/29/2008,1.03793,5/29/2008,0.74,,,,
5/30/2008,0.43311,5/30/2008,1.20,5/30/2008,3.63,5/30/2008,0.53305,1/13/2011,1.40,5/30/2008,0.85724,11/25/2010,0.42,11/9/2009,0.32258,12/22/2010,0.32,11/16/2010,0.79947,5/30/2008,1.58,5/30/2008,0.77,5/30/2008,0.77,1/15/2010,1.07,11/23/2010,0.41374,11/4/2009,0.87,7/29/2009,0.43,5/30/2008,1.05073,5/30/2008,0.72,,,,
6/2/2008,0.43951,6/2/2008,1.28,6/2/2008,3.57,6/2/2008,0.52536,1/14/2011,1.40,6/2/2008,0.85852,11/26/2010,0.42,11/10/2009,0.30322,12/23/2010,0.31,11/17/2010,0.80053,6/2/2008,1.58,6/2/2008,0.76,6/2/2008,0.77,1/18/2010,1.06,11/24/2010,0.40602,11/5/2009,0.91,7/30/2009,0.42,6/2/2008,1.03792,6/2/2008,0.70,,,,
6/3/2008,0.44587,6/3/2008,1.26,6/3/2008,3.55,6/3/2008,0.51762,1/17/2011,1.42,6/3/2008,0.85842,11/29/2010,0.42,11/11/2009,0.30322,12/24/2010,0.31,11/18/2010,0.84222,6/3/2008,1.56,6/3/2008,0.74,6/3/2008,0.74,1/19/2010,1.03,11/25/2010,0.39822,11/6/2009,0.92,7/31/2009,0.43,6/3/2008,1.05061,6/3/2008,0.70,,,,
6/4/2008,0.43548,6/4/2008,1.24,6/4/2008,3.56,6/4/2008,0.5213,1/18/2011,1.40,6/4/2008,0.97728,11/30/2010,0.41,11/12/2009,0.29871,12/28/2010,0.31,11/19/2010,0.83572,6/4/2008,1.50,6/4/2008,0.75,6/4/2008,0.75,1/20/2010,1.02,11/26/2010,0.37477,11/9/2009,0.91,8/3/2009,0.43,6/4/2008,1.0759,6/4/2008,0.73,,,,
6/5/2008,0.43547,6/5/2008,1.24,6/5/2008,3.60,6/5/2008,0.52384,1/19/2011,1.40,6/5/2008,0.95931,12/1/2010,0.41,11/13/2009,0.30064,12/29/2010,0.32,11/22/2010,0.82138,6/5/2008,1.57,6/5/2008,0.75,6/5/2008,0.74,1/21/2010,0.99,11/29/2010,0.35282,11/10/2009,0.86,8/4/2009,0.42,6/5/2008,1.05025,6/5/2008,0.72,,,,
