,6954 JP Equity,,6501 JP Equity,,6301 JP Equity,,6503 JP Equity,,7011 JP Equity,,6861 JP Equity,,6326 JP Equity,,6981 JP Equity,,8053 JP Equity,,6273 JP Equity,,6367 JP Equity,,9064 JP Equity,,1963 JP Equity,,7205 JP Equity,,6645 JP Equity,,7013 JP Equity,,6806 JP Equity,,6471 JP Equity,,9062 JP Equity,,9104 JP Equity,,9101 JP Equity,,1801 JP Equity,,6305 JP Equity,,1802 JP Equity,,1812 JP Equity,,1803 JP Equity,,6841 JP Equity,,6506 JP Equity,,6366 JP Equity,,6481 JP Equity,,6113 JP Equity,,6370 JP Equity,,6302 JP Equity,,6504 JP Equity,,6268 JP Equity,,9301 JP Equity,,6361 JP Equity,,6465 JP Equity,,9962 JP Equity,,9364 JP Equity,,6146 JP Equity,,1881 JP Equity,,1944 JP Equity,,9107 JP Equity,,6395 JP Equity,,1721 JP Equity,,9076 JP Equity,,6754 JP Equity,,6472 JP Equity,,9086 JP Equity,,9075 JP Equity,,5801 JP Equity,,7458 JP Equity,,6845 JP Equity,,1883 JP Equity,,6856 JP Equity,,6961 JP Equity,,6136 JP Equity,,1983 JP Equity,,6269 JP Equity,,6141 JP Equity,,9375 JP Equity,,9706 JP Equity,,7003 JP Equity,,1951 JP Equity,,6103 JP Equity,,9065 JP Equity,,1414 JP Equity,,7004 JP Equity,,9303 JP Equity,,9072 JP Equity,,6755 JP Equity,,6474 JP Equity,,6371 JP Equity,,6005 JP Equity,,6383 JP Equity
10/10/2008,58.51064,10/10/2008,5.66038,10/10/2008,12.13368,10/10/2008,5.4998,10/10/2008,3.42232,10/10/2008,133.20682,10/10/2008,4.3055,10/10/2008,37.03332,10/10/2008,7.1658,10/10/2008,86.71216,10/10/2008,21.57768,10/10/2008,9.18306,10/10/2008,11.80249,10/10/2008,2.59936,10/10/2008,13.82979,10/10/2008,1.23444,10/10/2008,73.96628,10/10/2008,3.84384,10/10/2008,3.54275,10/10/2008,5.79085,10/10/2008,4.69691,10/10/2008,1.8065,10/10/2008,15.0542,10/10/2008,3.62304,10/10/2008,2.29827,10/10/2008,3.71337,10/10/2008,5.17864,10/10/2008,4.42593,10/10/2008,4.74709,10/10/2008,12.57527,10/10/2008,4.53633,10/10/2008,18.6672,10/10/2008,3.64312,10/10/2008,1.35488,10/10/2008,6.60377,10/10/2008,9.43396,10/10/2008,1.79647,5/28/2009,10.10622,10/10/2008,14.40185,10/10/2008,6.4432,10/10/2008,24.68888,10/10/2008,4.71698,10/10/2008,7.22601,10/10/2008,4.3055,10/10/2008,4.1951,10/10/2008,6.54356,10/10/2008,4.25532,10/10/2008,1.89683,10/10/2008,3.49257,10/10/2008,10.60819,10/10/2008,3.86391,10/10/2008,3.06102,10/10/2008,7.67764,10/10/2008,15.32517,10/10/2008,5.8611,10/10/2008,13.30791,10/10/2008,6.13208,10/10/2008,6.32276,10/10/2008,7.36652,10/10/2008,14.70293,10/10/2008,9.72501,10/10/2008,14.31152,10/10/2008,9.59454,10/10/2008,1.50542,10/10/2008,8.83179,10/10/2008,4.26536,10/10/2008,2.499,10/10/2008,14.723,10/10/2008,0.73264,10/10/2008,3.08109,10/10/2008,9.10277,10/10/2008,2.1377,10/10/2008,1.87676,10/10/2008,2.97069,10/10/2008,17.72381,10/10/2008,4.84745
10/14/2008,66.84937,10/14/2008,5.87257,10/14/2008,13.79074,10/14/2008,6.23471,10/14/2008,4.00313,10/14/2008,142.28433,10/14/2008,4.98189,10/14/2008,39.83557,10/14/2008,7.96711,10/14/2008,94.35255,10/14/2008,24.9584,10/14/2008,9.93442,10/14/2008,13.46775,10/14/2008,3.06352,10/14/2008,15.38612,10/14/2008,1.3409,10/14/2008,80.06264,10/14/2008,4.5023,10/14/2008,3.76823,10/14/2008,6.58706,10/14/2008,5.20701,10/14/2008,2.04561,10/14/2008,17.59812,10/14/2008,4.2674,10/14/2008,2.75032,10/14/2008,4.40442,10/14/2008,5.81384,10/14/2008,5.09934,10/14/2008,5.41255,10/14/2008,14.2214,10/14/2008,5.18743,10/14/2008,21.14124,10/14/2008,4.33591,10/14/2008,1.64432,10/14/2008,7.24283,10/14/2008,10.17911,10/14/2008,2.11412,5/29/2009,11.0681,10/14/2008,15.44485,10/14/2008,6.37173,10/14/2008,26.67123,10/14/2008,5.23637,10/14/2008,8.02584,10/14/2008,4.87423,10/14/2008,4.7372,10/14/2008,7.36028,10/14/2008,4.5806,10/14/2008,2.03582,10/14/2008,4.01292,10/14/2008,11.64725,10/14/2008,4.04228,10/14/2008,3.59205,10/14/2008,8.46628,10/14/2008,17.31428,10/14/2008,6.57727,10/14/2008,14.93589,10/14/2008,6.89048,10/14/2008,7.14495,10/14/2008,8.16287,10/14/2008,16.29637,10/14/2008,10.46295,10/14/2008,15.66017,10/14/2008,10.33571,10/14/2008,1.80092,10/14/2008,8.27053,10/14/2008,4.94274,10/14/2008,2.91671,10/14/2008,14.89674,10/14/2008,0.89067,10/14/2008,3.40609,10/14/2008,9.28844,10/14/2008,2.63287,10/14/2008,2.18264,10/14/2008,3.38651,10/14/2008,19.81991,10/14/2008,5.51042
10/15/2008,68.97911,10/15/2008,5.82381,10/15/2008,13.47063,10/15/2008,6.28695,10/15/2008,3.84312,10/15/2008,137.87678,10/15/2008,4.95664,10/15/2008,39.31809,10/15/2008,8.37603,10/15/2008,99.82263,10/15/2008,24.48758,10/15/2008,10.38628,10/15/2008,13.56918,10/15/2008,3.00552,10/15/2008,15.96374,10/15/2008,1.35002,10/15/2008,80.50847,10/15/2008,4.48364,10/15/2008,3.90225,10/15/2008,6.17856,10/15/2008,4.92708,10/15/2008,2.05952,10/15/2008,16.74222,10/15/2008,4.33583,10/15/2008,2.73946,10/15/2008,4.2767,10/15/2008,5.73512,10/15/2008,4.92708,10/15/2008,5.8041,10/15/2008,14.73197,10/15/2008,4.91723,10/15/2008,22.51675,10/15/2008,4.0402,10/15/2008,1.63579,10/15/2008,7.17383,10/15/2008,10.49468,10/15/2008,2.16791,6/1/2009,10.90514,10/15/2008,15.23453,10/15/2008,6.56287,10/15/2008,25.473,10/15/2008,5.40993,10/15/2008,8.27749,10/15/2008,4.57233,10/15/2008,4.69058,10/15/2008,7.4596,10/15/2008,4.46393,10/15/2008,1.92156,10/15/2008,4.11904,10/15/2008,11.76587,10/15/2008,4.13875,10/15/2008,3.55735,10/15/2008,8.7702,10/15/2008,17.20536,10/15/2008,6.67127,10/15/2008,14.97832,10/15/2008,6.50374,10/15/2008,7.2231,10/15/2008,7.92274,10/15/2008,16.43674,10/15/2008,11.47024,10/15/2008,15.18526,10/15/2008,10.50453,10/15/2008,1.77375,10/15/2008,8.59283,10/15/2008,5.00591,10/15/2008,3.05479,10/15/2008,16.47615,10/15/2008,0.85731,10/15/2008,3.44896,10/15/2008,9.28262,10/15/2008,2.40441,10/15/2008,2.15806,10/15/2008,3.30114,10/15/2008,20.69373,10/15/2008,5.4395
10/16/2008,59.62437,10/16/2008,5.51525,10/16/2008,11.59694,10/16/2008,5.48544,10/16/2008,3.47809,10/16/2008,126.22955,10/16/2008,4.27308,10/16/2008,35.37712,10/16/2008,7.45305,10/16/2008,86.25658,10/16/2008,20.71947,10/16/2008,9.71877,10/16/2008,11.69631,10/16/2008,2.6036,10/16/2008,13.93223,10/16/2008,1.20242,10/16/2008,72.94048,10/16/2008,3.84577,10/16/2008,3.60727,10/16/2008,5.30657,10/16/2008,4.37245,10/16/2008,1.75892,10/16/2008,13.90241,10/16/2008,3.78615,10/16/2008,2.34523,10/16/2008,3.75634,10/16/2008,4.92895,10/16/2008,4.09421,10/16/2008,4.85939,10/16/2008,13.51486,10/16/2008,4.7302,10/16/2008,19.43754,10/16/2008,3.44828,10/16/2008,1.42105,10/16/2008,6.24068,10/16/2008,9.17222,10/16/2008,1.82848,6/2/2009,11.55333,10/16/2008,13.97198,10/16/2008,6.44937,10/16/2008,22.70695,10/16/2008,5.11776,10/16/2008,7.90023,10/16/2008,4.00477,10/16/2008,4.03458,10/16/2008,6.52887,10/16/2008,4.24327,10/16/2008,1.74898,10/16/2008,3.69671,10/16/2008,11.28888,10/16/2008,4.05446,10/16/2008,3.03091,10/16/2008,8.78466,10/16/2008,16.00914,10/16/2008,6.9363,10/16/2008,14.67753,10/16/2008,5.68419,10/16/2008,6.45931,10/16/2008,7.04561,10/16/2008,14.69741,10/16/2008,10.01689,10/16/2008,14.07135,10/16/2008,9.86783,10/16/2008,1.48067,10/16/2008,7.9996,10/16/2008,4.28302,10/16/2008,2.81228,10/16/2008,15.61165,10/16/2008,0.76518,10/16/2008,3.10047,10/16/2008,9.49021,10/16/2008,2.01729,10/16/2008,1.91792,10/16/2008,2.91166,10/16/2008,17.94693,10/16/2008,4.6507
10/17/2008,59.36792,10/17/2008,5.28699,10/17/2008,10.94811,10/17/2008,5.50359,10/17/2008,3.6625,10/17/2008,132.79121,10/17/2008,4.34183,10/17/2008,33.57291,10/17/2008,7.01979,10/17/2008,90.87329,10/17/2008,21.26612,10/17/2008,9.58945,10/17/2008,10.10141,10/17/2008,2.71734,10/17/2008,14.4137,10/17/2008,1.26021,10/17/2008,73.05307,10/17/2008,3.9874,10/17/2008,3.82987,10/17/2008,4.90302,10/17/2008,4.36152,10/17/2008,1.86079,10/17/2008,12.73998,10/17/2008,4.17446,10/17/2008,2.48105,10/17/2008,4.10554,10/17/2008,5.07039,10/17/2008,4.12523,10/17/2008,4.4206,10/17/2008,13.62607,10/17/2008,4.43044,10/17/2008,19.98622,10/17/2008,3.4459,10/17/2008,1.44728,10/17/2008,6.28138,10/17/2008,9.09717,10/17/2008,1.86079,6/3/2009,11.86582,10/17/2008,14.28571,10/17/2008,6.62597,10/17/2008,22.93984,10/17/2008,5.16885,10/17/2008,8.18155,10/17/2008,3.9874,10/17/2008,4.07601,10/17/2008,6.68504,10/17/2008,4.25322,10/17/2008,1.84109,10/17/2008,3.81018,10/17/2008,12.03111,10/17/2008,3.88894,10/17/2008,3.07177,10/17/2008,8.6049,10/17/2008,15.97913,10/17/2008,6.99025,10/17/2008,13.12395,10/17/2008,5.41498,10/17/2008,6.50783,10/17/2008,7.05917,10/17/2008,14.9552,10/17/2008,9.64852,10/17/2008,15.34902,10/17/2008,10.08172,10/17/2008,1.4965,10/17/2008,8.52614,10/17/2008,4.05632,10/17/2008,2.91425,10/17/2008,16.688,10/17/2008,0.78763,10/17/2008,3.30806,10/17/2008,9.24486,10/17/2008,2.07739,10/17/2008,1.96909,10/17/2008,3.15054,10/17/2008,19.42503,10/17/2008,4.6372
10/20/2008,59.79544,10/20/2008,5.11408,10/20/2008,10.92644,10/20/2008,5.75334,10/20/2008,3.60936,10/20/2008,141.10058,10/20/2008,4.44532,10/20/2008,35.99528,10/20/2008,7.50393,10/20/2008,98.54445,10/20/2008,21.48899,10/20/2008,10.49371,10/20/2008,10.57238,10/20/2008,2.7144,10/20/2008,14.75216,10/20/2008,1.27852,10/20/2008,74.05586,10/20/2008,3.94375,10/20/2008,4.1011,10/20/2008,5.09441,10/20/2008,4.39614,10/20/2008,1.90795,10/20/2008,12.67703,10/20/2008,4.16011,10/20/2008,2.50787,10/20/2008,4.13061,10/20/2008,5.2321,10/20/2008,4.39614,10/20/2008,4.73053,10/20/2008,14.1129,10/20/2008,4.86821,10/20/2008,21.29229,10/20/2008,3.55035,10/20/2008,1.63257,10/20/2008,6.60897,10/20/2008,9.43155,10/20/2008,1.90795,6/4/2009,11.7245,10/20/2008,15.11605,10/20/2008,7.24823,10/20/2008,23.99685,10/20/2008,5.39929,10/20/2008,8.15303,10/20/2008,4.05193,10/20/2008,4.11094,10/20/2008,6.68765,10/20/2008,4.62234,10/20/2008,2.00629,10/20/2008,3.80606,10/20/2008,13.39496,10/20/2008,4.08143,10/20/2008,3.12746,10/20/2008,8.6546,10/20/2008,16.40441,10/20/2008,6.99253,10/20/2008,14.45712,10/20/2008,6.27459,10/20/2008,6.94335,10/20/2008,7.21873,10/20/2008,14.80134,10/20/2008,9.84461,10/20/2008,16.13887,10/20/2008,10.71007,10/20/2008,1.52439,10/20/2008,8.55625,10/20/2008,4.23879,10/20/2008,2.80291,10/20/2008,16.66011,10/20/2008,0.81629,10/20/2008,3.53068,10/20/2008,9.77577,10/20/2008,2.21282,10/20/2008,1.96696,10/20/2008,3.33399,10/20/2008,20.11212,10/20/2008,4.86821
10/21/2008,64.62856,10/21/2008,5.40729,10/21/2008,11.35232,10/21/2008,6.04461,10/21/2008,3.68452,10/21/2008,149.20804,10/21/2008,4.81976,10/21/2008,38.23939,10/21/2008,8.14579,10/21/2008,102.46963,10/21/2008,22.75443,10/21/2008,10.66521,10/21/2008,11.74069,10/21/2008,2.858,10/21/2008,14.94722,10/21/2008,1.30452,10/21/2008,77.97252,10/21/2008,3.99323,10/21/2008,4.11273,10/21/2008,5.30771,10/21/2008,4.5708,10/21/2008,2.01155,10/21/2008,13.44354,10/21/2008,4.43139,10/21/2008,2.67875,10/21/2008,4.37164,10/21/2008,5.43716,10/21/2008,4.65047,10/21/2008,5.01892,10/21/2008,14.29994,10/21/2008,4.96913,10/21/2008,22.20673,10/21/2008,3.60486,10/21/2008,1.80243,10/21/2008,6.70185,10/21/2008,9.64947,10/21/2008,2.02151,6/5/2009,10.76156,10/21/2008,15.23601,10/21/2008,7.4288,10/21/2008,25.74188,10/21/2008,5.61641,10/21/2008,8.38478,10/21/2008,4.27206,10/21/2008,4.44135,10/21/2008,7.1201,10/21/2008,4.79984,10/21/2008,2.18084,10/21/2008,3.89365,10/21/2008,13.24437,10/21/2008,4.1426,10/21/2008,3.34595,10/21/2008,8.82294,10/21/2008,17.86497,10/21/2008,6.94085,10/21/2008,15.03685,10/21/2008,6.3334,10/21/2008,7.1201,10/21/2008,7.53834,10/21/2008,16.83928,10/21/2008,10.14738,10/21/2008,16.54053,10/21/2008,11.12328,10/21/2008,1.60327,10/21/2008,8.94244,10/21/2008,4.31189,10/21/2008,2.88787,10/21/2008,16.66003,10/21/2008,0.84644,10/21/2008,3.65465,10/21/2008,9.77893,10/21/2008,2.26051,10/21/2008,1.99164,10/21/2008,3.37582,10/21/2008,19.96614,10/21/2008,5.21808
10/22/2008,63.88157,10/22/2008,5.03955,10/22/2008,10.77875,10/22/2008,5.40458,10/22/2008,3.41716,10/22/2008,140.53442,10/22/2008,4.38045,10/22/2008,35.28696,10/22/2008,7.51369,10/22/2008,93.69296,10/22/2008,20.78686,10/22/2008,10.10951,10/22/2008,10.69763,10/22/2008,2.55526,10/22/2008,14.45954,10/22/2008,1.26749,10/22/2008,72.9061,10/22/2008,3.79233,10/22/2008,3.87345,10/22/2008,5.10039,10/22/2008,4.29933,10/22/2008,1.93673,10/22/2008,11.97526,10/22/2008,4.17765,10/22/2008,2.42344,10/22/2008,4.06611,10/22/2008,5.26262,10/22/2008,4.29933,10/22/2008,4.68465,10/22/2008,13.34415,10/22/2008,4.74549,10/22/2008,21.24316,10/22/2008,3.24478,10/22/2008,1.64267,10/22/2008,6.22592,10/22/2008,9.07524,10/22/2008,1.93673,6/8/2009,11.17886,10/22/2008,14.91584,10/22/2008,7.45285,10/22/2008,25.24843,10/22/2008,5.34374,10/22/2008,7.93957,10/22/2008,4.07625,10/22/2008,4.11681,10/22/2008,6.65179,10/22/2008,4.62381,10/22/2008,2.08883,10/22/2008,3.59968,10/22/2008,12.47212,10/22/2008,4.14723,10/22/2008,3.13324,10/22/2008,8.80146,10/22/2008,17.45082,10/22/2008,6.61124,10/22/2008,14.36828,10/22/2008,6.03326,10/22/2008,7.10809,10/22/2008,7.40215,10/22/2008,15.0071,10/22/2008,10.06895,10/22/2008,14.83472,10/22/2008,10.20077,10/22/2008,1.48043,10/22/2008,8.4567,10/22/2008,4.17765,10/22/2008,2.6668,10/22/2008,15.90955,10/22/2008,0.82133,10/22/2008,3.45772,10/22/2008,9.46056,10/22/2008,2.08883,10/22/2008,1.94687,10/22/2008,3.09268,10/22/2008,19.35713,10/22/2008,4.71507
10/23/2008,59.75685,10/23/2008,4.79085,10/23/2008,10.32351,10/23/2008,5.48115,10/23/2008,3.58541,10/23/2008,141.00505,10/23/2008,4.18298,10/23/2008,35.44199,10/23/2008,7.31506,10/23/2008,93.55038,10/23/2008,20.47187,10/23/2008,10.57078,10/23/2008,10.37503,10/23/2008,2.41088,10/23/2008,14.73315,10/23/2008,1.22605,10/23/2008,73.25366,10/23/2008,3.8842,10/23/2008,3.94601,10/23/2008,4.79085,10/23/2008,4.27571,10/23/2008,1.96785,10/23/2008,11.64228,10/23/2008,4.22419,10/23/2008,2.4727,10/23/2008,4.22419,10/23/2008,4.99691,10/23/2008,4.29631,10/23/2008,4.73934,10/23/2008,13.22893,10/23/2008,4.57449,10/23/2008,21.2755,10/23/2008,3.14239,10/23/2008,1.56604,10/23/2008,6.21265,10/23/2008,9.05625,10/23/2008,1.86483,6/9/2009,11.3047,10/23/2008,14.71255,10/23/2008,7.25325,10/23/2008,25.03606,10/23/2008,5.27509,10/23/2008,8.32475,10/23/2008,3.9151,10/23/2008,4.2448,10/23/2008,6.53204,10/23/2008,4.58479,10/23/2008,2.25634,10/23/2008,3.59571,10/23/2008,12.16773,10/23/2008,4.2551,10/23/2008,2.98784,10/23/2008,8.96353,10/23/2008,17.48403,10/23/2008,6.86174,10/23/2008,14.21801,10/23/2008,6.13023,10/23/2008,6.88234,10/23/2008,7.34597,10/23/2008,14.79497,10/23/2008,9.32413,10/23/2008,13.8368,10/23/2008,10.66351,10/23/2008,1.45271,10/23/2008,8.57202,10/23/2008,4.07995,10/23/2008,2.69936,10/23/2008,16.83495,10/23/2008,0.82423,10/23/2008,3.48238,10/23/2008,9.46837,10/23/2008,1.98846,10/23/2008,1.91634,10/23/2008,3.07027,10/23/2008,19.66825,10/23/2008,4.68782
10/24/2008,51.65465,10/24/2008,4.39118,10/24/2008,9.39754,10/24/2008,5.17607,10/24/2008,3.3305,10/24/2008,132.62762,10/24/2008,3.9563,10/24/2008,32.03224,10/24/2008,6.74586,10/24/2008,86.44463,10/24/2008,19.21935,10/24/2008,10.26729,10/24/2008,9.35511,10/24/2008,2.23801,10/24/2008,13.85235,10/24/2008,1.13492,10/24/2008,66.18583,10/24/2008,3.58507,10/24/2008,3.85023,10/24/2008,4.31693,10/24/2008,4.05176,10/24/2008,2.03649,10/24/2008,9.86423,10/24/2008,4.2745,10/24/2008,2.55622,10/24/2008,4.18965,10/24/2008,4.29571,10/24/2008,3.92448,10/24/2008,4.30632,10/24/2008,12.68562,10/24/2008,4.15783,10/24/2008,20.30123,10/24/2008,2.77896,10/24/2008,1.4319,10/24/2008,5.67459,10/24/2008,8.46415,10/24/2008,1.76071,6/10/2009,11.24007,10/24/2008,13.30081,10/24/2008,7.49894,10/24/2008,22.22104,10/24/2008,5.12304,10/24/2008,7.87017,10/24/2008,3.66992,10/24/2008,3.83963,10/24/2008,6.03521,10/24/2008,4.33814,10/24/2008,1.98345,10/24/2008,3.34111,10/24/2008,11.98557,10/24/2008,4.07297,10/24/2008,2.70471,10/24/2008,9.12176,10/24/2008,16.86466,10/24/2008,6.90496,10/24/2008,13.18413,10/24/2008,6.78829,10/24/2008,6.3216,10/24/2008,6.98982,10/24/2008,13.12049,10/24/2008,8.68689,10/24/2008,13.41748,10/24/2008,10.51124,10/24/2008,1.36826,10/24/2008,8.52779,10/24/2008,3.54264,10/24/2008,2.50318,10/24/2008,16.82223,10/24/2008,0.75308,10/24/2008,3.35172,10/24/2008,9.55664,10/24/2008,1.85617,10/24/2008,1.78193,10/24/2008,2.87442,10/24/2008,19.3042,10/24/2008,4.48664
10/27/2008,54.45439,10/27/2008,4.3052,10/27/2008,8.37596,10/27/2008,4.46505,10/27/2008,3.12234,10/27/2008,124.44252,10/27/2008,3.60188,10/27/2008,29.19864,10/27/2008,6.26598,10/27/2008,86.53026,10/27/2008,17.0503,10/27/2008,9.84655,10/27/2008,8.56777,10/27/2008,2.03538,10/27/2008,12.81969,10/27/2008,1.04433,10/27/2008,66.49616,10/27/2008,3.31415,10/27/2008,3.66581,10/27/2008,4.03879,10/27/2008,3.96419,10/27/2008,2.01407,10/27/2008,8.84484,10/27/2008,4.17732,10/27/2008,2.55754,10/27/2008,4.10273,10/27/2008,4.04945,10/27/2008,3.29284,10/27/2008,3.79369,10/27/2008,12.11637,10/27/2008,3.87894,10/27/2008,19.23487,10/27/2008,2.48295,10/27/2008,1.33205,10/27/2008,4.86999,10/27/2008,7.63001,10/27/2008,1.61978,6/11/2009,11.19967,10/27/2008,12.39344,10/27/2008,7.1185,10/27/2008,22.21867,10/27/2008,4.8913,10/27/2008,6.85209,10/27/2008,3.43137,10/27/2008,3.45269,10/27/2008,5.63725,10/27/2008,4.0601,10/27/2008,1.93947,10/27/2008,3.17562,10/27/2008,11.12532,10/27/2008,3.75107,10/27/2008,2.63214,10/27/2008,9.14322,10/27/2008,15.24936,10/27/2008,6.40452,10/27/2008,12.72379,10/27/2008,6.52174,10/27/2008,5.9676,10/27/2008,6.80946,10/27/2008,12.0098,10/27/2008,7.7792,10/27/2008,12.46803,10/27/2008,9.49488,10/27/2008,1.19352,10/27/2008,7.93905,10/27/2008,3.45269,10/27/2008,2.18457,10/27/2008,16.53879,10/27/2008,0.73529,10/27/2008,3.17562,10/27/2008,8.62106,10/27/2008,1.72634,10/27/2008,1.69437,10/27/2008,2.49361,10/27/2008,18.09463,10/27/2008,4.20929
10/28/2008,62.21485,10/28/2008,4.47947,10/28/2008,8.43011,10/28/2008,4.72833,10/28/2008,3.15222,10/28/2008,134.71314,10/28/2008,3.84695,10/28/2008,30.43343,10/28/2008,6.52219,10/28/2008,89.79676,10/28/2008,18.146,10/28/2008,10.23434,10/28/2008,9.16632,10/28/2008,2.29158,10/28/2008,14.13314,10/28/2008,1.07839,10/28/2008,72.06553,10/28/2008,3.52551,10/28/2008,3.73289,10/28/2008,4.30319,10/28/2008,4.35504,10/28/2008,2.06346,10/28/2008,9.25964,10/28/2008,4.28246,10/28/2008,2.53007,10/28/2008,4.30319,10/28/2008,4.6039,10/28/2008,3.60846,10/28/2008,4.3343,10/28/2008,12.51555,10/28/2008,4.15803,10/28/2008,20.79013,10/28/2008,2.49896,10/28/2008,1.53463,10/28/2008,5.24679,10/28/2008,7.94276,10/28/2008,1.72128,6/12/2009,11.05231,10/28/2008,13.21029,10/28/2008,7.33098,10/28/2008,22.55288,10/28/2008,5.58897,10/28/2008,7.70427,10/28/2008,3.44255,10/28/2008,3.85732,10/28/2008,6.25259,10/28/2008,4.42762,10/28/2008,2.0842,10/28/2008,3.43219,10/28/2008,12.89921,10/28/2008,3.81584,10/28/2008,2.75819,10/28/2008,8.60639,10/28/2008,16.89133,10/28/2008,6.78142,10/28/2008,13.49025,10/28/2008,7.38283,10/28/2008,6.25259,10/28/2008,7.31024,10/28/2008,13.75985,10/28/2008,8.37827,10/28/2008,12.34965,10/28/2008,9.99585,10/28/2008,1.22356,10/28/2008,8.63749,10/28/2008,3.79511,10/28/2008,2.3538,10/28/2008,17.08835,10/28/2008,0.78805,10/28/2008,3.39071,10/28/2008,8.8034,10/28/2008,1.86645,10/28/2008,1.8146,10/28/2008,2.62339,10/28/2008,20.24056,10/28/2008,4.47947
10/29/2008,63.76841,10/29/2008,4.89338,10/29/2008,8.79777,10/29/2008,5.52179,10/29/2008,3.3275,10/29/2008,149.845,10/29/2008,4.42979,10/29/2008,34.40816,10/29/2008,7.32461,10/29/2008,94.57093,10/29/2008,21.11878,10/29/2008,10.91995,10/29/2008,10.09581,10/29/2008,2.53425,10/29/2008,14.64922,10/29/2008,1.1435,10/29/2008,81.89966,10/29/2008,4.00742,10/29/2008,4.07953,10/29/2008,4.59462,10/29/2008,4.66674,10/29/2008,2.19429,10/29/2008,9.99279,10/29/2008,4.59462,10/29/2008,2.69908,10/29/2008,4.58432,10/29/2008,4.44009,10/29/2008,3.68806,10/29/2008,4.59462,10/29/2008,13.21727,10/29/2008,4.32677,10/29/2008,22.25198,10/29/2008,2.54456,10/29/2008,1.63799,10/29/2008,5.74843,10/29/2008,8.65355,10/29/2008,1.81312,6/15/2009,11.22105,10/29/2008,13.70145,10/29/2008,8.26208,10/29/2008,22.71557,10/29/2008,5.75873,10/29/2008,8.04574,10/29/2008,3.63655,10/29/2008,3.98681,10/29/2008,6.66529,10/29/2008,4.78006,10/29/2008,2.02946,10/29/2008,3.60565,10/29/2008,12.99063,10/29/2008,3.8941,10/29/2008,2.98753,10/29/2008,8.07665,10/29/2008,17.84279,10/29/2008,6.99495,10/29/2008,13.89719,10/29/2008,8.3651,10/29/2008,6.56227,10/29/2008,7.71608,10/29/2008,13.59843,10/29/2008,7.65427,10/29/2008,12.69187,10/29/2008,10.6109,10/29/2008,1.24652,10/29/2008,9.19955,10/29/2008,3.8838,10/29/2008,2.58576,10/29/2008,17.71917,10/29/2008,0.79324,10/29/2008,3.70866,10/29/2008,9.33347,10/29/2008,1.90584,10/29/2008,1.91614,10/29/2008,2.53425,10/29/2008,23.23066,10/29/2008,4.81096
10/30/2008,73.07144,10/30/2008,5.02748,10/30/2008,9.70894,10/30/2008,6.42174,10/30/2008,3.6434,10/30/2008,164.85189,10/30/2008,5.19031,10/30/2008,36.73926,10/30/2008,8.25361,10/30/2008,102.99206,10/30/2008,23.45817,10/30/2008,12.52799,10/30/2008,10.99125,10/30/2008,2.45268,10/30/2008,15.64217,10/30/2008,1.19072,10/30/2008,88.54061,10/30/2008,4.45756,10/30/2008,4.35579,10/30/2008,5.35314,10/30/2008,5.2412,10/30/2008,2.40179,10/30/2008,10.88948,10/30/2008,5.00712,10/30/2008,2.96153,10/30/2008,4.96642,10/30/2008,4.80358,10/30/2008,4.45756,10/30/2008,5.35314,10/30/2008,15.09261,10/30/2008,4.7527,10/30/2008,22.44046,10/30/2008,2.99206,10/30/2008,1.77081,10/30/2008,6.41156,10/30/2008,9.56646,10/30/2008,1.98453,6/16/2009,11.2102,10/30/2008,15.28598,10/30/2008,8.35538,10/30/2008,25.7989,10/30/2008,5.82129,10/30/2008,8.29432,10/30/2008,4.30491,10/30/2008,4.30491,10/30/2008,7.27661,10/30/2008,4.89518,10/30/2008,2.33055,10/30/2008,4.16243,10/30/2008,13.678,10/30/2008,4.33544,10/30/2008,3.23631,10/30/2008,8.22308,10/30/2008,19.33645,10/30/2008,6.91024,10/30/2008,15.0519,10/30/2008,8.28414,10/30/2008,7.17484,10/30/2008,8.14166,10/30/2008,15.46916,10/30/2008,8.57928,10/30/2008,13.9426,10/30/2008,12.1209,10/30/2008,1.48585,10/30/2008,9.6377,10/30/2008,4.65093,10/30/2008,2.74781,10/30/2008,17.83025,10/30/2008,0.8447,10/30/2008,3.86729,10/30/2008,9.86159,10/30/2008,2.0863,10/30/2008,1.99471,10/30/2008,2.80887,10/30/2008,23.40729,10/30/2008,5.3735
