,X2600.HK.Equity,X486.HK.Equity,AA.Equity,AWC.AU.Equity,HNDL.IN.Equity,Y
1753,-0.2801,6.7416,1.1947,1.4706,3.555,0
1754,-6.4607,9.8947,-0.6494,-0.2899,0.4768,0
1755,-1.2012,2.8736,1.9608,0.2907,-1.74,0
1756,0.6079,-0.7449,-2.7389,-1.4493,-0.3542,1
1757,-0.6042,3.7523,2.5764,-2.9412,0.8078,0
1758,1.2158,5.0633,1.9276,4.2424,2.7564,1
1759,1.2158,5.0633,1.9276,4.2424,2.7564,1
1760,1.2158,5.0633,1.9276,4.2424,2.7564,1
1761,2.7027,3.4423,-1.3181,0,3.3375,1
1762,-2.6316,-0.1664,0.8711,-2.3256,-0.0604,0
1763,0.6006,3,1.3241,1.1905,2.1746,1
1764,0.2985,-0.3236,1.3241,0.2941,2.0396,1
1765,0.2976,-5.5195,-1.7614,-2.0528,0.8401,1
1766,0.2976,-5.5195,-1.7614,-2.0528,0.8401,1
1767,0.2976,-5.5195,-1.7614,-2.0528,0.8401,1
1768,-2.9674,-1.89,-0.8676,-4.1916,-3.8207,0
1769,1.5291,-1.9264,0.9335,5,2.1804,1
1770,0,0,-0.5202,2.381,-1.1692,1
1771,4.2169,3.2143,0.1743,1.1628,-1.8634,1
1772,0.289,-3.1142,-1.6821,-0.5747,-1.6275,1
1773,0.289,-3.1142,-1.6821,-0.5747,-1.6275,1
1774,0.289,-3.1142,-1.6821,-0.5747,-1.6275,1
1775,1.1527,0,-3.8938,1.7341,-2.4816,1
1776,-3.9886,-5.1786,-1.5347,-1.9886,-2.9532,0
1777,0.8902,4.3315,-2.5561,-1.4493,-0.2914,1
1778,-0.2941,-3.6101,-3.007,-2.6471,1.0065,0
1779,0,-4.6816,-1.9129,-0.9063,-1.2858,1
1780,0,-4.6816,-1.9129,-0.9063,-1.2858,1
1781,0,-4.6816,-1.9129,-0.9063,-1.2858,1
1782,-0.885,-4.5187,0.4035,-0.9146,-0.2279,0
1783,-0.5952,-4.9383,-3.349,0.6154,-5.5157,0
1784,-1.497,-4.5455,4.2966,0.9174,1.6235,0
1785,2.4316,7.7098,4.8505,1.5152,3.9769,1
1786,6.5282,0,1.0139,8.6567,3.171,1
1787,6.5282,0,1.0139,8.6567,3.171,1
1788,6.5282,0,1.0139,8.6567,3.171,1
1789,1.1142,1.2632,-1.2547,1.3736,-1.2674,1
1790,-2.4793,2.079,-0.0635,-0.813,-1.733,0
1791,0,1.6293,0.2543,-1.9126,-1.6329,1
1792,0,1.6293,0.2543,-1.9126,-1.6329,1
1793,0,1.6293,0.3171,-1.9126,0.9296,1
1794,0,1.6293,0.3171,-1.9126,0.9296,1
1795,0,1.6293,0.3171,-1.9126,0.9296,1
1796,2.8249,2.2044,0,1.6713,3.3224,1
1797,-1.0989,-1.7647,0.1896,-2.1918,-0.4457,0
1798,-0.2778,4.1916,-0.3785,0.5602,0.7675,0
